name,bptagn,nontrad,unclassified,composite,sf
ECO00001,False,False,False,False,True
ECO00004,False,False,False,False,True
ECO00008,False,False,False,False,True
ECO00017,False,False,False,False,True
ECO00018,False,False,False,False,True
ECO00023,False,False,False,False,True
ECO00025,False,False,False,False,True
ECO00027,False,False,False,False,True
ECO00032,False,False,False,False,True
ECO00035,False,False,False,False,True
ECO00036,False,False,False,False,True
ECO00054,False,False,False,False,True
ECO00061,False,True,False,False,True
ECO00067,False,False,False,False,True
ECO00068,False,False,False,False,True
ECO00069,False,False,False,False,True
ECO00073,False,True,False,False,True
ECO00088,False,False,False,False,True
ECO00102,False,False,False,False,True
ECO00103,False,False,False,False,True
ECO00104,False,False,False,False,True
ECO00105,False,True,False,False,True
ECO00117,False,False,False,False,True
ECO00124,False,False,False,False,True
ECO00139,False,False,False,False,True
ECO00141,False,False,False,False,True
ECO00142,False,True,False,False,True
ECO00166,False,False,False,False,True
ECO00169,False,True,False,False,True
ECO00171,False,False,False,False,True
ECO00176,False,False,False,False,True
ECO00182,False,False,False,False,True
ECO00185,False,False,False,False,True
ECO00190,False,False,False,False,True
ECO00191,False,False,False,False,True
ECO00194,False,False,False,False,True
ECO00200,False,False,False,False,True
ECO00201,False,False,False,False,True
ECO00204,False,False,False,False,True
ECO00205,False,False,False,False,True
ECO00209,False,False,False,False,True
ECO00210,False,False,False,False,True
ECO00213,False,False,False,False,True
ECO00216,False,False,False,False,True
ECO00220,False,True,False,False,True
ECO00231,False,False,False,False,True
ECO00237,False,False,False,False,True
ECO00242,False,False,False,False,True
ECO00253,False,False,False,False,True
ECO00255,False,False,False,False,True
ECO00257,False,False,False,False,True
ECO00289,False,False,False,False,True
ECO00297,False,False,False,False,True
ECO00299,False,True,False,False,True
ECO00302,False,False,False,False,True
ECO00304,False,False,False,False,True
ECO00312,False,False,False,False,True
ECO00315,False,False,False,False,True
ECO00321,False,True,False,False,True
ECO00322,False,False,False,False,True
ECO00332,False,False,False,False,True
ECO00336,False,False,False,False,True
ECO00339,False,False,False,False,True
ECO00347,False,False,False,False,True
ECO00348,False,False,False,False,True
ECO00354,False,False,False,False,True
ECO00357,False,False,False,False,True
