name,name,Unnamed: 0,col1,IAUNAME,RA,DEC,MAG,Z,ZSRC,NSAID,METS,MASS,XCEN,YCEN,OBJNO,PLATE,FIBERID,MJD,VDISP,D4000,D4000ERR,sii_6731_flux,sii_6731_flux_err,S2EW,S2EWERR,S2VMEAS,S2VMERR,S2RATIO,h_alpha_flux,h_alpha_flux_err,HAEW,HAEWERR,HAVMEAS,HAVMERR,nii_6584_flux,nii_6584_flux_err,N2EW,N2EWERR,N2VMEAS,N2VMERR,h_beta_flux,h_beta_flux_err,HBEW,HBEWERR,HBVMEAS,HBVMERR,oi_6300_flux,oi_6300_flux_err,O1EW,O1EWERR,O1VMEAS,O1VMERR,O2FLUX,O2FLUXERR,O2EW,O2EWERR,O2VMEAS,O2VMERR,oiii_5007_flux,oiii_5007_flux_err,O3EW,O3EWERR,O3VMEAS,O3VMERR,AHGEW,AHGEWERR,AHDEW,AHDEWERR,NE3EW,NE3EWERR,NE5EW,NE5EWERR,AV,S2NSAMP,RACAT,DECCAT,ZSDSSLINE,SURVEY,PROGRAMNAME,PLATEQUALITY,TILE,PLUG_RA,PLUG_DEC,name.1,exth,exti,extj,extk,extg,2kmag,nuvmag,extz,dedeg,e_zmag,extu,radeg,extr,e_2kmag,2jmag,r50,gmag,rmag,dgr,2hmag,imag,b_a,r90,e_2hmag,e_imag,e_rmag,absrmag,zmag,e_umag,cz,e_nuvmag,e_2jmag,e_gmag,umag,modelu_j,modelu_k,modelu_i,fsmgr_ave,modelg_i,logmstar_84,modelg_k,modelu_r,logmstar,modelg_r,modelg_j,sfr_nuv,logmstar_16,fsmgr_med,modelu_rcorr,mhi,logmgas,emhi_sys_corr,emhi_rand_corr,confused,emhi,mhi_corr,hitelescope,limflag,grpn,grpcz,grpabsrmag,logmh_dyn,grpsig,logmh_s,fc,logmh,grpms,grprproj,den1mpc,grpmb,grp,grprproj_stack,logmh_dyn_stack,grpsig_stack,logmh_dyn_smooth,ccb,resname,fg,fm16,fa,ccr,morphel,mu_delta,extnuv,meanfsmgre15,logmstare15,absrmagcorr,modelg_jcorr,modelu_icorr,modelg_kcorr,modelu_jcorr,meanfsmgr,modelu_kcorr,modelg_rcorr,modelg_icorr,GroupID,GroupSize,Separation
ECO10155,ECO10155,2,17,J094512.20+000207.7,146.30091073774358,0.035488660620616376,16.06168,0.021758002999999998,sdss,19,0.01946078,1489455100.0,94.0654296875,93.56198120117188,26615730,266,157,51630,27.361015000000002,1.1279223,0.009410618,1622.661999009401,65.7913376740242,18.66704,0.40422204,51.875862,1.0813361000000001,0.69330055,5004.090477476123,199.30006693576166,56.003075,0.7301791999999999,48.79476,0.39530155,1012.3989243966429,42.953181053113745,11.351436,0.26285687,50.089905,0.98766565,1749.681985131511,105.24671252749654,12.36548,0.25471023,52.655205,1.2393396,147.28954430195225,14.525031676185097,1.5623095,0.17518932,57.407256999999994,5.2993817000000005,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2234.854306921475,127.00382624332524,16.760807,0.35291037,50.0464,1.5425856000000002,1.4112083,0.4190665,-2.3262973,0.40872434,1.1306307,0.44903588,-9999.0,-9999.0,0.76589024,28.618741999999997,146.3008629352125,0.03548184268854515,0.021758002999999998,sdss,legacy,good,122,146.30086,0.035479627,ECO10155,0.0948,0.3433,0.1484,0.0604,0.6242,13.2603,19.6527,0.2434,0.0355,0.023,0.8484,146.30100000000004,0.4527,0.1177,14.3445,2.63156,16.6873,16.0756,0.0008697510000000001,13.5458,15.7698,0.9209,5.57263,0.0641,0.022000000000000002,0.0408,-19.1616,15.495,0.0298,6331.0,0.0511,0.0437,0.0207,17.8567,2.92543,3.8172300000000003,1.6680700000000002,0.694429,0.587908,9.41,2.73707,1.45207,9.25,0.37191199999999996,1.84527,0.5198657999999999,9.17,0.630957,1.13991,2812060000,9.17468,1777740000,173080000,1,231128000,1777740000,ALFALFA,0,4,6302.47,-21.2978,0.0,28.4271,12.2719,0,12.0129,10.7655,0.103494,0.400902,10.7925,422,0.117558,12.2203,78.4101,12.0019,1.0,rs0127,1,1,0,1.1020299999999998,L,9.01741,1.5095299999999998,0.694429,9.25,-19.4824,1.4733399999999999,1.2768700000000002,2.26525,2.38234,0.75368,3.17424,0.230913,0.367868,,,0.3056261008278072
ECO05372,ECO05372,10,53,J094713.62+003956.1,146.8068363861889,0.6655848957431733,14.961039999999999,0.020075804,sdss,56,0.030184615,10955346000.0,231.03952026367188,249.2849578857422,26654330,266,543,51630,104.90268999999999,1.4384735,0.017074935,2031.4035980021247,310.56506856077635,4.720681,0.25911513,75.7862,2.9069342999999996,0.75761634,5274.59295810607,808.5075325290125,11.716538,0.26765257,67.83729,1.2337989999999999,3343.0498649783754,513.1331853682802,7.46658,0.20271146,90.16763,2.0944545,1844.263272065059,435.7936871416524,2.493879,0.16010506,63.17691800000001,3.288971,435.2189121128479,89.28851512857074,0.9488742,0.15079179999999998,120.85407,13.882617000000002,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1216.1004348180302,283.2291968442518,1.8257061,0.22187087,131.35733000000002,9.955772999999999,2.8865623,0.48751279999999997,-1.5929779,0.52891934,1.518494,0.6505187,-9999.0,-9999.0,2.2132254000000002,28.989193,146.80678573019145,0.6656085503757988,0.020075804,sdss,legacy,good,122,146.8068,0.66563514,ECO05372,0.0856,0.3099,0.134,0.0545,0.5634,10.7567,19.2423,0.2197,0.6654,0.0253,0.7658,146.80700000000004,0.4087,0.203,12.2161,7.82568,15.519,14.5748,-0.145557,11.3788,14.0832,0.4241,22.9731,0.0193,0.0254,0.1299,-20.518,13.6988,0.5069,5833.13,0.0465,0.0156,0.0358,17.0917,4.34973,5.38124,2.7282,0.561567,1.11475,10.41,3.76779,2.36576,10.43,0.752304,2.73628,0.50406997,10.09,1.41254,1.88103,1438350000,9.303989999999999,0,0,0,245174000,0,ALFALFA,0,2,5836.54,-20.6368,0.0,6.052569999999999,11.7079,1,11.7079,10.2145,0.0605328,0.428835,10.2755,3888,0.12189100000000001,0.0,61.8247,11.6765,1.0,rs0136,1,1,0,1.17229,L,9.35575,1.36257,0.561567,10.17,-20.6282,2.50759,2.2208900000000003,3.50483,3.81682,0.04440619999999999,4.81406,0.5717979999999999,0.9116549999999999,,,0.905206347431218
ECO07252,ECO07252,13,58,J094846.29+001618.9,147.19291707922812,0.2719261880468156,15.502771,0.020162074,sdss,64,0.019807263999999998,1175187800.0,175.2354736328125,188.44354248046875,26663830,266,638,51630,34.35051,1.1446652,0.005264673399999999,2140.554835561013,84.99088959663248,16.201849,0.34411308,48.54694,0.8507056000000001,0.76387584,7638.415044004719,298.6761655155,54.560814,0.7123669,51.44839,0.55453205,1983.6968914954714,79.59052534415608,14.201432,0.2442183,48.83736,1.0977769,2670.7744909107414,156.95385212128141,9.166908,0.1796652,50.43929,1.1341714,105.52047007335362,18.609037988137842,0.6978757,0.14557435,47.37725,8.773775,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2276.4937505583785,129.01049510363154,8.460469999999999,0.20834650000000002,55.47215300000001,1.7689636000000002,-1.4015528,0.25312564,-3.7987924,0.2338594,0.29204157,0.22283174,-9999.0,-9999.0,0.92109066,39.296196,147.19288798132382,0.27193239837385713,0.020162074,sdss,legacy,good,122,147.19292,0.27191843,ECO07252,0.0461,0.1669,0.0722,0.0294,0.3034,12.9523,17.8881,0.1183,0.2719,0.0894,0.4124,147.19299999999996,0.2201,0.0987,13.6844,4.69679,15.8131,15.2805,0.166271,12.9461,15.0745,0.5344,14.9742,0.2092,0.0263,0.0293,-19.5574,14.8588,0.0552,5860.05,0.0306,0.0721,0.0231,16.8613,2.75692,3.63741,1.49563,0.607468,0.586914,9.67,2.7286900000000003,1.27521,9.41,0.36648800000000004,1.8482,1.1054171,9.29,0.28183800000000003,0.990108,695263000,9.69272,605425000,39870800,1,64959000,643657000,GBT,0,2,5833.56,-19.8106,0.0,46.9523,11.3359,1,11.4249,9.5815,0.0912472,0.42577,9.9995,3882,0.11568900000000001,0.0,52.0108,11.4276,1.0,rs0145,1,1,0,1.16316,L,9.11998,0.7337739999999999,0.607468,9.43,-19.8639,1.37353,1.1117,2.1101400000000003,2.1544,0.47063299999999997,2.89102,0.20923200000000008,0.330822,,,0.2896754343791349
ECO07039,ECO07039,15,61,J095621.65-001505.1,149.0902116438061,-0.25142933787203897,16.243015,0.02139691,sdss,67,0.021787165,1696121700.0,115.4819564819336,94.48336029052734,26706308,267,63,51608,40.731743,1.1616735,0.01235827,1267.7787476594124,68.49413832104285,17.523632,0.4751685000000001,48.499268,1.0701663000000001,0.6947852,3998.1767423628257,213.5568243139759,53.70118299999999,0.83331853,44.8461,0.58790916,1235.0113464093608,67.60839515413203,16.639485999999998,0.35921216,44.481663,1.1237985000000001,1397.963895931058,113.41365325110145,10.107175,0.2650542,44.20845,1.3311892,112.09691985354497,14.741483817774082,1.4262975,0.21251634,37.986571999999995,8.102673,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,514.4249832552459,46.726803011681156,4.0683355,0.29126796,53.256218000000004,2.8190607999999995,-0.77940065,0.5077965,-3.4157817,0.50058687,1.4540787,0.5967644,-9999.0,-9999.0,1.2632298,22.960217999999998,149.09020965902738,-0.2514275075040246,0.02139691,sdss,legacy,good,121,149.09028,-0.25137208,ECO07039,0.0234,0.0846,0.0366,0.0149,0.1539,12.8185,19.2766,0.06,-0.2513,0.022000000000000002,0.2091,149.09,0.1116,0.1471,13.9261,3.5951199999999996,16.4447,15.8162,0.0271568,13.199000000000002,15.5102,0.7924,8.00124,0.1081,0.0212,0.0217,-19.0388,15.2306,0.0322,6219.87,0.0781,0.081,0.021,17.7625,3.56759,4.5724800000000005,2.10989,0.39450999999999997,0.8253229999999999,9.61,3.2879099999999997,1.80913,9.41,0.524567,2.28303,0.43756364,9.31,0.28183800000000003,1.27756,0,8.685319999999999,0,0,0,0,0,,0,2,6158.9,-19.8978,0.0,108.05799999999999,11.5829,0,11.4499,10.0425,0.097647,0.5124479999999999,10.0805,5230,0.0970121,0.0,63.2501,11.4657,1.0,notinresolve,1,1,0,1.05756,L,8.99183,0.372127,0.39450999999999997,9.43,-19.5578,1.70525,1.45383,2.5836099999999997,2.69864,0.46391099999999996,3.577,0.28416399999999997,0.46043599999999996,,,0.9041820684593492
ECO07037,ECO07037,22,94,J095135.32+002605.0,147.89732278141418,0.4348006617513077,15.807996,0.020633133,sdss,107,0.019689893,1781226500.0,318.25714111328125,244.04042053222656,26747408,267,474,51608,68.62,1.1235663999999999,0.008295106,845.6006901326741,32.51616969223724,21.888189999999998,0.49051085,50.054959999999994,1.2907883999999998,0.6893598000000001,2788.0293921717193,105.38554651251887,70.03307,1.0125293,48.433346,0.47382882,541.4517900795273,21.4951222963125,13.615946,0.29602408,49.611595,1.1603674,974.8354518082936,55.06481102048729,15.28991,0.30122894,49.44089500000001,1.0127115,71.75135272633774,7.232744525404822,1.721438,0.1985598,59.03906,4.4003615,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,949.016021031219,51.12402569952324,15.82065,0.35340667,50.561646,1.1918790000000001,2.3003802,0.40991637,-2.7283304,0.38045648,1.1248851999999998,0.38040748,-9999.0,-9999.0,0.45876756,26.386898,147.8971860625862,0.4347412154939357,0.020633133,sdss,legacy,good,121,147.89718,0.43473978,ECO07037,0.0283,0.1026,0.0444,0.0181,0.1866,12.9249,17.7475,0.0728,0.4348,0.0334,0.2536,147.89700000000005,0.1353,0.1966,13.8989,5.8052,15.7699,15.338,0.00600624,13.1409,15.0956,0.8009999999999999,15.0179,0.3548,0.0219,0.0433,-19.4727,14.9491,0.061,5991.74,0.0259,0.3334,0.0356,16.8003,2.67498,3.52145,1.47157,0.882783,0.543447,9.55,2.59333,1.26947,9.35,0.341351,1.7468599999999999,0.79812146,9.23,0.630957,1.069,3594690000,9.701789999999999,0,0,0,172822000,0,ALFALFA,0,1,5991.74,-19.4727,0.0,0.0,11.2549,1,11.3329,9.3525,0.0,0.49973199999999995,9.8585,5229,0.0,0.0,0.0,0.0,1.0,rs0156,1,1,0,1.1525100000000001,L,8.66657,0.451241,0.882783,9.35,-19.7627,1.35258,1.18564,2.09306,2.22181,0.7855489999999999,2.9623,0.19976,0.31640799999999997,,,1.1505566536901193
ECO07279,ECO07279,25,100,J095346.46+002939.6,148.44366568373326,0.4942710914259731,16.178836999999998,0.020761842,sdss,113,0.018467154,970481200.0,165.01583862304688,162.90432739257812,26752008,267,520,51608,17.800285000000006,1.0557199,0.021149698999999998,173.26865151695023,11.039981089468897,20.242365,1.0480571,40.019375,1.9906741000000001,0.6747818,716.5660553036117,42.464486190039324,81.75251999999998,1.7806656000000003,39.131029999999996,0.70362544,62.45017907986896,4.783329395315869,7.1236534,0.5113693,42.390029999999996,4.197210299999999,250.54757178447963,22.583629231546897,19.839174,0.65884024,34.84049,1.5515143999999998,16.788850106369477,3.418487138730567,1.8484159,0.44265914,43.503334,9.402303999999999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,742.3852109560571,61.56914734047423,62.288371999999995,1.5635058000000002,36.956505,0.8457983,4.1291947,1.0827084999999999,-2.5426931,1.0001556,4.7733917,1.094078,-9999.0,-9999.0,0.0,10.628273,148.44361242387674,0.4943366154129965,0.020761842,sdss,legacy,good,121,148.44366000000005,0.49440186,ECO07279,0.0339,0.1228,0.0531,0.0216,0.2233,0.0,18.1744,0.0871,0.4944,0.0528,0.3035,148.444,0.162,0.0,15.1958,10.0414,16.269000000000002,15.8512,0.0311356,13.9375,15.6527,0.6655,26.3883,0.6601,0.0254,0.0645,-18.9533,15.5818,0.0517,6033.14,0.0615,1.1895,0.0248,17.1937,2.35643,3.14255,1.2484899999999999,1.01329,0.404488,9.19,2.29854,1.09741,9.03,0.25340799999999997,1.51243,0.41192552,8.91,0.630957,1.07576,3345960000,9.67065,0,0,0,158493000,0,ALFALFA,0,1,6033.14,-18.9533,0.0,0.0,11.1229,1,11.2089,9.0255,0.0,0.531882,9.7565,5357,0.0,0.0,0.0,0.0,1.0,rs0168,1,1,0,1.11584,L,7.85818,0.540117,1.01329,9.01,-19.0938,1.29344,1.18192,2.00695,2.182,0.9662350000000001,2.89551,0.18720599999999998,0.293362,,,1.2906809131363342
ECO06368,ECO06368,26,101,J095211.45+010543.6,148.04775838028368,1.0954377044269703,14.445881,0.020214196,sdss,114,0.02125075,18265809000.0,241.39503479003903,231.41314697265625,26752208,267,522,51608,100.08513,1.2654315,0.007871308,2976.6240484652863,284.5880310607154,6.1067433,0.2525928,80.22594000000002,2.7167265,0.8592409,9327.665933976314,882.861994411252,18.337387,0.32266575,76.40136,1.2188145000000001,5855.0385931859155,555.1544690768565,11.570808999999999,0.22260761,84.96321,1.7508913000000002,3261.4216552364715,474.20098169750764,3.043564,0.12475642599999999,72.554214,2.673508,449.8171391945952,74.15156090478654,0.83748436,0.13731623,145.5996,22.306915,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1062.8588875705627,185.4207060048402,1.1182889999999999,0.16770774,102.83412,5.1835523,-1.7153621,0.28944376,-4.5160108,0.29459572,0.48086458,0.3209238,-9999.0,-9999.0,2.1211572,38.475857,148.04774683213242,1.095447258261039,0.020214196,sdss,legacy,good,121,148.04775,1.0954677,ECO06368,0.0313,0.1132,0.0489,0.0199,0.2058,11.0397,18.5511,0.0802,1.0953,0.0307,0.2797,148.048,0.1493,0.1066,12.1934,8.711730000000001,14.6785,13.9307,-0.0403786,11.36,13.5313,0.9264,23.794,0.028999999999999998,0.0222,0.0205,-20.8326,13.2533,0.0581,5874.76,0.0421,0.1182,0.0205,16.2413,3.90079,4.82259,2.49388,0.308739,1.0172299999999999,10.47,3.34594,2.16862,10.45,0.691973,2.42414,0.55553185,10.25,0.28183800000000003,1.8143,869085000,9.085189999999999,0,0,0,0,0,GBT,1,3,6003.24,-21.5272,0.0,167.99900000000005,12.1999,1,12.1429,10.7115,0.117408,0.456146,10.7315,4119,0.101664,0.0,101.287,12.2815,1.0,rs0159,1,1,0,1.13532,L,9.39734,0.49769399999999997,0.308739,10.37,-21.1036,2.0339099999999997,2.0816,2.90929,3.3208900000000003,0.0538419,4.196280000000002,0.527321,0.794621,,,1.014118298992507
ECO01252,ECO01252,27,114,J095345.71+004712.2,148.44049588057183,0.7867935931727141,17.661926,0.020511273,sdss,127,0.020338519,292018800.0,79.44908142089844,98.96118927001952,26757908,267,579,51608,0.0,1.1399536,0.024181034,230.55089390514732,21.9583960111833,15.606511,0.9088036,45.07407,2.420987,0.6142989000000001,792.8440245974807,73.04765719046837,51.544346000000004,1.2299503,39.499146,0.77663153,88.14648359122549,9.40201412280429,5.739946,0.45503864,35.204468,3.6395473,277.2181904186996,39.152148555506734,11.538691,0.5263749,33.198192999999996,1.7282203,38.82625228454122,6.488271780169909,2.3662412,0.40224814,72.37799,10.151109,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,618.0198601591841,80.19812438850698,27.44155,0.948658,37.27945,1.0623278999999999,1.0657727,1.0319677999999999,-2.6974782999999998,1.0540184,0.55165684,1.0667771000000001,-9999.0,-9999.0,0.6702344,10.8838,148.44049027880072,0.7867428623526086,0.020511273,sdss,legacy,good,121,148.44052,0.78675317,ECO01252,0.0235,0.0849,0.0367,0.0149,0.1544,0.0,20.105999999999998,0.0602,0.7867,0.1107,0.2099,148.441,0.11199999999999999,0.0,15.6515,4.10761,17.8962,17.4188,-0.00428391,0.0,17.1965,0.397,10.707,0.0,0.0264,0.0329,-17.3393,16.9949,0.1008,5967.71,0.0721,0.1676,0.0248,19.171,3.0036400000000003,3.8925400000000003,1.74775,0.788221,0.597387,8.79,2.74217,1.52685,8.57,0.37648400000000004,1.8532799999999998,0.096395492,8.45,0.630957,1.16628,979075000,9.13694,0,0,0,137414000,0,ALFALFA,0,2,6006.18,-18.4474,0.0,68.1862,11.0989,0,11.1029,9.0125,0.0933308,0.567466,9.5515,1155,0.09726080000000001,0.0,46.7881,11.1642,1.0,rs0167,1,1,0,1.35495,L,8.21706,0.373496,0.788221,8.59,-17.7236,1.4153799999999999,1.29288,2.18664,2.36501,0.838251,3.13626,0.216652,0.343248,,,1.8253656681890755
ECO09977,ECO09977,51,399,J101917.50+002039.9,154.8229684170224,0.3444431293708443,16.873682000000002,0.020856602,sdss,456,0.031996667,2146573300.0,87.2882308959961,97.64114379882812,27150483,271,504,51883,75.001366,1.3730668,0.02087664,2680.5265562383465,268.3042891062599,8.784772,0.35197785,92.5571,2.8959174,0.7552005999999999,8760.76194049226,874.7048951247687,27.491528000000002,0.48176238,88.25731,1.1279313999999998,4645.423407166496,464.7334293960835,14.668266000000001,0.295825,92.63138599999999,1.7243898999999998,3063.203475696596,470.5600127180685,5.261783599999999,0.24669565,86.00948000000002,4.2098975,362.19653475878675,61.3143176722596,1.1039795000000001,0.18261041,64.76032,7.558619999999999,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,814.8315343951087,155.95044223814713,1.5796751,0.28096995,94.698654,9.772212,1.3601371000000002,0.59920955,-2.8979802,0.6487807,1.006788,0.8262643,-9999.0,-9999.0,2.5182574,22.998775,154.82294512224615,0.34442760355335056,0.020856602,sdss,legacy,good,117,154.82299,0.34444255,ECO09977,0.025,0.0906,0.0392,0.0159,0.1648,12.8594,20.979,0.0643,0.3444,0.0284,0.2239,154.82299999999995,0.1195,0.0323,13.8299,2.4027700000000003,17.0582,16.122,-0.0692902,13.1149,15.6505,0.7212,6.06166,0.0281,0.0219,0.0217,-18.689,15.2706,0.1357,6069.98,0.2275,0.0457,0.0252,18.7196,4.6706199999999995,5.68541,2.97708,0.037377999999999995,1.26431,9.85,3.97264,2.5495099999999997,9.69,0.8367479999999999,2.95785,0.05194485,9.59,0.0562341,2.1633400000000003,610539000,8.93184,0,0,0,73311000,0,GBT,0,1,6069.98,-18.689,0.0,0.0,11.4509,1,11.1509,9.7945,0.0,0.46442100000000003,9.8455,7140,0.0,0.0,0.0,0.0,1.0,rs0237,1,1,0,1.0,E,9.83952,0.398483,0.037377999999999995,9.79,-18.8603,2.71104,2.54293,3.71831,4.18905,0.025640499999999997,5.19632,0.6853199999999999,1.06491,,,0.18840826659002866
ECO07337,ECO07337,55,427,J102355.85+010200.2,155.9828032019513,1.0334077693903394,17.492386,0.022675288999999998,sdss,489,0.017164686999999998,107148340.0,88.96566009521484,93.60747528076172,27241741,272,417,51941,58.851513,1.0963665,0.017184356,224.12871113743782,15.944856208283047,13.654488,0.78981644,49.334286,2.1448781,0.8375229,1228.1988298895321,78.15537742592984,73.02315,1.4330237,47.941414,0.49707326,61.63811564599585,6.403593977969807,3.6695085,0.41904189999999997,44.263435,4.1357436000000005,429.4401503110253,41.7484778999881,15.017897,0.5071763,53.389644999999994,1.6994598,27.505148193216456,5.711614449002731,1.4906421,0.37147477,44.015083000000004,13.835834,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1467.8898855475156,130.83709845791353,52.6213,1.1497051999999999,46.297484999999995,0.82004076,-1.9892824,0.7823084,-5.2291794000000005,0.7668026,2.9402215,0.8806536,-9999.0,-9999.0,0.537381,12.628943,155.98274441528497,1.0333959471145118,0.022675288999999998,sdss,legacy,good,116,155.98275,1.033383,ECO07337,0.0306,0.1109,0.048,0.0195,0.2016,0.0,19.5611,0.0786,1.0334,0.0711,0.2741,155.983,0.1462,0.0,15.6865,2.9281099999999998,17.6426,17.3935,0.0491142,0.0,17.2707,0.6071,7.33322,0.0,0.0267,0.0579,-17.6506,17.1045,0.0448,6616.89,0.0573,0.184,0.0248,18.6976,2.26308,3.0525700000000002,1.1930100000000001,3.41856,0.280706,8.51,2.14027,1.08179,8.37,0.169491,1.3507799999999999,0.11063882,8.31,3.16228,1.052,1562130000,9.339839999999999,0,0,0,189988000,0,ALFALFA,0,1,6616.89,-17.6506,0.0,0.0,10.9099,1,10.9519,8.3875,0.0,0.48031499999999994,9.3785,5394,0.0,0.0,0.0,0.0,1.0,rs0247,1,1,0,1.44096,L,8.166360000000001,0.48763500000000004,3.41856,8.37,-17.72,1.19985,1.13158,1.9389,2.11975,3.8939199999999996,2.8588,0.132101,0.21168499999999998,,,0.7150480804827539
