name,name,name.1,name.1.1,oii_3726_flux,oii_3726_flux_err,oii_3729_flux,oii_3729_flux_err,neiii_3869_flux,neiii_3869_flux_err,h_delta_flux,h_delta_flux_err,h_gamma_flux,h_gamma_flux_err,oiii_4363_flux,oiii_4363_flux_err,h_beta_flux,h_beta_flux_err,oiii_4959_flux,oiii_4959_flux_err,oiii_5007_flux,oiii_5007_flux_err,hei_5876_flux,hei_5876_flux_err,oi_6300_flux,oi_6300_flux_err,nii_6548_flux,nii_6548_flux_err,h_alpha_flux,h_alpha_flux_err,nii_6584_flux,nii_6584_flux_err,sii_6717_flux,sii_6717_flux_err,sii_6731_flux,sii_6731_flux_err,ariii7135_flux,ariii7135_flux_err,oii_flux,oii_flux_err,oiii_flux,oiii_flux_err,Flux_HeII_3203,Flux_HeII_3203_Err,Flux_OII_3726,Flux_OII_3726_Err,Flux_OII_3728,Flux_OII_3728_Err,Flux_NeIII_3868,Flux_NeIII_3868_Err,Flux_Hd_4101,Flux_Hd_4101_Err,Flux_Hg_4340,Flux_Hg_4340_Err,Flux_OIII_4363,Flux_OIII_4363_Err,Flux_HeII_4685,Flux_HeII_4685_Err,Flux_ArIV_4711,Flux_ArIV_4711_Err,Flux_Hb_4861,Flux_Hb_4861_Err,Flux_OIII_4958,Flux_OIII_4958_Err,Flux_OIII_5006,Flux_OIII_5006_Err,Flux_HeI_5875,Flux_HeI_5875_Err,Flux_OI_6300,Flux_OI_6300_Err,Flux_NII_6547,Flux_NII_6547_Err,Flux_Ha_6562,Flux_Ha_6562_Err,Flux_NII_6583,Flux_NII_6583_Err,Flux_SII_6716,Flux_SII_6716_Err,Flux_SII_6730,Flux_SII_6730_Err,name.1.1.1,exth,exti,extj,extk,extg,2kmag,nuvmag,extz,dedeg,e_zmag,extu,radeg,extr,e_2kmag,2jmag,r50,gmag,rmag,dgr,2hmag,imag,b_a,r90,e_2hmag,e_imag,e_rmag,absrmag,zmag,e_umag,cz,e_nuvmag,e_2jmag,e_gmag,umag,modelu_j,modelu_k,modelu_i,fsmgr_ave,modelg_i,logmstar_84,modelg_k,modelu_r,logmstar,modelg_r,modelg_j,sfr_nuv,logmstar_16,fsmgr_med,modelu_rcorr,mhi,logmgas,emhi_sys_corr,emhi_rand_corr,confused,emhi,mhi_corr,hitelescope,limflag,grpn,grpcz,grpabsrmag,logmh_dyn,grpsig,logmh_s,fc,logmh,grpms,grprproj,den1mpc,grpmb,grp,grprproj_stack,logmh_dyn_stack,grpsig_stack,logmh_dyn_smooth,ccb,resname,fg,fm16,fa,ccr,morphel,mu_delta,extnuv,meanfsmgre15,logmstare15,absrmagcorr,modelg_jcorr,modelu_icorr,modelg_kcorr,modelu_jcorr,meanfsmgr,modelu_kcorr,modelg_rcorr,modelg_icorr
ECO05314,ECO05314,ECO05314,ECO05314,0.0,-0.7537258000000001,0.0,-0.7537258000000001,-4.495525,6.253553,118.9649,5.23959,219.295,5.51261,0.9431778,4.6883940000000015,489.646,6.815281,58.15482,4.2396910000000005,155.39700000000005,5.030239,46.58815,4.068224,42.94317,3.392628,214.5024,2.2145040000000003,1824.845,14.73015,646.9887,6.679449000000001,329.5551,5.662969,228.0617,4.943886,14.38845,3.394172,0.0,1.065929,156.0008,5.620665,0.0,,8177.052829629657,795.7330111629763,0.0,,0.0,,365.3648185180145,40.93745530718629,559.9890752423944,53.93633171003771,230.46113301184047,155.96553109154627,13.51658041432869,17.50354806994341,31.451330528213703,32.62166634943461,1073.1439405336512,85.68581693546392,122.19190093203146,11.138755943485922,346.1929927546015,31.286399926269674,88.24693613152127,15.441232558477138,84.43710035726355,12.046210300494238,369.4266289836078,20.23396972739159,3069.1916699262424,165.20391377213593,1083.5827807682572,59.02401152650944,552.8451524957839,31.580580833104424,380.117893444432,22.52153732052668,ECO05314,0.0397,0.1438,0.0622,0.0253,0.2615,11.7172,16.8049,0.102,1.1166,0.0215,0.3554,144.14700000000005,0.1896,0.0569,12.7613,8.14958,14.6488,14.2093,-0.104103,12.0231,13.9727,0.6723,25.8516,0.1451,0.0369,0.0219,-20.152,13.7693,0.0273,4734.23,0.0217,0.0579,0.0206,15.6794,2.68551,3.5428900000000003,1.47846,1.59185,0.517092,9.75,2.5815200000000003,1.28162,9.59,0.320259,1.72415,1.615611,9.47,1.41254,1.03993,2902880000,9.60896,0,0,0,152783000,0,ALFALFA,0,2,4717.91,-20.2412,0.0,28.9179,11.3459,1,11.5559,9.5875,0.0488782,0.373778,10.0295,4058,0.0984123,0.0,75.5931,11.6827,1.0,rs0096,1,1,0,1.23007,L,8.942730000000003,0.6322979999999999,1.59185,9.55,-20.4802,1.31819,1.14909,2.05505,2.17477,1.01265,2.91162,0.183359,0.29251900000000003
ECO03774,ECO03774,ECO03774,ECO03774,0.0,-0.7752492,0.0,-0.7752492,119.7135,5.930341,14.44369,3.762032,34.06691,3.244886,16.526,4.433228,88.41498,3.601065,226.8149,5.663805,664.834,8.003002,6.460504,3.454414,87.57465,4.89325,176.016,2.276967,406.5879,6.166425,530.9048,6.867850999999999,117.4129,5.19872,118.3234,5.67009,33.69611,5.092033,0.0,1.096368,668.465,8.147532,0.0,,2838.2810487427705,1268.5057981058449,474.37740977864655,141.89575315052787,276.9275131579687,64.19226786426141,132.50939927622778,38.36305586010767,63.358285725971044,16.00997401288472,123.87826151014069,53.15851085992802,20.921372620343014,12.359843905818124,0.0,,261.52259493100325,46.99428606060903,480.5569644747047,80.37238784939842,1371.6566341034681,226.4612349656929,56.22349776129782,21.963593876947844,165.09005936342166,25.49823392449151,312.8528376460014,37.289669455431344,747.9546215026693,88.96972012144428,919.8588677282999,109.00470613460648,161.93914582431557,22.618477973662454,161.45207137995916,22.545885003425138,ECO03774,0.0055,0.0198,0.0086,0.0035,0.036000000000000004,11.4217,17.6386,0.014,26.8989,0.0617,0.0489,194.213,0.0261,0.2271,12.1593,6.83987,14.8925,14.2836,-0.0515423,11.7908,13.9562,0.8436,21.634,0.1618,0.021,0.0223,-20.486,13.7148,0.0424,6220.15,0.4693,0.4428,0.0211,16.2723,3.61577,4.5428,2.23581,0.253599,0.8740120000000001,10.29,3.18101,1.93782,10.11,0.5760270000000001,2.25398,1.0905458,9.95,0.28183800000000003,1.4485,805759000,9.05233,0,0,0,0,0,ALFALFA,1,2,6338.03,-22.1631,0.0,208.946,12.5259,0,12.5439,10.9425,0.0985578,2.72612,10.9575,3008,0.138536,0.0,82.78200000000002,12.4501,1.0,notinresolve,0,1,1,1.19136,L,9.41556,0.0870247,0.253599,10.11,-20.9407,1.7794,1.64542,2.63561,2.87713,0.230452,3.73334,0.350771,0.547693
ECO07518,ECO07518,ECO07518,ECO07518,0.0,-0.7329121999999999,0.0,-0.7329121999999999,48.59278,5.238962,80.11058,3.902219,129.6145,3.981313,4.044073,3.2303330000000003,292.9961,4.8402080000000005,212.2212,4.500299,634.6597,8.028780000000001,34.05211,2.440058,23.03912,2.074427,39.18158,0.8730539,921.9489,9.004325,118.1807,2.6333290000000003,161.8036,3.241002,115.4201,2.952249,25.79941,2.307986,0.0,1.036494,634.7238,8.030187,0.0,,0.0,,589305.6161527061,110157065.48712382,86.76485581654543,19.92307877375153,131.4002144918124,19.340790332774247,180.16486292712332,24.131032263055957,0.0,,8.054487883086688,8.211134445696777,0.0,,381.0950922212629,42.61642436887501,277.0507845155644,30.263536816763956,790.6705742019337,85.34503725763543,39.71798803968129,6.222398208551785,28.195118763161986,4.559403276204836,48.51151012717577,4.0560237042585126,1089.931963752812,82.8975536460475,142.6280555729321,11.869774048665697,191.32328430592267,15.692766128247655,137.33334445023684,11.35146881779479,ECO07518,0.0269,0.0974,0.0421,0.0171,0.1771,14.0478,19.1259,0.0691,3.0191,0.0252,0.2407,163.137,0.1285,0.1403,14.9922,3.4890800000000004,16.8259,16.3714,0.105391,14.6618,16.1227,0.6759999999999999,9.23914,0.1596,0.0247,0.0219,-18.2375,15.9604,0.1454,5560.25,0.0391,0.2003,0.023,17.9554,2.81976,3.65055,1.63662,0.554541,0.56214,9.11,2.57607,1.4339,8.99,0.359421,1.74528,0.13119984,8.77,0.28183800000000003,1.31944,1178770000,9.21756,0,0,0,120587000,0,GBT,0,1,5560.25,-18.2375,0.0,0.0,11.0869,1,11.0649,8.9435,0.0,0.452441,9.3975,5518,0.0,0.0,0.0,0.0,1.0,rs0344,1,1,0,1.13379,E,8.773769999999999,0.428308,0.554541,8.93,-18.4138,1.48684,1.47333,2.22072,2.51863,0.327345,3.25251,0.287649,0.441545
ECO10428,ECO10428,ECO10428,ECO10428,0.0,-0.7893201999999999,0.0,-0.7893201999999999,59.29313000000001,6.764183,327.1591,7.1086160000000005,617.0174,9.051203,6.030757,5.0642510000000005,1381.283,14.542929999999998,336.5246,7.483124,990.168,13.11082,169.4939,5.123126999999998,84.5816,4.683353,494.4407,4.2424019999999985,5062.698,40.63926,1491.3470000000002,12.79605,762.5175,10.17104,576.4896,9.092096000000002,84.5138,5.161944,0.0,1.116267,989.3937,13.11009,0.0,,2205.4677327034547,414.61673355052363,5849.036821821775,667.0141346071697,226.79036578623112,44.307316052106,874.5069072537107,91.7316037368762,1573.231579062062,155.41601390786516,0.0,,59.52443354423399,27.731046457746718,36.38362044492667,36.28504222716387,3122.324908677223,268.4122505404197,752.9779496726544,63.07959922978909,2135.4762407852504,176.73927116293706,318.5236652764836,25.82089624488155,150.17374091116847,17.351417278481236,884.6516598843697,53.160072447115745,8929.849238816856,532.3197847338915,2595.6613372191828,155.1393043791239,1323.3060621411564,79.1621334200525,1001.0422988638264,61.757349486407165,ECO10428,0.0191,0.0693,0.03,0.0122,0.126,12.9822,17.6185,0.0491,14.534,0.0216,0.1713,160.227,0.0914,0.0733,13.8947,2.53786,15.7084,15.3056,-0.0571918,13.1689,15.1306,0.9066,6.06438,0.0763,0.0209,0.0206,-19.4984,14.9529,0.0338,6132.18,0.2892,0.047,0.0208,16.5588,2.55112,3.40649,1.35337,2.13035,0.490257,9.41,2.54337,1.16467,9.25,0.301552,1.6880099999999998,2.0298411,9.19,1.41254,0.714434,1811110000,9.40407,0,0,0,108667000,0,ALFALFA,0,1,6132.18,-19.4984,0.0,0.0,11.2129,1,11.3399,9.2575,0.0,0.7299,9.6375,7425,0.0,0.0,0.0,0.0,1.0,notinresolve,0,1,1,1.16042,L,9.19422,0.30472,2.13035,9.25,-20.0313,1.1131799999999998,0.775591,1.82287,1.7412,2.13064,2.45089,0.08641239999999999,0.14757
ECO04176,ECO04176,ECO04176,ECO04176,10900000000.0,7910000000.0,-1870199.0,1215034.0,19.54279,8.05211,161.4984,6.79972,313.4582,7.504973,5.732904,5.916164,837.762,10.56964,35.66133,5.469256,120.1959,6.163938,74.63264000000002,5.219851,60.50966,5.517265,644.6993,5.351357,4310.271,32.46495,1944.562,16.14091,476.7454,9.393038,459.8679,8.957836,4.800216000000002,5.462857,333.9311,691.9642,136.7672,7.899665,0.0,,5346.463452505071,7390.061568928358,1735.3899644968644,11674.765147621698,1321.7375038010632,313.20296294538946,1944.9823490632,259.80312396174287,2948.6650876347935,350.661672548679,39.08334647999528,113.11538236331813,0.0,,0.0,,5402.161775053687,547.2183328728879,271.86202572588707,33.53495221155975,768.3986711513345,94.06078997373653,336.3944162070645,44.64769967327308,237.5759495934061,42.63582471285328,2395.7019514536105,167.63231499738816,15450.182676653545,1069.3645940022848,7021.499140668269,488.63161061129114,1677.566900505006,119.72216814265745,1604.835538928099,116.14365016962275,ECO04176,0.015,0.0543,0.0235,0.0096,0.0988,10.6044,16.6758,0.0385,4.13,0.0376,0.1342,203.664,0.0716,0.7813,12.0655,11.4851,14.3351,13.7823,-0.0888748,11.3038,13.4915,0.8464,24.8289,0.2565,0.0229,0.0212,-21.1914,13.2605,0.0687,6813.08,0.0177,0.0702,0.0204,15.497,3.36106,4.3425,1.92625,0.4210930000000001,0.7785989999999999,10.49,3.19485,1.63601,10.25,0.488363,2.21342,4.7615426,10.13,0.28183800000000003,1.1236,5733370000,9.90454,0,0,0,201564000,0,ALFALFA,0,2,6805.03,-21.2407,0.0,14.2688,11.7839,1,11.9839,10.3045,0.0995207,1.88308,10.4895,3254,0.114319,0.0,80.5175,12.0015,1.0,rs1102,1,1,1,1.08493,L,8.73493,0.238806,0.4210930000000001,10.29,-21.7745,1.52695,1.2719,2.33311,2.40967,0.532938,3.21584,0.240877,0.389177
ECO09960,ECO09960,ECO09960,ECO09960,584.3317,28.76482,544.5612,13.36945,102.186,5.942528,102.891,3.819291,180.6729,4.223339,9.72037,2.939639,391.1898,5.994847,421.6249,6.041852,1268.91,12.78653,49.17022,2.530198,23.30013,1.926927,26.96187,0.7345451,1191.867,9.844072,81.32323000000002,2.215555,129.5803,2.9551380000000003,100.7542,2.851711,23.83103,2.163042,1145.979,65.64769,1272.023,12.8293,0.0,,559.9600617962236,78.17010302365578,812.0478011740215,84.47072294035308,135.72268062889825,16.400451432551797,129.1848631074424,11.920201176917931,218.83937753916652,18.008917290079005,0.0,,9.51888418781257,8.250819507543994,0.0,,451.6300221783841,30.525545431362705,493.4433882774069,31.24291592587152,1406.971856670827,87.95115549704234,51.79247725662078,5.3424330633254655,26.532058231874,3.6894569247647904,31.30015460864085,1.9023821433106727,1291.6618634301783,58.087558308626846,91.99842166869604,5.573878456453828,148.0355804000128,8.05400873115215,112.0289620047094,6.49287867951429,ECO09960,0.0064,0.0232,0.01,0.0041,0.0422,0.0,18.3945,0.0164,42.9693,0.0281,0.0573,166.463,0.0306,0.0,15.7812,1.8817,17.3431,17.1576,0.0065155000000000005,0.0,17.0678,0.8190000000000001,4.2892800000000015,0.0,0.0327,0.0289,-17.7021,16.9529,0.0297,6470.2,0.08199999999999999,0.2654,0.0246,17.9956,1.98157,2.76255,0.91843,3.9578,0.25085100000000005,8.47,2.09497,0.812059,8.35,0.14448,1.31399,0.32937154,8.31,3.16228,0.632359,0,9.28754,0,0,0,0,0,,0,1,6470.2,-17.7021,0.0,0.0,10.9069,1,10.9609,8.3555,0.0,0.535759,9.3415,7128,0.0,0.0,0.0,0.0,1.0,notinresolve,0,1,0,1.43409,L,8.4631,0.101979,3.9578,8.35,-17.9218,1.07295,0.6850930000000001,1.79049,1.64823,3.95738,2.36576,0.05708310000000001,0.109818
ECO06250,ECO06250,ECO06250,ECO06250,0.0,-0.7990311,0.0,-0.7990311,26.888890000000004,19.53556,78.90117,3.121229,139.9367,3.3883,0.5485138,2.714898,254.9933,4.239593,208.4887,4.073348,616.3115,7.650137,28.22038,2.189344,16.078,1.848271,25.91404,0.7033338000000001,653.0706,6.901317,78.16273000000002,2.1214150000000003,97.48576,2.440229,76.10934,2.9619020000000003,24.47666,9.710095,0.0,1.130001,616.6684,7.651336,0.0,,79.95121888675754,36.3493966323353,0.0,,40.1246084650528,13.453015112790126,53.68759067125974,11.926020667065707,91.6904501477887,18.932059877260787,0.0,,0.0,,0.0,,175.8987291625698,31.7665953660493,144.51994662825442,25.228925989030024,415.595990242801,71.66279058302416,19.69291698619972,3.5321794636107646,11.55960009104029,2.4283660261442055,20.745527223724718,2.702710114895891,503.07036540494954,62.876491590978176,61.14465178246683,7.92574975557985,76.24559624391577,9.463721078170252,60.91400218450794,8.25624095373988,ECO06250,0.0154,0.0556,0.024,0.0098,0.1011,14.3146,17.8295,0.0394,2.5647,0.0266,0.1374,198.636,0.0733,0.2188,14.744000000000002,3.65599,16.304000000000002,16.0501,-0.0488873,14.2715,15.9193,0.8464,7.4500899999999985,0.0987,0.0217,0.0211,-18.6372,15.8049,0.0293,5892.85,0.0293,0.1859,0.027000000000000003,17.1834,2.2592,3.05426,1.1647299999999998,2.95288,0.312931,8.95,2.20247,1.03985,8.75,0.188051,1.4074,0.38660632,8.73,3.16228,0.945547,1171330000,9.21481,0,0,0,133866000,0,ALFALFA,0,1,5892.85,-18.6372,0.0,0.0,11.0309,1,11.1409,8.7995,0.0,0.547419,9.3545,4703,0.0,0.0,0.0,0.0,1.0,rs0983,1,1,0,1.16289,L,8.29363,0.244473,2.95288,8.79,-18.7817,1.16674,1.02092,1.87389,1.98986,3.2987900000000003,2.69701,0.122423,0.197794
ECO07019,ECO07019,ECO07019,ECO07019,0.0,-0.7766489999999999,0.0,-0.7766489999999999,319.7913,7.149661,181.6185,4.670003,322.5778,5.5551900000000005,64.78246,3.080584,726.2807,7.744757000000001,1509.604,14.77977,4670.487,32.90457,84.06978000000002,2.626039,20.79179,1.576817,18.726,0.5641187,2258.928,17.89162,56.48195,1.70151,103.7539,2.424841,79.67132,2.436007,60.25691,2.48493,0.0,1.098348,4682.676,33.08638,0.0,,1746.8500886475426,101.88087136364575,180828761.5022259,10541349.596082358,503.3039396783254,32.56433890447824,266.13684555504506,17.477781652777544,453.382593554391,26.002515232011977,87.05071130039306,8.52130200277264,5.712159275765529,5.6725805614179965,11.969989441016828,4.095069475974482,959.1628962488677,45.73006351506775,2073.997139571451,93.24963465192586,5903.6384956037355,262.0525190742036,98.67820309021776,5.991494613225259,25.571771778401146,3.033727345680815,24.262173965725736,1.339643390705215,2743.205883271761,89.2109238153238,71.27295548469655,3.9277495131557467,130.90842706370836,6.302192444077289,97.464237526366,5.003164121912982,ECO07019,0.0054,0.0196,0.0085,0.0035,0.0357,0.0,0.0863,0.0139,45.0334,0.0616,0.0485,232.788,0.0259,0.0,15.4396,4.587,16.9362,16.7952,0.21630500000000005,14.4548,16.6824,0.6242,15.0353,0.2771,0.0262,0.0503,-18.0704,16.7338,0.04,6501.77,0.0,0.5092,0.0227,17.820999999999994,2.00163,2.73555,1.00831,4.97043,0.197109,8.55,1.92435,0.931517,8.45,0.120314,1.19042,0.23259688,8.41,7.079460000000001,0.8847940000000001,0,9.4759,0,0,0,0,0,,0,1,6501.77,-18.0704,0.0,0.0,10.9219,1,11.0319,8.4695,0.0,0.278138,9.5235,5216,0.0,0.0,0.0,0.0,1.0,notinresolve,0,1,0,1.34542,L,8.091460000000001,0.0863342,4.97043,8.45,-18.1208,1.12807,0.947653,1.84543,1.91508,4.96466,2.6324400000000003,0.097784,0.160643
ECO06341,ECO06341,ECO06341,ECO06341,0.0,-0.7693022,0.0,-0.7693022,20.88363,5.573578,34.06027,3.662372,70.08418,3.649268,2.440039,3.3673620000000004,182.8992,4.4369809999999985,38.74021,3.347128,116.777,4.087094,31.16683,3.604987,34.272040000000004,2.988715,120.4624,1.6995169999999995,1036.714,10.00794,363.3423,5.126131,209.9909,5.014567,159.5541,4.400489,11.66177,3.274626,0.0,1.087958,118.3186,4.465244,0.0,,1913.8086915108959,1524.2423474178577,3708.6914394102787,1409.7421409305173,673.4335721156999,261.6905844309458,693.3946625138724,163.34705656039966,1051.1786448016405,214.3689870590192,0.0,,0.0,,0.0,,1627.3912216008139,282.2796127791023,328.5034603415042,56.928642679331496,933.3857512321329,159.93474505516122,179.7413955999638,46.18902627206965,177.21756608141106,33.2772246279433,560.7847799866364,66.80158515382615,4654.338893778327,542.5362737005745,1646.3969648365928,195.05138341825514,910.5853721319379,108.10350590470408,699.2890847648366,84.56170758453031,ECO06341,0.0149,0.0538,0.0233,0.0095,0.0979,12.9786,0.2368,0.0382,14.1832,0.0307,0.1331,203.079,0.071,0.09,14.0781,2.94375,16.93,16.2225,-0.096241,13.3937,15.8533,0.6174,8.26348,0.0969,0.022,0.0207,-18.8076,15.5269,0.0764,6869.43,0.0,0.0554,0.0441,18.1551,3.86878,4.90278,2.22978,0.07174680000000001,0.996653,9.81,3.66965,1.8593,9.67,0.626169,2.63565,0.36275144,9.51,0.0562341,1.36883,1226680000,8.5939,0,0,0,0,0,ALFALFA,1,1,6869.43,-18.8076,0.0,0.0,11.3959,1,11.1769,9.6805,0.0,1.6363,9.7085,4774,0.0,0.0,0.0,0.0,1.0,notinresolve,0,1,1,1.02021,E,9.52661,0.236773,0.07174680000000001,9.67,-19.1089,2.22907,1.6538099999999998,3.20569,3.17124,0.0727462,4.14786,0.426661,0.711637
ECO06592,ECO06592,ECO06592,ECO06592,0.0,-0.7242841999999999,0.0,-0.7242841999999999,36.90987,6.402696,182.6358,5.579093,347.2497,6.791481,6.9775649999999985,4.293826,754.4079,9.281149,120.3741,4.788295,360.2477,7.0911740000000005,86.25912,3.685581,66.38268000000001,3.651841000000001,297.3133,3.001372,2951.022,22.69117,896.7654,9.052821,548.0019,7.910667,407.4538,6.4972910000000015,40.47786,3.537964,0.0,1.024293,364.0095,7.308167,0.0,,18671.0684210425,2233.7842383876186,1211.3473210570344,464.07962062287737,69.43996329036544,34.0234663134374,751.2498998700546,94.74434565425402,1142.4205466744256,129.58983597842814,33.61100718502399,21.834376041109234,11.20267978592261,48.3783336160751,34.82549411382752,33.64753426664669,1991.9825749323077,193.60420884448482,323.2524218907028,31.83030008317063,913.7420902328923,88.96995652006129,150.35018410711527,16.52432016025405,134.28901667371292,17.081076580174777,583.0779834176132,39.651101497491126,5697.0701643064,385.0965701784538,1708.983694779892,115.59179049293897,1041.0067702778913,68.52779362393892,774.4011837209048,53.56153957224455,ECO06592,0.0099,0.0358,0.0155,0.0063,0.0651,13.5746,0.1574,0.0254,38.6811,0.0564,0.0885,233.973,0.0472,0.2011,14.3767,4.18647,15.8453,15.6141,0.036298800000000006,14.2084,15.4893,0.6809,13.6059,0.2719,0.0252,0.0207,-19.0053,15.3759,0.0345,5748.25,0.0,0.0558,0.0223,16.6175,2.07127,2.83243,1.01692,2.18898,0.291517,9.11,2.10703,0.901928,8.91,0.176525,1.34586,1.0147601000000002,8.83,3.16228,0.701448,0,9.85868,0,0,0,0,0,,0,2,5741.21,-20.8614,0.0,12.4781,11.5469,0,11.8049,9.9815,0.00443896,0.41142,10.5215,3812,0.0830061,0.0,59.1417,11.7069,1.0,notinresolve,0,1,0,1.12876,L,8.73132,0.15743,2.18898,8.91,-19.2494,1.08132,0.7575109999999999,1.77433,1.7034200000000002,2.18898,2.39643,0.07934760000000002,0.13541
