name,name,oii_3726_flux,oii_3726_flux_err,oii_3729_flux,oii_3729_flux_err,neiii_3869_flux,neiii_3869_flux_err,h_delta_flux,h_delta_flux_err,h_gamma_flux,h_gamma_flux_err,oiii_4363_flux,oiii_4363_flux_err,h_beta_flux,h_beta_flux_err,oiii_4959_flux,oiii_4959_flux_err,oiii_5007_flux,oiii_5007_flux_err,hei_5876_flux,hei_5876_flux_err,oi_6300_flux,oi_6300_flux_err,nii_6548_flux,nii_6548_flux_err,h_alpha_flux,h_alpha_flux_err,nii_6584_flux,nii_6584_flux_err,sii_6717_flux,sii_6717_flux_err,sii_6731_flux,sii_6731_flux_err,ariii7135_flux,ariii7135_flux_err,oii_flux,oii_flux_err,oiii_flux,oiii_flux_err,Flux_HeII_3203,Flux_HeII_3203_Err,Flux_OII_3726,Flux_OII_3726_Err,Flux_OII_3728,Flux_OII_3728_Err,Flux_NeIII_3868,Flux_NeIII_3868_Err,Flux_Hd_4101,Flux_Hd_4101_Err,Flux_Hg_4340,Flux_Hg_4340_Err,Flux_OIII_4363,Flux_OIII_4363_Err,Flux_HeII_4685,Flux_HeII_4685_Err,Flux_ArIV_4711,Flux_ArIV_4711_Err,Flux_Hb_4861,Flux_Hb_4861_Err,Flux_OIII_4958,Flux_OIII_4958_Err,Flux_OIII_5006,Flux_OIII_5006_Err,Flux_HeI_5875,Flux_HeI_5875_Err,Flux_OI_6300,Flux_OI_6300_Err,Flux_NII_6547,Flux_NII_6547_Err,Flux_Ha_6562,Flux_Ha_6562_Err,Flux_NII_6583,Flux_NII_6583_Err,Flux_SII_6716,Flux_SII_6716_Err,Flux_SII_6730,Flux_SII_6730_Err,name.1,exth,exti,extj,extk,extg,2kmag,nuvmag,extz,dedeg,e_zmag,extu,radeg,extr,e_2kmag,2jmag,r50,gmag,rmag,dgr,2hmag,imag,b_a,r90,e_2hmag,e_imag,e_rmag,absrmag,zmag,e_umag,cz,e_nuvmag,e_2jmag,e_gmag,umag,modelu_j,modelu_k,modelu_i,fsmgr_ave,modelg_i,logmstar_84,modelg_k,modelu_r,logmstar,modelg_r,modelg_j,sfr_nuv,logmstar_16,fsmgr_med,modelu_rcorr,mhi,logmgas,emhi_sys_corr,emhi_rand_corr,confused,emhi,mhi_corr,hitelescope,limflag,grpn,grpcz,grpabsrmag,logmh_dyn,grpsig,logmh_s,fc,logmh,grpms,grprproj,den1mpc,grpmb,grp,grprproj_stack,logmh_dyn_stack,grpsig_stack,logmh_dyn_smooth,ccb,resname,fg,fm16,fa,ccr,morphel,mu_delta,extnuv,meanfsmgre15,logmstare15,absrmagcorr,modelg_jcorr,modelu_icorr,modelg_kcorr,modelu_jcorr,meanfsmgr,modelu_kcorr,modelg_rcorr,modelg_icorr
ECO05314,ECO05314,0.0,-0.7537258000000001,0.0,-0.7537258000000001,-4.495525,6.253553,118.9649,5.23959,219.295,5.51261,0.9431778,4.6883940000000015,489.646,6.815281,58.15482,4.2396910000000005,155.39700000000005,5.030239,46.58815,4.068224,42.94317,3.392628,214.5024,2.2145040000000003,1824.845,14.73015,646.9887,6.679449000000001,329.5551,5.662969,228.0617,4.943886,14.38845,3.394172,0.0,1.065929,156.0008,5.620665,0.0,0.0,4651.378,0.0,0.0,0.0,0.0,0.0,220.8003,14.62904,350.4455,14.95687,144.7385,97.15946,8.959264,11.57995,20.9432,21.65908,733.9817,17.65728,85.0258,4.507691,242.9309,12.87912,70.021,11.53285,69.66879,9.183213,310.7887,5.008266000000001,2584.976,33.78242,914.0844,14.7302,471.0557,12.2293,324.2462,9.911639,ECO05314,0.0397,0.1438,0.0622,0.0253,0.2615,11.7172,16.8049,0.102,1.1166,0.0215,0.3554,144.14700000000005,0.1896,0.0569,12.7613,8.14958,14.6488,14.2093,-0.104103,12.0231,13.9727,0.6723,25.8516,0.1451,0.0369,0.0219,-20.152,13.7693,0.0273,4734.23,0.0217,0.0579,0.0206,15.6794,2.68551,3.5428900000000003,1.47846,1.59185,0.517092,9.75,2.5815200000000003,1.28162,9.59,0.320259,1.72415,1.615611,9.47,1.41254,1.03993,2902880000,9.60896,0,0,0,152783000,0,ALFALFA,0,2,4717.91,-20.2412,0.0,28.9179,11.3459,1,11.5559,9.5875,0.0488782,0.373778,10.0295,4058,0.0984123,0.0,75.5931,11.6827,1.0,rs0096,1,1,0,1.23007,L,8.942730000000003,0.6322979999999999,1.59185,9.55,-20.4802,1.31819,1.14909,2.05505,2.17477,1.01265,2.91162,0.183359,0.29251900000000003
ECO03910,ECO03910,0.0,-0.7789843000000001,0.0,-0.7789843000000001,-0.424007,2.279301,12.99564,1.861137,28.26833,1.699168,1.255683,1.580176,68.63573000000001,1.698234,16.498739999999998,1.385234,42.54885,1.628248,7.9790199999999984,1.43383,5.94961,1.104818,19.73382,0.4278995,238.5811,2.180148,59.52177,1.290642,57.49709,1.653982,38.21273,1.311146,4.432139,1.368629,0.0,1.10165,41.38058,1.731035,0.0,0.0,950.2281,3997.783,0.0,0.0,9.686834,11.46939,29.20688,4.2131690000000015,56.52136,4.5295830000000015,0.0,0.0,14.14579,0.0,0.0,0.0,110.924,3.929433,21.83047,1.016088,62.37276,2.903108,11.39675,3.579536,11.58801,3.388111,28.53693,0.9520937,335.3644,5.527359,83.93214,2.800275,77.67509,3.666227,53.56256,3.169014,ECO03910,0.0254,0.0919,0.0397,0.0162,0.16699999999999998,13.0607,17.4623,0.0651,2.6014,0.0231,0.227,140.806,0.1211,0.2011,13.5426,15.9349,15.4096,14.9708,-0.08998110000000001,12.8832,14.7447,0.3581,34.401,0.106,0.023,0.0214,-19.4011,14.5948,0.0914,4843.24,0.0189,0.1999,0.0216,16.4558,2.66071,3.46171,1.51446,0.533193,0.519699,9.53,2.46695,1.32733,9.41,0.332575,1.66595,0.4335884,9.19,0.28183800000000003,1.25496,4034860000,9.75196,0,0,0,124323000,0,ALFALFA,0,2,4921.96,-20.3954,0.0,139.536,11.4609,0,11.6139,9.8465,0.07290319999999999,0.453236,10.1705,3072,0.0786688,0.0,50.5681,11.5213,1.0,rs0052,1,1,0,1.14186,L,7.805510000000001,0.403923,0.533193,9.35,-19.4679,1.50191,1.41021,2.2296,2.46733,0.250999,3.19502,0.289536,0.44479
ECO05144,ECO05144,0.0,-0.7827404,0.0,-0.7827404,-4.116242,4.660321,11.26738,2.846305,12.19971,2.501601,-4.698856,2.741949,41.78519,2.6388,4.04589,2.316219,14.38156,2.400409,3.100556,2.399508,11.0497,2.019841,24.07008,0.8619189,176.40099999999995,3.267481,72.60091,2.599744,33.615520000000004,2.448857,24.21479,2.442699,-3.407654,2.29558,0.0,1.106962,13.184079999999998,2.139697,0.0,0.0,126.8222,126.1982,69.37995,60.63395,0.0,0.0,56.21004,17.49344,48.80984,10.64948,0.0,0.0,12.01564,30.68887,0.0,0.0,138.4855,12.74784,12.74074,3.02426,36.40213,8.640742,33.72731,17.4984,21.29193,5.83518,53.63557,3.125937,375.4667,10.80044,157.7517,9.193932,65.79099000000001,8.659884,45.06659000000001,7.234132000000002,ECO05144,0.013,0.0469,0.0203,0.0083,0.0854,12.685,0.2064,0.0333,11.6558,0.0217,0.116,179.325,0.0619,0.2192,13.6013,5.7678699999999985,16.1466,15.4945,-0.0439987,12.7885,15.1513,0.5177,13.2325,0.1457,0.0303,0.0245,-19.333,14.8503,0.0331,6283.73,0.0,0.3249,0.0323,17.5534,3.72857,4.65603,2.31953,0.234943,0.929901,9.87,3.2664,2.0082,9.75,0.618572,2.33895,0.33664833,9.53,0.125893,1.51183,3461170000,9.68535,0,0,0,171157000,0,ALFALFA,0,1,6283.73,-19.333,0.0,0.0,11.4009,1,11.2969,9.7085,0.0,1.18341,9.9915,3927,0.0,0.0,0.0,0.0,1.0,notinresolve,0,1,1,1.08136,L,8.86173,0.206417,0.234943,9.69,-19.7248,1.93516,1.73836,2.82461,3.05033,0.130119,3.93977,0.396664,0.623199
ECO11517,ECO11517,104.0429,11.36728,73.37867,5.292339,14.46051,2.749686,16.63674,2.358109,22.19405,2.340423,-0.35111659999999995,2.292277,49.7832,2.507015,39.22425,2.591919,113.8006,3.373108,4.588576,2.320771,13.1585,2.272565,18.21897,0.8644533999999999,189.9089,3.755629,54.95261,2.6073880000000003,42.11397,2.943695,31.09331,2.570391,2.085003,2.397964,178.8256,44.87682,114.7616,3.485234,0.0,0.0,224.2511,200.8294,264.0966,202.9083,32.58011,13.10835,55.51193000000001,11.63456,66.4966,10.50839,0.0,0.0,8.683274,10.27771,0.0,0.0,141.3344,10.84897,90.49405,3.903323,258.5544,11.15235,21.84384,10.01561,22.48653,5.708985,37.29404,2.7856970000000003,380.3276,12.3958,109.6884,8.193227,69.02973,8.488996,49.99937,6.512258,ECO11517,0.0177,0.0641,0.0277,0.0113,0.1166,14.2314,0.2819,0.0455,13.1482,0.0224,0.1584,178.49599999999995,0.0845,0.3053,14.9452,2.0775200000000003,17.5198,16.8156,-0.102989,14.1573,16.4645,0.7258,5.13668,0.2551,0.0218,0.021,-18.173,16.212,0.1079,6697.63,0.0,0.2055,0.0247,18.8675,3.67031,4.51353,2.38155,0.25355500000000003,0.969444,9.35,3.10143,2.07986,9.25,0.6677569999999999,2.2582,0.026250142,9.07,0.28183800000000003,1.86241,980596000,8.45803,0,0,0,0,0,ALFALFA,1,1,6697.63,-18.173,0.0,0.0,11.2149,1,11.0499,9.2655,0.0,1.14013,9.3045,8137,0.0,0.0,0.0,0.0,1.0,notinresolve,0,1,1,1.05957,E,9.32247,0.281881,0.25355500000000003,9.25,-18.3404,2.08773,2.13161,2.9314,3.3865,0.0220463,4.23016,0.563641,0.8328399999999999
ECO09709,ECO09709,0.0,-0.7803251,0.0,-0.7803251,6.952762,3.35727,6.017885,3.103361,19.03444,2.69633,-0.9843459,2.679142,52.68312,2.597611,8.16699,2.255833,29.33108,2.55003,4.73826,2.1088560000000003,8.881547,1.774612,30.08186,0.7463226,270.465,3.630136,90.73383,2.2510790000000003,67.25155,2.37945,45.0043,2.037861,0.9046951,1.704128,0.0,1.103546,28.11825,2.747636,0.0,0.0,1361.858,2046.45,0.0,0.0,50.53905,205.1022,94.20764,46.20969,169.6429,41.53564,0.0,0.0,0.0,0.0,0.0,0.0,291.2582,28.18204,48.16487,6.185886,137.6139,17.67396,4.831364,8.042127,27.84738,9.985281,107.6621,4.3928650000000005,932.4445,23.16016,316.6533,12.92019,226.3172,13.54743,156.3824,11.46256,ECO09709,0.01,0.0361,0.0156,0.0063,0.0656,12.8558,0.1586,0.0256,43.2007,0.0377,0.0891,143.171,0.0476,0.332,14.4186,4.62831,17.0814,16.3862,-0.0912037,13.5347,15.9992,0.552,12.1058,0.0552,0.0229,0.0251,-18.0605,15.6288,0.159,5307.89,0.0,0.0991,0.0287,18.4133,4.19663,5.245419999999998,2.59435,0.287377,1.04918,9.47,3.70025,2.23282,9.33,0.687645,2.65145,0.08688668599999999,9.09,0.28183800000000003,1.62853,0,7.875839999999998,0,0,0,0,0,,0,1,5307.89,-18.0605,0.0,0.0,11.2039,1,11.0299,9.2495,0.0,0.441907,9.2695,6942,0.0,0.0,0.0,0.0,1.0,notinresolve,0,1,0,1.07522,L,8.858130000000003,0.158623,0.287377,9.23,-18.5041,2.15476,1.8893,3.12397,3.34399,0.142703,4.3132,0.439302,0.700064
ECO03774,ECO03774,0.0,-0.7752492,0.0,-0.7752492,119.7135,5.930341,14.44369,3.762032,34.06691,3.244886,16.526,4.433228,88.41498,3.601065,226.8149,5.663805,664.834,8.003002,6.460504,3.454414,87.57465,4.89325,176.016,2.276967,406.5879,6.166425,530.9048,6.867850999999999,117.4129,5.19872,118.3234,5.67009,33.69611,5.092033,0.0,1.096368,668.465,8.147532,0.0,0.0,3312.973,1292.981,553.7418,113.6063,324.2305,31.02699,155.7797,32.275859999999994,74.79236,12.17845,146.2956,56.12063000000001,24.86506,14.00351,0.0,0.0,311.9721,17.8112,574.4259999999998,11.92715,1641.217,34.07756,68.25505,25.090670000000006,201.345,19.03387,382.4326,8.406327000000001,914.4259,20.32972,1124.802,24.72449,198.2528,16.034589999999998,197.6827,16.058970000000002,ECO03774,0.0055,0.0198,0.0086,0.0035,0.036000000000000004,11.4217,17.6386,0.014,26.8989,0.0617,0.0489,194.213,0.0261,0.2271,12.1593,6.83987,14.8925,14.2836,-0.0515423,11.7908,13.9562,0.8436,21.634,0.1618,0.021,0.0223,-20.486,13.7148,0.0424,6220.15,0.4693,0.4428,0.0211,16.2723,3.61577,4.5428,2.23581,0.253599,0.8740120000000001,10.29,3.18101,1.93782,10.11,0.5760270000000001,2.25398,1.0905458,9.95,0.28183800000000003,1.4485,805759000,9.05233,0,0,0,0,0,ALFALFA,1,2,6338.03,-22.1631,0.0,208.946,12.5259,0,12.5439,10.9425,0.0985578,2.72612,10.9575,3008,0.138536,0.0,82.78200000000002,12.4501,1.0,notinresolve,0,1,1,1.19136,L,9.41556,0.0870247,0.253599,10.11,-20.9407,1.7794,1.64542,2.63561,2.87713,0.230452,3.73334,0.350771,0.547693
ECO11195,ECO11195,0.0,-0.7662185,0.0,-0.7662185,21.89057,4.6100629999999985,35.56699000000001,3.219805,63.33232,3.082714,1.0703120000000002,3.062434,124.0123,3.146426,52.8162,2.974541,168.4955,3.888349,15.544720000000002,2.650363,20.36024,2.27196,24.09646,0.8195796000000001,410.1451,4.530639,72.68047,2.472039,101.5249,2.844984,73.88045,3.111194,4.750535,4.062568,0.0,1.083597,167.139,4.05514,0.0,0.0,-9999.0,0.0,-9999.0,0.0,26.16717,10.23675,43.72717,9.583725,81.31801999999998,7.349963000000002,0.0,0.0,5.674356,11.1288,3.728249,21.36015,161.2934,9.339212,74.99078,2.949685,214.2594,8.427669999999999,21.54397,6.048156,25.62418,6.139371,31.68528,2.068484,524.2803,13.436370000000002,93.19199,6.083776,129.5902,5.660242,95.48302,6.677995,ECO11195,0.0161,0.0584,0.0253,0.0103,0.1063,13.9789,18.5935,0.0414,9.0916,0.0226,0.1444,210.584,0.0771,0.2782,14.4613,2.76938,16.5509,16.153,-0.030992500000000006,14.2702,15.9495,0.7711,6.03327,0.1175,0.0218,0.0246,-18.581,15.7824,0.0398,5977.04,0.3336,0.5198,0.0207,17.5523,2.66455,3.4862900000000003,1.49687,0.854241,0.514837,9.17,2.50426,1.30699,8.97,0.32495100000000005,1.68251,0.41557732,8.85,0.630957,1.00719,12078800000,9.23741,0,0,1,172063000,0,ALFALFA,0,19,5941.45,-24.1282,13.4156,173.998,13.8579,0,13.8579,11.7695,0.374281,0.680723,11.8225,178,0.322473,13.4072,185.653,13.5561,1.0,notinresolve,1,1,1,1.11179,L,8.7719,0.257016,0.854241,8.97,-18.9166,1.31735,1.11621,2.0508,2.14118,0.860032,2.8746400000000003,0.183357,0.292372
ECO11986,ECO11986,0.0,-0.6700314,365749.6,570444.4,6.951869,3.481327,5.684493,2.399527,17.66777,2.197347,1.309604,2.24698,58.79585,2.284916,13.36434,1.968393,32.97857,2.170444,9.67701,1.947958,9.67541,1.842651,39.51423,0.8057594,287.9474,3.5909089999999995,119.184,2.430354,64.00341,2.47746,45.0787,2.226739,2.78432,1.892083,-279.5802,29528.63,32.43408,2.406034,0.0,0.0,19.48987,17.72598,555202.3,989000000.0,25.34084,7.780824000000001,0.6081279,51.35966,10.35859,5.69802,0.0,0.0,0.0,0.0,0.0,0.0,64.9239,4.753753,12.28726,1.329855,35.10645,3.799587,6.329434,6.555797,15.75414,4.327299,57.94543,1.492053,416.9359,7.462662,170.4277,4.38839,100.8448,4.709018,71.64905999999998,3.987146,ECO11986,0.017,0.0616,0.0266,0.0108,0.1119,12.0009,18.005,0.0436,8.3939,0.0216,0.1521,208.611,0.0812,0.0402,13.245,8.53396,16.0182,15.3838,-0.174406,12.4854,15.0172,0.4327,18.5908,0.0785,0.0211,0.0271,-19.6722,14.6894,0.0544,6919.19,0.7746,0.1255,0.0209,17.206,3.71644,4.8381,2.04475,0.257706,0.9326,10.03,3.72596,1.6804400000000002,9.89,0.568296,2.60429,2.0174598,9.67,0.28183800000000003,0.901798,13074000000,9.09803,0,0,1,207524000,0,ALFALFA,0,3,6959.65,-20.6119,0.0,181.115,11.7679,0,11.6989,10.2835,0.0986599,1.65491,10.3765,5723,0.105491,0.0,50.8656,11.5108,1.0,notinresolve,0,1,1,1.14048,L,8.58718,0.270697,0.257706,9.89,-20.2838,1.86983,1.11105,2.84496,2.54025,0.257681,3.51537,0.23138000000000006,0.440628
ECO07518,ECO07518,0.0,-0.7329121999999999,0.0,-0.7329121999999999,48.59278,5.238962,80.11058,3.902219,129.6145,3.981313,4.044073,3.2303330000000003,292.9961,4.8402080000000005,212.2212,4.500299,634.6597,8.028780000000001,34.05211,2.440058,23.03912,2.074427,39.18158,0.8730539,921.9489,9.004325,118.1807,2.6333290000000003,161.8036,3.241002,115.4201,2.952249,25.79941,2.307986,0.0,1.036494,634.7238,8.030187,0.0,0.0,0.0,0.0,716858.0,134000000.0,105.9097,19.86214,161.1498,12.01699,222.004,12.62525,0.0,0.0,10.00263,10.13545,0.0,0.0,475.2881,15.55848,346.3359,11.41033,989.5313,32.60094,50.54267,6.716935,36.07008,5.135943,62.22451,2.477753,1398.245,28.20284,183.0133,7.287508,245.8299,9.896627,176.4855,7.385031,ECO07518,0.0269,0.0974,0.0421,0.0171,0.1771,14.0478,19.1259,0.0691,3.0191,0.0252,0.2407,163.137,0.1285,0.1403,14.9922,3.4890800000000004,16.8259,16.3714,0.105391,14.6618,16.1227,0.6759999999999999,9.23914,0.1596,0.0247,0.0219,-18.2375,15.9604,0.1454,5560.25,0.0391,0.2003,0.023,17.9554,2.81976,3.65055,1.63662,0.554541,0.56214,9.11,2.57607,1.4339,8.99,0.359421,1.74528,0.13119984,8.77,0.28183800000000003,1.31944,1178770000,9.21756,0,0,0,120587000,0,GBT,0,1,5560.25,-18.2375,0.0,0.0,11.0869,1,11.0649,8.9435,0.0,0.452441,9.3975,5518,0.0,0.0,0.0,0.0,1.0,rs0344,1,1,0,1.13379,E,8.773769999999999,0.428308,0.554541,8.93,-18.4138,1.48684,1.47333,2.22072,2.51863,0.327345,3.25251,0.287649,0.441545
ECO10428,ECO10428,0.0,-0.7893201999999999,0.0,-0.7893201999999999,59.29313000000001,6.764183,327.1591,7.1086160000000005,617.0174,9.051203,6.030757,5.0642510000000005,1381.283,14.542929999999998,336.5246,7.483124,990.168,13.11082,169.4939,5.123126999999998,84.5816,4.683353,494.4407,4.2424019999999985,5062.698,40.63926,1491.3470000000002,12.79605,762.5175,10.17104,576.4896,9.092096000000002,84.5138,5.161944,0.0,1.116267,989.3937,13.11009,0.0,0.0,1325.5179999999998,206.0564,3516.613,150.8108,139.444,23.19306,554.3649,20.49826,1028.445,31.86792,0.0,0.0,40.93227,18.73683,25.12096,24.95946,2207.207000000001,51.71246,540.4239,12.41715,1544.068,35.47756,256.627,12.7113,125.2284,12.41877,750.4225,14.5703,7582.526999999999,138.9232,2207.125,42.85381,1135.18,25.95859,859.5802,23.78757,ECO10428,0.0191,0.0693,0.03,0.0122,0.126,12.9822,17.6185,0.0491,14.534,0.0216,0.1713,160.227,0.0914,0.0733,13.8947,2.53786,15.7084,15.3056,-0.0571918,13.1689,15.1306,0.9066,6.06438,0.0763,0.0209,0.0206,-19.4984,14.9529,0.0338,6132.18,0.2892,0.047,0.0208,16.5588,2.55112,3.40649,1.35337,2.13035,0.490257,9.41,2.54337,1.16467,9.25,0.301552,1.6880099999999998,2.0298411,9.19,1.41254,0.714434,1811110000,9.40407,0,0,0,108667000,0,ALFALFA,0,1,6132.18,-19.4984,0.0,0.0,11.2129,1,11.3399,9.2575,0.0,0.7299,9.6375,7425,0.0,0.0,0.0,0.0,1.0,notinresolve,0,1,1,1.16042,L,9.19422,0.30472,2.13035,9.25,-20.0313,1.1131799999999998,0.775591,1.82287,1.7412,2.13064,2.45089,0.08641239999999999,0.14757
