agntosf,ambigagn,composite,defagn,defliner,defseyf,defstarform,galname,sftoagn,sftoagn1,sftoagn2
False,False,False,False,False,False,True,ECO10155,False,False,False
False,False,True,False,False,False,False,ECO05372,False,False,False
False,False,False,False,False,False,True,ECO07252,False,False,False
False,False,False,False,False,False,True,ECO07039,False,False,False
False,False,False,False,False,False,True,ECO07037,False,False,False
False,False,False,False,False,False,True,ECO07279,False,False,False
False,False,True,False,False,False,False,ECO06368,False,False,False
False,False,False,False,False,False,False,ECO01252,True,False,True
False,False,False,False,False,False,True,ECO09977,False,False,False
False,False,False,False,False,False,True,ECO07337,False,False,False
False,False,False,False,False,False,True,ECO08688,False,False,False
False,False,True,False,False,False,False,ECO08732,False,False,False
False,False,False,False,False,False,True,ECO10157,False,False,False
False,False,True,False,False,False,False,ECO05499,False,False,False
False,False,False,False,False,False,True,ECO05530,False,False,False
False,False,False,False,False,False,True,ECO09923,False,False,False
False,False,False,False,False,False,True,ECO11315,False,False,False
False,False,False,False,False,False,True,ECO05603,False,False,False
False,False,False,False,False,False,False,ECO07184,True,True,True
False,False,False,False,False,False,True,ECO07341,False,False,False
False,False,False,False,False,False,True,ECO05705,False,False,False
False,False,False,False,False,False,True,ECO07241,False,False,False
False,False,False,False,False,False,True,ECO02973,False,False,False
False,False,False,False,False,False,True,ECO03387,False,False,False
False,False,True,False,False,False,False,ECO03395,False,False,False
False,False,False,False,False,False,True,ECO11474,False,False,False
False,False,False,False,False,False,True,ECO07041,False,False,False
False,False,False,False,False,False,False,ECO07235,True,False,True
False,False,False,False,False,False,True,ECO11323,False,False,False
False,False,False,False,False,False,True,ECO06778,False,False,False
False,False,False,False,False,False,True,ECO05080,False,False,False
False,False,False,False,False,False,True,ECO07263,False,False,False
False,False,False,False,False,False,True,ECO11328,False,False,False
False,False,False,False,False,False,True,ECO07275,False,False,False
False,False,False,True,True,False,False,ECO03917,False,False,False
False,False,False,False,False,False,True,ECO11320,False,False,False
True,False,False,False,False,False,False,ECO04035,False,False,False
False,False,False,False,False,False,True,ECO05166,False,False,False
False,False,False,False,False,False,True,ECO11497,False,False,False
False,False,True,False,False,False,False,ECO06373,False,False,False
False,False,False,False,False,False,True,ECO06382,False,False,False
False,False,False,False,False,False,True,ECO06371,False,False,False
False,False,False,False,False,False,True,ECO07278,False,False,False
False,False,False,False,False,False,True,ECO11319,False,False,False
False,False,False,False,False,False,True,ECO11309,False,False,False
False,False,False,False,False,False,False,ECO05069,True,False,True
False,False,False,False,False,False,True,ECO09738,False,False,False
False,False,False,False,False,False,True,ECO05215,False,False,False
False,False,True,False,False,False,False,ECO03605,False,False,False
False,False,False,True,True,False,False,ECO03714,False,False,False
False,False,False,False,False,False,True,ECO05061,False,False,False
False,False,False,False,False,False,True,ECO07457,False,False,False
False,False,False,False,False,False,True,ECO07075,False,False,False
False,False,False,False,False,False,True,ECO06812,False,False,False
False,False,False,False,False,False,True,ECO05348,False,False,False
False,False,False,False,False,False,True,ECO07348,False,False,False
False,False,False,False,False,False,True,ECO05314,False,False,False
False,False,False,False,False,False,True,ECO07482,False,False,False
False,False,False,False,False,False,True,ECO05400,False,False,False
False,False,False,True,False,True,False,ECO07102,False,False,False
False,False,False,False,False,False,True,ECO07479,False,False,False
False,False,False,False,False,False,True,ECO07517,False,False,False
False,False,False,False,False,False,True,ECO07354,False,False,False
False,False,False,False,False,False,True,ECO07343,False,False,False
False,False,False,False,False,False,True,ECO08434,False,False,False
False,False,False,False,False,False,True,ECO08788,False,False,False
False,False,False,False,False,False,True,ECO10219,False,False,False
False,False,False,False,False,False,True,ECO10778,False,False,False
False,False,False,False,False,False,True,ECO01305,False,False,False
False,False,False,False,False,False,True,ECO05626,False,False,False
False,False,False,False,False,False,False,ECO10779,True,False,True
False,False,False,False,False,False,True,ECO10177,False,False,False
False,False,False,False,False,False,True,ECO07365,False,False,False
False,False,False,False,False,False,True,ECO02641,False,False,False
False,False,False,False,False,False,False,ECO10171,True,True,True
False,False,False,False,False,False,True,ECO03348,False,False,False
False,False,False,False,False,False,True,ECO03299,False,False,False
False,False,False,False,False,False,True,ECO05940,False,False,False
False,False,False,False,False,False,True,ECO03496,False,False,False
False,False,True,False,False,False,False,ECO10119,False,False,False
False,False,False,False,False,False,True,ECO10810,False,False,False
False,False,False,False,False,False,True,ECO07577,False,False,False
False,False,False,True,True,False,False,ECO03534,False,False,False
False,False,False,False,False,False,False,ECO00801,True,True,False
False,False,False,False,False,False,True,ECO03601,False,False,False
False,False,False,False,False,False,True,ECO03604,False,False,False
False,False,False,False,False,False,True,ECO07471,False,False,False
False,False,True,False,False,False,False,ECO07439,False,False,False
False,False,False,False,False,False,True,ECO07381,False,False,False
False,False,False,False,False,False,False,ECO07551,True,False,True
False,False,False,False,False,False,True,ECO03991,False,False,False
False,False,True,False,False,False,False,ECO04031,False,False,False
False,False,False,False,False,False,True,ECO07515,False,False,False
False,False,False,False,False,False,True,ECO04016,False,False,False
False,False,False,False,False,False,True,ECO07531,False,False,False
False,False,False,False,False,False,True,ECO07443,False,False,False
False,False,False,False,False,False,False,ECO07527,True,False,True
False,False,False,True,False,True,False,ECO06378,False,False,False
False,False,False,True,False,True,False,ECO04185,False,False,False
False,False,False,False,False,False,True,ECO07467,False,False,False
False,False,True,False,False,False,False,ECO13748,False,False,False
False,False,False,False,False,False,True,ECO06363,False,False,False
False,False,False,True,False,True,False,ECO04190,False,False,False
False,False,False,True,True,False,False,ECO04195,False,False,False
False,False,False,False,False,False,True,ECO10180,False,False,False
False,False,False,False,False,False,True,ECO06387,False,False,False
False,False,False,False,False,False,True,ECO07436,False,False,False
False,False,False,False,False,False,True,ECO07373,False,False,False
False,False,False,False,False,False,True,ECO10694,False,False,False
False,False,False,False,False,False,True,ECO07553,False,False,False
False,False,False,False,False,False,False,ECO03098,True,False,True
False,False,False,False,False,False,True,ECO10228,False,False,False
False,False,False,True,False,True,False,ECO04965,False,False,False
False,False,False,False,False,False,True,ECO07524,False,False,False
False,False,False,False,False,False,True,ECO04702,False,False,False
False,False,True,False,False,False,False,ECO05820,False,False,False
False,False,False,False,False,False,True,ECO05809,False,False,False
False,False,False,False,False,False,True,ECO05414,False,False,False
False,False,False,False,False,False,True,ECO06059,False,False,False
False,False,False,True,True,False,False,ECO07024,False,False,False
False,False,False,False,False,False,True,ECO07628,False,False,False
False,False,False,False,False,False,True,ECO05448,False,False,False
False,False,False,False,False,False,True,ECO07736,False,False,False
False,False,False,True,False,True,False,ECO08423,False,False,False
False,False,False,False,False,False,True,ECO07578,False,False,False
False,False,False,False,False,False,True,ECO05558,False,False,False
False,False,False,False,False,False,True,ECO10088,False,False,False
False,False,False,False,False,False,True,ECO10232,False,False,False
False,False,False,False,False,False,True,ECO07662,False,False,False
False,False,False,False,False,False,True,ECO10885,False,False,False
False,False,False,False,False,False,True,ECO10767,False,False,False
False,False,False,False,False,False,True,ECO07639,False,False,False
False,False,False,False,False,False,False,ECO00141,True,False,True
False,False,False,False,False,False,True,ECO11202,False,False,False
False,False,False,False,False,False,True,ECO11288,False,False,False
False,False,False,False,False,False,True,ECO10202,False,False,False
False,False,False,False,False,False,True,ECO07642,False,False,False
False,False,False,False,False,False,True,ECO04851,False,False,False
False,False,False,False,False,False,True,ECO10198,False,False,False
False,False,False,False,False,False,True,ECO07493,False,False,False
False,False,False,False,False,False,True,ECO05035,False,False,False
False,False,True,False,False,False,False,ECO09876,False,False,False
False,False,False,False,False,False,True,ECO09940,False,False,False
False,False,False,True,False,True,False,ECO04175,False,False,False
False,False,False,False,False,False,True,ECO05163,False,False,False
False,False,False,False,False,False,True,ECO05629,False,False,False
False,False,False,False,False,False,True,ECO00623,False,False,False
False,False,True,False,False,False,False,ECO07654,False,False,False
False,False,False,False,False,False,True,ECO10246,False,False,False
False,False,False,False,False,False,True,ECO10114,False,False,False
False,False,False,False,False,False,True,ECO10327,False,False,False
False,False,False,False,False,False,False,ECO00486,True,False,True
False,False,True,False,False,False,False,ECO02488,False,False,False
False,False,True,False,False,False,False,ECO02806,False,False,False
False,False,False,False,False,False,True,ECO10249,False,False,False
False,False,False,False,False,False,True,ECO07712,False,False,False
False,False,False,False,False,False,True,ECO05812,False,False,False
False,False,False,False,False,False,True,ECO03273,False,False,False
False,False,False,True,False,True,False,ECO03276,False,False,False
False,False,False,False,False,False,True,ECO03606,False,False,False
False,False,False,False,False,False,True,ECO03612,False,False,False
False,False,True,False,False,False,False,ECO06034,False,False,False
False,False,False,False,False,False,False,ECO07589,True,False,True
False,False,False,False,False,False,True,ECO10117,False,False,False
False,False,False,False,False,False,False,ECO07623,True,False,True
False,False,True,False,False,False,False,ECO04019,False,False,False
False,False,False,False,False,False,True,ECO07615,False,False,False
False,False,False,False,False,False,True,ECO10842,False,False,False
False,False,False,False,False,False,True,ECO06350,False,False,False
False,False,False,True,False,True,False,ECO04211,False,False,False
False,False,False,True,False,True,False,ECO04221,False,False,False
False,False,False,False,False,False,True,ECO04214,False,False,False
False,False,False,False,False,False,True,ECO04176,False,False,False
False,False,False,False,False,False,True,ECO06360,False,False,False
False,False,False,False,False,False,False,ECO10848,True,False,True
False,False,False,False,False,False,True,ECO10262,False,False,False
False,False,False,True,False,True,False,ECO04285,False,False,False
False,False,False,False,False,False,True,ECO06403,False,False,False
False,False,True,False,False,False,False,ECO04262,False,False,False
False,False,False,False,False,False,True,ECO04263,False,False,False
False,False,False,False,False,False,True,ECO07583,False,False,False
