agntosf,ambigagn,composite,defagn,defliner,defseyf,defstarform,galname,sftoagn,sftoagn1,sftoagn2
False,False,False,False,False,False,True,ECO05314,False,False,False
False,False,False,True,False,True,False,ECO03774,False,False,False
False,False,False,False,False,False,True,ECO07518,False,False,False
False,False,False,False,False,False,True,ECO10428,False,False,False
False,False,False,False,False,False,True,ECO04176,False,False,False
False,False,False,False,False,False,True,ECO09960,False,False,False
False,False,False,False,False,False,True,ECO06250,False,False,False
False,False,False,False,False,False,False,ECO07019,True,True,False
False,False,False,False,False,False,True,ECO06341,False,False,False
False,False,False,False,False,False,True,ECO06592,False,False,False
False,False,False,False,False,False,True,ECO09450,False,False,False
False,False,False,False,False,False,True,ECO05115,False,False,False
False,False,False,False,False,False,True,ECO09561,False,False,False
False,False,False,False,False,False,True,ECO06894,False,False,False
False,False,False,False,False,False,True,ECO05315,False,False,False
False,False,False,False,False,False,True,ECO09738,False,False,False
False,False,False,False,False,False,True,ECO10431,False,False,False
False,False,False,False,False,False,True,ECO02845,False,False,False
False,False,False,False,False,False,True,ECO03145,False,False,False
False,False,False,False,False,False,True,ECO10177,False,False,False
False,False,False,False,False,False,True,ECO11300,False,False,False
False,False,False,False,False,False,True,ECO09275,False,False,False
False,False,False,False,False,False,True,ECO01034,False,False,False
False,False,False,False,False,False,True,ECO04927,False,False,False
False,False,False,False,False,False,False,ECO10862,True,True,False
False,False,False,False,False,False,True,ECO03991,False,False,False
False,False,False,False,False,False,True,ECO08305,False,False,False
False,False,False,False,False,False,True,ECO08589,False,False,False
False,False,False,False,False,False,True,ECO07887,False,False,False
False,False,False,False,False,False,True,ECO10761,False,False,False
False,False,False,False,False,False,True,ECO06366,False,False,False
False,False,False,False,False,False,True,ECO05715,False,False,False
False,False,False,False,False,False,True,ECO00299,False,False,False
False,False,False,False,False,False,True,ECO01402,False,False,False
False,False,False,False,False,False,True,ECO09890,False,False,False
False,False,False,False,False,False,True,ECO01470,False,False,False
False,False,False,True,False,True,False,ECO03691,False,False,False
False,False,False,False,False,False,True,ECO05597,False,False,False
False,False,False,False,False,False,False,ECO11818,True,False,True
False,False,True,False,False,False,False,ECO04244,False,False,False
False,False,False,False,False,False,True,ECO05916,False,False,False
False,False,False,False,False,False,True,ECO05414,False,False,False
False,False,False,False,False,False,True,ECO07435,False,False,False
False,False,True,False,False,False,False,ECO06865,False,False,False
False,False,False,False,False,False,True,ECO03274,False,False,False
False,False,False,False,False,False,True,ECO11315,False,False,False
False,False,False,False,False,False,True,ECO05648,False,False,False
False,False,True,False,False,False,False,ECO09792,False,False,False
False,False,False,False,False,False,True,ECO06163,False,False,False
False,False,False,False,False,False,True,ECO06267,False,False,False
False,False,False,False,False,False,True,ECO05629,False,False,False
False,False,True,False,False,False,False,ECO04191,False,False,False
