name,e_bv_sfd,spectofiber
ECO12911,0.0278222,0.8278967
ECO13308,0.02994867,0.7292056
ECO01672,0.03035916,0.7416199
ECO04033,0.01777614,0.7751291
ECO09895,0.01191483,0.7607927
ECO09941,0.02179482,0.7683858
ECO09853,0.01003103,0.7333186
ECO12171,0.01359645,0.712953
ECO13588,0.01100477,0.7904818
ECO10672,0.01792477,0.7604249
ECO08576,0.02213329,0.7672689
ECO01531,0.01151331,0.833717
ECO08808,0.007554531,0.7515121
ECO08923,0.01292765,0.7890182
ECO06696,0.01098939,0.7498198
ECO04731,0.02051929,0.7625169
ECO06510,0.01965736,0.7724013
ECO08873,0.01664829,0.7430331
ECO11095,0.01591686,0.7403564
ECO11532,0.01477656,0.7387498
ECO09785,0.02179957,0.7776804
ECO08231,0.02070352,0.7965017
ECO01704,0.02189752,0.7688316
ECO02373,0.02566519,0.6330848
ECO05479,0.02535782,0.8671596
ECO06973,0.01608799,0.7346813
ECO03357,0.01993632,0.6884862
ECO11323,0.03087441,0.8222393
ECO05090,0.07100463,0.7982087
ECO01252,0.04061196,0.763617
ECO08655,0.05012053,0.776922
ECO07268,0.04927955,0.7608815
ECO07267,0.02702647,0.6457055
ECO06447,0.0328288,0.8092535
ECO05315,0.05335132,0.7047389
ECO03582,0.02630521,0.7699045
ECO10946,0.02035126,0.759801
ECO05113,0.01504878,0.753691
ECO06995,0.03028813,0.7155977
ECO01558,0.04422086,0.7857581
ECO10507,0.03138504,0.7154127
ECO10674,0.02798912,0.7507498
ECO07973,0.0295954,0.7740999
ECO03796,0.02964152,0.7087771
ECO06498,0.02621491,0.810737
ECO03139,0.02919496,0.7959486
ECO05551,0.02443011,0.7464214
ECO10044,0.02443011,0.7464214
ECO07106,0.02785281,0.7869346
ECO02677,0.02649057,0.7549804
ECO00756,0.02674061,0.9442721
ECO03099,0.04448896,0.7670711
ECO02682,0.03668119,0.769147
ECO10982,0.01910295,0.7626164
ECO02695,0.03075272,0.794258
ECO11803,0.03963196,0.7620734
ECO00763,0.02744631,0.9330668
ECO04169,0.01996463,0.8025891
