name	ra	dec
ECO07403	181.145	1.8423
ECO12888	184.667	3.0271
ECO07369	182.178	1.4563
ECO05314	144.14700000000005	1.1166
ECO13607	139.935	0.9134
ECO00281	225.96	0.5654
ECO12739	151.109	0.6018
ECO05361	146.232	0.0683
ECO07016	186.154	12.6748
ECO07450	181.354	2.2087
ECO13539	179.26	0.4983
ECO12603	172.045	8.0108
ECO03910	140.806	2.6014
ECO03591	187.279	0.5811
ECO09390	164.023	36.9601
ECO01000	223.63	4.9379
ECO07735	212.439	6.7168
ECO04459	210.703	9.3414
ECO12705	210.358	9.9003
ECO13207	210.621	9.1798
ECO03489	184.52	15.9658
ECO01468	188.18400000000003	7.9394
ECO08637	208.908	26.5502
ECO05144	179.325	11.6558
ECO11517	178.49599999999995	13.1482
ECO03021	176.107	11.5622
ECO05748	177.46200000000005	47.4448
ECO05110	174.69099999999997	42.4766
ECO03055	176.44	10.8247
ECO02906	174.824	9.9625
ECO09709	143.171	43.2007
ECO10944	209.785	3.5113
ECO06433	208.526	5.3562
ECO03774	194.213	26.8989
ECO07620	207.066	4.3706
ECO11114	166.546	4.3361
ECO13756	204.822	0.3366
ECO05612	167.792	0.6252
ECO11195	210.584	9.0916
ECO11986	208.611	8.3939
ECO10794	181.362	42.2315
ECO06582	232.789	47.0501
ECO05714	175.52	10.3842
ECO03374	138.609	36.1122
ECO00030	201.816	4.2088
ECO01400	180.111	1.6688
ECO07518	163.137	3.0191
ECO10211	198.637	0.5919
ECO10143	170.722	-0.9311
ECO03842	195.178	27.9719
ECO03876	195.958	28.1861
ECO05097	146.842	0.7408
ECO09322	203.941	35.9668
ECO11701	168.713	35.5022
ECO10428	160.227	14.534
ECO08020	152.84799999999996	13.7784
ECO13390	149.984	13.0864
ECO09526	158.19299999999996	38.944
ECO01319	175.486	10.2854
ECO04961	232.053	42.93
ECO09290	168.088	35.4677
ECO05946	184.63	16.2494
ECO00398	180.295	15.6261
ECO03074	176.74900000000005	13.8731
ECO00181	151.796	12.6514
ECO13507	175.421	10.499
ECO06367	204.209	5.8525
ECO04176	203.664	4.13
ECO05163	145.24200000000005	47.6206
ECO07635	166.417	4.6127
ECO07418	181.365	1.948
ECO10192	180.913	3.6459
ECO08788	156.873	1.2464
ECO07367	156.91899999999995	1.4373
ECO06116	147.287	2.4808
ECO07235	183.251	0.0437
ECO07316	156.366	0.8837
ECO11984	203.721	7.7942
ECO06265	199.356	9.3222
ECO07788	199.811	8.2701
ECO03776	194.351	27.4983
ECO08707	194.099	27.234
ECO11583	194.134	27.0556
ECO04844	223.974	49.7258
ECO04393	209.558	5.4083
ECO10260	205.13	4.619
ECO10963	168.623	2.6055
ECO05563	163.33700000000005	-0.6064
ECO04997	144.72299999999996	9.75
ECO09741	235.193	43.5428
ECO05665	172.736	2.2871
ECO01551	202.07	31.2135
ECO12137	170.27	31.2522
ECO12018	216.963	33.1868
ECO03372	182.156	16.1428
ECO13388	149.27100000000004	13.3068
ECO09268	203.939	35.1279
ECO13510	175.855	8.6966
ECO07859	166.775	9.7897
ECO05017	235.177	43.7511
ECO00471	136.764	3.8183
ECO06394	205.742	3.2538
ECO06387	205.495	2.3123
ECO07396	186.262	1.794
ECO07387	181.076	1.7
ECO00271	190.076	-0.1851
ECO00278	182.904	0.3225
ECO03245	180.271	0.1139
ECO00451	163.69	48.0576
ECO10692	131.923	38.0663
ECO06399	206.173	4.942
ECO02004	206.505	6.1448
ECO00600	182.881	39.433
ECO06297	201.401	36.3812
ECO01353	165.509	36.7603
ECO10007	178.80200000000005	37.9946
ECO09241	203.591	34.773
ECO12054	204.002	34.818000000000005
ECO12854	180.609	39.4049
ECO08054	181.153	14.2973
ECO12820	180.275	28.9953
ECO09960	166.463	42.9693
ECO10258	162.951	43.7636
ECO02119	163.66299999999995	42.5343
ECO02072	154.16299999999995	40.521
ECO09756	234.802	43.9616
ECO09926	146.882	48.2532
ECO08739	193.638	27.6326
ECO06182	147.361	4.0033
ECO06250	198.636	2.5647
ECO09173	203.349	33.5251
ECO06148	194.83900000000003	27.9736
ECO04226	204.68400000000003	4.4592
ECO07785	209.079	8.2358
ECO06347	203.228	7.3278
ECO04192	204.006	6.5853
ECO05764	177.995	15.3353
ECO01018	211.776	12.6235
