name,confidence_level,jhu,name,port
ECO00001,-1.0,-1.0,ECO00001,0.0
ECO00004,-2.0,-1.0,ECO00004,-1.0
ECO00027,-2.0,-1.0,ECO00027,-1.0
ECO00054,-1.0,-1.0,ECO00054,0.0
ECO00061,1.0,1.0,ECO00061,0.0
ECO00068,-1.0,-1.0,ECO00068,0.0
ECO00069,-2.0,-1.0,ECO00069,-1.0
ECO00103,-2.0,-1.0,ECO00103,-1.0
ECO00105,1.0,1.0,ECO00105,0.0
ECO00117,-2.0,-1.0,ECO00117,-1.0
ECO00139,-2.0,-1.0,ECO00139,-1.0
ECO00141,-1.0,-1.0,ECO00141,0.0
ECO00185,-1.0,-1.0,ECO00185,0.0
ECO00190,-2.0,-1.0,ECO00190,-1.0
ECO00194,-2.0,-1.0,ECO00194,-1.0
ECO00200,-2.0,-1.0,ECO00200,-1.0
ECO00210,-1.0,-1.0,ECO00210,0.0
ECO00220,2.0,1.0,ECO00220,1.0
ECO00231,-1.0,-1.0,ECO00231,0.0
ECO00237,-2.0,-1.0,ECO00237,-1.0
ECO00242,-2.0,-1.0,ECO00242,-1.0
ECO00253,-2.0,-1.0,ECO00253,-1.0
ECO00255,-1.0,-1.0,ECO00255,0.0
ECO00257,-1.0,-1.0,ECO00257,0.0
ECO00297,-1.0,-1.0,ECO00297,0.0
ECO00299,0.0,1.0,ECO00299,-1.0
ECO00302,-1.0,-1.0,ECO00302,0.0
ECO00321,1.0,1.0,ECO00321,0.0
ECO00322,-2.0,-1.0,ECO00322,-1.0
ECO00332,-2.0,-1.0,ECO00332,-1.0
ECO00336,0.0,-1.0,ECO00336,1.0
ECO00339,-1.0,-1.0,ECO00339,0.0
ECO00347,-2.0,-1.0,ECO00347,-1.0
ECO00348,-1.0,-1.0,ECO00348,0.0
ECO00354,-2.0,-1.0,ECO00354,-1.0
ECO00357,-1.0,-1.0,ECO00357,0.0
ECO00366,-1.0,-1.0,ECO00366,0.0
ECO00389,-1.0,-1.0,ECO00389,0.0
ECO00409,-2.0,-1.0,ECO00409,-1.0
ECO00420,-2.0,-1.0,ECO00420,-1.0
ECO00424,-2.0,-1.0,ECO00424,-1.0
ECO00435,-2.0,-1.0,ECO00435,-1.0
ECO00448,-2.0,-1.0,ECO00448,-1.0
ECO00457,-2.0,-1.0,ECO00457,-1.0
ECO00470,-2.0,-1.0,ECO00470,-1.0
ECO00473,-1.0,-1.0,ECO00473,0.0
ECO00486,-2.0,-1.0,ECO00486,-1.0
ECO00526,-2.0,-1.0,ECO00526,-1.0
ECO00545,-2.0,-1.0,ECO00545,-1.0
ECO00614,-1.0,-1.0,ECO00614,0.0
ECO00615,-2.0,-1.0,ECO00615,-1.0
ECO00617,-2.0,-1.0,ECO00617,-1.0
ECO00623,-2.0,-1.0,ECO00623,-1.0
ECO00629,-2.0,-1.0,ECO00629,-1.0
ECO00639,-2.0,-1.0,ECO00639,-1.0
ECO00655,-2.0,-1.0,ECO00655,-1.0
ECO00677,-1.0,-1.0,ECO00677,0.0
ECO00691,-1.0,-1.0,ECO00691,0.0
ECO00700,-2.0,-1.0,ECO00700,-1.0
ECO00705,-1.0,-1.0,ECO00705,0.0
ECO00721,-1.0,-1.0,ECO00721,0.0
ECO00723,-2.0,-1.0,ECO00723,-1.0
ECO00734,-2.0,-1.0,ECO00734,-1.0
ECO00758,2.0,1.0,ECO00758,1.0
ECO00776,1.0,1.0,ECO00776,0.0
ECO00794,-1.0,-1.0,ECO00794,0.0
ECO00801,-2.0,-1.0,ECO00801,-1.0
ECO00805,-1.0,-1.0,ECO00805,0.0
ECO00807,-1.0,-1.0,ECO00807,0.0
ECO00824,-2.0,-1.0,ECO00824,-1.0
