#ID SDSSID RA DEG z Plate MJD Fiber nspec
    1 J000048.16-095404.0   0.20064719  -9.9011221    0.205448    650 52143 494 1
    2 J000102.19-102326.9   0.2591277  -10.390799     0.294296    650 52143 166 1
    3 J000111.15-100155.5   0.29645887 -10.032093     0.0489206   650 52143 174 1
    4 J000154.29+000732.5   0.47619767   0.12569905   0.139595    387 51791 160 1
    5 J000155.08-002131.7   0.47950239  -0.35880634   0.293003    685 52203 140 1
    6 J000202.96-103038.0   0.5123242  -10.510551     0.102782    650 52143 154 1
    7 J000218.55-110357.3   0.57728509 -11.065908     0.204737    650 52143  88 1
    8 J000236.25-002724.7   0.65105544  -0.45687475   0.291291    387 51791 110 1
    9 J000251.61+000800.6   0.715032     0.1334875    0.106866    387 51791  73 1
   10 J000302.92-105619.1   0.76217036 -10.938626     0.216281    650 52143  47 1
   11 J000308.47+154842.4   0.78530125  15.811773     0.117502    750 52235 609 1
   12 J000329.40+253334.9   0.872481    25.559695     0.34293    2822 54389 471 1
   13 J000338.95+160220.6   0.91227265  16.039058     0.116312    751 52251 335 1
   14 J000410.81-104527.2   1.0450241  -10.757558     0.239706    650 52143  18 1
   15 J000441.24+000711.3   1.1718246    0.11979774   0.107642    387 51791  34 1
   16 J000526.61-011253.1   1.3608773   -1.2147415    0.324473    388 51793 297 1
   17 J000557.25+002837.7   1.4885515    0.47714777   0.25957     388 51793 385 1
   18 J000601.82-052845.1   1.507601    -5.479191     0.329467   2630 54327 149 1
   19 J000605.59-092007.0   1.5233024   -9.3352866    0.0700314   651 52141 434 1
   20 J000611.56+145357.3   1.5481512   14.899242     0.11859     751 52251 193 1
   21 J000614.36-010847.2   1.5598534   -1.1464475    0.0896327   388 51793 243 1
   22 J000615.02+011129.7   1.5625809    1.1915758    0.113683    388 51793 408 1
   23 J000617.79+003624.1   1.574133     0.606684     0.236336   1490 52994 472 1
   24 J000634.80-110244.2   1.6449815  -11.0456       0.227934    651 52141 244 1
   25 J000642.28+001419.3   1.676166     0.23868293   0.187738    388 51793 439 1
   26 J000657.76+152550.1   1.7406791   15.430582     0.0678476   751 52251 509 1
   27 J000703.60+155423.8   1.7650066   15.906605     0.113865    751 52251 577 1
   28 J000710.02+005329.0   1.7917361    0.89140204   0.316215    388 51793 445 1
   29 J000729.99-005428.1   1.8749695   -0.90779171   0.145165    388 51793 121 1
   30 J000759.86+010423.5   1.999413     1.073198     0.128496    388 51793 524 1
   31 J000805.62+145023.4   2.0234369   14.839836     0.0454102   751 52251 160 1
   32 J000813.23-005753.3   2.0551115   -0.96481167   0.138942    388 51793 139 1
   33 J000815.46-104620.5   2.0644104  -10.772358     0.198631    651 52141 220 1
   34 J000834.72+003156.2   2.1446712    0.53226926   0.263196    388 51793 487 1
   35 J000859.19+011351.2   2.2466251    1.2308854    0.286766    388 51793 562 1
   36 J000904.54-103428.7   2.2689224  -10.574638     0.240768    651 52141 165 1
   37 J000926.41+001932.3   2.360035     0.32563008   0.114179    388 51793 515 1
   38 J000943.14-090839.2   2.4297561   -9.1442096    0.209572    651 52141 535 1
   39 J001054.87+001451.3   2.7286059    0.24757652   0.243333    388 51793 560 1
   40 J001055.01+155511.3   2.7292154   15.919814     0.309395    752 52251 330 1
   41 J001056.25-090109.9   2.7343852   -9.0194182    0.0814433   651 52141 575 1
   42 J001108.98-011114.2   2.7874237   -1.1872704    0.220376    389 51795 295 1
   43 J001111.03-105104.8   2.7959704  -10.851324     0.231115    652 52138 299 1
   44 J001130.19-102353.7   2.8758116  -10.398255     0.33745     652 52138 314 1
   45 J001137.25+144201.4   2.9052003   14.700398     0.131809    752 52251 231 1
   46 J001221.38-085434.6   3.0891005   -8.9096118    0.332261    652 52138 335 1
   47 J001224.03-102226.3   3.1001139  -10.37397      0.228075    651 52141  72 1
   48 J001247.93-084700.5   3.199728    -8.7834662    0.22006     652 52138 326 1
   49 J001255.04+010905.2   3.2293269    1.1514516    0.154691    389 51795 368 1
