ID	SDSS	zspec	gmag	g_r	Ag
1	J054248.74+004019.2	0.0518	17.49	0.98	1.14
2	J074345.47+480813.5	0.0181	16.24	0.74	0.22
3	J080807.13+563832.4	0.099	18.93	0.55	0.18
4	J080833.38+540521.2	0.2848	19.4	0.92	0.16
5	J080910.72+110619.1	0.0526	17.65	0.71	0.11
6	J081718.57+520147.7	0.0386	17.68	0.68	0.19
7	J081933.38+231704.7	0.094	18.33	0.6	0.16
8	J082502.99+111021.4	0.1077	17.95	0.86	0.17
9	J082654.32+233537.8	0.1369	19.16	0.64	0.16
10	J082741.35+175751.0	0.1072	18.6	0.88	0.15
11	J082833.31+112643.3	0.0722	17.57	0.75	0.08
12	J083020.30+160226.6	0.1203	17.91	0.74	0.1
13	J083021.81+183031.2	0.0972	18.19	0.56	0.15
14	J083842.42+235448.2	0.1188	17.94	0.55	0.18
15	J083916.92+174327.5	0.1051	18.32	1.05	0.1
16	J084744.52+163023.4	0.1813	18.34	0.54	0.07
17	J084948.56+150636.7	0.0707	18.09	0.8	0.1
18	J085129.29+204448.1	0.1434	19.21	0.66	0.11
19	J090032.80+255650.8	0.0507	17.4	0.37	0.13
20	J090355.74+283900.7	0.1482	18.91	0.63	0.11
21	J090426.65+630124.4	0.1153	17.99	0.77	0.2
22	J091023.11+302729.2	0.0476	17.59	0.71	0.08
23	J091228.66+254707.2	0.1429	18.05	0.88	0.12
24	J091424.76+115625.6	0.0312	17.12	0.78	0.11
25	J091738.08+333939.0	0.1728	20.83	0.59	0.06
26	J092027.85+304858.2	0.1012	17.94	0.71	0.08
27	J092115.45+254911.5	0.2493	19.19	0.48	0.09
28	J092355.85+282637.5	0.0819	18.32	0.84	0.08
29	J092522.39+130538.7	0.0795	17.17	0.43	0.14
30	J092537.83+640921.7	0.0525	18.14	0.6	0.17
31	J092740.77+262701.1	0.0485	16.27	0.58	0.09
32	J093401.24+245342.5	0.0334	16.05	0.55	0.08
33	J093408.60+175644.0	0.0271	16.22	0.58	0.15
34	J093506.81+145844.7	0.0831	19.01	0.33	0.15
35	J093728.77+291021.0	0.124	18.77	0.95	0.07
36	J093946.86+143606.7	0.1904	19.87	0.61	0.16
37	J094057.20+032401.2	0.0607	17.15	0.7	0.17
38	J094534.42+205731.3	0.161	18.01	0.63	0.08
39	J095220.10+322826.8	0.043	16.26	0.77	0.05
40	J095804.71+195613.5	0.1275	17.69	0.58	0.1
41	J095807.52+303037.9	0.2086	19.7	0.64	0.08
42	J100056.29+132815.0	0.1339	18.94	0.76	0.11
43	J100207.03+163048.6	0.1329	17.69	0.57	0.12
44	J100719.99+352327.9	0.2048	18.9	0.71	0.04
45	J100807.09+334101.1	0.1789	19.3	0.61	0.05
46	J100910.12+295414.3	0.1472	19.71	0.56	0.08
47	J101039.99+210643.8	0.0659	15.93	0.69	0.11
48	J101639.87+194048.4	0.1049	19.71	0.64	0.11
49	J102031.55+203115.4	0.1069	17.72	0.59	0.09
50	J102124.07+185750.6	0.1118	18.57	0.5	0.1
51	J102303.60+293541.6	0.1204	19.47	0.55	0.1
52	J102333.55+144541.4	0.0445	18.22	0.78	0.2
53	J102924.06+143228.2	0.1281	18.14	0.66	0.15
54	J103535.01+261530.5	0.0498	15.98	0.45	0.09
55	J103856.00+224820.6	0.0554	16.74	0.54	0.09
56	J104132.48+172358.1	0.1236	17.88	0.7	0.1
57	J104213.88+334801.3	0.0828	18.4	0.82	0.07
58	J104530.10+092408.0	0.1013	17.92	0.7	0.09
59	J104706.24+375225.8	0.1018	17.51	0.6	0.07
60	J104913.65+230821.9	0.0457	17.75	0.65	0.12
61	J105030.48+232931.4	0.0603	17.14	0.86	0.13
62	J105158.89+164537.2	0.1537	18.65	0.74	0.1
63	J105425.08+293517.5	0.2212	19.25	0.55	0.07
64	J105449.84+090220.5	0.0742	18.5	0.79	0.14
65	J105541.21+135425.5	0.0987	18.09	0.47	0.08
66	J105600.23+370646.1	0.1118	17.29	0.42	0.06
67	J110243.20+385152.6	0.1185	18.94	0.51	0.07
68	J110431.67+634524.3	0.2186	19.02	0.62	0.04
69	J110528.88+250658.7	0.0947	18.79	0.36	0.05
70	J110807.48+270602.8	0.0442	16.29	0.57	0.1
71	J111001.81+342730.2	0.0799	17.65	0.68	0.08
72	J111228.47+274324.9	0.1029	18	0.59	0.07
