name,exth,modelg_r,extj,extk,e_uhmag,exti,ukmag,extg,2kmag,nuvmag,extz,dedeg,e_zmag,e_ukmag,e_uymag,extu,radeg,extr,e_2kmag,2jmag,r50,gmag,uymag,rmag,modelg_i,modelg_j,dgr,2hmag,imag,b_a,extnuv,r90,e_2hmag,e_imag,modelu_j,modelu_k,modelu_i,modelu_r,logmstar,e_uvm2mag,grpcz,uvm2mag,e_rmag,absrmag,modelg_k,zmag,extuvm2,exty,e_umag,cz,e_nuvmag,e_2jmag,e_gmag,uhmag,umag,fl_insample,sdss_dr10_objid,flux_ratio_2c,r50_deconv1,sdss_dr12_specid,b_a_deconv1,dist2d_nn2,dist2d_nn3,dist2d_nn1,f_b,f_a,r50_deconv2c,r50_deconv2e,sdss_dr7_objid,b_a_innerdisk,sdss_dr7_specid,b_a_deconv2e,sdss_dr10_specid,b_a_deconv2c,sdss_dr12_objid,vdisp,logmstar_84,vrot,sfr_nuv,mu_delta,logmgas,sfr_nuv_wise,logmstar_16,ccr_star,ccr_bary,econame,ccr_lum,morph,morphel,mhi,ehiasym,ew20,emhi_corr_sys,w20,eb_a_innerdisk,ew50,eb_a,peaksnhi,confused,limflag,mhi_corr,hitelescope,emhi,emhi_corr_rand,w50,hiasym,grpn,grprproj_stack,grpabsrmag,logmh_dyn,grpsig,logmh_s,fc,logmh,ccr,grprproj,grpnassoc,grpmb,grp,grpms,logmh_dyn_stack,grpsig_stack,logmh_dyn_smooth,meanfsmgr,meanfsmgre15,logmstare15,kin_slit_flag,kin_done_hi,kin_done_blue,kin_done_red,kin_blue_code,kin_ifu_flag,kin_red_code,modelg_jcorr,modelu_icorr,modelu_jcorr,modelg_kcorr,absrmagcorr,modelu_kcorr,modelg_rcorr,modelu_rcorr,modelg_icorr,fuvmag,extfuv,e_fuvmag,centralout,logmbary_pc,NAME,oii_3726_flux,oii_3726_flux_err,oii_3729_flux,oii_3729_flux_err,neiii_3869_flux,neiii_3869_flux_err,h_delta_flux,h_delta_flux_err,h_gamma_flux,h_gamma_flux_err,oiii_4363_flux,oiii_4363_flux_err,h_beta_flux,h_beta_flux_err,oiii_4959_flux,oiii_4959_flux_err,oiii_5007_flux,oiii_5007_flux_err,hei_5876_flux,hei_5876_flux_err,oi_6300_flux,oi_6300_flux_err,nii_6548_flux,nii_6548_flux_err,h_alpha_flux,h_alpha_flux_err,nii_6584_flux,nii_6584_flux_err,sii_6717_flux,sii_6717_flux_err,sii_6731_flux,sii_6731_flux_err,ariii7135_flux,ariii7135_flux_err,oii_flux,oii_flux_err,oiii_flux,oiii_flux_err,Flux_HeII_3203,Flux_HeII_3203_Err,Flux_OII_3726,Flux_OII_3726_Err,Flux_OII_3728,Flux_OII_3728_Err,Flux_NeIII_3868,Flux_NeIII_3868_Err,Flux_Hd_4101,Flux_Hd_4101_Err,Flux_Hg_4340,Flux_Hg_4340_Err,Flux_OIII_4363,Flux_OIII_4363_Err,Flux_HeII_4685,Flux_HeII_4685_Err,Flux_ArIV_4711,Flux_ArIV_4711_Err,Flux_Hb_4861,Flux_Hb_4861_Err,Flux_OIII_4958,Flux_OIII_4958_Err,Flux_OIII_5006,Flux_OIII_5006_Err,Flux_HeI_5875,Flux_HeI_5875_Err,Flux_OI_6300,Flux_OI_6300_Err,Flux_NII_6547,Flux_NII_6547_Err,Flux_Ha_6562,Flux_Ha_6562_Err,Flux_NII_6583,Flux_NII_6583_Err,Flux_SII_6716,Flux_SII_6716_Err,Flux_SII_6730,Flux_SII_6730_Err
rf0001,0.02,0.26319699999999996,0.03,0.01,0.27,0.08,15.38,0.14,-99.0,19.33,0.05,-1.1128886,0.12,0.37,0.19,0.19,0.013432752,0.1,-99.0,15.84,3.32,17.69,16.48,17.32,0.42313199999999995,1.54713,-0.02,-99.0,17.15,0.81,0.33,6.89,-99.0,0.02,2.44903,3.2477,1.32503,1.1651,8.51,-99.0,6683.8,-99.0,0.04,-17.68,2.34579,17.05,0.34,0.04,0.04,6683.8,0.06,0.24,0.03,15.47,18.64,1,1237663275780276407,0.178071,7.5963,771305244821841920,0.5058,1.5648,1.6748,1.452,1,0,6.9021,8.5451,588015507658768464,0.842125,109153256998961152,0.5983,771305244821841920,0.2753,1237663275780276407,0.0,8.69,0.0,0.20464422,8.0091,8.818610000000001,0.22603978,8.41,-99.0,-99.0,notineco,-99.0,11.5,L,470416000.0,0.16726300000000002,0.0,0.0,114.64200000000001,0.08833060000000001,13.7229,0.0519,7.25895,0,0,0.0,GBT,39321900.0,0.0,103.76899999999999,-0.0771579,1.0,0.0,-17.6787,0.0,0.0,10.9209,1,10.9529,1.0,0.0,1.0,8.9915,1.0,8.5135,0.0,0.0,0.0,1.46118,1.46117,8.51,0,?,0,0,0,0,0,1.2227299999999999,0.9986649999999999,1.9921900000000001,1.93967,-17.9605,2.70913,0.141319,0.910782,0.229202,19.865,0.2928,0.2237,0,8.985,rf0001,0.0,-0.8145533,0.0,-0.8145533,7.941730251339279,3.567532,17.948810628677098,2.616873,36.7613567288081,2.525588,3.9308069153187324,2.419696,69.37304912985941,2.460657,37.84874294793638,2.214159,122.29712635342906,3.019328,6.486405887568735,1.927257,9.674641869270118,1.417357,6.3010477837113985,0.4188803,198.4069205113979,2.697778,18.99651404986789,1.2634379999999998,40.88985668275368,2.6424380000000003,26.999454619102693,1.6921400000000002,3.1405291795004713,1.445763,7.225071000000001,338.2154,112.7396,3.054162,0.0,0.0,64.05014876957564,15.35353,157.98874628125932,24.390829999999998,0.0,0.0,15.812896731795709,4.917234,40.076728880231805,6.4038379999999995,2.6883329441153867,7.944286999999999,0.0,0.0,13.349590588294303,11.63307,75.46948015885563,4.604149,47.57700300465882,1.608532,135.7326587374845,4.595805,9.439746853913627,4.172204,12.633025976891542,2.2772099999999997,7.505176680661082,0.8278329,220.02841902474776,3.814577,22.063712694939447,2.434803,46.30719665030635,3.962848,31.122340858283035,3.4629830000000004
rf0003,0.01,0.564297,0.02,0.01,0.07,0.05,14.5,0.1,14.35,20.14,0.04,0.81264576,0.03,0.1,0.15,0.13,2.3154592000000003,0.07,0.09,15.33,1.73,17.72,15.8,17.07,0.862358,2.18539,0.1,14.72,16.78,0.94,0.23,4.04,0.11,0.02,3.35164,4.2663199999999994,2.0286,1.7305400000000002,8.99,-99.0,5962.9,-99.0,0.02,-17.65,3.10007,16.51,0.24,0.03,0.03,5962.9,0.05,0.11,0.02,14.69,18.89,1,1237657191979942081,0.39784200000000003,3.6088,437006149221378048,0.8382,2.1082,2.9802,2.1008,1,0,4.1573,4.1573,587731187278676021,0.937061,109434742599843840,0.7438,437006149221378048,0.9113,1237657191979942081,37.3,9.11,0.0,0.17028312,9.2712,8.9553,0.20541350000000003,8.89,-99.0,-99.0,notineco,-99.0,-3.0,E,644431000.0,0.0753734,0.0,0.0,232.05200000000002,0.0153339,9.4827,0.0151,4.99188,0,0,0.0,AO,50059500.0,0.0,197.28099999999998,-0.0523067,1.0,0.0,-17.6492,0.0,0.0,11.1059,1,10.9459,1.0,0.0,1.0,9.2705,5.0,8.9895,0.0,0.0,0.0,0.124266,0.12425399999999999,8.99,0,?,0,1,0,1,1000,1.7024299999999999,1.3430000000000002,2.51988,2.52515,-18.0272,3.3426,0.327904,1.14536,0.5255489999999999,20.6576,0.207,0.0716,0,9.265,rf0003,0.0,-0.7232295999999999,0.0,-0.7232295999999999,25.883486712996866,4.3774169999999994,135.94056528237746,3.511187,229.77565623877638,3.785457,-3.5544297897228527,2.772032,430.98649253542885,4.603971,57.744541178449694,2.792937,193.8339993344772,3.462771,38.574706648289336,2.449052,23.081260982671985,2.037228,134.01213466891676,1.3402530000000001,1232.6213686513265,8.51483,402.8514515344948,4.042507,208.567457410447,3.23275,152.01853843299003,3.228627,20.88694286221897,3.892254,0.0,1.022801,120.5722,3.7284269999999995,0.0,0.0,80.51496336814343,26.97243,627.5431725940974,90.7615,55.54005211739077,10.997760000000001,190.4003036651163,7.43355,331.17153520561743,8.72573,0.0,0.0,6.395160073748927,14.99704,10.826158605615955,11.742569999999999,638.9019415939609,12.364139999999999,101.05379255023202,2.677596,285.656370607628,7.6502740000000005,50.838554197580045,4.705186,30.74825073219425,4.312615,198.77610334160588,3.5947080000000002,1879.0307806755443,28.0622,582.6674092907415,10.57267,300.855321895512,7.211019,215.73619830704595,5.873139
rf0006,0.03,0.530409,0.04,0.02,0.18,0.1,14.61,0.18,14.09,20.26,0.07,-1.108172,0.04,0.65,0.42,0.25,4.1918919,0.13,0.24,15.38,4.68,17.27,15.5,16.65,0.788403,1.95845,0.15,14.59,16.3,0.94,0.44,13.39,0.1,0.03,3.20173,3.97022,2.0316799999999997,1.77368,9.13,-99.0,5543.7,-99.0,0.02,-17.98,2.72695,16.09,0.46,0.06,0.09,5543.7,0.03,0.26,0.02,14.95,18.53,1,1237663782588645590,0.8255520000000001,22.5188,439178511115118592,0.6991,0.29014,1.8371,0.24538000000000001,1,0,20.0345,20.0345,588015507660603579,0.955937,109997790137942016,0.5378,439178511115118592,0.6048,1237663782588645590,0.0,9.23,0.0,0.046835543,8.78608,7.822,0.05801436,9.01,-99.0,-99.0,notineco,-99.0,-0.5,E,47410100.0,0.0,0.0,0.0,0.0,0.0242886,0.0,0.0245,0.0,0,1,0.0,AO,0.0,0.0,0.0,0.0,1.0,0.0,-17.9798,0.0,0.0,11.1589,1,11.0109,1.0,0.0,1.0,9.1615,7.0,9.1465,0.0,0.0,0.0,0.0580884,0.061292599999999996,9.13,0,0,0,0,0,0,0,1.84738,1.8825,3.02088,2.59895,-18.0724,3.7724599999999997,0.474091,1.64759,0.708994,21.1058,0.3929,0.4559,0,9.145,rf0006,0.0,-0.7114423000000001,0.0,-0.7114423000000001,-0.03200407219603873,2.98736,11.184913358332544,2.155698,14.345054051314195,1.8945580000000002,-2.037540672578379,1.8128970000000002,32.239643614983414,1.699601,12.799458433030322,1.557511,38.74870396558685,1.81155,4.1570049614784255,1.486085,3.057187105049305,1.080582,6.34741014327229,0.36018449999999996,92.20538073885257,1.502549,19.16580923074544,1.086398,24.370959924389773,1.262548,18.385607181680555,1.143358,0.9051803214827118,1.0995540000000001,0.0,1.0061309999999999,44.9621,1.960784,0.0,0.0,-7427.609092373948,0.0,0.0,0.0,0.0,0.0,10.280506461725228,4.752159,14.499185867671336,4.980505,0.0,0.0,2.690232166205365,7.845419000000001,0.5856217763437356,195.1301,37.65283734572161,3.3736029999999997,17.226327090802847,1.322282,49.38577622484935,3.7779480000000003,6.097640376746531,3.908603,3.95116120839085,2.431511,8.11850696507811,0.7687143,108.42967693258049,3.6023400000000003,23.903605873101803,2.260925,29.926063571245766,2.2161880000000003,23.152338283001857,2.334675
rf0007,0.02,0.518044,0.03,0.01,0.23,0.08,-99.0,0.14,12.23,18.0,0.06,-0.9580395,0.04,-99.0,0.06,0.19,4.2867326,0.1,0.26,13.2,10.3,15.54,13.6,14.95,0.794691,2.09018,-0.02,12.69,14.63,0.61,0.35,19.42,0.17,0.03,3.27765,4.1681,1.98216,1.7055099999999999,9.79,-99.0,5680.45,-99.0,0.02,-19.75,2.98063,14.42,0.35,0.05,0.03,5811.1,0.02,0.16,0.02,12.72,16.81,1,1237657189833310516,0.520413,24.6042,439183458917443584,0.5785,0.25722,1.8295,0.10636,1,0,24.793000000000003,24.793000000000003,587731185132044450,0.6196520000000001,109997790188273664,0.4734,439183458917443584,0.6228,1237657189833310516,0.0,9.91,98.7699,0.86018945,8.3183,9.397680000000001,1.1051114,9.59,-99.0,-99.0,notineco,-99.0,4.0,L,1784630000.0,0.019419799999999997,0.0,0.0,290.76599999999996,0.00772152,5.46674,0.0152,7.800510000000001,0,0,0.0,GBT,80839400.0,0.0,272.921,0.13551400000000002,2.0,0.11598800000000001,-21.0151,0.0,231.571,11.8279,0,11.8699,1.0,0.0530465,2.0,10.4145,8.0,10.3625,0.0,64.8986,11.6317,0.179362,0.17796700000000001,9.79,1,?,0,1,0,0,1000000,1.6518700000000002,1.4457,2.59081,2.4528,-20.1261,3.39174,0.324329,1.2632700000000001,0.5067619999999999,18.5386,0.3048,0.0728,0,9.935,rf0007,0.0,-0.7912670999999999,0.0,-0.7912670999999999,-5.480167760793346,2.694808,5.150417820867801,2.101352,9.79449148279676,1.791063,3.201241898501649,1.851753,31.481509229808637,1.6263940000000001,6.7117983398301275,1.529858,14.907404008073263,1.547224,2.498522957056083,1.396433,4.064320416588813,1.149131,13.682528181496261,0.42927440000000006,90.03711639725272,1.527087,41.23272534951284,1.294789,26.383443551944634,1.258738,13.031058987393264,1.1235030000000001,4.995734726294446,1.310808,0.0,1.1190209999999998,12.97391,1.7880919999999998,0.0,0.0,-12814.649987961826,0.0,-12810.924043646311,0.0,0.0,236.6273,6.568120189358461,4.241175,10.550056892782523,4.165893,1.5700787067013096,15.09875,0.0,0.0,1.8644557024621045,8.335037,37.170757782473736,2.784052,6.243398784308135,0.9693234000000001,17.787725126232626,2.769495,2.5859677489974273,5.351047,4.6285451350869184,2.841067,16.938076964414392,0.7328231,105.72682156589339,2.428448,49.773246506526,2.155362,31.31930045682352,1.8760580000000002,15.10834153477143,1.9104970000000001
rf0008,0.02,0.568787,0.03,0.01,0.05,0.08,-99.0,0.14,11.14,17.21,0.06,-0.97832513,0.02,-99.0,0.03,0.2,4.3577793,0.1,0.14,12.17,11.75,14.64,12.65,13.99,0.8760399999999999,2.24647,-0.06,11.5,13.65,0.54,0.35,23.02,0.02,0.02,3.48216,4.42422,2.11173,1.8044799999999999,10.21,-99.0,5680.45,-99.0,0.03,-20.61,3.18853,13.38,0.36,0.05,0.09,5549.8,0.02,0.06,0.03,11.59,15.86,1,1237657189833376029,0.154845,29.6206,773519116769191936,0.5251,0.29046,1.817,0.10157999999999999,1,0,27.7981,30.9559,587731185132109990,0.601713,193598872486936576,0.5377,773519116769191936,0.4834,1237657189833376029,0.0,10.33,174.074,2.3527805,8.707930000000001,8.86088,2.8816493999999997,10.05,-99.0,-99.0,notineco,-99.0,3.0,L,518501000.0,0.0,0.0,0.0,0.0,0.059495400000000004,0.0,0.0238,0.0,0,1,0.0,GBT,0.0,0.0,0.0,0.0,2.0,0.11598800000000001,-21.0151,0.0,231.571,11.8279,1,11.8699,1.0,0.0530465,2.0,10.4145,8.0,10.3625,0.0,64.8986,11.6317,0.166597,0.166075,10.21,1,0,0,1,0,0,1000000,1.7021400000000002,1.41044,2.59997,2.53551,-21.0712,3.4333400000000003,0.320915,1.21875,0.512609,17.7373,0.3082,0.0368,0,10.225,rf0008,0.0,-0.9128072,0.0,-0.9128072,-16.708908533131858,6.095425,27.693735948645145,4.147194,72.2382794096902,3.8634480000000004,-4.622730569390766,3.948757,109.30860712618554,3.5249080000000004,10.520263158321137,3.1223360000000002,23.999379955711614,3.146718,10.493965326758294,2.765447,3.051535764588601,2.4227689999999997,32.349324561104645,1.050492,312.62261638089063,3.9944269999999995,97.33055157208541,3.168524,25.533316733730544,2.716848,18.480205332844374,2.5035060000000002,-4.7370476873213905,2.581203,0.0,1.290904,12.540410000000001,3.301278,0.0,0.0,3684.887303097184,372.4683,313.96653329633784,519553.2,0.0,0.0,119.48690078894043,14.685170000000001,192.12647371402178,12.21219,0.0,0.0,22.259980764775207,10.88085,1.3256602358692464,57.00636,229.48578190138852,11.43252,15.87604559152515,2.892235,45.01385815029935,8.263527999999999,23.579800392273917,6.420030000000001,0.0,5.950108999999999,48.41463298736255,2.281078,430.5480156715604,7.7859229999999995,142.042108663396,6.709053,23.38225013282799,4.151658,18.554757010562298,4.4049629999999995
rf0010,0.02,0.20713800000000002,0.03,0.01,0.21,0.06,-99.0,0.11,14.24,18.16,0.04,0.32956582,0.05,-99.0,0.17,0.14,4.4761793,0.08,0.25,15.6,3.99,16.94,15.81,16.64,0.33857,1.41735,-0.1,-99.0,16.48,0.9,0.25,8.03,-99.0,0.06,2.17996,2.95417,1.10119,0.969757,8.49,-99.0,5498.7,-99.0,0.05,-17.89,2.19155,16.39,0.26,0.03,0.03,5446.7,0.04,0.13,0.02,15.09,17.77,1,1237657191444054061,0.482347,7.2847,439197202812790784,0.8765,0.21763000000000002,0.25367,0.010076,1,0,9.0327,9.0327,587731186742722714,0.898,109997790402183168,0.6994,439197202812790784,0.5487,1237657191444054061,0.0,8.65,0.0,0.38628188,7.973310000000001,9.20911,0.39787126,8.39,-99.0,-99.0,notineco,-99.0,3.5,L,2943410000.0,0.0592835,0.0,428579000.0,0.0,0.0319327,4.10406,0.0,6.710089999999999,1,0,971197000.0,ALFALFA,128595000.0,230463000.0,166.30700000000002,0.16283,2.0,0.0980115,-20.1329,0.0,129.685,11.3059,0,11.5089,1.0,0.11127999999999999,3.0,9.9155,10.0,9.4945,0.0,69.1947,11.6928,2.63826,2.63825,8.49,1,0,0,1,0,0,1000000,1.06095,0.7504460000000001,1.68337,1.74311,-18.1978,2.36553,0.0759296,0.698351,0.128025,18.8177,0.2246,0.0449,0,9.285,rf0010,0.0,-0.8298643,0.0,-0.8298643,43.144636118796626,2.937794,33.89056876321214,2.286906,72.32494570209627,2.282962,6.876256639595748,1.9605380000000001,127.81864216023006,2.000575,94.21923986892357,1.9536169999999997,282.74349893427706,2.521821,9.195874815133326,1.6466180000000001,13.483548526172935,1.2636969999999998,13.248738031604281,0.3914385,365.56131657825796,2.2796950000000002,39.81012287456633,1.180668,67.87425240551013,1.571285,45.0777685298448,1.261486,7.352769211350339,1.234219,0.0,1.173605,163.4013,2.566227,0.0,0.0,-28569.822162878256,0.0,0.0,0.0,56.03358132184263,7.3808940000000005,47.88717556476682,4.232697,92.15535320856164,4.756801,4.659960296033061,9.771609,0.0,0.0,0.0,14.88013,161.3339807472165,5.224404,117.83367399376345,3.50176,332.64795674923306,10.00503,10.623014229864623,4.3142830000000005,16.362856444980903,2.112629,16.066290093277086,0.8020885999999999,421.11342816486274,10.067739999999999,47.07500613917313,2.359084,78.5657635745011,3.190661,51.420400970333,2.769864
rf0011,0.02,0.269381,0.03,0.01,0.41,0.06,-99.0,0.11,12.36,16.78,0.04,0.33532953,0.02,-99.0,-99.0,0.14,4.4808912,0.08,0.5,13.38,12.26,14.99,-99.0,14.64,0.43383999999999995,1.57544,-0.08,12.13,14.39,0.72,0.25,35.78,1.2,0.04,2.5375400000000004,3.35379,1.39593,1.23147,9.43,-99.0,5498.7,-99.0,0.05,-19.93,2.3917,14.28,0.26,0.03,0.03,5550.7,0.02,0.33,0.04,13.03,15.88,1,1237657191444054059,0.65555,39.0981,773646385240107008,0.59,0.2119,0.25293000000000004,0.010269,1,0,26.5118,82.8561,587731186742722713,0.7637609999999999,109716226070020096,0.1598,773646385240107008,0.7812,1237657191444054059,0.0,9.61,115.389,1.3569528,8.26437,9.53657,1.5601955,9.35,-99.0,-99.0,notineco,-99.0,4.0,L,3056880000.0,0.060342599999999996,0.0,491442000.0,0.0,0.0422293,4.10406,0.0222,6.710089999999999,1,0,2457210000.0,ALFALFA,133553000.0,188871000.0,166.30700000000002,0.158984,2.0,0.0980115,-20.1329,0.0,129.685,11.3059,1,11.5089,1.0,0.11127999999999999,3.0,9.9155,10.0,9.4945,0.0,69.1947,11.6928,1.6504900000000002,1.64973,9.43,1,0,0,1,0,0,1000000,1.28006,1.10067,2.12318,2.0215099999999997,-20.2428,2.86464,0.158749,1.00187,0.25755300000000003,17.0257,0.2246,0.022000000000000002,0,9.785,rf0011,0.0,-0.9664282,0.0,-0.9664282,8.411930633156285,4.8643,16.276464251473605,3.7133519999999995,28.45743891976206,3.202553,1.7522785826467038,3.233911,65.37423580138994,2.970412,15.737701592454245,2.655337,46.65941818829395,2.927627,11.449804226417099,2.314509,10.592606877277122,1.9458990000000003,17.852257040938493,0.731689,186.97031439197525,3.1985360000000003,53.796834544505344,2.2069400000000003,51.58023892439382,2.440223,33.45266599592359,2.1176049999999997,0.8337177471459671,1.979491,0.0,1.366736,39.61684,3.1888400000000003,0.0,0.0,0.0,0.0,2.6080531164088915e+31,3.16e+25,5.670713093605403e-15,0.0,24.709133638592768,4.392005,35.43418780471112,4.634301,0.0,0.0,0.0,0.0,0.0,0.0,69.94133942367576,4.259951999999999,15.428326411945234,0.6280425999999999,43.952104445086334,1.7944069999999999,11.25921141976274,1.4631239999999999,9.901786522868885,3.198381,17.546830229720086,0.7337741999999999,172.3403776674978,2.36428,51.56068712919474,2.158159,49.5723801186055,3.060225,32.36415626009119,1.188776
rf0014,0.01,0.324837,0.02,0.01,0.33,0.05,15.55,0.09,-99.0,19.81,0.04,0.6539676999999999,0.05,0.7,0.37,0.13,5.0072566,0.07,-99.0,-99.0,6.2,17.73,16.52,17.32,0.505209,1.6391099999999998,-0.08,14.95,17.12,0.35,0.23,12.27,1.05,0.03,2.70854,3.50883,1.57464,1.3942700000000001,8.51,-99.0,5850.6,-99.0,0.03,-17.36,2.4394,17.02,0.23,0.03,0.03,5850.6,0.05,-99.0,0.02,15.28,18.83,1,1237657191981121893,0.244464,14.3512,439205174272092160,0.3453,0.12700999999999998,0.23228000000000001,0.11119000000000001,1,0,6.5329999999999995,19.5847,587731187279855823,0.362342,109997790523817984,0.2324,439205174272092160,0.8611,1237657191981121893,0.0,8.67,44.3324,0.076058733,7.529780000000001,8.76982,0.076058733,8.39,-99.0,-99.0,notineco,-99.0,1.0,L,420433000.0,0.0908951,0.0,0.0,132.895,0.019608,3.82689,0.018000000000000002,5.08396,0,0,0.0,AO,38279600.0,0.0,138.78799999999998,0.0886309,1.0,0.0,-17.8645,0.0,207.023,10.9209,1,10.8979,1.0,0.0817633,2.0,8.9595,12.0,8.5185,0.0,0.0,0.0,0.636264,0.6241909999999999,8.51,1,1,0,1,0,0,100000,1.4030200000000002,1.32944,2.3721799999999997,2.14759,-17.5573,3.11674,0.232141,1.2013,0.36028499999999997,20.1634,0.2015,0.068,0,8.955,rf0014,0.0,-0.8021497,0.0,-0.8021497,4.114437722417599,2.005362,3.8812336568361485,1.598509,15.365468600302416,1.452284,-2.1978061468005126,1.459286,20.019509791433798,1.378001,7.480439316854382,1.264243,24.342554083459667,1.411197,2.6722516603818405,1.177157,2.427875254021669,0.9658167,2.4932946616802525,0.2790986,57.25579800350066,1.146851,7.510241238637157,0.8418249,15.935772011612372,1.020543,10.99564291432989,1.004471,2.3927443294089823,1.175946,0.0,1.134411,21.09957,1.6476979999999999,0.0,0.0,0.0,0.0,0.0,0.0,15.349778301718615,8.658299000000001,20.14249931518765,13.03664,28.41857728748107,6.6217179999999995,0.0,0.0,0.0,0.0,0.0,0.0,30.143558427276222,3.668049,13.914199922947732,1.707344,39.585675211270924,4.878126,11.252403081018496,6.910277000000001,6.0967903115487765,3.079439,3.2251062702611173,0.6997504,72.71894661194472,3.278465,9.472847717766696,2.058089,22.23636525069641,2.065892,14.74806650987444,2.3033669999999997
rf0015,0.01,0.7293850000000001,0.02,0.01,0.11,0.05,10.97,0.09,10.76,18.42,0.04,0.82660918,0.02,0.22,0.04,0.13,5.1077407,0.07,0.13,11.72,14.64,14.58,12.41,13.79,1.08344,2.57598,-0.06,11.06,13.38,0.6,0.23,31.75,0.11,0.02,4.1692599999999995,5.11951,2.67672,2.32267,10.45,-99.0,5293.5,-99.0,0.02,-20.64,3.5262300000000004,13.11,0.23,0.03,0.12,5232.0,0.02,0.04,0.02,11.31,16.21,1,1237657191981187126,0.753899,279.346,439212870853486592,0.3208,0.058351,0.1922,0.013652000000000001,1,0,129.839,129.839,587731187279921175,0.3429,109997790658035712,0.3893,439212870853486592,0.3497,1237657191981187126,86.1079,10.53,0.0,0.45081069,8.81633,8.910960000000001,0.45081069,10.33,-99.0,-99.0,notineco,-99.0,1.0,L,581881000.0,0.0,0.0,0.0,0.0,-99.0,0.0,0.0722,0.0,0,1,0.0,ALFALFA,0.0,0.0,0.0,0.0,2.0,0.09753510000000001,-20.7069,0.0,109.006,11.8409,1,11.7379,1.0,0.0296522,2.0,10.3885,13.0,10.3745,0.0,72.9255,11.7915,0.0580374,0.300877,10.35,1,0,1,0,10000,0,0,2.20004,2.18626,3.55398,3.08588,-20.9607,4.43981,0.556608,1.9105400000000001,0.8323309999999999,19.3689,0.2005,0.0794,0,10.475,rf0015,0.0,-0.7019944,0.0,-0.7019944,126.9157405900484,3.797626,865.078797964307,3.3668139999999998,1527.3990504605442,3.58998,46.519931442607486,3.3116830000000004,2953.591379386477,4.637402,204.5981867233795,3.061825,448.9010097704162,3.2704470000000003,184.9157006908272,2.867378,168.86040324297994,3.017703,1068.4780240417783,1.981365,8447.271345045327,11.969560000000001,3199.392214918727,5.976246,1077.917618505417,4.456574,826.7546671876947,4.062144,3.906764932204319,3.05324,0.0,0.99277,84.73048,3.836525,0.0,0.0,3.390293906738883e+24,7.27e+17,0.0,0.0,538.381444901247,12.266810000000001,3652.7109753572,22.728620000000003,5626.592432188215,22.77042,0.0,0.0,0.0,0.0,0.0,0.0,9225.289915312922,24.4239,526.4088075526412,6.66248,1470.663266943543,19.03566,583.7713173639596,21.65247,352.06452831235515,12.65676,2605.3325614702853,9.84805,20321.644001621215,53.0397,7607.134339414548,28.96485,2375.3090555871568,20.831429999999997,1820.6231341686248,18.07551
rf0017,0.01,0.40912800000000005,0.02,0.01,0.53,0.05,14.57,0.1,-99.0,19.54,0.04,0.54122065,0.08,0.65,0.2,0.13,5.1195847,0.07,-99.0,15.7,3.27,17.43,16.02,16.96,0.632542,1.8306900000000002,0.16,14.48,16.69,0.72,0.23,9.89,0.26,0.02,2.93262,3.7633099999999997,1.7344700000000002,1.51106,8.75,-99.0,5521.8,-99.0,0.08,-17.6,2.66138,16.53,0.24,0.03,0.13,5521.8,0.03,0.16,0.02,14.8,18.54,1,1237663277929988251,-999.0,-999.0,439216994022090752,-999.0,0.2471,0.30953,0.21923,1,0,-999.0,-999.0,588015509808480386,0.7143619999999999,109997790758699008,-999.0,439216994022090752,-999.0,1237663277929988251,0.0,8.93,0.0,0.11108573,8.76673,8.424339999999999,0.12240150000000001,8.57,-99.0,-99.0,notineco,-99.0,-1.0,E,189764000.0,0.115067,0.0,0.0,110.956,0.0108705,9.25666,0.02,4.58172,0,0,0.0,AO,17744000.0,0.0,115.27,-0.050397000000000004,1.0,0.0,-17.5962,0.0,0.0,11.0109,1,10.9379,1.0,0.0,1.0,8.9175,15.0,8.7615,0.0,0.0,0.0,0.353515,0.352259,8.75,0,?,0,0,0,0,0,1.4959200000000001,1.3644399999999999,2.43846,2.25126,-17.9004,3.1938,0.271826,1.2143700000000002,0.421896,19.8577,0.2068,0.043,0,8.915,rf0017,0.0,-0.7327014000000001,0.0,-0.7327014000000001,12.289669238985239,2.650868,28.23811884776894,2.044149,46.78952920393056,1.942814,5.7765301611190925,1.76135,95.34023550149647,1.900566,51.11438357959537,1.764782,149.8285694250147,2.257174,9.06258558642443,1.386915,9.391219469653345,1.140268,13.435820077470098,0.3703594,272.6730735342799,2.10665,40.51841165989068,1.1170879999999999,61.4486435831269,1.370889,43.53506080327762,1.187643,5.6499732246655086,1.0895920000000001,0.0,1.036196,145.7372,2.325526,0.0,0.0,0.0,0.0,0.0,0.0,21.973323738108235,6.77804,39.04422237163524,5.086046,62.92259960318397,3.9221489999999997,5.798675245544134,4.037579,13.574873508234637,15.695210000000001,3.5691807120137824,5.211538,127.63036739696132,3.871831,66.79479613423847,1.38844,190.73593896968205,3.96697,11.98489574108401,2.780318,14.978799595796128,2.8925110000000003,17.438990430124264,0.7546676,347.2955622017431,3.791213,51.28212406778158,2.21961,79.78469522445961,2.611068,57.28846933834654,2.284052
