#name,reliable,oii_3726_flux,oii_3726_flux_err,oii_3729_flux,oii_3729_flux_err,neiii_3869_flux,neiii_3869_flux_err,h_delta_flux,h_delta_flux_err,h_gamma_flux,h_gamma_flux_err,oiii_4363_flux,oiii_4363_flux_err,h_beta_flux,h_beta_flux_err,oiii_4959_flux,oiii_4959_flux_err,oiii_5007_flux,oiii_5007_flux_err,hei_5876_flux,hei_5876_flux_err,oi_6300_flux,oi_6300_flux_err,nii_6548_flux,nii_6548_flux_err,h_alpha_flux,h_alpha_flux_err,nii_6584_flux,nii_6584_flux_err,sii_6717_flux,sii_6717_flux_err,sii_6731_flux,sii_6731_flux_err,ariii7135_flux,ariii7135_flux_err,oii_flux,oii_flux_err,oiii_flux,oiii_flux_err,Flux_HeII_3203,Flux_HeII_3203_Err,Flux_OII_3726,Flux_OII_3726_Err,Flux_OII_3728,Flux_OII_3728_Err,Flux_NeIII_3868,Flux_NeIII_3868_Err,Flux_Hd_4101,Flux_Hd_4101_Err,Flux_Hg_4340,Flux_Hg_4340_Err,Flux_OIII_4363,Flux_OIII_4363_Err,Flux_HeII_4685,Flux_HeII_4685_Err,Flux_ArIV_4711,Flux_ArIV_4711_Err,Flux_Hb_4861,Flux_Hb_4861_Err,Flux_OIII_4958,Flux_OIII_4958_Err,Flux_OIII_5006,Flux_OIII_5006_Err,Flux_HeI_5875,Flux_HeI_5875_Err,Flux_OI_6300,Flux_OI_6300_Err,Flux_NII_6547,Flux_NII_6547_Err,Flux_Ha_6562,Flux_Ha_6562_Err,Flux_NII_6583,Flux_NII_6583_Err,Flux_SII_6716,Flux_SII_6716_Err,Flux_SII_6730,Flux_SII_6730_Err
rs1413,1,0,-0.7584288,0,-0.7584288,-0.6925403,2.785108,0.5641277,2.096016,5.573273,1.962966,0.6594536,1.574124,5.445053,1.25068,2.262447,1.163522,4.593507,1.150478,0.09495372,1.453301,0.2903448,0.8700159,0.1213506,0.2732838,15.89019,1.051911,0.3660214,0.8242863,-448.9156,1059.83,1.689312,0.8360018,0.4362787,0.9535869,0,1.07258,4.62588,1.150275,0,0,17.86208,51.75608,2.06E+08,8030669,0,0,4.273459,8.676092,9.854432,5.177944,0,0,0,0,0,0,8.728703,3.434879,2.846653,1.164549,8.133296,3.327282,0,0,1.659688,15.06025,0.4642935,3.418774,21.05561,2.936224,1.365569,10.05522,10.69377,5.330485,2.805494,2.789894
rs0246,1,0,-0.7267429,0,-0.7267429,144.3374,5.311785,164.2888,4.150512,307.7731,4.841933,9.517946,2.818836,690.1702,6.92603,733.8087,7.949262,2251.291,16.3906,88.81875,2.748005,43.39595,2.130707,61.20106,0.9367158,2386.451,16.76814,184.5965,2.825348,237.3203,3.737164,173.5499,3.291775,61.5966,2.484944,0,1.02777,2259.787,16.50112,0,0,0,0,0,0,291.313,18.21838,301.9208,18.78786,551.6345,28.00473,11.33412,8.66461,40.94384,26.46638,2.673189,15.30856,1164.087,39.81462,1283.229,43.60772,3666.369,124.5935,138.4553,8.33217,74.01936,5.88728,102.265,3.331561,3820.172,86.8616,300.7793,9.798709,392.7046,11.74603,282.9601,10.83119
rs0586,1,0,-0.6082509,0,-0.6082509,52.90845,6.42126,47.99635,4.26713,73.62621,3.869551,0.6227446,3.168269,148.0499,3.630049,107.3192,3.319476,338.6583,5.253611,17.47438,2.203908,13.06653,1.673965,12.11185,0.5816653,437.2443,5.374276,36.53214,1.754435,70.11016,2.056673,46.07056,2.41885,13.61803,2.47856,0,0.8601966,337.9511,5.254047,0,0,107.4851,119.6409,3.81E-09,0,152.9015,27.29616,118.9969,16.65573,162.0288,17.06463,2.1699,41845.33,0,0,2.797299,368.7196,283.394,20.52548,224.5084,14.77285,641.4526,42.20815,35.45567,7.783776,26.26504,4.92001,25.53393,2.665928,809.2386,44.75516,75.09981,7.840965,138.4954,8.373095,90.73992,9.437079
rs0586,1,0,-0.5971594,0,-0.5971594,48.20424,3.653046,46.71463,2.237515,85.34705,2.159999,1.052052,1.556487,168.8366,2.417558,126.4699,2.173548,385.2049,3.665016,19.63008,1.264988,14.71967,1.03275,14.82353,0.3553694,490.5666,3.843541,44.71119,1.071875,76.94622,1.388315,43.88305,1.49291,14.40562,1.244513,0,0.8445109,385.2908,3.665617,0,0,3582.108,0,0,0,92.48692,12.89966,106.3455,7.387383,136.166,4.764357,80.61551,0,0,0,0,0,268.4472,5.216841,206.7558,2.251463,590.7309,6.432752,30.03271,3.723224,28.88778,2.894218,26.00465,0.9564947,789.0412,7.820112,76.48427,2.81322,126.5549,3.147001,77.61352,4.204784
rs0696,1,0,-0.7432939,0,-0.7432939,-0.8768803,3.729502,6.158065,2.880509,17.11621,2.789755,-4.127011,2.795879,28.44703,2.604749,0.07575875,2.429195,7.923645,2.540897,2.010397,2.373286,3.820206,2.101201,15.0052,0.8116314,99.12968,2.773521,45.25915,2.448065,22.87207,2.242298,14.96085,2.43742,2.439925,2.324896,0,1.051176,10.29696,3.241425,0,0,88.0688,1247387,32.59506,3970.378,0,0,8.73267,10.93292,27.67544,6.527572,0,0,0,0,4.122559,12.2944,43.41438,4.654623,3.658418,1.962743,10.45262,5.607838,3.932091,9.415712,7.320705,5.081384,19.63103,1.385903,131.4147,4.667259,57.73833,4.076186,27.20774,4.360122,19.56251,5.184329
rs0747,1,0,-0.6884822,0,-0.6884822,1.280536,3.949164,7.81784,3.022019,7.013434,2.83772,5.845519,2.791787,19.69873,2.284731,1.168487,2.069313,7.210301,2.135882,1.344184,2.124322,1.682992,1.569855,9.364069,0.5843743,81.3138,2.365731,28.24419,1.762606,23.55199,1.752634,24.48077,5.355796,-5.291326,2.898039,0,0.9736609,7.285688,1.990895,0,0,0,0,106.4034,0,2.629475,58.45278,9.719029,10.28885,9.360031,12.43898,6.88807,13.16066,1.159978,68.75239,0,0,29.7799,5.546299,4.096073,2.102586,11.70307,6.00739,2.21591,12.87095,2.678011,8.662781,14.49605,1.165597,117.2309,5.203311,42.63544,3.428227,34.77472,3.439098,24.94882,5.186617
rs0840,1,0,-0.8133026,0,-0.8133026,20.79439,4.719898,52.39201,3.544158,89.41629,3.335119,0.9445428,2.760009,180.79,3.691851,96.0108,3.175699,287.7286,4.763097,22.06442,2.354456,17.43836,1.839293,30.7961,0.7294187,573.3683,5.62976,92.88815,2.200093,96.12051,2.860829,64.3994,2.319051,11.60809,2.129105,0,1.150184,287.5581,4.80572,0,0,400.6497,65.56801,222.8133,45.70955,26.36457,8.582695,56.68821,7.5861,100.3363,8.072882,0,0,0,0,5.995903,8.372949,212.9921,12.86128,117.605,6.1035,336.0143,17.43857,30.51824,5.899682,20.63565,3.384954,36.89516,1.920844,669.3938,28.18244,108.5152,5.64954,111.4498,6.898233,74.99237,4.764075
rs0883,1,0,-0.7520397,-6.594859,490123.5,8.904835,4.514803,1.93467,2.631328,6.669488,2.313074,-0.2284665,3.286481,8.107997,2.061306,3.565743,2.988146,3.710303,2.991411,-0.8625589,2.289611,0.4038092,2.775266,5.970877,1.119954,24.59038,2.018944,18.00954,3.378037,2.66469,3.355572,1.79445,3.012689,-1.711075,3.199121,0,1.063545,4.393853,2.163607,0,0,156.6364,4.63E+07,34.08661,300.5088,10.61735,13.92007,26.55734,20.65644,21.09998,8.796222,0,0,0,0,0,0,46.82953,15.78142,1.652301,6.367477,4.720859,18.19279,0,0,0,0,12.30676,2.671786,29.625,8.243814,36.19635,7.858195,1.804679,478.1953,0,0
rf0488,1,0,-0.7841116,-518728.5,1469207,2.887679,3.733064,24.66483,2.610052,40.51737,2.30267,-0.7780919,2.210763,96.77004,2.448605,26.72281,2.028099,83.65723,2.464474,11.52549,1.898848,10.36398,1.459469,31.32073,0.6098685,373.787,3.226838,94.47054,1.839502,85.56879,2.824137,59.93936,1.90168,10.14028,1.615162,0,1.108901,82.27753,2.615984,0,0,299.5037,224.2011,214.1481,182.3094,32.76853,21.4123,51.75874,10.03887,96.34879,10.98189,0,0,0,0,5.626962,7.333577,178.685,7.725955,51.54271,2.517568,147.2649,7.193052,21.79362,7.001702,16.72215,3.613707,52.48326,1.945295,595.7643,15.215,154.3625,5.721456,135.7063,7.354465,95.97468,5.608319
rf0488,1,1131260,533158.3,-425.6687,171.3654,4.279404,3.323103,26.24907,2.530483,48.03079,2.478966,2.952212,2.266454,96.82641,2.788263,24.63062,2.632648,79.78275,2.931403,9.169497,1.877254,11.33273,1.627219,31.04641,0.7420847,372.6463,4.446766,93.64314,2.238297,79.21332,2.564694,55.3184,2.218086,7.555281,1.885016,218.5225,628.1655,79.45733,3.127323,0,0,289.4272,46.13186,191.9555,32.89914,12.7899,10.33063,55.73529,9.610258,98.64606,9.007381,7.506167,7.762309,0,0,0,0,177.3816,9.531466,48.6293,3.010364,138.9409,8.601041,21.31231,6.514686,17.93669,4.427291,50.89238,1.995876,591.7027,16.38765,149.6835,5.870224,125.1068,6.564477,86.12229,6.05954
