name radeg dedeg h m s d dec_m dec_s
rf0001 0.013432752 -1.1128886 0.0 0.0 3.223860480000001 -1.0 -6.0 -46.39896000000002
rf0002 1.146787 0.84866485 0.0 4.0 35.22888000000005 0.0 50.0 55.19345999999999
rf0003 2.3154592000000003 0.81264576 0.0 9.0 15.710208000000172 0.0 48.0 45.52473599999985
rf0004 2.9560889 -1.0870759 0.0 11.0 49.46133600000014 -1.0 -5.0 -13.473240000000342
rf0005 3.0254612 -0.41511957 0.0 12.0 6.110688000000124 -0.0 -24.0 -54.430452
rf0006 4.1918919 -1.108172 0.0 16.0 46.05405600000019 -1.0 -6.0 -29.419199999999766
rf0007 4.2867326 -0.9580395 0.0 17.0 8.815824000000134 -0.0 -57.0 -28.942200000000184
rf0008 4.3577793 -0.97832513 0.0 17.0 25.867032000000165 -0.0 -58.0 -41.970467999999954
rf0009 4.4165136 0.50624571 0.0 17.0 39.96326400000022 0.0 30.0 22.484555999999856
rf0010 4.4761793 0.32956582 0.0 17.0 54.28303200000023 0.0 19.0 46.43695200000003
rf0011 4.4808912 0.33532953 0.0 17.0 55.413888000000284 0.0 20.0 7.186307999999926
rf0012 4.7535735 0.66181355 0.0 19.0 0.8576400000001883 0.0 39.0 42.528779999999955
rf0013 4.9472732000000015 0.59081703 0.0 19.0 47.34556800000057 0.0 35.0 26.94130799999982
rf0014 5.0072566 0.6539676999999999 0.0 20.0 1.7415840000001737 0.0 39.0 14.28371999999996
rf0015 5.1077407 0.82660918 0.0 20.0 25.857768000000192 0.0 49.0 35.79304800000017
rf0016 5.114721 0.83361606 0.0 20.0 27.533040000000284 0.0 50.0 1.0178159999998115
rf0017 5.1195847 0.54122065 0.0 20.0 28.700328000000184 0.0 32.0 28.39433999999997
rf0018 5.141134 0.85660048 0.0 20.0 33.872160000000235 0.0 51.0 23.761727999999778
rf0019 5.257265 0.99258607 0.0 21.0 1.743600000000285 0.0 59.0 33.30985200000001
rf0020 5.2621293 0.83353957 0.0 21.0 2.911032000000162 0.0 50.0 0.7424520000002133
rf0021 5.3970879 1.1656492 0.0 21.0 35.30109600000017 1.0 9.0 56.33712000000024
rf0022 5.4409059 0.5576055999999999 0.0 21.0 45.81741600000015 0.0 33.0 27.38015999999959
rf0023 5.948672599999999 -0.6614496999999999 0.0 23.0 47.68142400000002 -0.0 -39.0 -41.2189199999996
rf0024 6.393436 0.84689776 0.0 25.0 34.424640000000295 0.0 50.0 48.831935999999985
rf0025 6.6043565000000015 1.0200539 0.0 26.0 25.045560000000577 1.0 1.0 12.194039999999848
rf0026 6.9744334000000014 -0.96671962 0.0 27.0 53.864016000000774 -0.0 -58.0 -0.19063200000019265
rf0027 7.139569 -1.1799633 0.0 28.0 33.49656000000017 -1.0 -10.0 -47.86788000000023
rf0028 7.682566 -0.29954972 0.0 30.0 43.81584000000032 -0.0 -17.0 -58.378992000000096
rf0029 7.7174578999999985 0.5288937 0.0 30.0 52.18989599999986 0.0 31.0 44.017320000000026
rf0030 7.752697 0.43559649 0.0 31.0 0.6472800000003076 0.0 26.0 8.14736400000001
rf0031 7.800475599999999 -0.40728233 0.0 31.0 12.114143999999882 -0.0 -24.0 -26.216388000000066
rf0032 7.930626299999999 0.90061022 0.0 31.0 43.350312000000244 0.0 54.0 2.196791999999874
rf0033 7.958349 -0.99101351 0.0 31.0 50.003760000000455 -0.0 -59.0 -27.648636000000124
rf0034 9.1263438 -0.28733436 0.0 36.0 30.322512000000614 -0.0 -17.0 -14.40369600000004
rf0035 9.370262 0.27770356 0.0 37.0 28.8628800000005 0.0 16.0 39.73281600000007
rf0036 9.668480699999998 1.1407252 0.0 38.0 40.43536799999998 1.0 8.0 26.610720000000327
rf0037 9.895471 0.86009895 0.0 39.0 34.913040000000564 0.0 51.0 36.35622000000026
rf0038 9.9306327 0.96071864 0.0 39.0 43.3518480000005 0.0 57.0 38.587103999999925
rf0039 10.019023 0.048237071 0.0 40.0 4.565520000000589 0.0 2.0 53.65345560000001
rf0040 10.112196 -0.045310598 0.0 40.0 26.92704000000063 -0.0 -2.0 -43.11815279999999
rf0041 10.113321 0.32853565 0.0 40.0 27.197040000000214 0.0 19.0 42.72834000000003
rf0042 10.146464 -0.29351457 0.0 40.0 35.15136000000041 -0.0 -17.0 -36.65245199999987
rf0043 10.157937 -0.33044733 0.0 40.0 37.90488000000053 -0.0 -19.0 -49.6103879999999
rf0044 10.247671 0.77170063 0.0 40.0 59.44104000000053 0.0 46.0 18.122268000000048
rf0045 10.268057 0.90804605 0.0 41.0 4.333680000000584 0.0 54.0 28.965780000000336
rf0046 10.372211 -1.1959734 0.0 41.0 29.330640000000443 -1.0 -11.0 -45.504239999999925
rf0047 10.400047 1.0737683 0.0 41.0 36.011280000000596 1.0 4.0 25.565880000000032
rf0048 10.408329 0.2580295 0.0 41.0 37.998960000000466 0.0 15.0 28.906200000000055
rf0049 10.417365 0.20896589 0.0 41.0 40.1676000000009 0.0 12.0 32.277203999999955
rf0050 10.442419 1.1774094 0.0 41.0 46.18056000000024 1.0 10.0 38.67383999999973
rf0051 10.459986 -1.0238153 0.0 41.0 50.39664000000059 -1.0 -1.0 -25.73508000000034
rf0052 10.515688 0.71905499 0.0 42.0 3.7651200000010476 0.0 43.0 8.597963999999791
rf0053 10.538529 -0.087803967 0.0 42.0 9.246960000000968 -0.0 -5.0 -16.094281200000005
rf0054 10.54719 0.90474224 0.0 42.0 11.325600000000549 0.0 54.0 17.072063999999898
rf0055 10.566241 0.84552793 0.0 42.0 15.897840000000372 0.0 50.0 43.9005480000003
rf0056 10.62946 1.0771972 0.0 42.0 31.07040000000083 1.0 4.0 37.90992000000028
rf0057 10.96624 0.80181104 0.0 43.0 51.89760000000064 0.0 48.0 6.519744000000003
rf0058 11.122973 1.1085537 0.0 44.0 29.513520000000426 1.0 6.0 30.79332000000031
rf0059 11.162136 -0.36227705 0.0 44.0 38.91264000000092 -0.0 -21.0 -44.19737999999988
rf0060 11.696368 -0.70129719 0.0 46.0 47.12832000000034 -0.0 -42.0 -4.669884000000053
rf0061 11.819752 -1.148585 0.0 47.0 16.740480000000275 -1.0 -8.0 -54.905999999999935
rf0062 12.398937 1.115894 0.0 49.0 35.744880000000876 1.0 6.0 57.21839999999979
rf0063 12.467789 0.96290589 0.0 49.0 52.269360000000376 0.0 57.0 46.46120400000015
rf0064 12.621074 -0.5306116 0.0 50.0 29.057760000000883 -0.0 -31.0 -50.20175999999978
rf0065 12.714973 0.8514702 0.0 50.0 51.59352000000055 0.0 51.0 5.2927199999999175
rf0066 12.955997 0.56493067 0.0 51.0 49.43928000000042 0.0 33.0 53.7504119999997
rf0067 13.66631 0.75545443 0.0 54.0 39.91440000000068 0.0 45.0 19.635947999999956
rf0068 13.93738 0.58835076 0.0 55.0 44.971200000000664 0.0 35.0 18.06273599999969
rf0069 13.963345 -1.0735834 0.0 55.0 51.20280000000051 -1.0 -4.0 -24.900239999999876
rf0070 14.523497 -0.89962443 0.0 58.0 5.639280000001037 -0.0 -53.0 -58.64794800000027
rf0071 14.703615 0.58749431 0.0 58.0 48.867600000000664 0.0 35.0 14.97951599999979
rf0072 14.731433 1.0056997 0.0 58.0 55.54392000000064 1.0 0.0 20.518920000000307
rf0073 14.767174 1.0011835 0.0 59.0 4.121760000001018 1.0 0.0 4.260600000000014
rf0074 14.925815 0.91675446 0.0 59.0 42.19560000000044 0.0 55.0 0.3160560000002022
rf0075 15.209051 -0.73131234 1.0 0.0 50.172240000000826 -0.0 -43.0 -52.724423999999885
rf0076 15.504031 0.5121939 1.0 2.0 0.967440000000348 0.0 30.0 43.89803999999998
rf0077 15.676783 -0.74954697 1.0 2.0 42.427920000000725 -0.0 -44.0 -58.36909199999994
rf0078 15.72456 -0.31966061 1.0 2.0 53.894400000000445 -0.0 -19.0 -10.778196000000122
rf0079 15.747876000000002 -0.67819545 1.0 2.0 59.49024000000149 -0.0 -40.0 -41.50362000000001
rf0080 15.757275 -1.1108452 1.0 3.0 1.7460000000004072 -1.0 -6.0 -39.04271999999992
