name,name.1,exth,modelg_r,extj,extk,e_uhmag,exti,ukmag,extg,2kmag,nuvmag,extz,dedeg,e_zmag,e_ukmag,e_uymag,extu,radeg,extr,e_2kmag,2jmag,r50,gmag,uymag,rmag,modelg_i,modelg_j,dgr,2hmag,imag,b_a,extnuv,r90,e_2hmag,e_imag,modelu_j,modelu_k,modelu_i,modelu_r,logmstar,e_uvm2mag,grpcz,uvm2mag,e_rmag,absrmag,modelg_k,zmag,extuvm2,exty,e_umag,cz,e_nuvmag,e_2jmag,e_gmag,uhmag,umag,fl_insample,sdss_dr10_objid,flux_ratio_2c,r50_deconv1,sdss_dr12_specid,b_a_deconv1,dist2d_nn2,dist2d_nn3,dist2d_nn1,f_b,f_a,r50_deconv2c,r50_deconv2e,sdss_dr7_objid,b_a_innerdisk,sdss_dr7_specid,b_a_deconv2e,sdss_dr10_specid,b_a_deconv2c,sdss_dr12_objid,vdisp,logmstar_84,vrot,sfr_nuv,mu_delta,logmgas,sfr_nuv_wise,logmstar_16,ccr_star,ccr_bary,econame,ccr_lum,morph,morphel,mhi,ehiasym,ew20,emhi_corr_sys,w20,eb_a_innerdisk,ew50,eb_a,peaksnhi,confused,limflag,mhi_corr,hitelescope,emhi,emhi_corr_rand,w50,hiasym,grpn,grprproj_stack,grpabsrmag,logmh_dyn,grpsig,logmh_s,fc,logmh,ccr,grprproj,grpnassoc,grpmb,grp,grpms,logmh_dyn_stack,grpsig_stack,logmh_dyn_smooth,meanfsmgr,meanfsmgre15,logmstare15,kin_slit_flag,kin_done_hi,kin_done_blue,kin_done_red,kin_blue_code,kin_ifu_flag,kin_red_code,modelg_jcorr,modelu_icorr,modelu_jcorr,modelg_kcorr,absrmagcorr,modelu_kcorr,modelg_rcorr,modelu_rcorr,modelg_icorr,fuvmag,extfuv,e_fuvmag,centralout,logmbary_pc,NAME,oii_3726_flux,oii_3726_flux_err,oii_3729_flux,oii_3729_flux_err,neiii_3869_flux,neiii_3869_flux_err,h_delta_flux,h_delta_flux_err,h_gamma_flux,h_gamma_flux_err,oiii_4363_flux,oiii_4363_flux_err,h_beta_flux,h_beta_flux_err,oiii_4959_flux,oiii_4959_flux_err,oiii_5007_flux,oiii_5007_flux_err,hei_5876_flux,hei_5876_flux_err,oi_6300_flux,oi_6300_flux_err,nii_6548_flux,nii_6548_flux_err,h_alpha_flux,h_alpha_flux_err,nii_6584_flux,nii_6584_flux_err,sii_6717_flux,sii_6717_flux_err,sii_6731_flux,sii_6731_flux_err,ariii7135_flux,ariii7135_flux_err,oii_flux,oii_flux_err,oiii_flux,oiii_flux_err,Flux_HeII_3203,Flux_HeII_3203_Err,Flux_OII_3726,Flux_OII_3726_Err,Flux_OII_3728,Flux_OII_3728_Err,Flux_NeIII_3868,Flux_NeIII_3868_Err,Flux_Hd_4101,Flux_Hd_4101_Err,Flux_Hg_4340,Flux_Hg_4340_Err,Flux_OIII_4363,Flux_OIII_4363_Err,Flux_HeII_4685,Flux_HeII_4685_Err,Flux_ArIV_4711,Flux_ArIV_4711_Err,Flux_Hb_4861,Flux_Hb_4861_Err,Flux_OIII_4958,Flux_OIII_4958_Err,Flux_OIII_5006,Flux_OIII_5006_Err,Flux_HeI_5875,Flux_HeI_5875_Err,Flux_OI_6300,Flux_OI_6300_Err,Flux_NII_6547,Flux_NII_6547_Err,Flux_Ha_6562,Flux_Ha_6562_Err,Flux_NII_6583,Flux_NII_6583_Err,Flux_SII_6716,Flux_SII_6716_Err,Flux_SII_6730,Flux_SII_6730_Err,source
rf0003,rf0003,0.01,0.564297,0.02,0.01,0.07,0.05,14.5,0.1,14.35,20.14,0.04,0.81264576,0.03,0.1,0.15,0.13,2.3154592000000003,0.07,0.09,15.33,1.73,17.72,15.8,17.07,0.862358,2.18539,0.1,14.72,16.78,0.94,0.23,4.04,0.11,0.02,3.35164,4.2663199999999994,2.0286,1.7305400000000002,8.99,-99.0,5962.9,-99.0,0.02,-17.65,3.10007,16.51,0.24,0.03,0.03,5962.9,0.05,0.11,0.02,14.69,18.89,1,1237657191979942081,0.39784200000000003,3.6088,437006149221378048,0.8382,2.1082,2.9802,2.1008,1,0,4.1573,4.1573,587731187278676021,0.937061,109434742599843840,0.7438,437006149221378048,0.9113,1237657191979942081,37.3,9.11,0.0,0.17028312,9.2712,8.9553,0.20541350000000005,8.89,-99.0,-99.0,notineco,-99.0,-3.0,E,644431000.0,0.0753734,0.0,0.0,232.05200000000002,0.0153339,9.4827,0.0151,4.99188,0,0,0.0,AO,50059500.0,0.0,197.28099999999998,-0.0523067,1.0,0.0,-17.6492,0.0,0.0,11.1059,1,10.9459,1.0,0.0,1.0,9.2705,5.0,8.9895,0.0,0.0,0.0,0.124266,0.12425399999999999,8.99,0,?,0,1,0,1,1000,1.7024299999999999,1.3430000000000002,2.51988,2.52515,-18.0272,3.3426,0.327904,1.14536,0.5255489999999999,20.6576,0.207,0.0716,0,9.265,rf0003,0.0,,0.0,,25.88348671299687,10.453381185780657,135.9405652823775,10.20726783694111,229.77565623877643,12.711872052576465,-3.5544297897228536,-5.363256974962339,430.98649253542885,16.92939802717494,57.74454117844971,4.971015237135272,193.83399933447723,8.469328431429386,38.574706648289336,3.5344339570031464,23.081260982671985,2.744724844209261,134.01213466891676,2.9242513525968854,1232.6213686513267,24.166574036706162,402.85145153449486,8.716988049341442,208.56745741044705,5.3765263519118935,152.01853843299003,4.816610945328881,20.88694286221897,4.8181965387287615,0.0,1.022801,120.5722,3.7284269999999995,0.0,0.0,31.64219000000001,26.97243,246.8931,90.7615,23.49038,10.997760000000001,89.3496,7.43355,169.9126,8.72573,0.0,0.0,3.6436940000000004,14.99704,6.211298,11.742569999999999,380.6998,12.364139999999999,61.59121999999999,2.677596,175.9749,7.6502740000000005,36.34896,4.705186,23.12675,4.312615,153.2608,3.5947080000000002,1450.8220000000001,28.0622,450.7671,10.57267,235.5519,7.211019,169.1289,5.873139,jhu
rf0010,rf0010,0.02,0.20713800000000002,0.03,0.01,0.21,0.06,-99.0,0.11,14.24,18.16,0.04,0.32956582,0.05,-99.0,0.17,0.14,4.4761793,0.08,0.25,15.6,3.99,16.94,15.81,16.64,0.33857,1.41735,-0.1,-99.0,16.48,0.9,0.25,8.03,-99.0,0.06,2.17996,2.95417,1.10119,0.969757,8.49,-99.0,5498.7,-99.0,0.05,-17.89,2.19155,16.39,0.26,0.03,0.03,5446.7,0.04,0.13,0.02,15.09,17.77,1,1237657191444054061,0.482347,7.2847,439197202812790784,0.8765,0.21763000000000002,0.25367,0.010076,1,0,9.0327,9.0327,587731186742722714,0.898,109997790402183168,0.6994,439197202812790784,0.5487,1237657191444054061,0.0,8.65,0.0,0.38628188,7.9733100000000015,9.20911,0.39787126,8.39,-99.0,-99.0,notineco,-99.0,3.5,L,2943410000.0,0.0592835,0.0,428579000.0,0.0,0.0319327,4.10406,0.0,6.710089999999999,1,0,971197000.0,ALFALFA,128595000.0,230463000.0,166.30700000000004,0.16283,2.0,0.0980115,-20.1329,0.0,129.685,11.3059,0,11.5089,1.0,0.11127999999999999,3.0,9.9155,10.0,9.4945,0.0,69.1947,11.6928,2.63826,2.63825,8.49,1,0,0,1,0,0,1000000,1.06095,0.7504460000000001,1.68337,1.74311,-18.1978,2.36553,0.0759296,0.698351,0.128025,18.8177,0.2246,0.0449,0,9.285,rf0010,0.0,,0.0,,43.14463611879662,8.545262241848441,33.89056876321213,5.918645598588711,72.32494570209626,6.779083314372021,6.876256639595746,4.139137695082082,127.81864216023004,7.435262596758047,94.21923986892357,5.718004060022088,282.74349893427706,14.165200201226074,9.195874815133324,2.419690600456395,13.483548526172935,1.7812258752044972,13.248738031604281,0.6244049178691605,365.5613165782579,9.789731419514318,39.810122874566325,1.8690821983754131,67.87425240551013,2.6366509266329445,45.077768529844796,1.9793368174667856,7.352769211350338,1.57293082430958,0.0,1.173605,163.4013,2.566227,0.0,0.0,-9999.0,0.0,0.0,0.0,21.29853,7.3808940000000005,20.45805,4.232697,43.52334000000001,4.756801,2.220191,9.771609,0.0,0.0,0.0,14.88013,90.15039,5.224404,67.53788,3.50176,192.9654,10.00503,7.285566999999999,4.3142830000000005,11.87955,2.112629,11.994060000000001,0.8020885999999999,314.8757,10.067739999999999,35.27665,2.359084,59.6723,3.190661,39.11209,2.769864,jhu
rf0013,rf0013,0.02,0.585669,0.02,0.01,0.03,0.05,12.13,0.1,12.08,18.8,0.04,0.59081703,0.03,0.2,0.03,0.14,4.9472732000000015,0.07,0.1,13.1,4.9,15.49,13.57,14.84,0.8886809999999999,2.20363,0.12,12.36,14.5,0.59,0.24,15.31,0.25,0.02,3.5947400000000003,4.51818,2.27979,1.9767700000000001,9.83,-99.0,5469.5,-99.0,0.03,-19.69,3.12708,14.27,0.25,0.03,0.05,5469.5,0.04,0.06,0.02,12.54,16.95,1,1237663277929922594,1.0,35.5653,439203799882557440,0.7251,0.2007,0.24475999999999998,0.11873,1,0,48.828,750.0,588015509808414749,0.56279,109997790498652160,0.0006,439203799882557440,0.7189,1237663277929922594,69.9951,9.95,0.0,0.40700406,9.48734,8.52463,0.56209935,9.65,-99.0,-99.0,notineco,-99.0,0.5,E,239056000.0,0.0,0.0,0.0,0.0,0.00566574,0.0,0.0485,0.0,0,1,0.0,AO,0.0,0.0,0.0,0.0,1.0,0.0,-19.6936,0.0,0.0,11.4539,1,11.3889,1.0,0.0,1.0,9.8205,11.0,9.8065,0.0,0.0,0.0,0.21593400000000001,0.337294,9.79,1,0,1,0,10002,0,0,1.7027,1.71575,2.85508,2.51989,-20.1413,3.6722699999999997,0.368607,1.52099,0.563368,19.4874,0.2134,0.0721,0,9.845,rf0013,0.0,,0.0,,616.3477666947023,24.17517767210908,193.6696621820729,8.890992988468906,342.5605766488111,11.284622604675393,54.42747977253818,6.746076564629103,646.7110982038738,15.250307266163318,1131.5746700032585,24.66765955987737,3403.299647092712,69.11371812232886,70.92077389110095,4.2391179502427265,110.25841424614565,4.560479028170946,473.73238318573965,5.687021207465526,1849.593740863079,21.8968724697052,1425.2946295357958,16.93925094393935,499.6614504113578,7.6789480837120765,378.9469470325529,6.538868026601193,74.54576536406289,4.150978805261377,0.0,1.026038,2410.9610000000002,12.24955,0.0,0.0,0.0,0.0,2.01e+19,80600000000000.0,391.0738,21.23855,134.0791,16.22291,245.4933,13.625379999999998,32.99863,14.48993,107.7607,15.641810000000001,12.2178,10.916039999999999,523.5385,19.237029999999997,976.1805,15.27316,2789.087,43.63759,65.30466,9.728567,104.5875,12.13443,467.5607,10.50479,1726.4820000000002,36.96966,1375.1779999999999,30.896440000000002,489.92800000000005,16.73975,375.1976,15.20619,jhu
rf0015,rf0015,0.01,0.7293850000000001,0.02,0.01,0.11,0.05,10.97,0.09,10.76,18.42,0.04,0.82660918,0.02,0.22,0.04,0.13,5.1077407,0.07,0.13,11.72,14.64,14.58,12.41,13.79,1.08344,2.57598,-0.06,11.06,13.38,0.6,0.23,31.75,0.11,0.02,4.1692599999999995,5.11951,2.67672,2.32267,10.45,-99.0,5293.5,-99.0,0.02,-20.64,3.5262300000000004,13.11,0.23,0.03,0.12,5232.0,0.02,0.04,0.02,11.31,16.21,1,1237657191981187126,0.753899,279.346,439212870853486592,0.3208,0.058351,0.1922,0.013652000000000001,1,0,129.839,129.839,587731187279921175,0.3429,109997790658035712,0.3893,439212870853486592,0.3497,1237657191981187126,86.1079,10.53,0.0,0.45081069,8.81633,8.910960000000003,0.45081069,10.33,-99.0,-99.0,notineco,-99.0,1.0,L,581881000.0,0.0,0.0,0.0,0.0,-99.0,0.0,0.0722,0.0,0,1,0.0,ALFALFA,0.0,0.0,0.0,0.0,2.0,0.09753510000000001,-20.7069,0.0,109.006,11.8409,1,11.7379,1.0,0.0296522,2.0,10.3885,13.0,10.3745,0.0,72.9255,11.7915,0.0580374,0.300877,10.35,1,0,1,0,10000,0,0,2.20004,2.18626,3.55398,3.08588,-20.9607,4.43981,0.556608,1.9105400000000001,0.8323309999999999,19.3689,0.2005,0.0794,0,10.475,rf0015,0.0,,0.0,,126.9157405900485,34.1378503671035,865.0787979643077,40.22619029812519,1527.3990504605454,56.404716972779816,46.51993144260753,24.339693225595497,2953.5913793864793,89.04740558215298,204.59818672337968,18.016198687040372,448.90100977041664,21.722506547679266,184.91570069082732,12.006822057250965,168.86040324298,11.248928568728571,1068.4780240417792,22.123124137236882,8447.27134504533,171.10092708538932,3199.392214918728,65.88298602230368,1077.9176185054175,25.26092933987124,826.7546671876953,20.59647228792464,3.9067649322043208,9.129245749585204,0.0,0.99277,84.73048,3.836525,0.0,0.0,3.55e+23,7.27e+17,0.0,0.0,60.39615,12.266810000000001,449.4186,22.72862000000001,759.7949,22.77042,0.0,0.0,0.0,0.0,0.0,0.0,1578.499,24.4239,94.30196,6.66248,269.4342,19.03566,148.3786,21.65247,99.30798,12.65676,773.9133,9.84805,6054.9169999999995,53.0397,2276.216,28.96485,729.9424,20.831429999999997,561.1621,18.07551,jhu
rf0022,rf0022,0.01,0.6811520000000001,0.02,0.01,0.17,0.05,14.16,0.09,14.22,21.7,0.03,0.5576055999999999,0.02,0.14,0.19,0.12,5.4409059,0.06,0.16,15.22,3.15,17.42,15.38,16.71,0.996334,2.23678,-0.02,13.99,16.37,0.65,0.21,6.83,0.4,0.02,3.64923,4.465269999999999,2.40878,2.0936,9.21,-99.0,5477.1,-99.0,0.03,-17.82,3.0528299999999997,16.11,0.22,0.03,0.06,5477.1,0.1,0.11,0.02,14.26,18.94,1,1237663716016717961,0.0637159,6.9715,439228813772089344,0.5812,0.43891,0.44873999999999997,0.4317,1,0,5.2807,7.2926,588015509808611444,0.8654700000000001,109997790918082560,0.564,439228813772089344,0.5053,1237663716016717961,28.9,9.29,0.0,0.010962085,8.94977,7.8519,0.018385693,9.11,-99.0,-99.0,notineco,-99.0,-1.0,E,50789300.0,0.0,0.0,0.0,0.0,-99.0,0.0,0.0041,0.0,0,1,0.0,AO,0.0,0.0,0.0,0.0,1.0,0.0,-17.8198,0.0,0.0,11.1859,1,10.9799,1.0,0.0,1.0,9.2135,17.0,9.2005,0.0,0.0,0.0,0.0104684,0.0886285,9.19,0,0,1,0,10,1,0,2.14655,2.29393,3.5099099999999996,2.94745,-17.9175,4.3108,0.634008,1.9973599999999998,0.9305709999999999,23.5754,0.1857,0.4984,0,9.215,rf0022,0.0,,0.0,,56.10959574381649,10.233087664662813,30.05722156573436,6.1104048347693976,37.45531308720136,5.432679771907535,4.12126449905769,4.179006288094831,86.81288236842035,6.8522258044205415,58.22211862426737,5.053141088983015,183.16898865080623,12.432835565106993,12.22077875975568,2.39260694080702,30.05681425884467,2.2425601134503714,46.39009617297263,1.7642423401375005,248.28484357368225,8.976983094109121,139.34077791010714,5.242060048602263,79.1507745495452,3.352065728956502,57.37612463489556,2.6207914462430244,8.317468726117108,1.681009101712151,0.0,1.123894,100.02,2.229257,0.0,0.0,251.63400000000001,1078.3239999999996,0.0,0.0,32.924859999999995,9.973156,32.89373,7.812572999999999,45.42968,7.136838000000001,0.8444259,45.88643,10.87497,186.4176,6.817742,9.781066000000001,110.6612,5.7193879999999995,65.39126999999999,2.092883,186.8322,5.979667,16.54806,3.822773,35.89079,3.590183,57.7284,1.436617,304.1125,5.793122,169.7894,4.225343,93.66603,4.854228,67.70498,3.710835,jhu
rf0024,rf0024,0.01,0.362553,0.02,0.01,0.37,0.05,13.35,0.09,12.91,17.7,0.03,0.84689776,0.02,0.33,0.09,0.12,6.393436,0.06,0.31,13.83,6.63,15.83,14.41,15.39,0.559351,1.7128299999999999,-0.07,13.32,15.17,0.89,0.21,13.06,0.5,0.02,2.72812,3.5242199999999997,1.57464,1.37785,9.27,-99.0,5501.7,-99.0,0.02,-19.15,2.5089200000000003,15.04,0.22,0.03,0.03,5501.7,0.02,0.13,0.02,13.59,16.88,1,1237678434327986256,0.0184115,15.5678,439268396190689280,0.9112,0.4772,1.1693,0.37487,1,0,13.825,16.2408,588015510345875606,0.9004489999999999,109997791530450944,0.919,439268396190689280,0.02,1237678434327986256,0.0,9.43,0.0,0.52000856,8.280619999999999,9.42711,0.64850087,9.15,-99.0,-99.0,notineco,-99.0,5.0,L,1909770000.0,0.1506,0.0,0.0,0.0,0.00925672,9.01575,0.0084,3.57021,0,0,0.0,ALFALFA,145784000.0,0.0,177.696,-0.136252,1.0,0.0,-19.1516,0.0,0.0,11.2199,1,11.2509,1.0,0.0,1.0,9.6545,20.0,9.2735,0.0,0.0,0.0,0.370295,0.370268,9.27,0,?,0,1,0,1,100,1.4480000000000002,1.27134,2.32905,2.18657,-19.3691,3.0676200000000002,0.251186,1.13224,0.390287,17.9767,0.1885,0.0212,0,9.655,rf0024,0.0,,0.0,,5.088250214676399,3.0899505773229548,17.047641938380306,2.9208491776508687,21.921738958255855,2.9094790451372186,3.9610049390928928,2.018369916398301,43.464287866606035,3.6036954718863017,3.467439054687598,1.635807340434278,15.068007182703905,1.8887415144288349,5.707745787202447,1.436646577814933,6.315181080368682,1.1899194549179155,14.192703694494725,0.658591135314852,124.30786329849329,4.783369368296546,42.756292097073,1.9681320113233391,33.15360409623328,1.7646048577103552,23.450609305493582,1.382915414104805,1.9801344032989283,1.0878753410610842,0.0,1.05575,14.48591,1.805939,0.0,0.0,883000000000000.0,63000000000.0,0.0,0.0,20.38172,8.449653,26.646859999999997,4.316619,31.95794,3.754536,2.5979970000000003,7.3618929999999985,0.1697641,56.30815,2.738571,8.898102,71.33792,4.814685,9.839807,1.6302510000000001,28.113740000000004,4.6578599999999994,16.98718,5.457324,10.15501,2.944352,19.18159,0.9288545,163.5301,3.8629019999999996,56.41644,2.731925,44.59834,3.416893,29.33131,2.2370349999999997,jhu
rf0029,rf0029,0.02,0.24493800000000002,0.03,0.01,0.56,0.06,13.75,0.11,13.61,17.69,0.04,0.5288937,0.03,0.1,0.17,0.15,7.7174578999999985,0.08,0.09,14.31,6.81,15.98,14.96,15.65,0.386829,1.45207,-0.05,13.7,15.47,0.72,0.26,14.1,0.08,0.03,2.39204,3.1453,1.3268,1.1849100000000001,9.07,-99.0,5886.3,-99.0,0.02,-19.05,2.20533,15.35,0.27,0.03,0.03,5880.0,0.02,0.11,0.02,14.2,16.93,1,1237663716017700998,0.0811012,38.1562,440375877298055168,0.6874,0.14542,0.33999,0.019702,1,0,7.9235,40.7452,588015509809594452,0.76199,110279120163700736,0.6599,440375877298055168,0.782,1237663716017700998,0.0,9.25,71.9633,0.4882484,8.05348,9.25423,0.55550768,8.93,-99.0,-99.0,notineco,-99.0,4.0,L,1815090000.0,0.18301199999999998,0.0,256527000.0,0.0,0.0294328,6.5752,0.047,3.23555,1,0,1282630000.0,ALFALFA,183174000.0,239145000.0,170.352,-0.014987799999999999,2.0,0.101387,-19.8853,0.0,33.3812,11.3419,0,11.4349,1.0,0.08165739999999999,3.0,9.8945,25.0,9.5705,0.0,57.2433,11.459000000000001,1.0267700000000002,1.0267600000000001,9.07,1,0,0,1,0,0,1000000,1.27325,1.1467,2.14068,1.98212,-19.2033,2.84955,0.17717,1.0446,0.27927199999999996,18.0094,0.2305,0.0301,0,9.465,rf0029,0.0,,0.0,,27.5477535752285,6.806320923798396,33.49434288248137,4.937531572620111,80.99715733279865,7.128203565237131,0.5550083276835381,3.736762219479552,149.71572393663772,9.193860665259736,95.88342479561877,6.4687325754203275,233.9842718274471,13.049723715931721,17.1309808498477,2.7031968423919155,16.17431238217954,2.1063246247273635,25.634868728334407,1.0501161955988056,428.1869704587839,12.826578229430234,77.17573827622907,3.1432995241658683,86.74556581789724,3.410261712779932,64.25259084936582,2.978498564890772,12.597653082480493,2.2417651090391075,0.0,1.052848,178.1051,4.159634,0.0,0.0,292.6469,29.894440000000003,159.5121,20.05003,46.39226,13.19956,37.09766,8.056078999999999,68.1545,5.332249,0.0,0.0,0.0,0.0,6.271859,5.027596,145.2946,5.729315,80.03865,2.605626,228.6819,7.4446460000000005,17.84682,4.0128699999999995,17.32293,3.697251,28.68856,1.417614,463.6943,7.451208,84.37813,4.169454,95.25578,4.272433,74.33244,4.800226,jhu
rf0030,rf0030,0.02,0.397511,0.03,0.01,0.19,0.06,13.08,0.11,12.69,18.01,0.04,0.43559649,0.02,0.38,0.14,0.15,7.752697,0.08,0.21,14.35,4.49,16.01,14.56,15.55,0.609657,1.7711299999999999,0.05,13.53,15.28,0.68,0.26,16.08,0.14,0.02,2.8092200000000003,3.60534,1.64775,1.4356,9.39,-99.0,5886.3,-99.0,0.04,-19.15,2.56724,15.1,0.27,0.03,0.03,5892.6,0.03,0.05,0.03,13.42,17.05,1,1237663716017701038,0.166939,8.2497,440387147292239872,0.6714,0.1626,0.34141,0.14573,1,0,8.6022,8.6022,588015509809659972,0.6825720000000001,110279120335667200,0.6351,440387147292239872,0.5587,1237663716017701038,0.0,9.53,70.6421,0.50307256,9.201889999999999,9.39884,0.59124636,9.21,-99.0,-99.0,notineco,-99.0,0.5,E,1789430000.0,0.13206700000000002,0.0,0.0,0.0,0.00912326,5.83314,0.0157,3.69852,0,0,0.0,ALFALFA,150512000.0,0.0,199.88299999999998,0.20913,2.0,0.101387,-19.8853,0.0,33.3812,11.3419,1,11.4349,1.0,0.08165739999999999,3.0,9.8945,25.0,9.5705,0.0,57.2433,11.459000000000001,0.24261999999999997,0.242577,9.39,1,?,0,1,0,0,1000000,1.50757,1.3306200000000001,2.4010599999999998,2.24947,-19.3929,3.14295,0.282007,1.17549,0.437138,18.3306,0.2285,0.0636,0,9.685,rf0030,0.0,,0.0,,21.40547053108864,6.187634820656643,53.7031033372066,5.8831089171220805,80.04608480391498,6.629175457999986,-0.5888734188987453,-4.010289077636783,195.61719836264402,10.589610927455126,34.048605839014094,4.028039558732289,102.51958710687107,6.396867960674955,20.728958909188066,3.1618620604315035,18.24768810254111,2.7044905324902127,58.73227908551735,1.9027004155626543,559.4651873171617,14.965886418779345,176.97645544382104,5.692211055151413,141.24042576645658,4.916092446096158,99.1405890204624,4.130901652948413,12.514952659909826,2.879505957666015,0.0,1.071731,90.80979,4.287385,0.0,0.0,1678.682,0.0,265.0684,72.24524,19.25165,7.950034,77.40768,9.364802000000001,108.8278,8.984785,0.0,0.0,23.39457,0.0,0.0,0.0,232.646,8.763064,42.95627,2.796431,122.7322,7.989802,23.54962,6.455575,20.16453,5.571515,70.8512,2.336044,657.6622,10.42791,208.3859,6.870717,166.3701,6.5974330000000005,117.221,6.102629,jhu
rf0031,rf0031,0.01,0.680609,0.02,0.01,0.01,0.04,-99.0,0.07,11.2,18.27,0.03,-0.40728233,0.02,-99.0,0.02,0.1,7.800475599999999,0.05,0.05,12.1,7.48,14.89,12.68,14.13,1.01757,2.54219,-0.08,11.43,13.76,0.53,0.17,21.84,0.03,0.02,4.0124,4.99822,2.48778,2.15082,10.23,-99.0,5975.04,-99.0,0.02,-20.57,3.5280099999999996,13.48,0.18,0.02,0.03,5954.2,0.04,0.07,0.02,11.48,16.32,1,1237663783663960074,0.38767199999999996,39.9387,440244210780628992,0.521,0.89825,0.9572700000000001,0.23606999999999997,1,0,5.1975,35.0465,588015508735918114,0.549329,110279118154629120,0.5056,440244210780628992,0.5329,1237663783663960074,0.0,10.39,138.86700000000002,0.6932233,9.49346,9.67706,3.1636464,10.05,-99.0,-99.0,notineco,-99.0,-1.0,L,3395690000.0,0.08979730000000001,0.0,0.0,341.286,0.0211685,14.1053,0.0064,5.54269,0,0,0.0,GBT,261612000.0,0.0,289.6020000000001,-0.12004200000000001,2.0,0.12189100000000001,-20.6505,0.0,36.9554,11.7859,1,11.7169,1.0,0.119226,2.0,10.4015,24.0,10.3055,0.0,61.8247,11.6058,0.05834830000000001,0.0706967,10.29,1,0,0,1,0,0,1000000,2.23287,1.9989,3.43661,3.17188,-20.8061,4.37563,0.519482,1.72322,0.7951550000000001,19.2005,0.1517,3.1112,0,10.335,rf0031,0.0,,970595693.7187356,5877427581.804153,191.2441625054204,129.92559375110727,3351.417480257428,188.22969831236,5236.285894113663,256.3524083071496,156.5335378827872,79.93220359031866,10339.525841798706,425.46871414016647,936.9633241426512,72.14311950968353,2996.631318793552,137.33654935175576,887.1343912117378,48.79378743773386,568.8980243055547,42.199763509419476,3845.860028779916,109.1887930383439,29571.043907544303,827.4438888252157,11506.681943682559,324.9104462967432,5136.424218313,153.33798302877557,3953.4700873428387,121.87425195383064,343.65705574316485,38.84415723489685,0.0,1.3573110000000002,454.57300000000004,12.766119999999999,0.0,0.0,25821.72,2452.187,4738.767,278.3986,493.5628,289.0598,1376.1889999999999,68.0659,1913.671,75.0074,240.024,126.7781,83.08842,79.72375,0.0,0.0,4238.937,84.00846999999997,452.6848,17.45873,1293.385,49.88209000000001,509.3202,41.81926,280.9546,35.81948,2166.226,30.293029999999998,16475.3,190.7189,6371.254,89.09714,2893.297,60.390519999999995,2252.967,54.75894,jhu
rf0040,rf0040,0.02,0.49892,0.02,0.01,0.09,0.05,13.13,0.1,12.62,18.54,0.04,-0.045310598,0.02,0.41,0.07,0.13,10.112196,0.07,0.33,13.92,6.88,16.14,14.35,15.57,0.766146,2.0452,-0.02,13.35,15.29,0.48,0.24,13.53,0.17,0.03,3.2082200000000003,4.09186,1.92917,1.6619400000000002,9.49,-99.0,5984.3,-99.0,0.02,-19.16,2.92884,15.06,0.25,0.03,0.03,5984.3,0.02,0.03,0.02,13.34,17.34,1,1237657190909608125,0.140425,15.9185,441373134528997376,0.496,0.34167,0.37389,0.31387,1,0,19.1649,19.1649,587731186208342216,0.5049399999999999,110560640422117376,0.4386,441373134528997376,0.3847,1237657190909608125,0.0,9.63,93.9553,0.56311367,8.391119999999999,8.72418,0.73653977,9.31,-99.0,-99.0,notineco,-99.0,5.0,L,378492000.0,0.10741300000000001,0.0,0.0,222.375,0.0195495,6.654560000000001,0.0079,4.85056,0,0,0.0,AO,30889100.0,0.0,209.787,0.129236,1.0,0.0,-19.1577,0.0,0.0,11.3089,1,11.2539,1.0,0.0,1.0,9.5585,32.0,9.4965,0.0,0.0,0.0,0.23966300000000001,0.23753400000000002,9.49,1,0,0,1,0,0,1000000,1.5808,1.3652600000000001,2.48374,2.36617,-19.562,3.26911,0.294662,1.1976,0.462326,18.9922,0.2113,0.0601,0,9.555,rf0040,0.0,,0.0,,20.38844752770795,16.886081079460112,110.58186326374106,12.553282670338195,168.05401760300785,13.257771919795859,-3.4415594563585112,-7.869812476870472,315.3740482924119,16.212035832049757,23.702099610687338,5.1462921540626665,94.64276331933844,6.888577680717129,25.712174607338948,3.83095219642771,17.470562412198873,2.881618256577492,106.83312922422056,2.8908610613726684,901.969778116298,22.24668687328389,320.6861100375976,8.597968802226246,174.14603966648446,5.484031496971736,122.56959262690071,4.63119631125784,7.52972081686905,3.923610310980096,0.0,1.142762,47.78145,3.202004,0.0,0.0,1324.3310000000001,427081.9,237.6335,4085.0209999999997,17.67671,10.951039999999999,90.11551999999999,14.01864,115.2248,11.13976,0.0,0.0,5.019405,9.613703,6.042504,8.8453,258.1235,13.320089999999999,28.0515,2.7389759999999996,80.14715,7.8256440000000005,35.23298,7.664917,15.56425,4.568178,112.4098,3.629202,928.6554,24.10437,330.6171,10.67412,181.8852,7.555035,132.0136,6.3666279999999995,jhu
