ID,NSAID,Hb-n,e_Hb-n,Hb-b,e_Hb-b,OIII-5007,e_OIII-5007,OI-6300,e_OI-6300,NII-6548,e_NII-6548,Ha-n,e_Ha-n,Ha-b,e_Ha-b,NII-6583,e_NII-6583,SII-6716,e_SII-6716,SII-6731,e_SII-6731
1,62996,11.2,2.5,0,0,29.3,3,0,0,8.3,1.5,33.7,6,56.3,9.1,24.6,4.3,7.9,1.9,5.8,1.2
2,7480,13.3,3.1,0,0,52.4,4.5,0,0,6.3,1,61,3.3,0,0,18.5,3.1,14.1,2.7,10.9,1.8
3,68765,100.2,11,0,0,1118.6,60.6,44.7,3,44,4.8,417.7,45.5,0,0,130.3,6,63.6,7.5,66.9,10.6
4,64339,82,6,0,0,460.1,74.6,56.5,5.8,27.6,1.5,299.5,6.9,0,0,81.7,4.5,74,4.7,67.9,3.6
5,46677,5813.1,69.2,0,0,49826.5,428.9,143.7,6.3,100,1.8,20341.7,193.4,0,0,296.1,5.2,519.6,8.8,420,6.3
6,105376,101.1,5.8,0,0,515,11.2,20.2,4.1,22.2,1.3,312.6,7.9,0,0,65.8,3.9,71.1,4.6,50.1,3.2
7,30020,12.7,2.3,0,0,61.9,3.9,0,0,12.7,1.2,62.1,5.5,0,0,37.5,3.5,24.6,3.1,20.1,1.9
8,110040,18.9,2.8,0,0,58.1,15.4,13.2,3.6,29.4,2.4,90.5,7.3,0,0,86.9,7.1,43.5,4.7,30.5,2.9
9,10779,150.6,12.5,78.9,11.9,1398.3,33.8,121.5,9.8,68.2,5.4,530.2,41.7,322.5,14.4,202,9.7,96.7,9.3,79,12.5
10,106134,34.1,3.2,0,0,154.7,5.7,0,0,16.9,1.2,130.9,4.5,0,0,50.1,3.5,47,3.7,29.7,2.3
11,125318,509.8,20.4,0,0,2432.7,43.5,178.5,10.4,188.2,7.5,1642.8,65.8,117.9,16.1,557,18.3,266.7,16,250.8,25.5
12,107272,335.5,8,0,0,3048.2,86.9,226.4,6,89.6,1.7,1198.6,16,0,0,265.2,5,233,5.3,181.8,3.8
13,37942,21.6,3.7,0,0,55.7,6.2,0,0,20.3,2,76.7,6.7,0,0,60.2,6,44.5,5.5,33.2,3.9
14,111644,15.1,3,0,0,109.5,5.7,0,0,10.1,1.5,62.8,4.8,0,0,29.8,4.4,20.6,3.8,12.7,2.3
15,27397,92.6,4.8,0,0,660.1,10.8,40.1,3.3,21.3,0.8,326.9,6.1,0,0,63.1,2.4,86.5,3.1,71.9,2.2
16,30370,32.6,4.3,0,0,171.1,5.6,0,0,8.4,0.8,127.6,4.1,0,0,24.7,2.4,33.8,3.2,21.7,2
17,101949,124.6,8.6,0,0,459.2,13.4,47.4,5.8,120.7,5.7,535.5,11.5,0,0,357.3,16.9,84.1,6.1,82.6,4.4
18,113566,21.8,4.3,0,0,119.7,22.9,0,0,17,2.1,94.3,5.2,0,0,50.3,6.2,23.4,3.7,16,2.4
19,92369,23.2,6.4,0,0,154.4,18.2,27.3,5.4,33.2,3.2,117,11,0,0,98.3,9.4,43.3,5.6,32.2,4.3
20,52675,211.4,13.4,494.5,37,2477.3,49.2,119.9,9.7,51.6,3.6,1604,82.1,3194.7,49.9,152.6,10.7,98.4,7.5,101.2,6
21,89394,3314,46.6,893.3,39.4,32480.8,393.6,3542.1,48.8,777.1,10.7,13025.7,162.1,6166.7,72.6,2300.2,29.7,2433.6,35.3,2994.4,58.7
22,77431,15.8,2.8,0,0,140.4,6.3,0,0,42.4,4.1,48.4,4.2,0,0,125.5,12.2,28.5,3.7,18.5,2.4
23,89494,39.2,4.8,0,0,214.9,7,17.9,3.2,22.8,1.3,128.1,4.5,0,0,67.6,3.8,51.7,3.8,37.1,2.3
