_RAJ2000,_DEJ2000,Seq,NSAID,SDSS,z,logM*,Hb-n,e_Hb-n,Hb-b,e_Hb-b,O5007,e_O5007,O6300,e_O6300,N6548,e_N6548,Ha-n,e_Ha-n,Ha-b,e_Ha-b,N6583,e_N6583,S6716,e_S6716,S6731,e_S6731,_RA,_DE
41.7349583,-0.5513333,1,62996,J024656.39-003304.8,0.0459,9.41,112,25,      ,     ,293,30,      ,     ,83,15,337,60,563,91,246,43,79,19,58,12,41.73496,-0.55133
42.10525,-0.4281667,2,7480,J024825.26-002541.4,0.0247,9.11,133,31,      ,     ,524,45,      ,     ,63,10,610,33,      ,     ,185,31,141,27,109,18,42.10525,-0.42817
50.6026667,40.1888333,3,68765,J032224.64+401119.8,0.0261,9.42,1002,110,      ,     ,11186,606,447,30,440,48,4177,455,      ,     ,1303,60,636,75,669,106,50.60267,40.18883
122.9387083,23.4738056,4,64339,J081145.29+232825.7,0.0157,9.02,820,60,      ,     ,4601,746,565,58,276,15,2995,69,      ,     ,817,45,740,47,679,36,122.93871,23.47381
125.8951667,3.221,5,46677,J082334.84+031315.6,0.0098,8.54,58131,692,      ,     ,498265,4289,1437,63,1000,18,203417,1934,      ,     ,2961,52,5196,88,4200,63,125.89517,3.221
130.1064167,18.3163611,6,105376,J084025.54+181858.9,0.015,9.28,1011,58,      ,     ,5150,112,202,41,222,13,3126,79,      ,     ,658,39,711,46,501,32,130.10642,18.31636
130.5205,40.6595833,7,30020,J084204.92+403934.5,0.0293,9.3,127,23,      ,     ,619,39,      ,     ,127,12,621,55,      ,     ,375,35,246,31,201,19,130.5205,40.65958
135.5948333,14.1803333,8,110040,J090222.76+141049.2,0.0297,9.41,189,28,      ,     ,581,154,132,36,294,24,905,73,      ,     ,869,71,435,47,305,29,135.59483,14.18033
136.5572917,56.1709722,9,10779,J090613.75+561015.5,0.0466,9.36,1506,125,789,119,13983,338,1215,98,682,54,5302,417,3225,144,2020,97,967,93,790,125,136.55729,56.17097
140.3749167,21.5275833,10,106134,J092129.98+213139.3,0.0313,9.31,341,32,      ,     ,1547,57,      ,     ,169,12,1309,45,      ,     ,501,35,470,37,297,23,140.37492,21.52758
148.575625,47.2903056,11,125318,J095418.15+471725.1,0.0327,9.12,5098,204,      ,     ,24327,435,1785,104,1882,75,16428,658,1179,161,5570,183,2667,160,2508,255,148.57562,47.29031
152.3985833,26.9469167,12,107272,J100935.66+265648.9,0.0144,8.44,3355,80,      ,     ,30482,869,2264,60,896,17,11986,160,      ,     ,2652,50,2330,53,1818,38,152.39858,26.94692
155.7175417,46.70575,13,37942,J102252.21+464220.7,0.04,9.44,216,37,      ,     ,557,62,      ,     ,203,20,767,67,      ,     ,602,60,445,55,332,39,155.71754,46.70575
166.2665,22.6898333,14,111644,J110503.96+224123.4,0.0246,9.05,151,30,      ,     ,1095,57,      ,     ,101,15,628,48,      ,     ,298,44,206,38,127,23,166.2665,22.68983
167.3015417,61.3963889,15,27397,J110912.37+612347.0,0.0068,8.91,926,48,      ,     ,6601,108,401,33,213,8,3269,61,      ,     ,631,24,865,31,719,22,167.30154,61.39639
168.330125,4.7403056,16,30370,J111319.23+044425.1,0.0265,9.28,326,43,      ,     ,1711,56,      ,     ,84,8,1276,41,      ,     ,247,24,338,32,217,20,168.33012,4.74031
175.76,26.1385833,17,101949,J114302.40+260818.9,0.023,9.26,1246,86,      ,     ,4592,134,474,58,1207,57,5355,115,      ,     ,3573,169,841,61,826,44,175.76,26.13858
175.99825,24.7143611,18,113566,J114359.58+244251.7,0.0501,9.48,218,43,      ,     ,1197,229,      ,     ,170,21,943,52,      ,     ,503,62,234,37,160,24,175.99825,24.71436
176.0784583,33.6687222,19,92369,J114418.83+334007.4,0.0325,9.38,232,64,      ,     ,1544,182,273,54,332,32,1170,110,      ,     ,983,94,433,56,322,43,176.07846,33.66872
185.9284167,58.2462222,20,52675,J122342.82+581446.4,0.0144,9.47,2114,134,4945,370,24773,492,1199,97,516,36,16040,821,31947,499,1526,107,984,75,1012,60,185.92842,58.24622
