Title:	Dwarf	Galaxies	with	Optical	Signatures	of	Active	Massive	Black	Holes				
Authors:	Reines	"A.E.,"	Greene	"J.E.,"	Geha	M.								
Table:	BPT	AGN	and	Composites:	Galaxy	Properties								
================================================================================														
Byte-by-byte	Description	of	file:	apj483740t1_mrt.txt										
--------------------------------------------------------------------------------														
	Bytes	Format	Units	Label	Explanations									
--------------------------------------------------------------------------------														
	-1	3	I3	---	ID	Running	identification	number	-1					
	5	A1	---	f_ID	[abcd]	Flag	on	ID	-2					
	-7	12	I6	---	NSAID	NASA-Sloan	Atlas	identification	number					
	-14	32	A19	---	SDSS	SDSS	identification							
	-34	47	A14	---	P-MJD-F	Plate-MJD-Fiber	of	SDSS	spectrum					
	-49	54	F6.4	---	z	Redshift	-3							
	-56	59	F4.2	[solMass]	mass	Log	of	the	stellar	mass	-3			
	-61	66	F6.2	mag	gMag	Absolute	g-band	magnitude	-3					
	-68	72	F5.2	mag	g-r	The	(g-r)	color	-3					
	-74	77	F4.2	kpc	r50	Petrosian	50%	light	radius	-3				
	-79	83	F5.3	---	n	Sersic	index	-3						
--------------------------------------------------------------------------------														
Note	(1):	ID	numbers	Jan-35	are	BPT	AGN	and	ID	numbers	36-136	are	BPT	composites.
Note	(2):													
	a	=	Galaxies	in	Barth	et	al.	(2008);						
	b	=	Galaxies	in	Greene	&	Ho	(2007a)	and	Dong	et	al.	(2012);	
	c	=	NGC	4395	(Filippenko	&	Sargent	1989;	Filippenko	&	Ho	2003);		
	d	=	Galaxy	in	Dong	et	al.	(2007).						
Note	(3):	All	values	are	from	the	NSA	and	assume	h	=	0.73.	Magnitudes	are
	K-corrected	to	rest-frame	values	using	kcorrect	v4	2	and	corrected				
	for	foreground	Galactic	extinction.										
--------------------------------------------------------------------------------														
	1	62996	J024656.39-003304.8	1561-53032-161	0.0459	9.41	-17.99	0.81	1.52	0.957				
	2	7480	J024825.26-002541.4	409-51871-150	0.0247	9.11	-17.32	0.58	1.43	1.989				
	3	68765	J032224.64+401119.8	1666-52991-48	0.0261	9.42	-18.65	0.47	0.93	3.485				
	4	64339	J081145.29+232825.7	1584-52943-567	0.0157	9.02	-17.98	0.36	0.61	4.377				
	5	46677	J082334.84+031315.6	1185-52642-123	0.0098	8.54	-18.85	-0.29	1.66	2.834				
	6	105376	J084025.54+181858.9	2278-53711-445	0.015	9.28	-17.61	0.59	1	3.771				
	7	30020	J084204.92+403934.5	829-52296-391	0.0293	9.3	-17.45	0.62	1.32	1.639				
	8	110040	J090222.76+141049.2	2433-53820-569	0.0297	9.41	-17.91	0.59	1.36	1.445				
	9	10779	J090613.75+561015.5	450-51908-409	0.0466	9.36	-18.98	0.4	1.63	4.075				
	10	106134	J092129.98+213139.3	2290-53727-185	0.0313	9.31	-18.2	0.58	1.07	6				
	11	125318	J095418.15+471725.1	2956-54525-457	0.0327	9.12	-18.73	0.44	2	6				
	12	107272	J100935.66+265648.9	2347-53757-456	0.0144	8.44	-17.56	0.31	0.66	5.998				
	13	37942	J102252.21+464220.7	961-52615-346	0.04	9.44	-18.08	0.66	1.05	5.807				
	14	111644	J110503.96+224123.4	2488-54149-561	0.0246	9.05	-16.91	0.74	0.61	5.993				
	15	27397		J110912.37+612347.0	774-52286-554	0.0068	8.91	-17.33	0.36	1.59	1.247			
	16	30370	J111319.23+044425.1	835-52326-433	0.0265	9.28	-17.98	0.49	1.31	4.293				
	17	101949	J114302.40+260818.9	2221-53792-218	0.023	9.26	-17.39	0.59	0.74	1.906				
	18	113566	J114359.58+244251.7	2510-53877-255	0.0501	9.48	-18.68	0.65	1.32	5.617				
	19	92369	J114418.83+334007.4	2097-53491-228	0.0325	9.38	-17.76	0.62	0.87	6				
	20	52675		J122342.82+581446.4	1315-52791-568	0.0144	9.47	-18.11	0.66	1.04	5.749			
	21	89394		J122548.86+333248.7	2015-53819-251	0.0011	9.1	-18.05	0.35	1.71	1.746			
	22	77431	J130434.92+075505.0	1794-54504-547	0.048	8.95	-18.77	0.45	1.23	5.569				
	23	89494	J130457.86+362622.2	2016-53799-414	0.0229	9.47	-18.64	0.45	3.94	0.792				
	24	104527	J133245.62+263449.3	2245-54208-467	0.047	9.39	-19.07	0.27	1.18	2.302				
	25	51220	J134757.69+465434.9	1284-52736-95	0.0277	9.37	-18.13	0.55	0.62	6				
	26	54572	J134939.36+420241.4	1345-52814-41	0.0411	9.33	-18.55	0.47	0.89	3.011				
	27	78568	J140228.72+091856.4	1807-54175-560	0.0191	8.93	-16.57	0.69	0.87	1.614				
	28	70907	J140510.39+114616.9	1703-53799-510	0.0174	9.37	-18.52	0.42	1.3	4.533				
	29	71023	J141208.47+102953.8	1705-53848-98	0.0326	9.08	-17.74	0.42	0.62	3.94				
	30	123656	J142044.94+224236.8	2786-54540-552	0.0307	9.27	-18.35	0.58	1.07	5.857				
	31	71565	J143523.42+100704.2	1711-53535-306	0.0312	9.24	-18.53	0.57	0.97	2.949				
	32	15235		J144012.70+024743.5	536-52024-575	0.0299	9.46	-19.18	0.31	1.7	2.696			
	33	120870	J144712.80+133939.2	2750-54242-275	0.0323	9.32	-18.31	0.53	1.54	1.83				
	34	124249	J153941.68+171421.8	2795-54563-509	0.0458	9.45	-18.99	0.39	1.19	3.571				
	35	64022	J154059.61+315507.3	1581-53149-255	0.0528	9.12	-19.36	0.17	1.33	5.995				
	36	5790	J002145.80+003327.3	390-51900-465	0.0178	9.16	-17.05	0.65	0.9	1.088				
	37	6059	J010005.93-011058.8	395-51783-58	0.0514	9.34	-18.76	0.59	1.19	5.709				
	38	24013	J024635.03+000719.1	707-52177-494	0.0286	9.06	-17.48	0.5	1.21	0.984				
	39	24061	J030644.60-002431.5	710-52203-279	0.0252	9.41	-18.16	0.51	1.18	0.862				
	40	82616	J074829.21+510052.4	1869-53327-263	0.019	9.1	-17.89	0.38	3.05	1.72				
	41	83933	J080228.84+203050.3	1922-53315-364	0.0286	8.6	-19.85	0.78	2.04	1.96				
	42	75073	J081010.69+073337.1	1756-53080-413	0.0522	9.37	-19.53	0.42	1.88	6				
	43	31779	J081353.45+310824.3	861-52318-72	0.0479	9.41	-18.77	0.72	1.2	6				
	44	50121	J081549.08+254701.4	1266-52709-127	0.0248	9.18	-17.21	0.63	0.87	2.071				
	45	35979	J082013.92+302503.0	931-52619-145	0.0196	9.43	-17.97	0.59	1.12	1.693				
	46	83280	J083740.88+601339.3	1874-54452-158	0.0273	9.45	-18.72	0.46	2	0.5				
	47	64526	J084449.13+281853.5	1588-52965-176	0.0205	9.45	-17.84	0.59	0.93	2.52				
	48	47066	J085125.81+393541.7	1198-52669-392	0.041	9.41	-19.19	0.28	1.76	0.5				
	49	36154	J085548.25+354502.0	935-52643-53	0.0527	9.45	-19.19	0.42	5.62	1.706				
	50	47918	J090737.05+352828.4	1212-52703-97	0.0276	9.44	-18.53	0.53	1.17	5.366				
	51	50429	J090746.23+331000.8	1272-52989-101	0.0493	8.96	-21.15	0.77	3	4.566				
	52	73781	J091555.31+100607.5	1739-53050-71	0.0309	9.2	-18	0.64	1	5.859				
	53	105953	J091720.88+191018.9	2288-53699-81	0.0285	9.31	-17.17	0.87	1.97	6				
	54	64878	J092747.65+331233.1	1593-52991-123	0.0375	9.34	-18.55	0.44	4.29	1.561				
	55	36356	J093226.79+420516.8	939-52636-603	0.0259	9.31	-17.25	0.7	0.84	1.318				
	56	26850	J093239.45+511542.9	767-52252-104	0.0473	9.21	-18.99	0.38	1.09	5.964				
	57	84977	J093444.94+264028.2	1940-53383-24	0.0323	9.44	-18.44	0.51	1.17	0.986				
	58	39968	J093821.54+063130.8	993-52710-325	0.0224	9.41	-18.05	0.48	1.19	3.23				
	59	39954	J094705.72+050159.8	993-52710-12	0.0242	9.18	-17.73	0.47	0.86	2.11				
	60	65192	J095020.07+360446.6	1595-52999-519	0.0218	9.28	-17.89	0.44	2.62	1.249				
	61	17066	J095147.61+030722.0	571-52286-124	0.0207	8.92	-17.42	0.39	3.67	1.727				
	62	13274	J095609.64+021448.3	500-51994-426	0.0321	9.45	-17.89	0.6	1.04	1.287				
	63	213	J100008.40+005905.2	268-51633-610	0.0318	9.4	-19.46	0.39	0.79	6				
	64	106991	J100423.33+231323.4	2343-53735-270	0.0266	9.14	-17.53	0.49	0.69	5.989				
	65	106979	J101103.34+233447.2	2343-53735-118	0.0223	9.21	-17.53	0.63	0.84	0.869				
	66	55081	J101747.09+393207.7	1357-53034-11	0.054	9.01	-18.92	0.51	1.48	5.886				
	67	12623	J102149.12+635206.8	488-51914-111	0.0211	9	-16.99	0.62	0.83	2.181				
	68	40222	J102355.74+065452.7	998-52750-494	0.0335	9.41	-17.49	0.82	1.26	6				
	69	117416	J102833.33+184513.9	2591-54140-538	0.0274	9.46	-17.98	0.58	0.95	3.887				
	70	88154	J103848.96+380245.2	1998-53433-391	0.0364	9.39	-18.07	0.47	1.63	1.386				
	71	74602	J104119.80+143641.1	1748-53112-609	0.0494	9.37	-18.59	0.46	1.06	1.606				
	72	107866	J104644.86+255502.0	2355-53792-504	0.0203	8.99	-17.81	0.39	1.67	0.898				
	73	90179	J104758.09+335536.8	2025-53431-559	0.0228	9.33	-18.51	0.34	5.45	1.902				
	74	111231	J105006.07+163053.2	2483-53852-399	0.0524	9.27	-18.96	0.32	1.26	6				
	75	74744	J105555.12+135616.9	1750-53358-174	0.0238	9.21	-17.72	0.49	0.68	2.236				
	76	32345	J110027.04+495745.3	877-52353-260	0.0245	9	-16.99	0.57	1.64	1.158				
	77	66003	J110219.75+123107.1	1603-53119-457	0.027	9.42	-17.99	0.64	0.89	5.995				
	78	48521	J112631.77+095515.4	1223-52781-434	0.0313	9.36	-18.73	0.38	4.33	1.923				
	79	19138	J112957.62+653804.8	597-52059-408	0.0439	9.45	-18.21	0.56	1.35	6				
	80	112548	J113024.28+232200.2	2501-54084-202	0.024	9.1	-17.53	0.47	0.54	4.326				
	81	93958	J113129.20+350958.9	2113-53468-72	0.0337	9.28	-17.24	0.95	0.93	5.836				
	82	1169	J113413.74+001834.0	282-51658-470	0.0281	9.27	-17.87	0.52	0.8	1.637				
	83	102133	J114800.65+274946.1	2223-53793-344	0.0293	8.88	-17.78	0.47	0.72	5.81				
	84	113341	J114902.63+185111.5	2509-54180-97	0.0192	9.29	-18.1	0.4	2.81	1.064				
	85	102235	J115308.65+301114.8	2224-53815-391	0.0216	8.88	-17.17	0.56	0.52	5.98				
