#name     Ra     Dec
ECO02336 186.692 21.263  
ECO05992 186.701 45.878  
ECO02742 186.714  5.805  
ECO07218 186.714 -0.209  
ECO10052 186.727 26.690  
ECO03574 186.732 37.909  
ECO09840 186.732 46.145  
ECO07126 186.734  9.544  
ECO05995 186.747  8.959  
ECO03575 186.748 22.640  
ECO09807 186.753 45.506  
ECO11348 186.763 29.538  
ECO01456 186.784 14.239  
ECO03576 186.787 16.326  
ECO07810 186.807  8.902  
ECO03577 186.807  9.709  
ECO12407 186.816  8.610  
ECO05996 186.818 16.499  
ECO02126 186.836 18.715  
ECO02081 186.860  8.843  
ECO10967 186.867 42.341  
ECO10816 186.867  9.323  
ECO06876 186.872  9.043  
ECO02243 186.873 26.103  
ECO03578 186.887  6.233  
ECO05997 186.894 27.740  
ECO06759 186.898 26.540  
ECO09599 186.909 40.383  
ECO09607 186.915 40.614  
ECO05998 186.924 28.698  
ECO10927 186.925  9.608  
ECO10350 186.932 44.817  
ECO09176 186.932 33.580  
ECO01864 186.947 22.562  
ECO03579 186.960 26.994  
ECO10060 186.966 24.942  
ECO08849 186.981 28.575  
ECO07344 186.982  1.116  
ECO10817 186.997  9.906  
ECO05999 187.006  4.292  
ECO06001 187.024 41.871  
ECO03580 187.028 13.912  
ECO03581 187.036 20.180  
ECO03583 187.052 13.899  
ECO06000 187.057 13.571  
ECO03584 187.059  7.608  
ECO03585 187.059 44.453  
ECO12565 187.062 25.433  
ECO01054 187.063 44.453  
ECO09579 187.088 39.901  
ECO11350 187.102 26.784  
ECO03586 187.105 44.634  
ECO06003 187.113  0.142  
ECO06002 187.115 28.674  
ECO03587 187.130 23.305  
ECO02728 187.146 18.590  
ECO12398 187.150  7.488  
ECO06004 187.151 31.482  
ECO01457 187.169 14.788  
ECO10351 187.176 44.098  
ECO03588 187.176 43.626  
ECO10553 187.177 43.627  
ECO07815 187.203  9.015  
ECO12651 187.209 16.365  
ECO10615 187.212 26.700  
ECO03589 187.217  4.293  
ECO01458 187.232 39.914  
ECO03590 187.250  7.851  
ECO06007 187.261 27.640  
ECO00670 187.265 23.268  
ECO03592 187.266 27.779  
ECO06006 187.268 43.980  
ECO07588 187.272  3.882  
ECO09787 187.276 44.705  
ECO11670 187.276 44.655  
ECO03591 187.279  0.581  
ECO07000 187.290 14.524  
ECO02162 187.297 20.367  
ECO01055 187.299  9.158  
ECO00492 187.315 41.473  
ECO00796 187.318 43.746  
ECO03595 187.340  1.057  
ECO03596 187.348  8.026  
ECO12487 187.350 22.364  
ECO03597 187.408  9.495  
ECO06009 187.411 26.231  
ECO06008 187.413 32.913  
ECO10156 187.421  0.254  
ECO03598 187.448 27.243  
ECO03599 187.456 22.372  
ECO01459 187.458  9.602  
ECO06645 187.468 28.526  
ECO05080 187.477 -0.055  
ECO03600 187.485 10.615  
ECO01865 187.505 23.184  
ECO00454 187.521 49.611  
ECO06010 187.536 37.556  
ECO11080 187.548 26.433  
ECO03601 187.551  3.578  
ECO12060 187.558 41.085  
ECO09881 187.574 47.210  
ECO01460 187.577  6.974  
ECO10352 187.578  8.966  
ECO03602 187.586  3.740  
ECO08994 187.599 30.934  
ECO02733 187.601 18.306  
ECO03603 187.616 14.160  
ECO09520 187.622 38.821  
ECO12073 187.626 36.664  
ECO01461 187.629 13.813  
ECO12357 187.631  6.810  
ECO12459 187.631 25.309  
ECO07313 187.653  0.846  
ECO01867 187.653 22.760  
ECO07261 187.658  0.344  
ECO00689 187.677 16.421  
ECO07295 187.698  0.636  
ECO07305 187.706  0.745  
ECO01868 187.710 18.146  
