#name     Ra     Dec
ECO08915 204.119 29.513  
ECO12594 204.124 18.072  
ECO00681 204.129 18.202  
ECO12597 204.129 18.207  
ECO01577 204.129  8.155  
ECO12596 204.131 17.877  
ECO04204 204.140 44.599  
ECO12359 204.147  6.856  
ECO01578 204.149 34.477  
ECO06365 204.149  8.193  
ECO07609 204.156  4.188  
ECO06366 204.156  1.260  
ECO01996 204.169  8.243  
ECO04201 204.170 20.200  
ECO04205 204.175 34.746  
ECO11976 204.182  6.996  
ECO00512 204.183  3.276  
ECO04200 204.196  6.497  
ECO07544 204.201  3.280  
ECO10031 204.202 33.489  
ECO04210 204.205 44.881  
ECO04202 204.209  3.526  
ECO06367 204.209  5.852  
ECO04207 204.221 17.387  
ECO04206 204.223 15.968  
ECO04209 204.227 17.400  
ECO06369 204.239  3.493  
ECO11291 204.244 36.270  
ECO04203 204.244  0.226  
ECO11888 204.254 31.767  
ECO11725 204.258  9.015  
ECO00031 204.262  4.930  
ECO00559 204.262 36.273  
ECO09154 204.275 33.327  
ECO10849 204.281  4.692  
ECO07467 204.314  2.430  
ECO12360 204.315  6.771  
ECO07594 204.328  3.939  
ECO07640 204.341  4.689  
ECO00298 204.342  2.331  
ECO09311 204.344 35.819  
ECO00697 204.345 17.397  
ECO04211 204.347  3.898  
ECO04212 204.350  6.437  
ECO04213 204.352  9.024  
ECO06370 204.363 38.616  
ECO12337 204.366  6.410  
ECO04217 204.370 38.971  
ECO04214 204.372  4.105  
ECO08979 204.373 30.616  
ECO11966 204.374  7.307  
ECO00848 204.375  1.083  
ECO04218 204.379 38.621  
ECO09144 204.394 33.278  
ECO04220 204.416 39.155  
ECO04215 204.426  3.473  
ECO04216 204.429  5.243  
ECO09103 204.434 32.461  
ECO07143 204.463  5.251  
ECO10652 204.475 34.654  
ECO11436 204.504 10.241  
ECO01579 204.516 26.745  
ECO06371 204.527  0.021  
ECO10010 204.544 38.666  
ECO00849 204.547  4.515  
ECO00199 204.553 15.863  
ECO04224 204.555 32.823  
ECO06372 204.557  6.466  
ECO01997 204.562 18.411  
ECO10850 204.564 47.104  
ECO06373 204.564 -0.398  
ECO07144 204.565 32.791  
ECO04221 204.566  4.543  
ECO11167 204.574 14.092  
ECO11168 204.585 36.536  
ECO04223 204.598  6.887  
ECO04222 204.609 -0.228  
ECO06375 204.619  0.510  
ECO06374 204.620  2.529  
ECO06376 204.624 30.986  
ECO09168 204.630 33.503  
ECO04225 204.634  0.540  
ECO06377 204.666  0.546  
ECO09982 204.675 -0.253  
ECO04227 204.680 31.270  
ECO04226 204.684  4.459  
ECO11316 204.689 -0.417  
ECO12661 204.707 17.086  
ECO10267 204.714  4.432  
ECO04228 204.723 14.744  
ECO07890 204.725 10.670  
ECO00032 204.726  4.131  
ECO07612 204.734  4.229  
ECO07444 204.736  2.151  
ECO06897 204.738 36.596  
ECO12203 204.744 26.496  
ECO04231 204.746 31.365  
ECO04233 204.763 43.566  
ECO06378 204.769  2.164  
ECO07705 204.788  5.769  
ECO07668 204.796  4.980  
ECO01998 204.800 15.441  
ECO04229 204.805  4.623  
ECO04232 204.825 12.724  
ECO10025 204.834 34.688  
ECO07684 204.835  5.308  
ECO07704 204.842  5.758  
ECO04234 204.864  4.511  
ECO01580 204.870 46.015  
ECO04236 204.872 31.300  
ECO07632 204.874  4.511  
ECO00434 204.884  2.981  
ECO00850 204.887 15.223  
ECO04239 204.900 43.053  
ECO04235 204.908  6.153  
ECO00345 204.923 30.284  
ECO12673 204.939 16.465  
ECO07486 204.945  2.626  
ECO06381 204.949 47.553  
ECO06380 204.956 -0.330  
ECO00980 204.957 23.014  
ECO12662 204.964 17.080  
ECO06382 204.964 -0.753  
ECO06847 204.965 28.045  
ECO04237 204.970  0.840  
ECO07440 204.977  2.122  
ECO04240 204.982 28.401  
ECO04238 204.991  0.832  
ECO11969 205.006  7.367  
ECO10851 205.009  5.651  
ECO06383 205.011 40.421  
ECO01582 205.015 10.970  
ECO11272 205.018 33.945  
ECO04245 205.038 36.861  
ECO04242 205.053  2.480  
ECO04246 205.063 38.869  
ECO04243 205.067  5.076  
ECO07145 205.071  2.444  
ECO00495 205.071  3.840  
ECO07359 205.075  1.293  
ECO10263 205.076  5.064  
ECO00851 205.089  1.542  
ECO01999 205.092 16.628  
ECO02000 205.113  6.115  
ECO04244 205.113  4.774  
ECO07669 205.114  5.012  
ECO07583 205.118  3.759  
ECO04247 205.124 42.993  
ECO10852 205.124  4.296  
ECO07649 205.130  4.755  
ECO10260 205.130  4.619  
ECO06384 205.133  0.006  
ECO07674 205.135  5.089  
ECO10853 205.141  4.820  
ECO07655 205.148  4.817  
ECO06385 205.151 34.294  
ECO00981 205.158 17.095  
ECO04248 205.167 38.794  
ECO00033 205.177  4.813  
ECO00852 205.180 39.553  
ECO07675 205.199  5.095  
ECO10855 205.206  5.797  
ECO10856 205.227  5.798  
ECO12029 205.231 38.873  
ECO01583 205.240  0.926  
ECO00577 205.241 31.419  
ECO10180 205.246  3.070  
ECO09532 205.252 39.057  
ECO11170 205.258  9.933  
ECO04249 205.272  5.106  
ECO06386 205.293 37.019  
ECO07147 205.301  5.054  
ECO12634 205.308 16.230  
ECO07664 205.333  4.956  
ECO00149 205.341  6.007  
ECO01232 205.342 14.939  
ECO01198 205.344  5.881  
ECO04250 205.344  5.040  
ECO11878 205.354 13.856  
ECO09088 205.370 32.193  
ECO09246 205.370 34.826  
ECO07610 205.386  4.194  
ECO12117 205.389 32.433  
ECO04254 205.389 17.467  
ECO01026 205.404  4.846  
ECO00190 205.409 24.677  
ECO07825 205.410  9.149  
ECO04251 205.414  5.033  
ECO11171 205.423 35.037  
ECO07627 205.426  4.450  
ECO04255 205.428  4.274  
ECO12368 205.449  7.617  
ECO07661 205.466  4.934  
