#name     Ra     Dec
ECO09838 171.498 46.083  
ECO12462 171.504  1.984  
ECO02403 171.505 22.868  
ECO06821 171.534 27.910  
ECO07409 171.540  1.896  
ECO05654 171.552 27.199  
ECO12494 171.558  7.842  
ECO02692 171.565 17.541  
ECO12483 171.565 27.867  
ECO08769 171.566 27.899  
ECO05655 171.567 21.088  
ECO09001 171.572 30.973  
ECO00300 171.575  2.580  
ECO00728 171.579 18.836  
ECO05656 171.611 29.397  
ECO09713 171.620 43.310  
ECO12515 171.642 11.440  
ECO08613 171.660 26.361  
ECO01698 171.661 24.299  
ECO02880 171.671 20.725  
ECO07352 171.674  1.242  
ECO12419 171.676 39.312  
ECO01085 171.686 26.376  
ECO12526 171.692 39.266  
ECO02386 171.701 22.558  
ECO08596 171.713 26.197  
ECO12537 171.730 18.833  
ECO00299 171.742  2.333  
ECO08782 171.759 28.075  
ECO11032 171.759 27.147  
ECO00541 171.760 28.242  
ECO02359 171.764 21.233  
ECO01371 171.773 35.835  
ECO01699 171.775 21.913  
ECO12547 171.775 13.239  
ECO11929 171.786  7.688  
ECO01307 171.803  8.788  
ECO02426 171.806 23.770  
ECO05658 171.829 38.664  
ECO01308 171.836 33.913  
ECO09200 171.837 33.878  
ECO08584 171.861 26.058  
ECO00137 171.862  6.885  
ECO02265 171.867 25.495  
ECO12558 171.870 19.853  
ECO11518 171.872 44.729  
ECO02334 171.873 20.783  
ECO02411 171.877 23.359  
ECO11033 171.886 33.445  
ECO08594 171.901 26.179  
ECO00140 171.905  8.501  
ECO05659 171.913 23.758  
ECO10190 171.918  3.590  
ECO02402 171.922 23.240  
ECO10957 171.933  5.724  
ECO11487 171.947  7.988  
ECO00715 171.951 21.629  
ECO02275 171.966 21.409  
ECO02333 171.973 20.809  
ECO11034 171.979 28.892  
ECO00507 171.985  3.711  
ECO02331 171.988 20.792  
ECO12570 171.992 13.184  
ECO02259 171.996 25.272  
ECO01701 172.023 23.429  
ECO02440 172.029 24.176  
ECO00933 172.036 17.380  
ECO12603 172.045  8.011  
ECO12581 172.046 25.661  
ECO12592 172.052 21.997  
ECO11533 172.053 25.727  
ECO12614 172.054  9.062  
ECO01702 172.058 20.679  
ECO07463 172.060  2.400  
ECO05108 172.061 11.394  
ECO12625 172.062  9.147  
ECO07489 172.067  2.634  
ECO11406 172.068 29.300  
ECO01703 172.072 21.591  
ECO12636 172.073  2.654  
ECO00239 172.076 41.444  
ECO08792 172.078 28.160  
ECO09525 172.089 38.922  
ECO00934 172.117 19.184  
ECO07308 172.129  0.783  
ECO12647 172.129  9.104  
ECO00703 172.139 23.534  
ECO06745 172.139 36.777  
ECO12658 172.143 21.011  
ECO12669 172.151 23.405  
ECO02433 172.164 23.671  
ECO02134 172.166  9.099  
ECO05660 172.168 21.097  
ECO00754 172.169 17.232  
ECO02103 172.170  4.772  
ECO02123 172.171 19.731  
ECO02680 172.186 17.227  
ECO00440 172.193  1.618  
ECO05661 172.205 28.317  
ECO02145 172.210 20.795  
ECO02329 172.215 20.808  
ECO02877 172.222 20.740  
ECO08724 172.224 27.376  
ECO02876 172.231 20.625  
ECO02166 172.244 22.091  
ECO05662 172.244 20.750  
ECO02156 172.246 38.851  
ECO02177 172.249 20.740  
ECO00486 172.250  3.854  
ECO11697 172.253  9.089  
ECO11614 172.255 28.821  
ECO02188 172.260 17.232  
ECO02199 172.266  9.112  
ECO02210 172.277  8.989  
ECO08884 172.293 29.105  
ECO02290 172.296 22.295  
