#name     Ra     Dec
ECO03764 194.025 27.679  
ECO01495 194.048 29.398  
ECO03765 194.051 27.745  
ECO11118 194.059 27.816  
ECO06937 194.061 27.506  
ECO11589 194.070 27.446  
ECO08932 194.077 29.808  
ECO03768 194.078 26.359  
ECO03770 194.082 27.752  
ECO11119 194.083 32.655  
ECO03767 194.083 10.189  
ECO10128 194.085 29.300  
ECO03766 194.085  5.476  
ECO09973 194.085 26.704  
ECO08835 194.091 28.487  
ECO01904 194.097 27.544  
ECO08707 194.099 27.234  
ECO07061 194.110 27.727  
ECO06118 194.111 27.831  
ECO03771 194.116 26.987  
ECO12248 194.119 28.083  
ECO03772 194.122 26.957  
ECO06658 194.124 27.940  
ECO11583 194.134 27.056  
ECO06659 194.142 27.687  
ECO06120 194.143 27.539  
ECO11587 194.144 27.228  
ECO12197 194.146 29.747  
ECO06119 194.147 28.275  
ECO12240 194.150 27.719  
ECO00576 194.154 27.885  
ECO08785 194.160 28.106  
ECO01905 194.171 27.448  
ECO03773 194.179 28.020  
ECO08657 194.180 26.742  
ECO06860 194.181 27.035  
ECO06660 194.191 28.052  
ECO11823 194.194 11.092  
ECO01496 194.201  3.891  
ECO00553 194.206 31.499  
ECO11641 194.207 27.094  
ECO03774 194.213 26.899  
ECO06121 194.213 29.378  
ECO09412 194.216 37.405  
ECO00554 194.218 28.188  
ECO07665 194.219  4.958  
ECO06661 194.221 27.929  
ECO06122 194.223 22.374  
ECO08982 194.228 30.676  
ECO12180 194.236 28.623  
ECO09498 194.236 38.639  
ECO03775 194.240 30.716  
ECO00813 194.251  1.029  
ECO11594 194.257 27.372  
ECO06936 194.261 27.657  
ECO10041 194.262 31.625  
ECO08611 194.270 26.303  
ECO08981 194.274 30.665  
ECO01906 194.277 28.297  
ECO01497 194.282 27.340  
ECO12269 194.289 27.466  
ECO06662 194.295 27.405  
ECO11584 194.300 27.103  
ECO01907 194.303 28.134  
ECO00074 194.309 27.254  
ECO09954 194.309 49.695  
ECO12215 194.312 26.466  
ECO11328 194.313 -0.658  
ECO06663 194.320 27.618  
ECO12473 194.322 21.338  
ECO00641 194.324 28.439  
ECO06665 194.324 27.811  
ECO06935 194.326 27.747  
ECO01498 194.327 26.980  
ECO08619 194.333 26.432  
ECO11571 194.340 27.475  
ECO06666 194.341 27.880  
ECO07462 194.343  2.370  
ECO09165 194.347 33.456  
ECO06934 194.348 27.550  
ECO03776 194.351 27.498  
ECO06123 194.354 -0.623  
ECO08836 194.354 28.496  
ECO06124 194.355 27.405  
ECO03777 194.357 27.547  
ECO09497 194.358 38.639  
ECO08651 194.361 26.694  
ECO08748 194.367 27.701  
ECO03778 194.375 28.188  
ECO03779 194.380 26.513  
ECO01908 194.380 28.018  
ECO03781 194.383 28.477  
ECO08006 194.383 13.472  
ECO03782 194.387 27.610  
ECO07589 194.391  3.922  
ECO03783 194.391 28.483  
ECO06933 194.395 27.310  
ECO03784 194.399 27.494  
ECO06125 194.401 27.485  
ECO01910 194.401 28.233  
ECO12250 194.402 28.077  
ECO06859 194.402 27.031  
ECO07561 194.403  3.445  
ECO06932 194.405 28.040  
ECO09304 194.409 35.720  
ECO00474 194.419 26.205  
ECO03785 194.430 26.853  
ECO11466 194.430 27.578  
ECO01499 194.432 29.003  
ECO00252 194.436 34.840  
ECO06667 194.442 27.757  
ECO06668 194.444 28.141  
ECO06852 194.446 29.149  
ECO06126 194.447 27.833  
ECO03790 194.449 36.371  
ECO06669 194.449 27.769  
ECO03786 194.450 27.884  
ECO07963 194.450 12.521  
ECO03787 194.453 28.180  
ECO03789 194.458 29.655  
ECO10136 194.460 28.170  
ECO03788 194.460 27.880  
ECO12241 194.461 27.644  
ECO01911 194.462 27.491  
ECO06128 194.471  3.723  
ECO06931 194.471 27.707  
ECO01109 194.474 10.085  
ECO12179 194.475 28.500  
ECO11595 194.477 27.491  
ECO02418 194.477 23.516  
ECO00134 194.481 27.232  
ECO06670 194.484 27.581  
ECO01500 194.485 32.482  
ECO11576 194.485 27.382  
ECO08695 194.486 27.038  
ECO00814 194.487 27.992  
ECO03792 194.491  9.240  
ECO07686 194.499  5.320  
ECO00961 194.502 16.986  
ECO08763 194.507 27.854  
ECO03793 194.510 26.859  
ECO10969 194.512 27.978  
ECO06930 194.514 27.682  
ECO06129 194.515 27.815  
ECO12217 194.520 26.371  
ECO03794 194.524 28.242  
ECO11578 194.525 27.419  
ECO08880 194.528 29.035  
ECO12225 194.529 26.787  
ECO12261 194.531 26.327  
ECO08648 194.539 26.664  
ECO06671 194.540 27.549  
ECO06130 194.542 24.349  
ECO11120 194.546 27.860  
ECO01912 194.549 27.542  
ECO03795 194.553 26.397  
ECO00362 194.557 33.181  
ECO06672 194.558 28.182  
ECO12655 194.558 16.951  
ECO09115 194.561 32.673  
ECO08841 194.563 28.522  
ECO00065 194.569 27.803  
ECO06929 194.572 28.040  
ECO11570 194.578 27.311  
ECO03796 194.578 13.392  
ECO06131 194.580 27.762  
ECO08867 194.581 28.699  
ECO11415 194.582 28.095  
ECO11581 194.585 26.921  
ECO03798 194.590 27.968  
ECO06927 194.591 27.892  
ECO03799 194.592 28.153  
ECO03797 194.595 13.873  
ECO09275 194.601 35.250  
ECO11715 194.608  9.630  
ECO12172 194.612 29.612  
ECO12187 194.616 28.974  
ECO03801 194.625 28.015  
ECO06133 194.626  9.544  
ECO11281 194.629 26.995  
ECO06926 194.629 28.234  
ECO06134 194.632 27.674  
ECO06132 194.633 28.050  
ECO06673 194.634 27.456  
ECO00649 194.635 28.378  
ECO11590 194.638 27.364  
ECO01913 194.645 24.393  
ECO01090 194.647 27.484  
ECO03802 194.648 27.265  
ECO06135 194.650  1.707  
ECO01914 194.650 27.873  
ECO06136 194.651 28.114  
