#name     Ra     Dec
ECO05860 181.650 25.114  
ECO02870 181.657 20.645  
ECO08561 181.659 25.750  
ECO10039 181.662 31.401  
ECO07040 181.664  1.284  
ECO08228 181.665 20.456  
ECO00282 181.667  1.334  
ECO02339 181.670 21.293  
ECO10597 181.671 25.238  
ECO03349 181.685 17.715  
ECO01800 181.688 25.495  
ECO05861 181.706 25.003  
ECO03350 181.713 42.996  
ECO05862 181.714 20.819  
ECO02706 181.715 16.992  
ECO08496 181.720 25.197  
ECO12564 181.723 25.541  
ECO01801 181.727 25.034  
ECO12465 181.731 25.624  
ECO01414 181.742 14.079  
ECO12509 181.745 23.705  
ECO10797 181.749 47.365  
ECO12480 181.751 22.388  
ECO02871 181.759 20.659  
ECO11719 181.764 25.729  
ECO03352 181.765 18.532  
ECO05863 181.766 42.984  
ECO01415 181.770 33.210  
ECO02272 181.774 21.462  
ECO01416 181.778  6.864  
ECO05865 181.781 31.060  
ECO07226 181.781 -0.020  
ECO12571 181.789 25.954  
ECO03353 181.790 16.995  
ECO11735 181.793 13.248  
ECO06987 181.815 30.080  
ECO10598 181.816 25.285  
ECO01803 181.816 25.055  
ECO10599 181.822 25.264  
ECO05866 181.827 20.584  
ECO03354 181.827 16.841  
ECO03355 181.827 36.657  
ECO05867 181.827 20.372  
ECO03356 181.835 17.262  
ECO05060 181.840 -0.377  
ECO08547 181.843 25.611  
ECO11543 181.844 48.892  
ECO03357 181.853 -0.159  
ECO03358 181.855 16.889  
ECO10600 181.867 24.951  
ECO01804 181.868 18.475  
ECO03359 181.878 31.348  
ECO10799 181.883 42.359  
ECO07383 181.883  1.637  
ECO09927 181.891 48.296  
ECO12457 181.894 25.281  
ECO08564 181.898 25.772  
ECO03360 181.909  1.574  
ECO03361 181.918 17.303  
ECO08498 181.924 25.254  
ECO08935 181.930 29.856  
ECO08531 181.943 25.520  
ECO11058 181.946 25.264  
ECO08532 181.952 25.525  
ECO02693 181.953 17.160  
ECO02873 181.954 20.645  
ECO10800 181.959  9.210  
ECO11059 181.960 30.884  
ECO05868 181.961 19.767  
ECO01805 181.962 25.747  
ECO03363 181.965 13.577  
ECO01806 181.967 25.986  
ECO00438 181.973 13.566  
ECO01807 181.978 25.101  
ECO01808 181.979 25.017  
ECO01417 181.979 31.476  
ECO08508 181.993 25.321  
ECO12488 181.993 22.796  
ECO12474 181.993 21.919  
ECO01809 182.004 24.859  
ECO05177 182.007 -0.968  
ECO01810 182.012 19.790  
ECO09023 182.013 31.284  
ECO03364 182.017  0.697  
ECO03365 182.021 25.590  
ECO03366 182.023 25.237  
ECO08503 182.025 25.267  
ECO02362 182.029 22.101  
ECO10602 182.030 25.260  
ECO08464 182.030 24.790  
ECO01811 182.031 18.009  
ECO08514 182.032 25.373  
ECO08481 182.034 25.033  
ECO08558 182.036 25.718  
ECO05869 182.038 25.079  
ECO09093 182.040 32.312  
ECO08457 182.040 24.677  
ECO08548 182.041 25.613  
ECO06988 182.048 30.753  
ECO03367 182.050 25.756  
ECO03368 182.055 24.943  
ECO02473 182.061 25.410  
ECO08483 182.064 25.036  
ECO03369 182.064 25.811  
ECO02474 182.075 25.594  
ECO11060 182.075 31.500  
ECO08494 182.077 25.162  
ECO09046 182.079 31.658  
ECO08510 182.085 25.335  
ECO08513 182.088 25.364  
ECO10603 182.090 25.191  
ECO11564 182.093 25.316  
ECO12667 182.096 17.330  
ECO11467 182.100 43.870  
ECO03370 182.107 10.017  
ECO12481 182.107 22.417  
ECO01418 182.110 30.037  
ECO05870 182.112 13.524  
ECO09056 182.112 31.740  
ECO08502 182.123 25.266  
ECO02276 182.128 21.927  
ECO05871 182.130  1.909  
ECO02793 182.131 18.949  
ECO03371 182.152 17.212  
ECO03375 182.154 38.832  
ECO03372 182.156 16.143  
ECO02460 182.164 25.128  
ECO09030 182.169 31.390  
ECO07369 182.178  1.456  
ECO02357 182.180 21.742  
ECO05117 182.182 13.555  
ECO03376 182.193 24.946  
