#name     Ra     Dec
ECO01385 177.287 21.211  
ECO02879 177.297 20.938  
ECO01386 177.310 36.763  
ECO00766 177.311 19.362  
ECO05746 177.319 46.120  
ECO03095 177.328 26.122  
ECO01747 177.330 20.692  
ECO03096 177.334 15.409  
ECO02270 177.341 21.355  
ECO03097 177.342 24.939  
ECO01331 177.347  2.693  
ECO03099 177.350 16.642  
ECO05145 177.354 11.315  
ECO05747 177.355 42.554  
ECO01387 177.376 22.140  
ECO03100 177.376 21.043  
ECO05136 177.378 12.677  
ECO00024 177.383 10.601  
ECO00138 177.394  6.960  
ECO07542 177.414  3.222  
ECO03101 177.423 13.244  
ECO08381 177.432 23.445  
ECO12354 177.460  7.461  
ECO02526 177.461 19.145  
ECO05748 177.462 47.445  
ECO03102 177.467  6.668  
ECO02722 177.472 18.561  
ECO08120 177.500 17.006  
ECO07719 177.502  6.163  
ECO01388 177.526 37.100  
ECO01332 177.527 24.921  
ECO08064 177.540 14.655  
ECO03103 177.551  6.999  
ECO05749 177.552 45.479  
ECO01748 177.553 21.415  
ECO03104 177.565 43.735  
ECO11475 177.572 34.650  
ECO11871 177.576 35.254  
ECO00736 177.577 20.746  
ECO02854 177.579 20.480  
ECO08453 177.584 24.644  
ECO03105 177.584 25.962  
ECO02721 177.589 18.552  
ECO08282 177.589 21.326  
ECO09671 177.590 42.436  
ECO00241 177.599 -0.528  
ECO08230 177.599 20.488  
ECO05750 177.606 25.989  
ECO09826 177.610 45.939  
ECO02832 177.625 20.086  
ECO11496 177.628  1.983  
ECO03106 177.636  6.568  
ECO05751 177.639 17.858  
ECO05126 177.643 11.172  
ECO07883 177.644 10.491  
ECO02831 177.647 20.213  
ECO00161 177.657 14.453  
ECO03107 177.665 20.907  
ECO03108 177.673 20.015  
ECO12349 177.685  7.121  
ECO02855 177.695 20.552  
ECO11043 177.702 29.415  
ECO10582 177.704 22.127  
ECO05752 177.712 20.049  
ECO07207 177.713 -0.408  
ECO03110 177.715 20.497  
ECO01389 177.725 13.740  
ECO03111 177.730 30.851  
ECO03112 177.731 21.145  
ECO07116 177.732 20.555  
ECO08099 177.737 15.527  
ECO02401 177.740 23.309  
ECO10583 177.740 21.188  
ECO11044 177.742 22.077  
ECO11363 177.742 26.005  
ECO01749 177.744 20.706  
ECO08019 177.745 13.773  
ECO05753 177.745 30.569  
ECO03113 177.755 20.399  
ECO12032 177.756 36.491  
ECO03114 177.760 20.800  
ECO01750 177.767 20.883  
ECO08069 177.769 14.802  
ECO07054 177.773 20.147  
ECO08470 177.774 24.838  
ECO03115 177.774  6.767  
ECO11509 177.776 21.122  
ECO07910 177.785 10.901  
ECO03116 177.793 10.635  
ECO05156 177.796 44.009  
ECO05754 177.805 43.091  
ECO08265 177.808 21.133  
ECO03117 177.811 21.002  
ECO01751 177.814 21.138  
ECO08436 177.819 24.330  
ECO08280 177.820 21.314  
ECO10786 177.826 10.904  
ECO08016 177.834 13.741  
ECO01086 177.846 25.709  
ECO03118 177.847 26.784  
ECO01752 177.848 20.859  
ECO11368 177.850 23.345  
ECO05755 177.854 47.914  
ECO03119 177.855 35.204  
ECO08568 177.860 25.809  
ECO11903 177.861 22.028  
ECO02787 177.862 18.965  
ECO03121 177.867 35.434  
ECO00761 177.871 18.582  
ECO03122 177.871 15.771  
ECO03123 177.880 23.863  
ECO08358 177.881 23.028  
ECO07657 177.883  4.852  
ECO03124 177.890 16.185  
ECO03125 177.894 15.475  
ECO01753 177.900 20.733  
ECO05757 177.900 16.664  
ECO02404 177.900 23.342  
ECO07895 177.911 10.681  
ECO08033 177.917 13.915  
ECO03126 177.918  6.708  
ECO01754 177.921 20.959  
ECO00771 177.926 20.661  
ECO03127 177.927 21.003  
ECO08383 177.937 23.480  
ECO11045 177.940 29.997  
ECO09494 177.945 38.582  
ECO00047 177.947 11.821  
ECO05761 177.948 46.873  
ECO12066 177.952 36.737  
ECO05759 177.952 19.358  
ECO08229 177.952 20.458  
ECO11688 177.955 23.528  
ECO01391 177.956 21.154  
ECO05760 177.959 35.140  
ECO05762 177.969 18.546  
ECO01756 177.970 20.455  
ECO11479 177.978 27.092  
ECO05758 177.979 16.846  
ECO07709 177.979  5.840  
ECO02601 177.982 19.646  
ECO10141 177.984 23.812  
ECO05763 177.987 45.733  
ECO03128 177.988 46.817  
ECO02626 177.989 20.798  
ECO05764 177.995 15.335  
ECO03129 177.999 21.109  
ECO08129 178.003 17.749  
ECO10070 178.005 18.343  
