#name     Ra     Dec
ECO07678 198.706  5.188  
ECO06845 198.708 28.019  
ECO03972 198.717 17.227  
ECO02694 198.720 17.233  
ECO06252 198.723 27.008  
ECO07646 198.736  4.741  
ECO03974 198.739 17.225  
ECO08992 198.750 30.905  
ECO03973 198.759  3.017  
ECO06846 198.759 28.036  
ECO02723 198.764 16.085  
ECO03976 198.765 24.619  
ECO02318 198.766 22.590  
ECO00212 198.768 24.939  
ECO03975 198.775  3.045  
ECO00753 198.776 16.752  
ECO03978 198.784 30.404  
ECO11128 198.787 30.707  
ECO08922 198.789 29.636  
ECO05128 198.794 15.546  
ECO00975 198.804 16.098  
ECO10085 198.816 13.625  
ECO10487 198.824 13.102  
ECO10086 198.833 13.542  
ECO12328 198.835 13.091  
ECO05161 198.842 12.905  
ECO05121 198.844 11.766  
ECO09269 198.846 35.174  
ECO11875 198.857 27.303  
ECO06253 198.857  0.974  
ECO06254 198.858 33.157  
ECO00827 198.861  3.017  
ECO01104 198.861 11.586  
ECO10488 198.877 12.873  
ECO02705 198.885 17.556  
ECO00828 198.886  3.501  
ECO03981 198.895 29.676  
ECO03979 198.899  0.492  
ECO09062 198.899 31.844  
ECO12175 198.908 29.659  
ECO07137 198.914 29.611  
ECO03980 198.924  2.879  
ECO00348 198.930 30.753  
ECO03983 198.946 31.846  
ECO02600 198.951 19.636  
ECO08825 198.952 28.431  
ECO03982 198.965  8.039  
ECO01195 198.973  8.029  
ECO12400 198.978  8.027  
ECO10133 198.981  6.929  
ECO06255 198.990 17.165  
ECO07515 198.994  2.951  
ECO10138 198.997 41.499  
ECO02237 199.005 25.056  
ECO05183 199.014  7.081  
ECO03984 199.015 35.043  
ECO09204 199.019 33.922  
ECO00763 199.021 16.506  
ECO03986 199.026 41.501  
ECO00684 199.045 18.763  
ECO03985 199.051 30.950  
ECO06257 199.055 36.080  
ECO03990 199.061 41.495  
ECO06256 199.067 35.762  
ECO02533 199.068 20.549  
ECO02532 199.070 20.568  
ECO03987 199.070 25.405  
ECO00686 199.072 18.666  
ECO01196 199.085  7.025  
ECO03989 199.085 30.678  
ECO03992 199.115 31.031  
ECO01958 199.119 17.450  
ECO00494 199.131  3.060  
ECO08987 199.134 30.767  
ECO02345 199.136 21.117  
ECO03991 199.150  3.064  
ECO00829 199.171 30.249  
ECO09697 199.173 43.008  
ECO03993 199.175 21.980  
ECO00830 199.175 26.132  
ECO06258 199.175 31.367  
ECO08797 199.184 28.200  
ECO12343 199.188  6.561  
ECO00086 199.191 26.212  
ECO12171 199.202 28.362  
ECO12576 199.206 18.861  
ECO11280 199.206 26.347  
ECO09053 199.221 31.711  
ECO06260 199.246 33.700  
ECO10159 199.251  0.640  
ECO03994 199.257  6.357  
ECO02211 199.260 23.292  
ECO06261 199.267  8.399  
ECO11129 199.282  9.677  
ECO06262 199.295  0.528  
ECO06263 199.310  7.680  
ECO03995 199.315  6.402  
ECO03996 199.318  6.038  
ECO12366 199.319  7.700  
ECO06264 199.320 20.691  
ECO02491 199.330 25.215  
ECO03997 199.332 20.638  
ECO03998 199.339 31.059  
ECO09699 199.344 43.032  
ECO00410 199.350 44.587  
ECO09743 199.353 43.574  
ECO11130 199.354 27.750  
ECO06265 199.356  9.322  
ECO12380 199.361  8.203  
ECO04000 199.369 20.612  
ECO02341 199.375 20.684  
ECO02517 199.376 20.620  
ECO04002 199.377 31.093  
ECO09004 199.378 31.006  
ECO04001 199.379 20.600  
ECO00648 199.391  4.857  
ECO06266 199.406  4.486  
ECO09199 199.408 33.854  
ECO10256 199.413  5.207  
ECO02370 199.418 21.501  
ECO10221 199.427  3.604  
ECO12195 199.434 29.646  
ECO02274 199.435 20.999  
ECO02515 199.437 20.553  
ECO04003 199.438 27.570  
ECO07619 199.463  4.364  
ECO10160 199.471  0.718  
ECO01959 199.480 23.261  
