#name     Ra     Dec
ECO10179 223.887  3.037  
ECO12507 223.897 18.285  
ECO12184 223.898 24.501  
ECO11694 223.968 24.720  
ECO04844 223.974 49.726  
ECO12624 224.025 13.722  
ECO07412 224.029  1.925  
ECO02042 224.051  5.733  
ECO09783 224.082 44.647  
ECO07459 224.111  2.347  
ECO01639 224.128 10.740  
ECO01088 224.137 14.284  
ECO01001 224.200  9.509  
ECO09642 224.206 41.596  
ECO04846 224.212 14.392  
ECO10198 224.230  4.205  
ECO11709 224.295 17.188  
ECO04848 224.297 19.698  
ECO04847 224.308 14.283  
ECO06976 224.339 44.177  
ECO04849 224.339 19.673  
ECO06559 224.370 40.989  
ECO10195 224.377  3.776  
ECO04850 224.438  6.627  
ECO00633 224.514 28.037  
ECO04851 224.535  3.424  
ECO01152 224.575 24.715  
ECO04855 224.639 43.877  
ECO10358 224.641 42.500  
ECO04852 224.642  3.519  
ECO01641 224.649 33.794  
ECO12185 224.652 24.378  
ECO04853 224.680 11.629  
ECO02079 224.689 41.765  
ECO09198 224.700 33.803  
ECO11746 224.721 14.450  
ECO04857 224.762 41.447  
ECO05173 224.789 32.799  
ECO04856 224.821 24.018  
ECO00498 224.869 39.179  
ECO04858 224.893 27.116  
ECO06560 224.895 32.841  
ECO02191 224.933 20.079  
ECO06561 224.939 44.314  
ECO00896 224.960 32.803  
ECO00643 225.051 23.529  
ECO12111 225.051 28.148  
ECO04859 225.057  9.938  
ECO06562 225.059 46.436  
ECO04860 225.075 11.343  
ECO12598 225.089 14.721  
ECO02887 225.091 20.506  
ECO11378 225.102 11.181  
ECO06880 225.102 49.254  
ECO00668 225.121 16.594  
ECO01075 225.178 49.840  
ECO06563 225.203 23.595  
ECO04862 225.204 48.361  
ECO09638 225.236 41.566  
ECO00452 225.249 25.479  
ECO12192 225.286 23.479  
ECO09703 225.310 43.145  
ECO04861 225.333  9.151  
ECO06977 225.354 48.108  
ECO04866 225.385 48.320  
ECO02500 225.396 14.876  
ECO02043 225.438 26.004  
ECO04863 225.474 25.964  
ECO10685 225.491 36.744  
ECO11666 225.517 42.184  
ECO09516 225.567 38.806  
ECO04864 225.570  6.344  
ECO06564 225.593 41.922  
ECO00215 225.617 14.902  
ECO09943 225.621 49.195  
ECO00898 225.630 23.345  
ECO10359 225.658 41.853  
ECO06566 225.674 19.827  
ECO04868 225.675 23.334  
ECO04867 225.687 16.827  
ECO04869 225.723 16.919  
ECO09449 225.815 37.766  
ECO12189 225.816 22.921  
ECO09657 225.854 42.058  
ECO04870 225.872 17.114  
ECO06567 225.878 27.825  
ECO11295 225.896 11.648  
ECO11662 225.915 42.126  
ECO01136 225.938 10.710  
ECO04871 225.941 42.700  
ECO09949 225.942 49.526  
ECO00645 225.950 22.503  
