#name     Ra     Dec
ECO06470 211.412 13.669  
ECO10869 211.417 13.375  
ECO05180 211.426 12.242  
ECO00036 211.427 12.074  
ECO00189 211.445  7.698  
ECO01601 211.450  9.536  
ECO01602 211.481  6.438  
ECO04517 211.485  9.026  
ECO02495 211.495 17.171  
ECO07792 211.499  8.312  
ECO04519 211.505 12.784  
ECO04516 211.506 -0.311  
ECO04518 211.509  2.356  
ECO04522 211.527 11.789  
ECO04520 211.539  2.331  
ECO07033 211.539  9.572  
ECO04523 211.544  9.353  
ECO10661 211.552  9.361  
ECO11205 211.552  9.454  
ECO11527 211.565 11.192  
ECO01202 211.571 11.786  
ECO09466 211.580 38.188  
ECO04524 211.593 16.484  
ECO05186 211.611  9.359  
ECO02032 211.620 15.060  
ECO04526 211.624 39.496  
ECO10662 211.634 30.894  
ECO11822 211.634 12.712  
ECO01100 211.658  6.149  
ECO11206 211.662 12.384  
ECO06705 211.670 35.280  
ECO06471 211.677 44.432  
ECO07882 211.694 10.387  
ECO04525 211.713  9.321  
ECO10536 211.715 13.806  
ECO10212 211.717  0.000  
ECO10092 211.726 11.145  
ECO11955 211.739  6.225  
ECO01603 211.754  1.641  
ECO04527 211.767 10.643  
ECO01018 211.776 12.623  
ECO04528 211.784 12.588  
ECO01604 211.800  9.680  
ECO08861 211.804 28.637  
ECO01023 211.839 12.720  
ECO02033 211.839 18.038  
ECO01606 211.841  7.300  
ECO04532 211.855 39.748  
ECO01130 211.860  7.099  
ECO11381 211.861 11.431  
ECO01607 211.868  7.711  
ECO11207 211.872  9.773  
ECO10537 211.874 12.735  
ECO04529 211.890  7.178  
ECO01068 211.890 14.634  
ECO11693 211.910  9.675  
ECO07185 211.921 -0.716  
ECO04530 211.936  7.216  
ECO02609 211.954 17.981  
ECO09587 211.964 40.107  
ECO07540 211.979  3.172  
ECO04533 211.980  7.041  
ECO11208 211.982 11.897  
ECO02034 211.988 17.979  
ECO10663 211.993 11.547  
ECO06706 211.999 31.646  
ECO11209 212.004  9.339  
ECO11977 212.017  7.328  
ECO07829 212.018  9.207  
ECO02578 212.022 17.126  
ECO11974 212.040  7.031  
ECO11210 212.045  8.883  
ECO07616 212.047  4.288  
ECO04534 212.048  5.812  
ECO04543 212.066 36.885  
ECO00037 212.073 12.468  
ECO11621 212.078 29.017  
ECO02514 212.094 16.930  
ECO04538 212.117 15.921  
ECO04535 212.122  7.058  
ECO07718 212.126  6.135  
ECO10538 212.128 12.819  
ECO04537 212.128  8.932  
ECO06473 212.128 12.801  
ECO06472 212.132 -0.127  
ECO04536 212.137  3.024  
ECO04540 212.137 11.816  
ECO04539 212.141  9.038  
ECO10105 212.143  9.197  
ECO04541 212.145  9.201  
ECO11758 212.148 11.951  
ECO01069 212.152 15.221  
ECO10181 212.162  3.075  
ECO06475 212.190  8.862  
ECO10664 212.194 11.888  
ECO10202 212.195  4.910  
ECO06474 212.204 27.255  
ECO10093 212.206 10.796  
ECO12648 212.210 16.548  
ECO02582 212.224 17.608  
ECO11211 212.228 11.942  
ECO04544 212.238 16.442  
ECO04545 212.247 14.758  
ECO11920 212.258  7.140  
ECO06707 212.258 36.324  
ECO04546 212.260 14.317  
ECO04547 212.267 17.766  
ECO10870 212.277 47.010  
ECO04549 212.281 46.786  
ECO02498 212.294 17.292  
ECO02035 212.298 14.910  
ECO11759 212.298 35.380  
ECO04548 212.341  8.907  
ECO12640 212.342 16.165  
ECO00746 212.350 17.946  
ECO01608 212.356  8.145  
ECO06476 212.367 37.687  
ECO02587 212.368 17.662  
ECO00864 212.382 35.440  
ECO09512 212.390 38.771  
ECO00994 212.395 20.523  
ECO10665 212.410  8.607  
ECO02588 212.411 17.610  
ECO11212 212.411  8.655  
ECO00995 212.416 17.546  
ECO02583 212.417 17.495  
ECO06477 212.418 -0.656  
ECO02589 212.419 17.519  
ECO04550 212.433  8.069  
ECO11214 212.434 11.116  
ECO07735 212.439  6.717  
ECO11292 212.440  9.895  
ECO04551 212.452  9.859  
ECO02584 212.464 17.587  
ECO07953 212.488 12.158  
ECO08813 212.489 28.316  
ECO04552 212.489 17.546  
ECO04554 212.496 17.696  
ECO02499 212.516 17.406  
ECO02585 212.516 17.552  
ECO04555 212.518 17.734  
ECO04556 212.529 17.616  
ECO00742 212.530 17.658  
ECO04557 212.533 18.365  
ECO00865 212.548 29.435  
ECO00996 212.548 17.376  
ECO07399 212.551  1.818  
ECO11910 212.578  5.576  
ECO06479 212.590 38.888  
ECO07599 212.594  4.016  
ECO11813 212.596 16.336  
ECO02611 212.608 17.898  
ECO00688 212.649 16.275  
ECO04558 212.652 17.310  
ECO10099 212.658 10.152  
ECO12627 212.663 16.384  
ECO04560 212.673 13.558  
ECO04559 212.682  8.997  
ECO07591 212.716  3.928  
ECO04563 212.731 39.772  
ECO09096 212.737 32.338  
ECO04561 212.739  6.365  
ECO07157 212.741  6.372  
ECO06480 212.748 38.765  
ECO11760 212.806 11.373  
ECO11289 212.818  9.226  
ECO04565 212.825 17.506  
ECO11215 212.857 11.205  
ECO09576 212.859 39.796  
ECO04564 212.860  1.286  
ECO04568 212.883 19.172  
ECO00124 212.888  4.482  
ECO04566 212.892  8.357  
ECO07800 212.893  8.591  
ECO04567 212.901  8.810  
ECO04569 212.911 39.642  
ECO06481 212.930  0.720  
