#name     Ra     Dec
ECO04521 143.502  2.477  
ECO04499 143.512 10.109  
ECO04510 143.512  9.479  
ECO06942 143.517  0.384  
ECO01113 143.530 10.931  
ECO01114 143.543  0.241  
ECO06812 143.544  0.258  
ECO10727 143.610 48.855  
ECO05302 143.611  9.916  
ECO05301 143.617 32.459  
ECO00224 143.642 13.006  
ECO04553 143.643  0.090  
ECO01649 143.653 13.767  
ECO07075 143.654  0.046  
ECO04562 143.661  5.841  
ECO05303 143.664  0.688  
ECO11493 143.669 24.260  
ECO04542 143.670 19.550  
ECO04531 143.672 32.068  
ECO07528 143.691  3.096  
ECO00234 143.697 32.144  
ECO10550 143.721 10.892  
ECO04585 143.732 11.681  
ECO09508 143.735 38.745  
ECO05304 143.736 38.748  
ECO04574 143.741 21.708  
ECO10559 143.746 25.826  
ECO05305 143.747 30.258  
ECO07641 143.764  4.690  
ECO09058 143.767 31.821  
ECO10102 143.774  9.649  
ECO05306 143.776 21.628  
ECO00060 143.793 25.124  
ECO05308 143.793 40.060  
ECO09936 143.797 48.719  
ECO02743 143.800 13.121  
ECO07271 143.810  0.409  
ECO01120 143.810 17.116  
ECO09059 143.828 31.822  
ECO05309 143.830 30.409  
ECO04606 143.841 13.549  
ECO06616 143.843 45.376  
ECO07934 143.868 11.573  
ECO04595 143.871 34.987  
ECO05310 143.877 39.116  
ECO04617 143.934 31.706  
ECO05311 143.943 24.379  
ECO10977 143.949 24.721  
ECO04668 143.969  4.017  
ECO04626 143.972 24.894  
ECO01134 143.972 29.303  
ECO01145 143.978 37.532  
ECO04636 144.023 24.949  
ECO06617 144.023 33.961  
ECO01668 144.026 18.442  
ECO04702 144.030  3.012  
ECO00658 144.046  7.992  
ECO04646 144.073 37.364  
ECO04657 144.079 37.247  
ECO04691 144.081 23.748  
ECO10728 144.085 41.843  
ECO00354 144.088 31.505  
ECO02756 144.088 12.707  
ECO00355 144.098 31.569  
ECO05312 144.103 31.851  
ECO00584 144.104 43.848  
ECO04680 144.109 31.804  
ECO05313 144.110 -0.571  
ECO07348 144.111  1.191  
ECO00003 144.112  9.606  
ECO01166 144.118 23.111  
ECO02132 144.127 15.549  
ECO05314 144.147  1.117  
ECO05315 144.165  0.409  
ECO07495 144.170  2.704  
ECO10006 144.176 38.182  
ECO10978 144.185 24.028  
ECO10394 144.206 35.315  
ECO04713 144.218 37.695  
ECO09235 144.219 34.663  
ECO09300 144.223 35.625  
ECO09197 144.230 33.785  
ECO00609 144.234 32.873  
ECO08122 144.245 17.406  
ECO07633 144.250  4.520  
ECO00625 144.250 31.002  
ECO07847 144.260  9.540  
ECO10729 144.287  9.464  
ECO00391 144.291 38.912  
ECO05316 144.299 21.669  
ECO04724 144.303 38.092  
ECO10560 144.312 21.783  
ECO04735 144.313 23.591  
ECO09453 144.314 37.929  
ECO10135 144.317 23.936  
ECO10902 144.317 33.819  
ECO00226 144.323 14.249  
ECO10730 144.325  6.509  
ECO09574 144.329 39.777  
ECO11684 144.330 33.824  
ECO05317 144.352 48.516  
ECO01678 144.353 48.589  
ECO10731 144.356 35.202  
ECO05319 144.357 35.240  
ECO08407 144.357 23.792  
ECO05320 144.368 38.481  
ECO11404 144.373 23.217  
ECO04790 144.375 23.161  
ECO04757 144.379 32.842  
ECO04812 144.380 19.589  
ECO04746 144.380 35.591  
ECO05321 144.383 37.889  
ECO04801 144.386 23.202  
ECO04823 144.407 23.241  
ECO04778 144.409 35.230  
ECO10732 144.420 38.062  
ECO10297 144.432  6.021  
ECO07076 144.432 37.109  
ECO04865 144.435  2.761  
ECO08262 144.436 21.081  
ECO04887 144.438  2.747  
ECO04767 144.438 43.101  
ECO07682 144.445  5.236  
ECO01689 144.447  2.736  
ECO01700 144.451 47.850  
ECO06618 144.468 35.784  
ECO04834 144.476 23.153  
ECO04876 144.479 17.015  
ECO07784 144.483  8.180  
ECO05322 144.490  3.463  
ECO04845 144.492 25.495  
ECO10017 144.497 35.199  
ECO00657 144.505 31.636  
ECO04854 144.511 27.657  
ECO05323 144.516 42.714  
ECO06954 144.524  7.735  
ECO10395 144.526 36.039  
ECO04910 144.534  9.523  
ECO01710 144.544 23.191  
ECO07524 144.545  3.079  
ECO11442 144.551  7.728  
ECO07605 144.562  4.153  
ECO01721 144.572  4.081  
ECO06886 144.577  4.094  
ECO04932 144.580  9.446  
ECO10298 144.590  6.525  
ECO01173 144.595  6.347  
ECO04899 144.597 43.509  
ECO07598 144.599  4.014  
ECO04921 144.601 17.044  
