galname,defstarform,composite,defseyf,defliner,ambigagn,sftoagn,agntosf,defagn,sftoagn1,sftoagn2
ECO00001,True,False,False,False,False,False,False,False,False,False
ECO00004,True,False,False,False,False,False,False,False,False,False
ECO00008,True,False,False,False,False,False,False,False,False,False
ECO00017,True,False,False,False,False,False,False,False,False,False
ECO00018,True,False,False,False,False,False,False,False,False,False
ECO00023,True,False,False,False,False,False,False,False,False,False
ECO00027,True,False,False,False,False,False,False,False,False,False
ECO00035,True,False,False,False,False,False,False,False,False,False
ECO00036,True,False,False,False,False,False,False,False,False,False
ECO00054,True,False,False,False,False,False,False,False,False,False
ECO00058,True,False,False,False,False,False,False,False,False,False
ECO00061,False,False,False,False,False,True,False,False,True,True
ECO00068,True,False,False,False,False,False,False,False,False,False
ECO00069,True,False,False,False,False,False,False,False,False,False
ECO00073,False,False,False,False,False,True,False,False,False,True
ECO00102,True,False,False,False,False,False,False,False,False,False
ECO00103,True,False,False,False,False,False,False,False,False,False
ECO00105,False,False,False,False,False,True,False,False,False,True
ECO00117,True,False,False,False,False,False,False,False,False,False
ECO00124,True,False,False,False,False,False,False,False,False,False
ECO00139,True,False,False,False,False,False,False,False,False,False
ECO00141,True,False,False,False,False,False,False,False,False,False
ECO00142,False,False,False,False,False,True,False,False,False,True
ECO00145,False,False,False,False,False,True,False,False,False,True
ECO00161,False,False,False,False,False,True,False,False,True,True
ECO00169,False,False,False,False,False,True,False,False,True,False
ECO00176,True,False,False,False,False,False,False,False,False,False
ECO00185,True,False,False,False,False,False,False,False,False,False
ECO00190,True,False,False,False,False,False,False,False,False,False
ECO00194,True,False,False,False,False,False,False,False,False,False
ECO00200,True,False,False,False,False,False,False,False,False,False
ECO00201,True,False,False,False,False,False,False,False,False,False
ECO00210,True,False,False,False,False,False,False,False,False,False
ECO00213,True,False,False,False,False,False,False,False,False,False
ECO00220,False,False,False,False,False,True,False,False,False,True
ECO00231,True,False,False,False,False,False,False,False,False,False
ECO00237,True,False,False,False,False,False,False,False,False,False
ECO00242,True,False,False,False,False,False,False,False,False,False
ECO00253,True,False,False,False,False,False,False,False,False,False
ECO00255,True,False,False,False,False,False,False,False,False,False
ECO00257,True,False,False,False,False,False,False,False,False,False
ECO00289,True,False,False,False,False,False,False,False,False,False
ECO00297,True,False,False,False,False,False,False,False,False,False
ECO00299,False,False,False,False,False,True,False,False,False,True
ECO00302,True,False,False,False,False,False,False,False,False,False
ECO00315,True,False,False,False,False,False,False,False,False,False
ECO00321,False,False,False,False,False,True,False,False,False,True
ECO00322,True,False,False,False,False,False,False,False,False,False
ECO00332,True,False,False,False,False,False,False,False,False,False
ECO00336,True,False,False,False,False,False,False,False,False,False
ECO00339,True,False,False,False,False,False,False,False,False,False
ECO00347,True,False,False,False,False,False,False,False,False,False
ECO00348,True,False,False,False,False,False,False,False,False,False
ECO00354,True,False,False,False,False,False,False,False,False,False
ECO00357,True,False,False,False,False,False,False,False,False,False
ECO00360,True,False,False,False,False,False,False,False,False,False
ECO00366,True,False,False,False,False,False,False,False,False,False
ECO00372,True,False,False,False,False,False,False,False,False,False
ECO00389,True,False,False,False,False,False,False,False,False,False
ECO00391,True,False,False,False,False,False,False,False,False,False
ECO00398,True,False,False,False,False,False,False,False,False,False
ECO00409,True,False,False,False,False,False,False,False,False,False
ECO00411,True,False,False,False,False,False,False,False,False,False
ECO00420,True,False,False,False,False,False,False,False,False,False
ECO00424,True,False,False,False,False,False,False,False,False,False
ECO00435,True,False,False,False,False,False,False,False,False,False
ECO00448,True,False,False,False,False,False,False,False,False,False
ECO00452,False,False,False,False,False,True,False,False,True,True
ECO00457,True,False,False,False,False,False,False,False,False,False
ECO00466,True,False,False,False,False,False,False,False,False,False
ECO00467,False,False,False,False,False,True,False,False,False,True
ECO00470,True,False,False,False,False,False,False,False,False,False
ECO00473,True,False,False,False,False,False,False,False,False,False
ECO00486,True,False,False,False,False,False,False,False,False,False
ECO00520,True,False,False,False,False,False,False,False,False,False
ECO00526,True,False,False,False,False,False,False,False,False,False
ECO00545,True,False,False,False,False,False,False,False,False,False
ECO00614,True,False,False,False,False,False,False,False,False,False
ECO00615,True,False,False,False,False,False,False,False,False,False
ECO00617,True,False,False,False,False,False,False,False,False,False
ECO00623,True,False,False,False,False,False,False,False,False,False
ECO00627,True,False,False,False,False,False,False,False,False,False
ECO00629,True,False,False,False,False,False,False,False,False,False
ECO00631,True,False,False,False,False,False,False,False,False,False
ECO00636,False,False,False,False,False,True,False,False,False,True
ECO00639,True,False,False,False,False,False,False,False,False,False
ECO00655,True,False,False,False,False,False,False,False,False,False
ECO00657,True,False,False,False,False,False,False,False,False,False
ECO00677,True,False,False,False,False,False,False,False,False,False
ECO00685,True,False,False,False,False,False,False,False,False,False
ECO00686,True,False,False,False,False,False,False,False,False,False
ECO00691,True,False,False,False,False,False,False,False,False,False
ECO00695,True,False,False,False,False,False,False,False,False,False
ECO00700,True,False,False,False,False,False,False,False,False,False
ECO00705,True,False,False,False,False,False,False,False,False,False
ECO00709,True,False,False,False,False,False,False,False,False,False
ECO00721,True,False,False,False,False,False,False,False,False,False
ECO00722,True,False,False,False,False,False,False,False,False,False
ECO00723,True,False,False,False,False,False,False,False,False,False
ECO00734,True,False,False,False,False,False,False,False,False,False
ECO00754,True,False,False,False,False,False,False,False,False,False
ECO00758,False,False,False,False,False,True,False,False,False,True
ECO00776,False,False,False,False,False,True,False,False,True,True
ECO00794,True,False,False,False,False,False,False,False,False,False
ECO00797,False,False,False,False,False,True,False,False,False,True
ECO00801,True,False,False,False,False,False,False,False,False,False
ECO00805,True,False,False,False,False,False,False,False,False,False
ECO00807,True,False,False,False,False,False,False,False,False,False
ECO00824,True,False,False,False,False,False,False,False,False,False
ECO00828,True,False,False,False,False,False,False,False,False,False
ECO00833,True,False,False,False,False,False,False,False,False,False
ECO00841,False,False,False,False,False,True,False,False,True,True
ECO00854,True,False,False,False,False,False,False,False,False,False
ECO00855,True,False,False,False,False,False,False,False,False,False
ECO00860,True,False,False,False,False,False,False,False,False,False
ECO00861,True,False,False,False,False,False,False,False,False,False
ECO00863,True,False,False,False,False,False,False,False,False,False
ECO00865,True,False,False,False,False,False,False,False,False,False
ECO00867,True,False,False,False,False,False,False,False,False,False
ECO00869,True,False,False,False,False,False,False,False,False,False
ECO00871,True,False,False,False,False,False,False,False,False,False
ECO00873,True,False,False,False,False,False,False,False,False,False
ECO00881,True,False,False,False,False,False,False,False,False,False
ECO00883,True,False,False,False,False,False,False,False,False,False
ECO00909,True,False,False,False,False,False,False,False,False,False
ECO00912,True,False,False,False,False,False,False,False,False,False
ECO00917,True,False,False,False,False,False,False,False,False,False
ECO00920,True,False,False,False,False,False,False,False,False,False
ECO00927,True,False,False,False,False,False,False,False,False,False
ECO00931,True,False,False,False,False,False,False,False,False,False
ECO00934,True,False,False,False,False,False,False,False,False,False
ECO00942,True,False,False,False,False,False,False,False,False,False
ECO00951,True,False,False,False,False,False,False,False,False,False
ECO00954,True,False,False,False,False,False,False,False,False,False
ECO00957,True,False,False,False,False,False,False,False,False,False
ECO00962,True,False,False,False,False,False,False,False,False,False
ECO00970,False,False,False,False,False,True,False,False,False,True
ECO00976,True,False,False,False,False,False,False,False,False,False
ECO00980,True,False,False,False,False,False,False,False,False,False
ECO00984,True,False,False,False,False,False,False,False,False,False
ECO00988,True,False,False,False,False,False,False,False,False,False
ECO00989,True,False,False,False,False,False,False,False,False,False
ECO00990,True,False,False,False,False,False,False,False,False,False
ECO01001,True,False,False,False,False,False,False,False,False,False
ECO01006,False,False,False,False,False,True,False,False,False,True
ECO01019,True,False,False,False,False,False,False,False,False,False
ECO01023,True,False,False,False,False,False,False,False,False,False
ECO01034,True,False,False,False,False,False,False,False,False,False
ECO01064,True,False,False,False,False,False,False,False,False,False
ECO01113,False,False,False,False,False,True,False,False,False,True
ECO01114,True,False,False,False,False,False,False,False,False,False
ECO01136,True,False,False,False,False,False,False,False,False,False
ECO01185,False,False,False,False,False,True,False,False,False,True
ECO01202,True,False,False,False,False,False,False,False,False,False
ECO01218,True,False,False,False,False,False,False,False,False,False
ECO01225,True,False,False,False,False,False,False,False,False,False
ECO01232,True,False,False,False,False,False,False,False,False,False
ECO01242,True,False,False,False,False,False,False,False,False,False
ECO01243,True,False,False,False,False,False,False,False,False,False
ECO01244,True,False,False,False,False,False,False,False,False,False
ECO01247,True,False,False,False,False,False,False,False,False,False
ECO01249,False,False,False,False,False,True,False,False,False,True
ECO01252,True,False,False,False,False,False,False,False,False,False
ECO01253,False,False,False,False,False,True,False,False,False,True
ECO01254,False,False,False,False,False,True,False,False,False,True
ECO01259,True,False,False,False,False,False,False,False,False,False
ECO01305,True,False,False,False,False,False,False,False,False,False
ECO01312,True,False,False,False,False,False,False,False,False,False
ECO01315,True,False,False,False,False,False,False,False,False,False
ECO01316,False,False,False,False,True,False,False,True,False,False
ECO01318,True,False,False,False,False,False,False,False,False,False
ECO01321,False,False,False,False,False,True,False,False,False,True
ECO01327,True,False,False,False,False,False,False,False,False,False
ECO01332,True,False,False,False,False,False,False,False,False,False
ECO01333,True,False,False,False,False,False,False,False,False,False
ECO01339,True,False,False,False,False,False,False,False,False,False
ECO01343,True,False,False,False,False,False,False,False,False,False
ECO01386,False,False,False,False,False,True,False,False,False,True
ECO01397,True,False,False,False,False,False,False,False,False,False
ECO01402,True,False,False,False,False,False,False,False,False,False
ECO01404,True,False,False,False,False,False,False,False,False,False
ECO01421,False,False,False,False,False,True,False,False,False,True
ECO01439,True,False,False,False,False,False,False,False,False,False
ECO01460,True,False,False,False,False,False,False,False,False,False
ECO01464,True,False,False,False,False,False,False,False,False,False
ECO01470,True,False,False,False,False,False,False,False,False,False
ECO01641,True,False,False,False,False,False,False,False,False,False
ECO01643,True,False,False,False,False,False,False,False,False,False
ECO01651,True,False,False,False,False,False,False,False,False,False
ECO01665,True,False,False,False,False,False,False,False,False,False
ECO01674,False,False,False,False,False,True,False,False,True,True
ECO01690,True,False,False,False,False,False,False,False,False,False
ECO01699,True,False,False,False,False,False,False,False,False,False
ECO01703,True,False,False,False,False,False,False,False,False,False
ECO01707,True,False,False,False,False,False,False,False,False,False
ECO01709,True,False,False,False,False,False,False,False,False,False
ECO01712,True,False,False,False,False,False,False,False,False,False
ECO01713,True,False,False,False,False,False,False,False,False,False
ECO01723,True,False,False,False,False,False,False,False,False,False
ECO01746,True,False,False,False,False,False,False,False,False,False
ECO01747,True,False,False,False,False,False,False,False,False,False
ECO01749,True,False,False,False,False,False,False,False,False,False
ECO01763,True,False,False,False,False,False,False,False,False,False
ECO01779,True,False,False,False,False,False,False,False,False,False
ECO01784,True,False,False,False,False,False,False,False,False,False
ECO01827,False,False,False,False,False,True,False,False,False,True
ECO01852,True,False,False,False,False,False,False,False,False,False
ECO01855,True,False,False,False,False,False,False,False,False,False
ECO01861,True,False,False,False,False,False,False,False,False,False
ECO01867,True,False,False,False,False,False,False,False,False,False
ECO01869,True,False,False,False,False,False,False,False,False,False
ECO01873,True,False,False,False,False,False,False,False,False,False
ECO01889,False,False,False,False,False,True,False,False,True,True
ECO01894,True,False,False,False,False,False,False,False,False,False
ECO01913,False,False,False,False,False,True,False,False,True,False
ECO01928,False,False,False,False,False,True,False,False,False,True
ECO01938,True,False,False,False,False,False,False,False,False,False
ECO01954,True,False,False,False,False,False,False,False,False,False
ECO01956,True,False,False,False,False,False,False,False,False,False
ECO01987,True,False,False,False,False,False,False,False,False,False
ECO01988,True,False,False,False,False,False,False,False,False,False
ECO01990,True,False,False,False,False,False,False,False,False,False
ECO02005,True,False,False,False,False,False,False,False,False,False
ECO02018,True,False,False,False,False,False,False,False,False,False
ECO02024,True,False,False,False,False,False,False,False,False,False
ECO02035,True,False,False,False,False,False,False,False,False,False
ECO02042,True,False,False,False,False,False,False,False,False,False
ECO02062,True,False,False,False,False,False,False,False,False,False
ECO02068,True,False,False,False,False,False,False,False,False,False
ECO02074,False,False,False,False,False,True,False,False,False,True
ECO02092,True,False,False,False,False,False,False,False,False,False
ECO02120,False,False,True,False,False,False,False,True,False,False
ECO02121,True,False,False,False,False,False,False,False,False,False
ECO02123,True,False,False,False,False,False,False,False,False,False
ECO02124,True,False,False,False,False,False,False,False,False,False
ECO02125,True,False,False,False,False,False,False,False,False,False
ECO02127,True,False,False,False,False,False,False,False,False,False
ECO02128,True,False,False,False,False,False,False,False,False,False
ECO02129,True,False,False,False,False,False,False,False,False,False
ECO02130,True,False,False,False,False,False,False,False,False,False
ECO02133,True,False,False,False,False,False,False,False,False,False
ECO02135,True,False,False,False,False,False,False,False,False,False
ECO02138,True,False,False,False,False,False,False,False,False,False
ECO02139,True,False,False,False,False,False,False,False,False,False
ECO02144,True,False,False,False,False,False,False,False,False,False
ECO02146,True,False,False,False,False,False,False,False,False,False
ECO02152,True,False,False,False,False,False,False,False,False,False
ECO02155,True,False,False,False,False,False,False,False,False,False
ECO02157,True,False,False,False,False,False,False,False,False,False
ECO02160,True,False,False,False,False,False,False,False,False,False
ECO02162,True,False,False,False,False,False,False,False,False,False
ECO02164,True,False,False,False,False,False,False,False,False,False
ECO02165,True,False,False,False,False,False,False,False,False,False
ECO02167,True,False,False,False,False,False,False,False,False,False
ECO02168,True,False,False,False,False,False,False,False,False,False
ECO02169,True,False,False,False,False,False,False,False,False,False
ECO02170,True,False,False,False,False,False,False,False,False,False
ECO02177,False,False,False,True,False,False,False,True,False,False
ECO02179,True,False,False,False,False,False,False,False,False,False
ECO02182,True,False,False,False,False,False,False,False,False,False
ECO02186,True,False,False,False,False,False,False,False,False,False
ECO02187,True,False,False,False,False,False,False,False,False,False
ECO02189,True,False,False,False,False,False,False,False,False,False
ECO02192,False,True,False,False,False,False,False,False,False,False
ECO02198,True,False,False,False,False,False,False,False,False,False
ECO02199,True,False,False,False,False,False,False,False,False,False
ECO02206,True,False,False,False,False,False,False,False,False,False
ECO02207,True,False,False,False,False,False,False,False,False,False
ECO02208,True,False,False,False,False,False,False,False,False,False
ECO02212,True,False,False,False,False,False,False,False,False,False
ECO02215,True,False,False,False,False,False,False,False,False,False
ECO02223,True,False,False,False,False,False,False,False,False,False
ECO02224,False,False,False,False,False,True,False,False,False,True
ECO02226,True,False,False,False,False,False,False,False,False,False
ECO02227,True,False,False,False,False,False,False,False,False,False
ECO02228,True,False,False,False,False,False,False,False,False,False
ECO02229,True,False,False,False,False,False,False,False,False,False
ECO02237,True,False,False,False,False,False,False,False,False,False
ECO02240,True,False,False,False,False,False,False,False,False,False
ECO02242,True,False,False,False,False,False,False,False,False,False
ECO02245,True,False,False,False,False,False,False,False,False,False
ECO02246,True,False,False,False,False,False,False,False,False,False
ECO02251,False,True,False,False,False,False,False,False,False,False
ECO02253,True,False,False,False,False,False,False,False,False,False
ECO02255,True,False,False,False,False,False,False,False,False,False
ECO02260,True,False,False,False,False,False,False,False,False,False
ECO02264,True,False,False,False,False,False,False,False,False,False
ECO02268,True,False,False,False,False,False,False,False,False,False
ECO02269,True,False,False,False,False,False,False,False,False,False
ECO02270,True,False,False,False,False,False,False,False,False,False
ECO02278,True,False,False,False,False,False,False,False,False,False
ECO02280,True,False,False,False,False,False,False,False,False,False
ECO02287,True,False,False,False,False,False,False,False,False,False
ECO02289,True,False,False,False,False,False,False,False,False,False
ECO02292,True,False,False,False,False,False,False,False,False,False
ECO02293,True,False,False,False,False,False,False,False,False,False
ECO02296,False,False,False,False,False,True,False,False,False,True
ECO02297,True,False,False,False,False,False,False,False,False,False
ECO02298,True,False,False,False,False,False,False,False,False,False
ECO02299,True,False,False,False,False,False,False,False,False,False
ECO02300,True,False,False,False,False,False,False,False,False,False
ECO02306,True,False,False,False,False,False,False,False,False,False
ECO02308,True,False,False,False,False,False,False,False,False,False
ECO02311,True,False,False,False,False,False,False,False,False,False
ECO02312,True,False,False,False,False,False,False,False,False,False
ECO02317,True,False,False,False,False,False,False,False,False,False
ECO02318,True,False,False,False,False,False,False,False,False,False
ECO02321,True,False,False,False,False,False,False,False,False,False
ECO02323,False,False,True,False,False,False,False,True,False,False
ECO02326,True,False,False,False,False,False,False,False,False,False
ECO02328,True,False,False,False,False,False,False,False,False,False
ECO02331,True,False,False,False,False,False,False,False,False,False
ECO02332,False,True,False,False,False,False,False,False,False,False
ECO02335,True,False,False,False,False,False,False,False,False,False
ECO02336,True,False,False,False,False,False,False,False,False,False
ECO02337,True,False,False,False,False,False,False,False,False,False
ECO02341,False,True,False,False,False,False,False,False,False,False
ECO02342,True,False,False,False,False,False,False,False,False,False
ECO02346,True,False,False,False,False,False,False,False,False,False
ECO02348,True,False,False,False,False,False,False,False,False,False
ECO02349,False,False,False,False,False,True,False,False,False,True
ECO02351,True,False,False,False,False,False,False,False,False,False
ECO02352,True,False,False,False,False,False,False,False,False,False
ECO02354,False,False,False,False,False,True,False,False,True,False
ECO02355,True,False,False,False,False,False,False,False,False,False
ECO02359,True,False,False,False,False,False,False,False,False,False
ECO02360,True,False,False,False,False,False,False,False,False,False
ECO02361,True,False,False,False,False,False,False,False,False,False
ECO02365,True,False,False,False,False,False,False,False,False,False
ECO02367,True,False,False,False,False,False,False,False,False,False
ECO02371,True,False,False,False,False,False,False,False,False,False
ECO02373,False,False,False,False,False,True,False,False,False,True
ECO02375,True,False,False,False,False,False,False,False,False,False
ECO02376,True,False,False,False,False,False,False,False,False,False
ECO02378,True,False,False,False,False,False,False,False,False,False
ECO02379,True,False,False,False,False,False,False,False,False,False
ECO02383,True,False,False,False,False,False,False,False,False,False
ECO02384,True,False,False,False,False,False,False,False,False,False
ECO02385,False,True,False,False,False,False,False,False,False,False
ECO02387,True,False,False,False,False,False,False,False,False,False
ECO02389,True,False,False,False,False,False,False,False,False,False
ECO02390,True,False,False,False,False,False,False,False,False,False
ECO02391,True,False,False,False,False,False,False,False,False,False
ECO02392,True,False,False,False,False,False,False,False,False,False
ECO02394,False,False,False,False,False,True,False,False,False,True
