agntosf,ambigagn,composite,defagn,defliner,defseyf,defstarform,galname,heiisel,sftoagn
False,False,False,True,False,True,False,ECO02323,True,False
False,False,False,True,False,True,False,ECO02580,True,False
False,False,False,True,False,True,False,ECO02961,True,False
False,False,False,True,False,True,False,ECO03933,True,False
False,False,False,False,False,False,False,ECO04071,True,False
False,False,False,False,False,False,False,ECO04080,True,False
False,False,False,True,False,True,False,ECO04285,True,False
False,False,False,True,False,True,False,ECO04464,True,False
False,False,False,False,False,False,False,ECO05045,True,False
False,False,False,True,False,True,False,ECO08678,True,False
False,False,False,True,False,True,False,ECO08863,True,False
False,False,False,False,False,False,False,ECO10177,True,False
False,False,False,True,False,True,False,ECO11504,True,False
False,False,False,True,False,True,False,rf0013,True,False
False,False,False,True,False,True,False,rf0372,True,False
