agntosf,ambigagn,composite,defagn,defliner,defseyf,defstarform,galname,sftoagn
False,False,False,False,False,False,True,ECO00001,False
False,False,False,False,False,False,False,ECO00003,True
False,False,False,False,False,False,True,ECO00004,False
False,False,False,False,False,False,True,ECO00005,False
False,False,False,False,False,False,True,ECO00006,False
False,False,False,False,False,False,True,ECO00008,False
False,False,False,False,False,False,False,ECO00010,True
False,False,False,False,False,False,True,ECO00016,False
False,False,False,False,False,False,True,ECO00017,False
False,False,False,False,False,False,True,ECO00018,False
False,False,False,False,False,False,True,ECO00022,False
False,False,False,False,False,False,True,ECO00023,False
False,False,False,False,False,False,True,ECO00027,False
False,False,False,False,False,False,True,ECO00029,False
False,False,False,False,False,False,True,ECO00034,False
False,False,False,False,False,False,True,ECO00035,False
False,False,False,False,False,False,True,ECO00036,False
False,False,False,False,False,False,True,ECO00037,False
False,False,False,False,False,False,False,ECO00050,True
False,False,False,False,False,False,True,ECO00054,False
False,False,False,False,False,False,False,ECO00055,True
False,False,False,False,False,False,True,ECO00058,False
False,False,False,False,False,False,True,ECO00060,False
False,False,False,False,False,False,False,ECO00061,True
False,False,False,False,False,False,True,ECO00063,False
False,False,False,False,False,False,True,ECO00064,False
False,False,False,False,False,False,True,ECO00068,False
False,False,False,False,False,False,True,ECO00069,False
False,False,False,False,False,False,True,ECO00071,False
False,False,False,False,False,False,False,ECO00073,True
False,False,False,False,False,False,True,ECO00077,False
False,False,False,False,False,False,True,ECO00078,False
False,False,False,False,False,False,True,ECO00079,False
False,False,False,False,False,False,False,ECO00082,True
False,False,False,False,False,False,True,ECO00083,False
False,False,False,False,False,False,True,ECO00084,False
False,False,False,False,False,False,True,ECO00085,False
False,False,False,False,False,False,True,ECO00087,False
False,False,False,False,False,False,False,ECO00089,True
False,False,False,False,False,False,True,ECO00092,False
False,False,False,False,False,False,True,ECO00094,False
False,False,False,False,False,False,True,ECO00097,False
False,False,False,False,False,False,True,ECO00098,False
False,False,False,False,False,False,True,ECO00099,False
False,False,False,False,False,False,True,ECO00101,False
False,False,False,False,False,False,True,ECO00102,False
False,False,False,False,False,False,True,ECO00103,False
False,False,False,False,False,False,False,ECO00105,True
False,False,False,False,False,False,False,ECO00109,True
False,False,False,False,False,False,True,ECO00112,False
False,False,False,False,False,False,False,ECO00116,True
False,False,False,False,False,False,True,ECO00117,False
False,False,False,False,False,False,True,ECO00120,False
False,False,False,False,False,False,False,ECO00122,True
False,False,False,False,False,False,True,ECO00124,False
False,False,False,False,False,False,True,ECO00135,False
False,False,False,False,False,False,True,ECO00137,False
False,False,False,False,False,False,True,ECO00139,False
False,False,False,False,False,False,True,ECO00141,False
False,False,False,False,False,False,False,ECO00142,True
False,False,False,False,False,False,False,ECO00145,True
False,False,False,False,False,False,True,ECO00146,False
False,False,False,False,False,False,False,ECO00148,True
False,False,False,False,False,False,True,ECO00152,False
False,False,False,False,False,False,True,ECO00153,False
False,False,False,False,False,False,True,ECO00155,False
False,False,False,False,False,False,True,ECO00158,False
False,False,False,False,False,False,True,ECO00160,False
False,False,False,False,False,False,False,ECO00161,True
False,False,False,False,False,False,True,ECO00162,False
False,False,False,False,False,False,True,ECO00163,False
False,False,False,False,False,False,True,ECO00164,False
False,False,False,False,False,False,True,ECO00167,False
False,False,False,False,False,False,False,ECO00169,True
False,False,False,False,False,False,True,ECO00171,False
False,False,False,False,False,False,True,ECO00173,False
False,False,False,False,False,False,True,ECO00174,False
False,False,False,False,False,False,True,ECO00176,False
False,False,False,False,False,False,True,ECO00179,False
False,False,False,False,False,False,True,ECO00180,False
False,False,False,False,False,False,True,ECO00185,False
False,False,False,False,False,False,False,ECO00186,True
False,False,False,False,False,False,True,ECO00188,False
False,False,False,False,False,False,True,ECO00190,False
False,False,False,False,False,False,True,ECO00192,False
False,False,False,False,False,False,True,ECO00193,False
False,False,False,False,False,False,True,ECO00194,False
False,False,False,False,False,False,False,ECO00196,True
False,False,False,False,False,False,True,ECO00197,False
False,False,False,False,False,False,True,ECO00200,False
False,False,False,False,False,False,True,ECO00201,False
False,False,False,False,False,False,True,ECO00202,False
False,False,False,False,False,False,True,ECO00205,False
False,False,False,False,False,False,True,ECO00206,False
False,False,False,False,False,False,True,ECO00207,False
False,False,False,False,False,False,False,ECO00208,True
False,False,False,False,False,False,True,ECO00210,False
False,False,False,False,False,False,False,ECO00211,True
False,False,False,False,False,False,True,ECO00213,False
False,False,False,False,False,False,False,ECO00219,True
False,False,False,False,False,False,False,ECO00220,True
False,False,False,False,False,False,True,ECO00221,False
False,False,False,False,False,False,True,ECO00222,False
False,False,False,False,False,False,True,ECO00223,False
False,False,False,False,False,False,True,ECO00224,False
False,False,False,False,False,False,True,ECO00225,False
False,False,False,False,False,False,True,ECO00226,False
False,False,False,False,False,False,True,ECO00227,False
False,False,False,False,False,False,True,ECO00231,False
False,False,False,False,False,False,True,ECO00233,False
False,False,False,False,False,False,True,ECO00237,False
False,False,False,False,False,False,False,ECO00239,True
False,False,False,False,False,False,True,ECO00242,False
False,False,False,False,False,False,True,ECO00247,False
False,False,False,False,False,False,True,ECO00248,False
False,False,False,False,False,False,True,ECO00252,False
False,False,False,False,False,False,True,ECO00253,False
False,False,False,False,False,False,True,ECO00255,False
False,False,False,False,False,False,True,ECO00257,False
False,False,False,False,False,False,True,ECO00258,False
False,False,False,False,False,False,True,ECO00259,False
False,False,False,False,False,False,True,ECO00260,False
False,False,False,False,False,False,True,ECO00261,False
False,False,False,False,False,False,False,ECO00268,True
False,False,False,False,False,False,True,ECO00271,False
False,False,False,False,False,False,True,ECO00272,False
False,False,False,False,False,False,True,ECO00274,False
False,False,False,False,False,False,False,ECO00275,True
False,False,False,False,False,False,True,ECO00276,False
False,False,False,False,False,False,True,ECO00277,False
False,False,False,False,False,False,False,ECO00278,True
False,False,False,False,False,False,True,ECO00280,False
False,False,False,False,False,False,True,ECO00282,False
False,False,False,False,False,False,True,ECO00285,False
False,False,False,False,False,False,True,ECO00289,False
False,False,False,False,False,False,True,ECO00295,False
False,False,False,False,False,False,True,ECO00297,False
False,False,False,False,False,False,True,ECO00298,False
False,False,False,False,False,False,False,ECO00299,True
False,False,False,False,False,False,False,ECO00300,True
False,False,False,False,False,False,True,ECO00302,False
False,False,False,False,False,False,True,ECO00305,False
False,False,False,False,False,False,True,ECO00307,False
False,False,False,False,False,False,True,ECO00308,False
False,False,False,False,False,False,True,ECO00310,False
False,False,False,False,False,False,False,ECO00311,True
False,False,False,False,False,False,True,ECO00314,False
False,False,False,False,False,False,True,ECO00315,False
False,False,False,False,False,False,True,ECO00318,False
False,False,False,False,False,False,True,ECO00319,False
False,False,False,False,False,False,True,ECO00320,False
False,False,False,False,False,False,False,ECO00321,True
False,False,False,False,False,False,True,ECO00322,False
False,False,False,False,False,False,True,ECO00323,False
False,False,False,False,False,False,True,ECO00324,False
False,False,False,False,False,False,False,ECO00325,True
False,False,False,False,False,False,False,ECO00328,True
False,False,False,False,False,False,True,ECO00329,False
False,False,False,False,False,False,True,ECO00330,False
False,False,False,False,False,False,True,ECO00332,False
False,False,False,False,False,False,True,ECO00333,False
False,False,False,False,False,False,True,ECO00334,False
False,False,False,False,False,False,True,ECO00336,False
False,False,False,False,False,False,True,ECO00339,False
False,False,False,False,False,False,True,ECO00340,False
False,False,False,False,False,False,False,ECO00344,True
False,False,False,False,False,False,False,ECO00345,True
False,False,False,False,False,False,True,ECO00346,False
False,False,False,False,False,False,True,ECO00347,False
False,False,False,False,False,False,True,ECO00348,False
False,False,False,False,False,False,True,ECO00349,False
False,False,False,False,False,False,True,ECO00351,False
False,False,False,False,False,False,True,ECO00354,False
False,False,False,False,False,False,True,ECO00355,False
False,False,False,False,False,False,True,ECO00356,False
False,False,False,False,False,False,True,ECO00357,False
False,False,False,False,False,False,False,ECO00358,True
False,False,False,False,False,False,True,ECO00360,False
False,False,False,False,False,False,True,ECO00361,False
False,False,False,False,False,False,False,ECO00362,True
False,False,False,False,False,False,True,ECO00363,False
False,False,False,False,False,False,False,ECO00364,True
False,False,False,False,False,False,True,ECO00366,False
False,False,False,False,False,False,False,ECO00368,True
False,False,False,False,False,False,False,ECO00369,True
False,False,False,False,False,False,True,ECO00371,False
False,False,False,False,False,False,True,ECO00372,False
False,False,False,False,False,False,False,ECO00374,True
False,False,False,False,False,False,True,ECO00375,False
False,False,False,False,False,False,True,ECO00376,False
False,False,False,False,False,False,True,ECO00378,False
False,False,False,False,False,False,True,ECO00381,False
False,False,False,False,False,False,True,ECO00382,False
False,False,False,False,False,False,True,ECO00383,False
False,False,False,False,False,False,True,ECO00385,False
False,False,False,False,False,False,True,ECO00386,False
False,False,False,False,False,False,True,ECO00388,False
False,False,False,False,False,False,True,ECO00389,False
False,False,False,False,False,False,True,ECO00391,False
False,False,False,False,False,False,False,ECO00393,True
False,False,False,False,False,False,True,ECO00397,False
False,False,False,False,False,False,True,ECO00398,False
False,False,False,False,False,False,True,ECO00401,False
False,False,False,False,False,False,True,ECO00402,False
False,False,False,False,False,False,True,ECO00403,False
False,False,False,False,False,False,True,ECO00407,False
False,False,False,False,False,False,True,ECO00409,False
False,False,False,False,False,False,True,ECO00410,False
False,False,False,False,False,False,True,ECO00411,False
False,False,False,False,False,False,True,ECO00412,False
False,False,False,False,False,False,True,ECO00415,False
False,False,False,False,False,False,False,ECO00417,True
False,False,False,False,False,False,True,ECO00418,False
False,False,False,False,False,False,False,ECO00419,True
False,False,False,False,False,False,True,ECO00420,False
False,False,False,False,False,False,True,ECO00421,False
False,False,False,False,False,False,True,ECO00424,False
False,False,False,False,False,False,False,ECO00425,True
False,False,False,False,False,False,True,ECO00426,False
False,False,False,False,False,False,False,ECO00427,True
False,False,False,False,False,False,True,ECO00428,False
False,False,False,False,False,False,False,ECO00429,True
False,False,False,False,False,False,True,ECO00430,False
False,False,False,False,False,False,True,ECO00431,False
False,False,False,False,False,False,True,ECO00432,False
False,False,False,False,False,False,True,ECO00433,False
False,False,False,False,False,False,True,ECO00434,False
False,False,False,False,False,False,True,ECO00435,False
False,False,False,False,False,False,True,ECO00438,False
False,False,False,False,False,False,False,ECO00443,True
False,False,False,False,False,False,True,ECO00446,False
False,False,False,False,False,False,True,ECO00447,False
False,False,False,False,False,False,True,ECO00448,False
False,False,False,False,False,False,True,ECO00449,False
False,False,False,False,False,False,False,ECO00451,True
False,False,False,False,False,False,False,ECO00452,True
False,False,False,False,False,False,True,ECO00453,False
False,False,False,False,False,False,True,ECO00454,False
False,False,False,False,False,False,True,ECO00456,False
False,False,False,False,False,False,True,ECO00457,False
False,False,False,False,False,False,False,ECO00464,True
False,False,False,False,False,False,True,ECO00465,False
False,False,False,False,False,False,True,ECO00466,False
False,False,False,False,False,False,False,ECO00467,True
False,False,False,False,False,False,True,ECO00468,False
False,False,False,False,False,False,True,ECO00469,False
False,False,False,False,False,False,True,ECO00470,False
False,False,False,False,False,False,True,ECO00473,False
False,False,False,False,False,False,True,ECO00476,False
False,False,False,False,False,False,True,ECO00481,False
False,False,False,False,False,False,False,ECO00482,True
False,False,False,False,False,False,True,ECO00484,False
False,False,False,False,False,False,False,ECO00485,True
False,False,False,False,False,False,True,ECO00486,False
False,False,False,False,False,False,True,ECO00487,False
False,False,False,False,False,False,False,ECO00488,True
False,False,False,False,False,False,True,ECO00489,False
False,False,False,False,False,False,True,ECO00491,False
False,False,False,False,False,False,True,ECO00495,False
False,False,False,False,False,False,True,ECO00497,False
False,False,False,False,False,False,True,ECO00499,False
False,False,False,False,False,False,True,ECO00500,False
False,False,False,False,False,False,True,ECO00501,False
False,False,False,False,False,False,True,ECO00502,False
False,False,False,False,False,False,True,ECO00509,False
False,False,False,False,False,False,False,ECO00511,True
False,False,False,True,False,True,False,ECO00515,False
False,False,False,False,False,False,True,ECO00516,False
False,False,False,False,False,False,True,ECO00519,False
False,False,False,False,False,False,True,ECO00520,False
False,False,False,False,False,False,True,ECO00521,False
False,False,False,False,False,False,True,ECO00523,False
False,False,False,False,False,False,True,ECO00524,False
False,False,False,False,False,False,True,ECO00526,False
False,False,False,False,False,False,True,ECO00527,False
False,False,False,False,False,False,True,ECO00528,False
False,False,False,False,False,False,True,ECO00529,False
False,False,False,False,False,False,True,ECO00530,False
False,False,False,False,False,False,True,ECO00531,False
False,False,False,False,False,False,True,ECO00534,False
False,False,False,False,False,False,True,ECO00536,False
False,False,False,False,False,False,True,ECO00537,False
False,False,False,False,False,False,False,ECO00540,True
False,False,False,False,False,False,False,ECO00543,True
False,False,False,False,False,False,True,ECO00545,False
False,False,False,False,False,False,False,ECO00546,True
False,False,False,False,False,False,True,ECO00547,False
False,False,False,False,False,False,True,ECO00548,False
False,False,False,False,False,False,True,ECO00549,False
False,False,False,False,False,False,True,ECO00551,False
False,False,False,False,False,False,False,ECO00552,True
False,False,False,False,False,False,True,ECO00556,False
False,False,False,False,False,False,True,ECO00558,False
False,False,False,False,False,False,False,ECO00563,True
False,False,False,False,False,False,True,ECO00565,False
False,False,False,False,False,False,True,ECO00573,False
False,False,False,False,False,False,False,ECO00574,True
False,False,False,False,False,False,False,ECO00579,True
False,False,False,False,False,False,True,ECO00583,False
False,False,False,False,False,False,True,ECO00584,False
False,False,False,False,False,False,True,ECO00585,False
False,False,False,False,False,False,True,ECO00586,False
False,False,False,False,False,False,True,ECO00589,False
False,False,False,False,False,False,True,ECO00591,False
False,False,False,False,False,False,False,ECO00592,True
False,False,True,False,False,False,False,ECO00593,False
False,False,False,False,False,False,False,ECO00596,True
False,False,False,False,False,False,True,ECO00597,False
False,False,False,False,False,False,False,ECO00599,True
False,False,False,False,False,False,True,ECO00604,False
False,False,False,False,False,False,True,ECO00608,False
False,False,False,False,False,False,False,ECO00611,True
False,False,False,False,False,False,True,ECO00612,False
False,False,False,False,False,False,True,ECO00613,False
False,False,False,False,False,False,True,ECO00614,False
False,False,False,False,False,False,True,ECO00615,False
False,False,False,False,False,False,False,ECO00616,True
False,False,False,False,False,False,True,ECO00617,False
False,False,False,False,False,False,True,ECO00623,False
False,False,False,False,False,False,True,ECO00627,False
False,False,False,False,False,False,True,ECO00629,False
False,False,False,False,False,False,True,ECO00630,False
False,False,False,False,False,False,True,ECO00631,False
False,False,False,False,False,False,True,ECO00638,False
False,False,False,False,False,False,True,ECO00639,False
False,False,False,False,False,False,True,ECO00642,False
False,False,False,False,False,False,False,ECO00644,True
False,False,False,False,False,False,True,ECO00645,False
False,False,False,False,False,False,True,ECO00646,False
False,False,False,False,False,False,False,ECO00647,True
False,False,False,False,False,False,True,ECO00651,False
False,False,False,False,False,False,False,ECO00652,True
False,False,False,False,False,False,False,ECO00653,True
False,False,False,False,False,False,True,ECO00655,False
False,False,False,False,False,False,True,ECO00657,False
False,False,False,False,False,False,True,ECO00661,False
False,False,False,False,False,False,True,ECO00662,False
False,False,False,False,False,False,True,ECO00668,False
False,False,False,False,False,False,True,ECO00669,False
False,False,False,False,False,False,True,ECO00670,False
False,False,False,False,False,False,True,ECO00671,False
False,False,False,False,False,False,True,ECO00673,False
False,False,False,False,False,False,True,ECO00676,False
False,False,False,False,False,False,True,ECO00677,False
False,False,False,False,False,False,True,ECO00678,False
False,False,False,False,False,False,True,ECO00679,False
False,False,False,False,False,False,True,ECO00682,False
False,False,False,False,False,False,True,ECO00683,False
False,False,False,False,False,False,True,ECO00685,False
False,False,False,False,False,False,True,ECO00686,False
False,False,False,False,False,False,True,ECO00688,False
False,False,False,False,False,False,True,ECO00691,False
False,False,False,False,False,False,True,ECO00692,False
False,False,False,False,False,False,True,ECO00694,False
False,False,False,False,False,False,True,ECO00695,False
False,False,False,False,False,False,False,ECO00696,True
False,False,False,False,False,False,True,ECO00698,False
False,False,False,False,False,False,True,ECO00699,False
False,False,False,False,False,False,True,ECO00700,False
False,False,False,False,False,False,False,ECO00702,True
False,False,False,False,False,False,True,ECO00705,False
False,False,False,False,False,False,True,ECO00706,False
False,False,False,False,False,False,False,ECO00707,True
False,False,False,False,False,False,True,ECO00709,False
False,False,False,False,False,False,True,ECO00711,False
False,False,False,False,False,False,True,ECO00713,False
False,False,False,False,False,False,True,ECO00714,False
False,False,False,False,False,False,True,ECO00715,False
False,False,False,False,False,False,True,ECO00716,False
False,False,False,False,False,False,True,ECO00718,False
False,False,False,False,False,False,True,ECO00721,False
False,False,False,False,False,False,True,ECO00722,False
False,False,False,False,False,False,True,ECO00723,False
False,False,False,False,False,False,True,ECO00729,False
False,False,False,False,False,False,True,ECO00734,False
False,False,False,False,False,False,True,ECO00735,False
False,False,False,False,False,False,True,ECO00736,False
False,False,False,False,False,False,True,ECO00738,False
False,False,False,False,False,False,True,ECO00741,False
False,False,False,False,False,False,True,ECO00745,False
False,False,False,False,False,False,True,ECO00747,False
False,False,False,False,False,False,True,ECO00752,False
False,False,False,False,False,False,True,ECO00754,False
False,False,False,False,False,False,True,ECO00757,False
False,False,False,False,False,False,False,ECO00758,True
False,False,False,False,False,False,True,ECO00759,False
False,False,False,False,False,False,False,ECO00760,True
False,False,False,False,False,False,False,ECO00763,True
False,False,False,False,False,False,True,ECO00767,False
False,False,False,False,False,False,False,ECO00776,True
False,False,False,False,False,False,True,ECO00780,False
False,False,False,False,False,False,True,ECO00782,False
False,False,False,False,False,False,True,ECO00783,False
False,False,False,False,False,False,True,ECO00791,False
False,False,False,False,False,False,True,ECO00794,False
False,False,False,False,False,False,False,ECO00797,True
False,False,False,False,False,False,True,ECO00798,False
False,False,False,False,False,False,True,ECO00799,False
False,False,False,False,False,False,True,ECO00800,False
False,False,False,False,False,False,True,ECO00801,False
False,False,False,False,False,False,True,ECO00803,False
False,False,False,False,False,False,True,ECO00805,False
False,False,False,False,False,False,True,ECO00807,False
False,False,False,False,False,False,False,ECO00809,True
False,False,False,False,False,False,True,ECO00814,False
False,False,False,False,False,False,True,ECO00821,False
False,False,False,False,False,False,False,ECO00822,True
False,False,False,False,False,False,True,ECO00824,False
False,False,False,False,False,False,True,ECO00828,False
False,False,False,False,False,False,True,ECO00833,False
False,False,False,False,False,False,True,ECO00834,False
False,False,False,False,False,False,True,ECO00838,False
False,False,False,False,False,False,False,ECO00841,True
False,False,False,False,False,False,True,ECO00848,False
False,False,False,False,False,False,False,ECO00851,True
False,False,False,False,False,False,True,ECO00852,False
False,False,False,False,False,False,True,ECO00854,False
False,False,False,False,False,False,True,ECO00855,False
False,False,False,False,False,False,False,ECO00856,True
False,False,False,False,False,False,True,ECO00860,False
False,False,False,False,False,False,True,ECO00861,False
False,False,False,False,False,False,True,ECO00863,False
False,False,False,False,False,False,False,ECO00864,True
False,False,False,False,False,False,True,ECO00865,False
False,False,False,False,False,False,True,ECO00867,False
False,False,False,False,False,False,True,ECO00868,False
False,False,False,False,False,False,True,ECO00869,False
False,False,False,False,False,False,True,ECO00871,False
False,False,False,False,False,False,True,ECO00873,False
False,False,False,False,False,False,False,ECO00877,True
False,False,False,False,False,False,True,ECO00881,False
False,False,False,False,False,False,True,ECO00883,False
False,False,False,False,False,False,True,ECO00885,False
False,False,False,False,False,False,True,ECO00890,False
False,False,False,False,False,False,True,ECO00891,False
False,False,False,False,False,False,True,ECO00896,False
False,False,False,False,False,False,True,ECO00898,False
False,False,False,False,False,False,True,ECO00902,False
False,False,False,False,False,False,False,ECO00903,True
False,False,False,False,False,False,True,ECO00905,False
False,False,True,False,False,False,False,ECO00908,False
False,False,False,False,False,False,True,ECO00909,False
False,False,False,False,False,False,True,ECO00910,False
False,False,False,False,False,False,True,ECO00911,False
False,False,False,False,False,False,True,ECO00912,False
False,False,False,False,False,False,True,ECO00917,False
False,False,False,False,False,False,True,ECO00920,False
False,False,False,False,False,False,True,ECO00926,False
False,False,False,False,False,False,True,ECO00927,False
False,False,False,False,False,False,False,ECO00930,True
False,False,False,False,False,False,True,ECO00931,False
False,False,False,False,False,False,True,ECO00934,False
False,False,False,False,False,False,True,ECO00935,False
False,False,False,False,False,False,True,ECO00942,False
False,False,False,False,False,False,True,ECO00949,False
False,False,False,False,False,False,True,ECO00951,False
False,False,False,False,False,False,True,ECO00954,False
False,False,False,False,False,False,True,ECO00956,False
False,False,False,False,False,False,True,ECO00957,False
False,False,False,False,False,False,True,ECO00962,False
False,False,False,False,False,False,True,ECO00968,False
False,False,False,False,False,False,False,ECO00970,True
False,False,False,False,False,False,True,ECO00976,False
False,False,False,False,False,False,True,ECO00980,False
False,False,False,False,False,False,True,ECO00984,False
False,False,False,False,False,False,True,ECO00986,False
False,False,False,False,False,False,True,ECO00988,False
False,False,False,False,False,False,True,ECO00989,False
False,False,False,False,False,False,True,ECO00990,False
False,False,False,False,False,False,True,ECO00992,False
False,False,False,False,False,False,True,ECO00994,False
False,False,False,False,False,False,True,ECO01001,False
False,False,False,False,False,False,True,ECO01003,False
