agntosf,ambigagn,composite,defagn,defliner,defseyf,defstarform,galname,sftoagn,sftoagn1,sftoagn2
False,False,False,False,False,False,True,ECO00001,False,False,False
False,False,False,False,False,False,True,ECO00004,False,False,False
False,False,False,False,False,False,True,ECO00005,False,False,False
False,False,False,False,False,False,True,ECO00027,False,False,False
False,False,False,False,False,False,True,ECO00029,False,False,False
False,False,False,False,False,False,True,ECO00037,False,False,False
False,False,False,False,False,False,True,ECO00054,False,False,False
False,False,False,False,False,False,True,ECO00060,False,False,False
False,False,False,False,False,False,False,ECO00061,True,True,True
False,False,False,False,False,False,True,ECO00063,False,False,False
False,False,False,False,False,False,True,ECO00068,False,False,False
False,False,False,False,False,False,True,ECO00069,False,False,False
False,False,False,False,False,False,True,ECO00071,False,False,False
False,False,False,False,False,False,True,ECO00077,False,False,False
False,False,False,False,False,False,True,ECO00078,False,False,False
False,False,False,False,False,False,True,ECO00079,False,False,False
False,False,False,False,False,False,True,ECO00083,False,False,False
False,False,False,False,False,False,True,ECO00085,False,False,False
False,False,False,False,False,False,True,ECO00087,False,False,False
False,False,False,False,False,False,True,ECO00092,False,False,False
False,False,False,False,False,False,True,ECO00097,False,False,False
False,False,False,False,False,False,True,ECO00098,False,False,False
False,False,False,False,False,False,True,ECO00099,False,False,False
False,False,False,False,False,False,True,ECO00101,False,False,False
False,False,False,False,False,False,True,ECO00103,False,False,False
False,False,False,False,False,False,False,ECO00105,True,False,True
False,False,False,False,False,False,True,ECO00112,False,False,False
False,False,False,False,False,False,True,ECO00117,False,False,False
False,False,False,False,False,False,True,ECO00135,False,False,False
False,False,False,False,False,False,True,ECO00137,False,False,False
False,False,False,False,False,False,True,ECO00139,False,False,False
False,False,False,False,False,False,True,ECO00141,False,False,False
False,False,False,False,False,False,True,ECO00152,False,False,False
False,False,False,False,False,False,True,ECO00158,False,False,False
False,False,False,False,False,False,True,ECO00160,False,False,False
False,False,False,False,False,False,True,ECO00163,False,False,False
False,False,False,False,False,False,True,ECO00167,False,False,False
False,False,False,False,False,False,True,ECO00173,False,False,False
False,False,False,False,False,False,True,ECO00179,False,False,False
False,False,False,False,False,False,True,ECO00185,False,False,False
False,False,False,False,False,False,False,ECO00186,True,False,True
False,False,False,False,False,False,True,ECO00190,False,False,False
False,False,False,False,False,False,True,ECO00192,False,False,False
False,False,False,False,False,False,True,ECO00194,False,False,False
False,False,False,False,False,False,True,ECO00200,False,False,False
False,False,False,False,False,False,True,ECO00207,False,False,False
False,False,False,False,False,False,True,ECO00210,False,False,False
False,False,False,False,False,False,False,ECO00211,True,False,True
False,False,False,False,False,False,False,ECO00220,True,False,True
False,False,False,False,False,False,True,ECO00222,False,False,False
False,False,False,False,False,False,True,ECO00226,False,False,False
False,False,False,False,False,False,True,ECO00231,False,False,False
False,False,False,False,False,False,True,ECO00233,False,False,False
False,False,False,False,False,False,True,ECO00237,False,False,False
False,False,False,False,False,False,True,ECO00242,False,False,False
False,False,False,False,False,False,True,ECO00247,False,False,False
False,False,False,False,False,False,True,ECO00248,False,False,False
False,False,False,False,False,False,True,ECO00252,False,False,False
False,False,False,False,False,False,True,ECO00253,False,False,False
False,False,False,False,False,False,True,ECO00255,False,False,False
False,False,False,False,False,False,True,ECO00257,False,False,False
False,False,False,False,False,False,True,ECO00260,False,False,False
False,False,False,False,False,False,True,ECO00261,False,False,False
False,False,False,False,False,False,True,ECO00271,False,False,False
False,False,False,False,False,False,True,ECO00280,False,False,False
False,False,False,False,False,False,True,ECO00297,False,False,False
False,False,False,False,False,False,True,ECO00298,False,False,False
False,False,False,False,False,False,False,ECO00299,True,False,True
False,False,False,False,False,False,True,ECO00302,False,False,False
False,False,False,False,False,False,True,ECO00314,False,False,False
False,False,False,False,False,False,True,ECO00319,False,False,False
False,False,False,False,False,False,True,ECO00320,False,False,False
False,False,False,False,False,False,False,ECO00321,True,False,True
False,False,False,False,False,False,True,ECO00322,False,False,False
False,False,False,False,False,False,True,ECO00323,False,False,False
False,False,False,False,False,False,True,ECO00324,False,False,False
False,False,False,False,False,False,False,ECO00328,True,False,True
False,False,False,False,False,False,True,ECO00330,False,False,False
False,False,False,False,False,False,True,ECO00332,False,False,False
False,False,False,False,False,False,True,ECO00333,False,False,False
False,False,False,False,False,False,True,ECO00334,False,False,False
False,False,False,False,False,False,True,ECO00336,False,False,False
False,False,False,False,False,False,True,ECO00339,False,False,False
False,False,False,False,False,False,False,ECO00344,True,False,True
False,False,False,False,False,False,True,ECO00346,False,False,False
False,False,False,False,False,False,True,ECO00347,False,False,False
False,False,False,False,False,False,True,ECO00348,False,False,False
False,False,False,False,False,False,True,ECO00349,False,False,False
False,False,False,False,False,False,True,ECO00351,False,False,False
False,False,False,False,False,False,True,ECO00354,False,False,False
False,False,False,False,False,False,True,ECO00357,False,False,False
False,False,False,False,False,False,False,ECO00362,True,False,True
False,False,False,False,False,False,True,ECO00363,False,False,False
False,False,False,False,False,False,True,ECO00366,False,False,False
False,False,False,False,False,False,True,ECO00371,False,False,False
False,False,False,False,False,False,True,ECO00375,False,False,False
False,False,False,False,False,False,True,ECO00376,False,False,False
False,False,False,False,False,False,True,ECO00382,False,False,False
False,False,False,False,False,False,True,ECO00386,False,False,False
False,False,False,False,False,False,True,ECO00388,False,False,False
False,False,False,False,False,False,True,ECO00389,False,False,False
False,False,False,False,False,False,False,ECO00393,True,False,True
False,False,False,False,False,False,True,ECO00397,False,False,False
False,False,False,False,False,False,True,ECO00409,False,False,False
False,False,False,False,False,False,True,ECO00410,False,False,False
False,False,False,False,False,False,True,ECO00412,False,False,False
False,False,False,False,False,False,True,ECO00418,False,False,False
False,False,False,False,False,False,False,ECO00419,True,False,True
False,False,False,False,False,False,True,ECO00420,False,False,False
False,False,False,False,False,False,True,ECO00421,False,False,False
False,False,False,False,False,False,True,ECO00424,False,False,False
False,False,False,False,False,False,False,ECO00427,True,False,True
False,False,False,False,False,False,True,ECO00428,False,False,False
False,False,False,False,False,False,False,ECO00429,True,False,True
False,False,False,False,False,False,True,ECO00431,False,False,False
