name,radeg,dedeg,cz,absrmag,grp_g3,central_g3,grpn_g3,grpradeg_g3,grpdedeg_g3,grpcz_g3,grprproj_g3,grpabsrmag_g3,logMh_g3,resname
ECO00001,139.374,25.9664,6454.85,-21.8045,1,1,1,139.374,25.9664,6454.85,0,-21.8045,12.31390196,notinresolve
ECO00168,191.846,27.465,6635.5,-22.7027,2,1,2,191.8569894,27.46140401,6628.914891,0,-22.90758197,13.08990196,notinresolve
ECO03716,191.868,27.4578,6622.33,-20.9962,2,0,2,191.8569894,27.46140401,6628.914891,0,-22.90758197,13.08990196,notinresolve
ECO00230,152.465,30.3211,6088.06,-21.5786,3,1,1,152.465,30.3211,6088.06,0,-21.5786,12.16990196,notinresolve
ECO00231,169.745,22.8867,6273.01,-21.1076,4,1,2,169.7833447,22.88431436,6247.688797,0,-21.5508951,12.15690196,notinresolve
ECO11992,169.822,22.8819,6222.37,-20.3642,4,0,2,169.7833447,22.88431436,6247.688797,0,-21.5508951,12.15690196,notinresolve
ECO00232,170.52,19.0503,4180.91,-19.4813,5,1,1,170.52,19.0503,4180.91,0,-19.4813,11.37390196,notinresolve
ECO00262,210.88,9.2208,6072.12,-20.9023,6,0,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
ECO01099,210.601,9.4999,6100.15,-20.2255,6,0,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
ECO02026,210.398,9.3089,5997.08,-19.6147,6,0,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
ECO04442,210.442,9.4903,6215.4,-21.7179,6,0,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
ECO04444,210.468,8.7861,6048.16,-20.9171,6,0,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
ECO04447,210.497,8.9378,5884.47,-21.7598,6,0,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
ECO04450,210.548,9.44,6216.83,-21.8288,6,0,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
ECO04453,210.637,9.0797,5994.43,-20.9056,6,0,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
ECO04457,210.676,9.3467,6208.77,-20.6794,6,0,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
ECO04459,210.703,9.3414,5892.16,-22.3876,6,1,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
ECO04462,210.73,9.3497,5723.96,-20.0305,6,0,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
ECO04463,210.732,9.4208,5964.26,-21.9864,6,0,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
ECO04469,210.78,9.3631,5968.64,-20.8576,6,0,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
ECO04474,210.863,9.4672,5616.46,-20.8877,6,0,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
ECO06457,210.712,8.7797,5846.87,-19.4277,6,0,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
ECO06458,210.723,8.8915,5900.63,-19.508,6,0,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
ECO11704,210.648,9.1195,5739.44,-19.9316,6,0,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
ECO00185,210.67,9.2792,5637.75,-17.5688,6,0,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
ECO00988,210.275,9.1072,5436.02,-18.1974,6,0,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
ECO01022,210.762,8.7672,6749.73,-19.3932,6,0,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
ECO01106,210.573,9.5647,6728.32,-17.6424,6,0,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
ECO02029,210.756,9.3798,6700.69,-17.6963,6,0,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
ECO02174,210.867,8.967,5355.88,-18.2702,6,0,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
ECO06451,210.528,9.0598,5778.14,-19.3815,6,0,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
ECO06454,210.676,9.1642,5854.91,-18.9192,6,0,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
ECO07155,210.485,8.944,5833.53,-18.8275,6,0,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
ECO07832,210.998,9.2733,5803.08,-17.726,6,0,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
ECO07833,210.698,9.3255,6009.24,-18.7649,6,0,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
ECO07843,210.804,9.523,5233.74,-17.9896,6,0,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
ECO10104,210.345,9.1675,6174.14,-19.234,6,0,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
ECO10659,210.454,9.2231,6136.68,-19.0082,6,0,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
ECO11193,210.49,9.3486,5800.89,-17.7062,6,0,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
ECO11194,210.54,9.5476,6629.32,-17.6777,6,0,38,210.6556748,9.206015194,5975.170117,0.521034041,-24.34352783,13.95990196,notinresolve
