name	ra	dec
ECO00001	139.374	25.9664
ECO00002	185.078	8.533
ECO00003	144.112	9.606
ECO00004	144.992	9.1788
ECO00005	145.612	10.219
ECO00006	148.788	5.7283
ECO00007	149.419	10.1243
ECO00008	155.82	9.2248
ECO00009	160.641	10.6224
ECO00010	185.603	9.4885
ECO00011	160.75	11.0733
ECO00012	162.755	12.2605
ECO00013	163.182	7.4471
ECO00014	164.61	6.5457
ECO00015	166.903	5.5604
ECO00016	169.1	11.1031
ECO00017	169.37	11.7137
ECO00018	169.854	11.4083
ECO00019	186.609	6.7083
ECO00020	170.487	10.4988
ECO00021	175.882	8.9089
ECO00022	175.93	11.1514
ECO00023	176.267	10.9113
ECO00024	177.383	10.6012
ECO00025	178.854	10.2015
ECO00026	194.998	27.941
ECO00027	182.318	10.9482
ECO00028	184.446	4.7829
ECO00029	193.04	15.0824
ECO00030	201.816	4.2088
ECO00031	204.262	4.9301
ECO00032	204.726	4.1307
ECO00033	205.177	4.8133
ECO00034	209.232	11.3745
ECO00035	234.194	7.8336
ECO00036	211.427	12.074
ECO00037	212.073	12.4681
ECO00038	145.59	5.9955
ECO00039	140.383	11.3467
ECO00040	146.46	8.9095
ECO00041	149.448	4.5208
ECO00042	165.475	4.0465
ECO00043	166.673	4.4445
ECO00044	169.279	12.9255
ECO00045	176.094	13.0102
ECO00046	195.219	27.805
ECO00047	177.947	11.8205
ECO00048	180.652	4.55
ECO00049	184.566	11.2269
ECO00050	205.644	4.529
ECO00051	206.528	12.0384
ECO00052	207.008	10.9511
ECO00053	175.806	12.4951
ECO00054	154.889	13.0395
ECO00055	160.037	9.2748
ECO00056	194.852	27.5173
ECO00057	167.324	5.0927
ECO00058	184.793	9.8142
ECO00059	172.297	11.8661
ECO00060	143.793	25.124
ECO00061	148.822	24.9279
ECO00062	149.134	24.8576
ECO00063	150.563	25.926
ECO00064	151.746	27.6893
ECO00065	194.569	27.8026
ECO00066	155.164	25.56
ECO00067	158.067	25.3387
ECO00068	161.085	15.5109
ECO00069	161.707	26.3085
ECO00070	163.987	26.6352
ECO00071	165.864	24.9114
ECO00072	166.001	25.893
ECO00073	169.334	27.8721
ECO00074	194.309	27.2537
ECO00075	174.751	26.6111
ECO00076	174.867	26.4899
ECO00077	175.379	25.9347
ECO00078	175.531	26.1221
ECO00079	184.953	26.2857
ECO00080	189.443	26.2991
ECO00081	189.553	26.4921
ECO00082	189.621	26.3743
ECO00083	189.867	26.6722
ECO00084	194.018	27.2855
ECO00085	193.324	26.3394
ECO00086	199.191	26.2122
ECO00087	201.016	13.9358
ECO00088	201.442	13.9104
ECO00089	202.821	9.3534
ECO00090	207.882	14.0452
ECO00091	208.076	6.9198
ECO00092	208.195	8.5979
ECO00093	208.219	14.2082
ECO00094	147.919	14.0378
ECO00095	210.756	12.4851
ECO00096	210.922	9.5341
ECO00097	211.204	11.6987
ECO00098	214.188	10.9703
ECO00099	226.03	10.6196
ECO00100	229.282	10.524
ECO00101	236.613	8.657
ECO00102	157.303	25.3956
ECO00103	211.335	10.4107
ECO00104	131.696	13.1639
ECO00105	214.619	26.496
ECO00106	227.321	10.8517
ECO00107	201.07	9.6753
ECO00108	156.123	24.4234
ECO00109	178.894	27.3626
ECO00110	195.047	27.46
ECO00111	178.622	25.1499
ECO00112	174.809	25.7874
ECO00113	178.755	25.461
ECO00114	161.928	27.4579
ECO00115	157.946	24.8577
ECO00116	175.079	25.392
ECO00117	162.362	15.8508
ECO00118	206.819	13.2979
ECO00119	161.339	13.714
ECO00120	140.191	13.9475
ECO00121	207.764	13.9825
ECO00122	207.601	13.8571
ECO00123	208.026	14.1298
ECO00124	212.888	4.4816
ECO00125	216.526	27.2445
ECO00126	155.217	25.8192
ECO00127	175.195	26.3834
ECO00128	179.612	27.0759
ECO00129	193.957	27.089
ECO00130	200.379	6.6013
ECO00131	211.23	8.9207
ECO00132	194.811	27.8956
ECO00133	194.848	27.9196
ECO00134	194.481	27.2321
ECO00135	166.061	5.1269
