name,radeg,dedeg,h,m,s
ECO00061,148.822,24.9279,9.0,55.0,17.280000000008755
ECO00105,214.61900000000003,26.496,14.0,18.0,28.560000000017
ECO00186,210.479,9.3789,14.0,1.0,54.96000000001132
ECO00211,192.717,25.2591,12.0,50.0,52.080000000010784
ECO00220,206.71900000000002,15.9693,13.0,46.0,52.56000000001478
ECO00299,171.74200000000005,2.3331,11.0,26.0,58.08000000001684
ECO00321,149.384,21.8819,9.0,57.0,32.16000000000349
ECO00328,156.80700000000004,23.0312,10.0,27.0,13.680000000016719
ECO00344,179.857,30.2145,11.0,59.0,25.68000000000538
ECO00362,194.55700000000002,33.1807,12.0,58.0,13.680000000013308
ECO00393,235.607,40.1055,15.0,42.0,25.6800000000122
ECO00419,197.696,48.4236,13.0,10.0,47.04000000001187
ECO00427,130.987,1.5842,8.0,43.0,56.880000000002156
ECO00429,162.19899999999996,-0.3459,10.0,48.0,47.7599999999957
ECO00451,163.69,48.0576,10.0,54.0,45.60000000000585
ECO00482,206.90599999999998,26.4862,13.0,47.0,37.440000000001845
ECO00488,182.635,44.6011,12.0,10.0,32.40000000000549
ECO00543,178.622,28.7654,11.0,54.0,29.28000000001404
ECO00696,193.382,18.04,12.0,53.0,31.680000000007595
ECO00758,211.365,12.2318,14.0,5.0,27.600000000010283
ECO00776,130.188,30.4786,8.0,40.0,45.12000000000569
ECO00856,138.536,7.3723,9.0,14.0,8.640000000008854
ECO00864,212.382,35.4405,14.0,9.0,31.68000000001058
ECO00877,217.165,30.4549,14.0,28.0,39.60000000001045
ECO00970,197.475,17.1649,13.0,9.0,54.00000000000972
ECO01241,146.857,-0.2741,9.0,47.0,25.680000000007936
ECO01253,149.69899999999996,34.7864,9.0,58.0,47.75999999999357
ECO01299,166.174,45.2174,11.0,4.0,41.760000000010535
ECO01321,175.71200000000005,8.8528,11.0,42.0,50.88000000001742
ECO01421,182.303,38.1141,12.0,9.0,12.720000000007872
ECO01563,202.77599999999998,32.315,13.0,31.0,6.2400000000054945
ECO01607,211.868,7.7106,14.0,7.0,28.32000000000818
ECO01674,165.199,21.5909,11.0,0.0,47.760000000012326
ECO01882,191.398,22.0571,12.0,45.0,35.52000000000888
ECO01913,194.645,24.3935,12.0,58.0,34.80000000001098
ECO01928,195.803,19.9779,13.0,3.0,12.72000000000915
ECO01997,204.562,18.4111,13.0,38.0,14.880000000012643
ECO02058,230.822,12.7009,15.0,23.0,17.28000000000918
ECO02074,233.787,28.6999,15.0,35.0,8.880000000015542
ECO02193,216.138,21.2631,14.0,24.0,33.12000000001362
ECO02224,173.358,24.8733,11.0,33.0,25.920000000006098
ECO02373,185.56400000000002,22.5077,12.0,22.0,15.360000000012803
ECO02386,171.701,22.5577,11.0,26.0,48.24000000000353
ECO02394,198.673,22.4725,13.0,14.0,41.52000000000683
ECO02691,179.99400000000003,17.8956,11.0,59.0,58.560000000016146
ECO02695,176.71,17.814,11.0,46.0,50.400000000007026
ECO02833,178.326,20.1074,11.0,53.0,18.240000000009076
ECO02876,172.231,20.6246,11.0,28.0,55.44000000000551
ECO02882,190.296,20.996,12.0,41.0,11.040000000009229
ECO03098,137.213,3.4483,9.0,8.0,51.12000000000705
ECO04070,201.148,1.5758,13.0,24.0,35.52000000001016
ECO04864,225.57,6.3444,15.0,2.0,16.800000000007316
ECO05069,135.213,1.1611,9.0,0.0,51.12000000000236
ECO05136,177.378,12.677,11.0,49.0,30.72000000000216
ECO05165,210.63,13.8301,14.0,2.0,31.20000000000573
ECO05671,173.32,49.2849,11.0,33.0,16.800000000003905
ECO06097,192.495,32.3887,12.0,49.0,58.80000000000706
ECO06292,201.21400000000003,36.2756,13.0,24.0,51.360000000018005
ECO06364,204.08900000000003,-0.4606,13.0,36.0,21.360000000017152
ECO06374,204.62,2.5288,13.0,38.0,28.800000000007913
ECO06376,204.62400000000002,30.9864,13.0,38.0,29.7600000000142
ECO06491,214.21400000000003,32.8028,14.0,16.0,51.360000000013315
ECO06590,233.75099999999998,46.8145,15.0,35.0,0.24000000000370392
ECO06608,140.399,43.2573,9.0,21.0,35.76000000000917
ECO07019,232.78799999999998,45.0334,15.0,31.0,9.120000000005177
ECO07235,183.25099999999998,0.0437,12.0,13.0,0.24000000000199861
ECO07445,201.64,2.1752,13.0,26.0,33.60000000000355
ECO07476,146.226,2.4656,9.0,44.0,54.24000000000703
ECO07478,169.373,2.5042,11.0,17.0,29.520000000007514
ECO07513,193.886,2.9397,12.0,55.0,32.64000000000706
ECO07611,147.56,4.1988,9.0,50.0,14.40000000000694
ECO07624,191.535,4.4436,12.0,46.0,8.400000000006855
ECO07794,151.19799999999995,8.356,10.0,4.0,47.51999999999711
ECO07808,173.09099999999995,8.8472,11.0,32.0,21.83999999999557
ECO07830,147.093,9.2503,9.0,48.0,22.3200000000017
ECO07920,231.75400000000002,11.1391,15.0,27.0,0.960000000016521
ECO07987,130.89600000000002,13.062999999999999,8.0,43.0,35.040000000012554
ECO08134,131.67600000000002,18.0971,8.0,46.0,42.24000000001112
ECO08330,149.54,22.6217,9.0,58.0,9.600000000005764
ECO08436,177.81900000000005,24.3295,11.0,51.0,16.56000000001768
ECO08491,149.75,25.1032,9.0,59.0,9.805489753489383e-12
ECO08581,163.058,26.0096,10.0,52.0,13.92000000000337
ECO08592,197.40599999999998,26.159000000000002,13.0,9.0,37.44000000000355
ECO08667,176.81799999999996,26.8343,11.0,47.0,16.319999999997776
ECO08731,141.319,27.4816,9.0,25.0,16.560000000004038
ECO08895,221.014,29.2151,14.0,44.0,3.360000000012633
ECO08928,197.11,29.7544,13.0,8.0,26.400000000011374
ECO08990,213.148,30.8093,14.0,12.0,35.52000000000632
ECO09020,199.976,31.2349,13.0,19.0,54.24000000000916
ECO09027,217.326,31.3675,14.0,29.0,18.240000000007797
ECO09115,194.56099999999998,32.6731,12.0,58.0,14.640000000006808
ECO09242,146.55100000000004,34.775999999999996,9.0,46.0,12.240000000019222
ECO09330,210.49,36.1687,14.0,1.0,57.60000000000943
ECO09333,146.415,36.1945,9.0,45.0,39.60000000000363
ECO09548,188.468,39.2629,12.0,33.0,52.32000000000639
ECO09581,190.549,39.9764,12.0,42.0,11.760000000010535
ECO09585,159.036,40.0572,10.0,36.0,8.64000000001056
ECO09603,192.71400000000003,40.5438,12.0,50.0,51.36000000001246
ECO09726,216.62,43.471000000000004,14.0,26.0,28.80000000001047
ECO09733,166.62,43.5111,11.0,6.0,28.80000000000834
ECO09938,156.334,48.802,10.0,25.0,20.160000000008438
ECO09961,193.753,34.8815,12.0,55.0,0.7200000000025852
ECO10136,194.46,28.1704,12.0,57.0,50.40000000000788
ECO10309,153.55100000000004,7.9969,10.0,14.0,12.240000000019648
ECO10362,237.385,44.1995,15.0,49.0,32.40000000000677
ECO10398,144.779,33.8965,9.0,39.0,6.960000000008506
ECO10538,212.128,12.819,14.0,8.0,30.7200000000077
ECO10541,218.533,34.3262,14.0,34.0,7.920000000006269
ECO10745,152.63,41.8354,10.0,10.0,31.200000000004025
ECO10848,203.769,3.6605,13.0,35.0,4.5600000000128205
ECO10954,149.31799999999996,9.4773,9.0,57.0,16.319999999995645
ECO10988,148.33,24.7738,9.0,53.0,19.20000000000897
ECO11017,165.02200000000005,16.1448,11.0,0.0,5.280000000021801
ECO11064,182.50599999999997,29.365,12.0,10.0,1.4400000000009072
ECO11174,207.34900000000002,34.3682,13.0,49.0,23.760000000014116
ECO11316,204.68900000000002,-0.4168,13.0,38.0,45.36000000001408
ECO11677,219.93900000000002,23.3966,14.0,39.0,45.36000000001707
ECO11714,222.642,24.8216,14.0,50.0,34.08000000000797
ECO11787,147.238,33.0433,9.0,48.0,57.12000000000586
ECO11816,209.144,10.1912,13.0,56.0,34.560000000009836
ECO11818,169.285,42.47,11.0,17.0,8.40000000000984
ECO11865,222.415,23.5609,14.0,49.0,39.600000000009175
ECO11950,162.046,14.0541,10.0,48.0,11.04000000000454
ECO11998,232.40400000000002,5.9727,15.0,29.0,36.96000000001533
ECO12023,174.59099999999995,15.9604,11.0,38.0,21.83999999999429
ECO12145,181.59400000000002,31.9414,12.0,6.0,22.560000000012224
ECO12205,230.66400000000002,22.9937,15.0,22.0,39.360000000016555
ECO12363,188.81,7.1375,12.0,35.0,14.40000000000694
ECO12392,199.59599999999998,7.9764,13.0,18.0,23.040000000006415
ECO12580,206.325,19.5576,13.0,45.0,18.00000000000921
ECO12611,228.17,14.9986,15.0,12.0,40.800000000008936
