 	ra	dec
 	133.0709381	3.729882257
 	133.386287	4.782328213
 	133.6863495	4.301955239
 	134.0094245	1.883546299
 	134.4549226	1.323039135
 	134.6091256	3.394205686
 	134.6197837	3.369426516
 	134.8240349	0.690122997
 	134.9949119	3.479064495
 	135.207587	2.890758861
 	135.212556	1.161232214
 	135.2652892	3.604523456
 	135.4379653	0.52181125
 	135.477895	1.172049016
 	135.5883075	3.615775574
 	135.7865289	3.722129713
 	136.4076178	0.003429183
 	136.7698076	3.146084182
 	137.1742492	0.484768722
 	137.2265147	1.432599888
 	137.4391804	1.793335117
 	137.476111	1.685438048
 	139.1756489	0.205671809
 	139.5684628	0.385125323
 	139.7567289	0.172083274
 	139.7759765	0.677654845
 	139.7932502	1.055476823
 	139.9255121	1.325922671
 	139.9348504	0.913503275
 	139.9799013	0.945227237
 	139.9950948	0.960955391
 	139.9987464	0.93103104
 	140.0088754	1.038421634
 	140.0649676	1.288917997
 	140.0916075	0.82318083
 	140.1238814	1.848214513
 	140.1310731	0.937133282
 	140.1386286	0.721144406
 	140.1430882	1.551115561
 	140.1550841	0.822884479
 	140.1599831	3.756562109
 	140.1922687	0.604928084
 	140.2860245	0.080623476
 	140.2928798	1.472742917
 	140.3588014	3.918912471
 	140.3893589	1.585221304
 	140.4300842	2.690941013
 	140.4330042	4.374134172
 	140.5893445	4.061382817
 	140.7371645	1.434059491
 	140.7505783	2.868709968
 	140.7833613	2.485983538
 	140.8050153	2.060196875
 	140.8056756	2.60142789
 	140.9020952	2.136587901
 	140.942724	2.752770498
 	140.9498112	2.112986476
 	141.026978	2.082650901
 	141.2943732	1.65390663
 	141.3518506	2.063781464
 	141.3746847	2.07836065
 	141.3949989	2.341917673
 	141.4321454	3.101108286
 	141.4456964	2.229194093
 	141.4476189	2.089685451
 	141.6175906	2.300328625
 	141.686332	1.154413259
 	141.8700534	3.929662446
 	141.878775	3.711560309
 	141.9625088	3.473615432
 	142.090907	1.749027842
 	142.1255629	2.433666097
 	142.3116771	4.911961963
 	142.3566035	0.355518188
 	142.3592138	2.070798592
 	142.4214473	2.205650514
 	142.4413621	2.201608051
 	142.4556145	2.143958839
 	142.4718677	2.160732979
 	142.4730712	2.280397706
 	142.5630046	4.14401544
 	142.8163026	4.625958864
 	142.9233959	4.50009702
 	142.9444929	1.056808615
 	143.0549977	3.802711133
 	143.0959779	2.548147272
 	143.4691273	3.123254255
 	143.5018443	2.47722667
 	143.5170793	0.383768272
 	143.5435978	0.257996401
 	143.5440004	0.241677415
 	143.6426899	0.089693258
 	143.6543248	0.046154029
 	143.6907018	3.096399513
 	143.7639738	4.690371067
 	143.9687044	4.016779598
 	144.029174	3.011560658
 	144.1116431	1.191707437
 	144.1474039	1.116552676
 	144.1660068	0.40727285
 	144.1696947	2.703572881
 	144.2494541	4.520150241
 	144.4330818	2.759081341
 	144.4375877	2.747599964
 	144.4468596	2.736013354
 	144.4895553	3.462975215
 	144.5450497	3.078957763
 	144.5621307	4.15271552
 	144.5729137	4.08061558
 	144.5764432	4.09426929
 	144.5993113	4.014711559
 	144.6278715	2.57337533
 	144.6488897	2.668194993
 	144.7536997	4.721475987
 	144.7890011	0.984475358
 	145.1515517	3.577070414
 	145.3161129	1.523262068
 	145.4795832	1.318851784
 	145.613283	3.346834396
 	145.6578286	1.300665421
 	145.7819404	3.430127792
 	145.7854155	3.940351634
 	145.8265458	0.373108309
 	146.0390844	3.403886638
 	146.0433145	2.410194669
 	146.1433792	4.001767436
 	146.2123007	4.580779694
 	146.2255023	2.465314312
 	146.2317394	0.068229997
 	146.2829491	0.06411431
 	146.3008738	0.035460408
 	146.3976731	4.41068243
 	146.4949452	3.145201852
 	146.5091582	3.13437719
 	146.5146486	4.403554424
 	146.530701	0.781925651
 	146.5843821	3.045795431
 	146.587837	3.071418264
 	146.7496712	2.56149115
 	146.8068923	0.665652257
 	146.8422072	0.740948554
 	146.9006192	3.283821006
 	146.9203598	3.337294238
 	147.0395704	2.529208018
 	147.0410544	2.539370094
 	147.0676295	3.905856169
 	147.1714734	3.374743324
 	147.1928483	0.271867682
 	147.2486404	2.462699425
 	147.2528153	4.303152267
 	147.2864176	2.481084032
 	147.3054651	0.217619715
 	147.3104204	3.785058138
 	147.3610568	4.0032056
 	147.5601781	4.199071639
 	147.6431285	3.541206738
 	147.6802766	4.950774076
 	147.7463914	4.273307975
 	147.8353045	0.899807289
 	147.8599502	1.93069406
 	147.8958106	1.112128782
 	147.8972661	0.434888548
 	147.9482537	3.122836463
 	147.9987969	1.046505731
 	148.047637	1.095509619
 	148.1040989	2.180924145
 	148.1117932	2.278966581
 	148.123446	2.154496557
 	148.3205589	1.977824182
 	148.3236165	1.219357283
 	148.3352017	0.720706689
 	148.432622	2.374096739
 	148.440433	0.786711292
 	148.4433597	0.494503705
 	148.5444538	2.287462241
 	148.5845444	2.297633505
 	148.6753344	4.975585601
 	148.8469037	0.879338003
 	148.9427623	3.405111303
 	149.2181855	3.149316425
 	149.2337964	3.382875994
 	149.2448952	3.356440142
 	149.4481127	4.520699533
 	149.8209616	3.441383137
 	149.9179646	3.29307014
 	150.1580385	3.127203385
 	150.2102503	1.335597369
 	150.5292166	3.057813872
 	150.5467632	2.021716688
 	150.6891786	4.455051163
 	151.0221621	3.494487925
 	151.0790834	0.120510503
 	151.1089764	0.60184866
 	151.1637839	0.281584042
 	151.3045742	4.163544252
 	151.3106258	2.74325959
 	151.3281329	2.495804535
 	151.350282	0.544000089
 	151.3523329	2.549100659
 	151.365261	2.633514442
 	151.3828991	0.611070611
 	151.3957206	3.053753239
 	151.4575637	0.633463247
 	151.4610114	0.631908429
 	151.4804912	0.652279732
 	151.4837322	0.61739999
 	151.4838197	0.590884009
 	151.508782	4.52221754
 	151.5129543	3.109831881
 	151.5348201	2.969204427
 	151.5361811	0.688398416
 	151.5437057	2.913034091
 	151.5514671	2.523729715
 	151.5565919	4.033672419
 	151.5703599	3.827863515
 	151.5839877	3.124611171
 	151.630775	2.482617822
 	151.6545628	0.632650333
 	151.7858288	2.65672575
 	151.7993067	0.80913237
 	151.8069411	2.902545126
 	151.8094632	0.05601157
 	151.8480863	3.070889601
 	151.8555222	1.265020799
 	151.9415743	3.371230728
 	151.9437604	2.874631496
 	151.9533786	2.878635861
 	152.0707584	2.273217679
 	152.6162972	2.228394158
 	152.6306419	2.23288577
 	152.7097891	0.280562872
 	152.734962	1.072083278
 	153.1050828	1.245907982
 	153.4689213	0.550928437
 	153.7595881	0.96831712
 	153.8821257	0.307795483
 	154.0389068	1.191145955
 	154.1713154	2.074674801
 	154.309213	1.720189371
 	154.3587139	1.702145093
 	154.3741212	0.200657435
 	154.5096018	0.763845215
 	154.605664	1.182255953
 	154.8228858	0.344484193
 	155.2266694	1.913446865
 	155.4648615	0.410201395
