#Index	Failure?	Warnings?	Exit code	#rank	#seq	RADIUS= %	STOP COLU	grid parameter string
2	T	F	   early termination	0	2	22.291	20	"22.291000, 20.000000"
13	T	F	   early termination	0	13	22.191	20	"22.191000, 20.000000"
24	T	F	   early termination	0	24	22.091	20	"22.091000, 20.000000"
35	T	F	   early termination	0	35	21.991001	20	"21.991001, 20.000000"
46	T	F	   early termination	0	46	21.891001	20	"21.891001, 20.000000"
57	T	F	   early termination	0	57	21.791	20	"21.791000, 20.000000"
68	T	F	   early termination	0	68	21.691	20	"21.691000, 20.000000"
79	T	F	   early termination	0	79	21.591	20	"21.591000, 20.000000"
90	T	F	   early termination	0	90	21.491001	20	"21.491001, 20.000000"
101	T	F	   early termination	0	101	21.391001	20	"21.391001, 20.000000"
112	T	F	   early termination	0	112	21.291	20	"21.291000, 20.000000"
123	T	F	   early termination	0	123	21.191	20	"21.191000, 20.000000"
134	T	F	   early termination	0	134	21.091	20	"21.091000, 20.000000"
145	T	F	   early termination	0	145	20.991001	20	"20.991001, 20.000000"
156	T	F	   early termination	0	156	20.891001	20	"20.891001, 20.000000"
167	T	F	   early termination	0	167	20.791	20	"20.791000, 20.000000"
178	T	F	   early termination	0	178	20.691	20	"20.691000, 20.000000"
189	T	F	   early termination	0	189	20.591	20	"20.591000, 20.000000"
200	T	F	   early termination	0	200	20.491001	20	"20.491001, 20.000000"
211	T	F	   early termination	0	211	20.391001	20	"20.391001, 20.000000"
222	T	F	   early termination	0	222	20.291	20	"20.291000, 20.000000"
233	T	F	   early termination	0	233	20.191	20	"20.191000, 20.000000"
244	T	F	   early termination	0	244	20.091	20	"20.091000, 20.000000"
255	T	F	   early termination	0	255	19.991001	20	"19.991001, 20.000000"
266	T	F	   early termination	0	266	19.891001	20	"19.891001, 20.000000"
277	T	F	   early termination	0	277	19.791	20	"19.791000, 20.000000"
288	T	F	   early termination	0	288	19.691	20	"19.691000, 20.000000"
299	T	F	   early termination	0	299	19.591	20	"19.591000, 20.000000"
310	T	F	   early termination	0	310	19.491001	20	"19.491001, 20.000000"
321	T	F	   early termination	0	321	19.391001	20	"19.391001, 20.000000"
332	T	F	   early termination	0	332	19.291	20	"19.291000, 20.000000"
