name,radeg,dedeg,h,m,s
ECO01252,148.441,0.7867,9.0,53.0,45.84000000000444
ECO00429,162.19899999999996,-0.3459,10.0,48.0,47.7599999999957
ECO07184,168.562,-0.7167,11.0,14.0,14.880000000011364
ECO07235,183.25099999999998,0.0437,12.0,13.0,0.24000000000199861
ECO05069,135.213,1.1611,9.0,0.0,51.12000000000236
ECO07339,142.944,1.0566,9.0,31.0,46.560000000001054
ECO10779,169.673,2.622,11.0,18.0,41.52000000000598
ECO10171,178.141,2.0269,11.0,52.0,33.84000000000597
ECO07434,183.533,2.0827,12.0,14.0,7.920000000004137
ECO00801,188.717,1.8831,12.0,34.0,52.080000000014195
ECO07357,190.084,1.2732,12.0,40.0,20.160000000008438
ECO07551,198.377,3.3621,13.0,13.0,30.480000000014655
ECO07527,201.952,3.0904,13.0,27.0,48.48000000000809
ECO03098,137.213,3.4483,9.0,8.0,51.12000000000705
ECO00135,166.06099999999995,5.1269,11.0,4.0,14.639999999992739
ECO00141,166.831,5.4107,11.0,7.0,19.440000000007558
ECO00486,172.25,3.8539,11.0,29.0,9.805489753489383e-12
ECO07589,194.391,3.9225,12.0,57.0,33.840000000008104
ECO07623,200.12400000000002,4.4392,13.0,20.0,29.76000000001804
ECO10848,203.769,3.6605,13.0,35.0,4.5600000000128205
ECO09938,156.334,48.802,10.0,25.0,20.160000000008438
ECO10317,163.554,49.2228,10.0,54.0,12.960000000009444
ECO00451,163.69,48.0576,10.0,54.0,45.60000000000585
ECO07737,148.904,6.8039,9.0,55.0,36.96000000000339
ECO07755,158.555,7.5152,10.0,34.0,13.200000000008885
ECO07773,163.246,7.9259,10.0,52.0,59.04000000001119
ECO06801,233.653,43.0393,15.0,34.0,36.72000000000949
ECO05304,143.736,38.7481,9.0,34.0,56.6400000000057
ECO05440,151.075,43.174,10.0,4.0,18.00000000000196
ECO07794,151.19799999999995,8.356,10.0,4.0,47.51999999999711
ECO00694,154.63299999999995,9.687000000000001,10.0,18.0,31.919999999994246
ECO09521,146.168,38.8524,9.0,44.0,40.320000000005365
ECO09649,226.989,41.9024,15.0,7.0,57.360000000012974
ECO10954,149.31799999999996,9.4773,9.0,57.0,16.319999999995645
ECO09943,225.62099999999998,49.195,15.0,2.0,29.04000000000437
ECO06590,233.75099999999998,46.8145,15.0,35.0,0.24000000000370392
ECO10362,237.385,44.1995,15.0,49.0,32.40000000000677
ECO09618,156.4,41.0457,10.0,25.0,36.00000000000989
ECO09733,166.62,43.5111,11.0,6.0,28.80000000000834
ECO00488,182.635,44.6011,12.0,10.0,32.40000000000549
ECO06402,206.61599999999999,39.6784,13.0,46.0,27.840000000006313
ECO09726,216.62,43.471000000000004,14.0,26.0,28.80000000001047
ECO09799,166.925,45.2038,11.0,7.0,42.00000000000827
ECO10803,182.78099999999998,42.0709,12.0,11.0,7.440000000004829
ECO10138,198.997,41.4989,13.0,15.0,59.28000000001106
ECO09378,147.093,36.7707,9.0,48.0,22.3200000000017
ECO07983,169.332,12.9604,11.0,17.0,19.680000000007
ECO05136,177.378,12.677,11.0,49.0,30.72000000000216
ECO05129,179.428,13.3973,11.0,57.0,42.720000000008724
ECO10472,183.373,11.6824,12.0,13.0,29.520000000008366
ECO12340,175.982,7.4582,11.0,43.0,55.680000000007084
ECO12355,180.079,7.5710000000000015,12.0,0.0,18.960000000009103
ECO12385,184.351,7.0406,12.0,17.0,24.240000000011293
ECO01460,187.577,6.9736,12.0,30.0,18.48000000000596
ECO01641,224.649,33.7945,14.0,58.0,35.760000000010876
ECO09664,230.574,42.2869,15.0,22.0,17.760000000015737
ECO00393,235.607,40.1055,15.0,42.0,25.6800000000122
ECO10862,209.1,11.392999999999999,13.0,56.0,24.000000000011
ECO00097,211.204,11.6987,14.0,4.0,48.96000000001294
ECO00758,211.365,12.2318,14.0,5.0,27.600000000010283
ECO05165,210.63,13.8301,14.0,2.0,31.20000000000573
ECO10407,147.547,11.3082,9.0,50.0,11.280000000005685
ECO07990,154.58,13.2312,10.0,18.0,19.200000000013233
ECO05675,173.576,15.5959,11.0,34.0,18.240000000003533
ECO12023,174.59099999999995,15.9604,11.0,38.0,21.83999999999429
ECO07774,208.565,7.9675,13.0,54.0,15.600000000007554
ECO01607,211.868,7.7106,14.0,7.0,28.32000000000818
ECO12083,231.58900000000003,26.8309,15.0,26.0,21.360000000019284
ECO08542,134.43,25.5901,8.0,57.0,43.200000000005474
ECO01379,137.399,29.9705,9.0,9.0,35.760000000005334
