Wavelength,A_lambda/tau1,Al_Ebv
3000,5.3414,5.47936
3003,5.33625,5.47408
3006,5.33112,5.46882
3009,5.32602,5.46358
3012,5.32094,5.45837
3015,5.31588,5.45318
3018,5.31085,5.44802
3021,5.30584,5.44288
3024,5.30085,5.43776
3027,5.29588,5.43267
3030,5.29094,5.4276
3033,5.26095,5.39683
3036,5.25692,5.3927
3039,5.25303,5.38871
3042,5.24927,5.38485
3045,5.24562,5.3811
3048,5.24207,5.37747
3051,5.23863,5.37394
3054,5.23529,5.37051
3057,5.23203,5.36716
3060,5.22885,5.3639
3063,5.22574,5.36071
3066,5.2227,5.35759
3069,5.21972,5.35454
3072,5.2168,5.35154
3075,5.21392,5.34859
3078,5.21109,5.34569
3081,5.20831,5.34283
3084,5.20555,5.34
3087,5.20283,5.33721
3090,5.20013,5.33445
3093,5.19746,5.3317
3096,5.1948,5.32898
3099,5.19216,5.32627
3102,5.18953,5.32357
3105,5.1869,5.32087
3108,5.18428,5.31819
3111,5.18166,5.3155
3114,5.17904,5.31281
3117,5.17642,5.31011
3120,5.17378,5.30741
3123,5.17114,5.3047
3126,5.16848,5.30197
3129,5.16581,5.29923
3132,5.16312,5.29647
3135,5.16041,5.29369
3138,5.15768,5.29089
3141,5.15493,5.28807
3144,5.15215,5.28522
3147,5.14935,5.28235
3150,5.14652,5.27945
3153,5.14366,5.27652
3156,5.14078,5.27355
3159,5.13786,5.27056
3162,5.13491,5.26754
3165,5.13193,5.26447
3168,5.12891,5.26138
3171,5.12586,5.25825
3174,5.12277,5.25508
3177,5.11965,5.25188
3180,5.11649,5.24864
3183,5.11329,5.24536
3186,5.11006,5.24204
3189,5.10678,5.23868
3192,5.10347,5.23529
3195,5.10013,5.23185
3198,5.09674,5.22838
3201,5.09331,5.22486
3204,5.08984,5.22131
3207,5.08634,5.21771
3210,5.0828,5.21408
3213,5.07921,5.2104
3216,5.07559,5.20669
3219,5.07193,5.20293
3222,5.06823,5.19913
3225,5.06449,5.1953
3228,5.06072,5.19143
3231,5.0569,5.18751
3234,5.05305,5.18356
3237,5.04916,5.17957
3240,5.04524,5.17555
3243,5.04127,5.17148
3246,5.03727,5.16738
3249,5.03324,5.16324
3252,5.02917,5.15906
3255,5.02506,5.15485
3258,5.02093,5.15061
3261,5.01675,5.14633
3264,5.01255,5.14201
3267,5.00831,5.13766
3270,5.00404,5.13328
3273,4.99974,5.12887
3276,4.9954,5.12443
3279,4.99104,5.11995
3282,4.98665,5.11544
3285,4.98223,5.11091
3288,4.97778,5.10634
3291,4.9733,5.10175
3294,4.9688,5.09713
3297,4.96426,5.09248
3300,4.95971,5.08781
3303,4.95513,5.08311
3306,4.95052,5.07839
3309,4.94589,5.07364
3312,4.94124,5.06887
3315,4.93657,5.06407
3318,4.93187,5.05926
3321,4.92716,5.05442
3324,4.92242,5.04956
3327,4.91767,5.04469
3330,4.9129,5.03979
3333,4.90811,5.03488
3336,4.9033,5.02994
3339,4.89848,5.025
3342,4.89364,5.02003
3345,4.88878,5.01505
3348,4.88391,5.01006
3351,4.87903,5.00505
3354,4.87414,5.00003
3357,4.86923,4.99499
3360,4.86431,4.98995
3363,4.85938,4.98489
3366,4.85445,4.97983
3369,4.8495,4.97475
3372,4.84454,4.96967
3375,4.83958,4.96458
3378,4.83461,4.95947
3381,4.82963,4.95437
3384,4.82464,4.94926
3387,4.81965,4.94414
3390,4.81466,4.93901
3393,4.80966,4.93389
3396,4.80466,4.92876
3399,4.79966,4.92362
3402,4.79465,4.91849
3405,4.78964,4.91335
3408,4.78463,4.90821
3411,4.77962,4.90307
3414,4.77461,4.89793
3417,4.76961,4.8928
3420,4.7646,4.88766
3423,4.75959,4.88253
3426,4.75459,4.8774
3429,4.74959,4.87227
3432,4.7446,4.86714
3435,4.7396,4.86202
3438,4.73462,4.8569
3441,4.72964,4.85179
3444,4.72466,4.84669
3447,4.71969,4.84159
3450,4.71472,4.8365
3453,4.70977,4.83141
3456,4.70482,4.82634
3459,4.69988,4.82127
3462,4.69494,4.81621
3465,4.69002,4.81115
3468,4.6851,4.80611
3471,4.6802,4.80108
3474,4.6753,4.79606
3477,4.67042,4.79105
3480,4.66554,4.78605
3483,4.66068,4.78106
3486,4.65583,4.77608
3489,4.65099,4.77112
3492,4.64616,4.76617
3495,4.64135,4.76123
3498,4.63655,4.7563
3501,4.63176,4.75139
3504,4.62699,4.74649
3507,4.62223,4.74161
3510,4.61748,4.73674
3513,4.61275,4.73189
3516,4.60803,4.72705
3519,4.60333,4.72223
3522,4.59864,4.71742
3525,4.59397,4.71263
3528,4.58932,4.70785
3531,4.58468,4.70309
3534,4.58006,4.69835
3537,4.57545,4.69363
3540,4.57086,4.68892
3543,4.56629,4.68423
3546,4.56174,4.67956
3549,4.5572,4.6749
3552,4.55268,4.67027
3555,4.54818,4.66565
3558,4.54369,4.66105
3561,4.53923,4.65647
3564,4.53478,4.65191
3567,4.53035,4.64736
3570,4.52594,4.64284
3573,4.52155,4.63833
3576,4.51718,4.63385
3579,4.51282,4.62938
3582,4.50849,4.62494
3585,4.50417,4.62051
3588,4.49988,4.6161
3591,4.4956,4.61171
3594,4.49134,4.60735
3597,4.48711,4.603
3600,4.48289,4.59867
3603,4.47869,4.59437
3606,4.47451,4.59008
3609,4.47035,4.58581
3612,4.46621,4.58157
3615,4.46209,4.57734
3618,4.45799,4.57314
3621,4.45391,4.56895
3624,4.44986,4.56479
3627,4.44582,4.56064
3630,4.4418,4.55652
3633,4.4378,4.55242
3636,4.43382,4.54834
3639,4.42986,4.54428
3642,4.42592,4.54024
3645,4.422,4.53622
3648,4.41811,4.53222
3651,4.41423,4.52824
3654,4.41037,4.52428
