# YES:  Extinction Coefficients -- Results
#
# Quantities which were not computable
# are assigned a value of -99
#
#
# Reddening Law  = odonnell_94
# The law has been formulated to give R_V = 3.07 for Vega.
#
#
#Wavelength(A)   A_lambda/tau1  A_lambda/E(B-V)
#
 3000.000        5.34140        5.47936
 3003.000        5.33625        5.47408
 3006.000        5.33112        5.46882
 3009.000        5.32602        5.46358
 3012.000        5.32094        5.45837
 3015.000        5.31588        5.45318
 3018.000        5.31085        5.44802
 3021.000        5.30584        5.44288
 3024.000        5.30085        5.43776
 3027.000        5.29588        5.43267
 3030.000        5.29094        5.42760
 3033.000        5.26095        5.39683
 3036.000        5.25692        5.39270
 3039.000        5.25303        5.38871
 3042.000        5.24927        5.38485
 3045.000        5.24562        5.38110
 3048.000        5.24207        5.37747
 3051.000        5.23863        5.37394
 3054.000        5.23529        5.37051
 3057.000        5.23203        5.36716
 3060.000        5.22885        5.36390
 3063.000        5.22574        5.36071
 3066.000        5.22270        5.35759
 3069.000        5.21972        5.35454
 3072.000        5.21680        5.35154
 3075.000        5.21392        5.34859
 3078.000        5.21109        5.34569
 3081.000        5.20831        5.34283
 3084.000        5.20555        5.34000
 3087.000        5.20283        5.33721
 3090.000        5.20013        5.33445
 3093.000        5.19746        5.33170
 3096.000        5.19480        5.32898
 3099.000        5.19216        5.32627
 3102.000        5.18953        5.32357
 3105.000        5.18690        5.32087
 3108.000        5.18428        5.31819
 3111.000        5.18166        5.31550
 3114.000        5.17904        5.31281
 3117.000        5.17642        5.31011
 3120.000        5.17378        5.30741
 3123.000        5.17114        5.30470
 3126.000        5.16848        5.30197
 3129.000        5.16581        5.29923
 3132.000        5.16312        5.29647
 3135.000        5.16041        5.29369
 3138.000        5.15768        5.29089
 3141.000        5.15493        5.28807
 3144.000        5.15215        5.28522
 3147.000        5.14935        5.28235
 3150.000        5.14652        5.27945
 3153.000        5.14366        5.27652
 3156.000        5.14078        5.27355
 3159.000        5.13786        5.27056
 3162.000        5.13491        5.26754
 3165.000        5.13193        5.26447
 3168.000        5.12891        5.26138
 3171.000        5.12586        5.25825
 3174.000        5.12277        5.25508
 3177.000        5.11965        5.25188
 3180.000        5.11649        5.24864
 3183.000        5.11329        5.24536
 3186.000        5.11006        5.24204
 3189.000        5.10678        5.23868
 3192.000        5.10347        5.23529
 3195.000        5.10013        5.23185
 3198.000        5.09674        5.22838
 3201.000        5.09331        5.22486
 3204.000        5.08984        5.22131
 3207.000        5.08634        5.21771
 3210.000        5.08280        5.21408
 3213.000        5.07921        5.21040
 3216.000        5.07559        5.20669
 3219.000        5.07193        5.20293
 3222.000        5.06823        5.19913
 3225.000        5.06449        5.19530
 3228.000        5.06072        5.19143
 3231.000        5.05690        5.18751
 3234.000        5.05305        5.18356
 3237.000        5.04916        5.17957
 3240.000        5.04524        5.17555
 3243.000        5.04127        5.17148
 3246.000        5.03727        5.16738
 3249.000        5.03324        5.16324
 3252.000        5.02917        5.15906
 3255.000        5.02506        5.15485
 3258.000        5.02093        5.15061
 3261.000        5.01675        5.14633
 3264.000        5.01255        5.14201
 3267.000        5.00831        5.13766
 3270.000        5.00404        5.13328
 3273.000        4.99974        5.12887
 3276.000        4.99540        5.12443
 3279.000        4.99104        5.11995
 3282.000        4.98665        5.11544
 3285.000        4.98223        5.11091
 3288.000        4.97778        5.10634
 3291.000        4.97330        5.10175
 3294.000        4.96880        5.09713
 3297.000        4.96426        5.09248
 3300.000        4.95971        5.08781
 3303.000        4.95513        5.08311
 3306.000        4.95052        5.07839
 3309.000        4.94589        5.07364
 3312.000        4.94124        5.06887
 3315.000        4.93657        5.06407
 3318.000        4.93187        5.05926
 3321.000        4.92716        5.05442
 3324.000        4.92242        5.04956
 3327.000        4.91767        5.04469
 3330.000        4.91290        5.03979
 3333.000        4.90811        5.03488
 3336.000        4.90330        5.02994
 3339.000        4.89848        5.02500
 3342.000        4.89364        5.02003
 3345.000        4.88878        5.01505
 3348.000        4.88391        5.01006
 3351.000        4.87903        5.00505
 3354.000        4.87414        5.00003
 3357.000        4.86923        4.99499
 3360.000        4.86431        4.98995
 3363.000        4.85938        4.98489
 3366.000        4.85445        4.97983
 3369.000        4.84950        4.97475
 3372.000        4.84454        4.96967
 3375.000        4.83958        4.96458
 3378.000        4.83461        4.95947
 3381.000        4.82963        4.95437
 3384.000        4.82464        4.94926
 3387.000        4.81965        4.94414
 3390.000        4.81466        4.93901
 3393.000        4.80966        4.93389
 3396.000        4.80466        4.92876
 3399.000        4.79966        4.92362
 3402.000        4.79465        4.91849
 3405.000        4.78964        4.91335
 3408.000        4.78463        4.90821
 3411.000        4.77962        4.90307
 3414.000        4.77461        4.89793
 3417.000        4.76961        4.89280
 3420.000        4.76460        4.88766
 3423.000        4.75959        4.88253
 3426.000        4.75459        4.87740
 3429.000        4.74959        4.87227
 3432.000        4.74460        4.86714
 3435.000        4.73960        4.86202
 3438.000        4.73462        4.85690
