name,radeg,dedeg,h,m,s
rf0001,0.013432752,-1.1128886,0.0,0.0,3.223860480000001
rs0081,142.94449,1.0568086,9.0,31.0,46.6776000000047
rs1038,201.14852,1.5768742,13.0,24.0,35.644800000008416
rs1105,203.76899,3.6607434,13.0,35.0,4.557600000012485
rs1172,205.14099,4.8202809,13.0,40.0,33.837600000008194
ECO00220,206.719,15.9693,13.0,46.0,52.56000000000839
ECO00336,140.58700000000002,28.5728,9.0,22.0,20.880000000010597
ECO00362,194.557,33.1807,12.0,58.0,13.680000000006913
ECO00419,197.696,48.4236,13.0,10.0,47.04000000001187
ECO00427,130.987,1.5842,8.0,43.0,56.880000000002156
ECO00429,162.19899999999996,-0.3459,10.0,48.0,47.7599999999957
ECO00456,137.721,31.4293,9.0,10.0,53.040000000006415
ECO00488,182.635,44.6011,12.0,10.0,32.40000000000549
ECO00585,174.68900000000005,20.1399,11.0,38.0,45.36000000002048
ECO00758,211.365,12.2318,14.0,5.0,27.600000000010283
ECO00920,139.957,4.4853,9.0,19.0,49.68000000000487
ECO00935,172.415,17.93,11.0,29.0,39.60000000000704
ECO01321,175.71200000000005,8.8528,11.0,42.0,50.88000000001742
ECO01563,202.776,32.315,13.0,31.0,6.240000000011889
ECO01607,211.868,7.7106,14.0,7.0,28.32000000000818
ECO01674,165.199,21.5909,11.0,0.0,47.760000000012326
ECO01709,172.983,23.9904,11.0,31.0,55.920000000011214
ECO01913,194.645,24.3935,12.0,58.0,34.80000000001098
ECO01997,204.562,18.4111,13.0,38.0,14.880000000012643
ECO02074,233.787,28.6999,15.0,35.0,8.880000000015542
ECO02293,172.623,22.3956,11.0,30.0,29.52000000000794
ECO02457,172.642,24.2195,11.0,30.0,34.08000000000584
ECO02763,159.27700000000004,16.5033,10.0,37.0,6.480000000018578
ECO02833,178.326,20.1074,11.0,53.0,18.240000000009076
ECO02876,172.231,20.6246,11.0,28.0,55.44000000000551
ECO02962,175.585,16.0108,11.0,42.0,20.400000000009584
ECO05136,177.378,12.677,11.0,49.0,30.72000000000216
ECO05165,210.63,13.8301,14.0,2.0,31.20000000000573
ECO05217,135.526,23.3871,9.0,2.0,6.240000000008479
ECO05659,171.91299999999995,23.7577,11.0,27.0,39.11999999999793
ECO05918,183.5,32.3163,12.0,14.0,9.805489753489383e-12
ECO06292,201.21400000000003,36.2756,13.0,24.0,51.360000000018005
ECO06590,233.751,46.8145,15.0,35.0,0.2400000000100988
ECO06613,142.13299999999995,34.3889,9.0,28.0,31.91999999999851
ECO06654,191.013,29.9161,12.0,44.0,3.1200000000110606
ECO07019,232.788,45.0334,15.0,31.0,9.120000000011572
ECO07794,151.19799999999995,8.356,10.0,4.0,47.51999999999711
ECO07987,130.89600000000002,13.063,8.0,43.0,35.040000000012554
ECO08617,162.09799999999996,26.4128,10.0,48.0,23.51999999999677
ECO09268,203.939,35.1279,13.0,35.0,45.36000000000513
ECO09618,156.4,41.0457,10.0,25.0,36.00000000000989
ECO09726,216.62,43.471,14.0,26.0,28.80000000001047
ECO09746,233.639,43.637,15.0,34.0,33.36000000001306
ECO09938,156.334,48.802,10.0,25.0,20.160000000008438
ECO09961,193.753,34.8815,12.0,55.0,0.7200000000025852
ECO10136,194.46,28.1704,12.0,57.0,50.40000000000788
ECO10147,152.681,-0.6377,10.0,10.0,43.44000000000747
ECO10317,163.554,49.2228,10.0,54.0,12.960000000009444
ECO10362,237.385,44.1995,15.0,49.0,32.40000000000677
ECO10862,209.1,11.393,13.0,56.0,24.000000000011
ECO10988,148.33,24.7738,9.0,53.0,19.20000000000897
ECO11818,169.285,42.47,11.0,17.0,8.40000000000984
ECO11998,232.404,5.9727,15.0,29.0,36.96000000000893
ECO12145,181.594,31.9414,12.0,6.0,22.56000000000583
ECO12507,223.897,18.2845,14.0,55.0,35.280000000005174
ECO12524,180.855,22.2027,12.0,3.0,25.200000000007776
ECO12606,195.832,19.2919,13.0,3.0,19.680000000009983
