name,econame,mw3w,mw4w,sfr_nuv,sfr_nuv_wisew,sfr_nuv_err,sfr_nuv_wisew_err
"ECOaddrs0004","ECO13603",0.00000,0.00000,-NaN,-NaN,-NaN,-NaN
"ECOaddrs0024","ECO13605",0.00000,0.00000,-NaN,-NaN,-NaN,-NaN
"ECOaddrs0026","ECO13606",0.00000,0.00000,-NaN,-NaN,-NaN,-NaN
"ECOaddrs0028","ECO13607",0.00000,0.00000,-NaN,-NaN,-NaN,-NaN
"ECOaddrs0037","ECO13608",0.00000,0.00000,-NaN,-NaN,-NaN,-NaN
"ECOaddrs0058","ECO13609",0.00000,0.00000,-NaN,-NaN,-NaN,-NaN
"ECOaddrs0079","ECO13780",0.00000,0.00000,-NaN,-NaN,-NaN,-NaN
"ECOaddrs0161","ECO13610",0.00000,0.00000,-NaN,-NaN,-NaN,-NaN
"ECOaddrs0164","ECO13611",0.00000,0.00000,-NaN,-NaN,-NaN,-NaN
"ECOaddrs0207","ECO13612",0.00000,0.00000,-NaN,-NaN,-NaN,-NaN
"ECOaddrs0217","ECO13613",0.00000,0.00000,-NaN,-NaN,-NaN,-NaN
"ECOaddrs0223","ECO13614",0.00000,0.00000,-NaN,-NaN,-NaN,-NaN
"ECOaddrs0230","ECO13615",0.00000,0.00000,-NaN,-NaN,-NaN,-NaN
"ECOaddrs0233","ECO13616",0.00000,0.00000,-NaN,-NaN,-NaN,-NaN
"ECOaddrs0235","ECO13617",0.00000,0.00000,-NaN,-NaN,-NaN,-NaN
"ECOaddrs0238","ECO13618",0.00000,0.00000,-NaN,-NaN,-NaN,-NaN
"ECOaddrs0245","ECO13781",0.00000,0.00000,-NaN,-NaN,-NaN,-NaN
"ECOaddrs0248","ECO13619",0.00000,0.00000,-NaN,-NaN,-NaN,-NaN
"ECOaddrs0252","ECO13620",0.00000,0.00000,-NaN,-NaN,-NaN,-NaN
"ECOaddrs0265","ECO13621",0.00000,0.00000,-NaN,-NaN,-NaN,-NaN
