#x,wavelength,Al/Av,unc,Al/E(B-V)
0.455,21978.02198,0.0157582,0.00281317,0.043177468
0.606,16501.65017,0.169169,0.0204193,0.46352306
0.8,12500,0.131461,0.0130061,0.36020314
1.235,8097.165992,0.567384,0.0484715,1.55463216
1.538,6501.950585,0.801482,0.113406,2.19606068
1.818,5500.550055,1,0.0459127,2.74
2.273,4399.472063,1.37433,0.126649,3.7656642
2.703,3699.593045,1.67192,0.122901,4.5810608
3.225,3100.775194,1.98566,0.216678,5.4407084
3.275,3053.435115,1.97996,0.213605,5.4250904
3.325,3007.518797,1.93747,0.214472,5.3086678
3.375,2962.962963,1.95827,0.212803,5.3656598
3.425,2919.708029,2.0354,0.209233,5.576996
3.475,2877.697842,2.08973,0.207451,5.7258602
3.525,2836.879433,2.11722,0.207936,5.8011828
3.575,2797.202797,2.13025,0.209746,5.836885
3.625,2758.62069,2.29628,0.205833,6.2918072
3.675,2721.088435,2.24463,0.205712,6.1502862
3.725,2684.563758,2.31342,0.207572,6.3387708
3.775,2649.006623,2.35427,0.205865,6.4506998
3.825,2614.379085,2.37483,0.20578,6.5070342
3.875,2580.645161,2.45559,0.206481,6.7283166
3.925,2547.770701,2.41574,0.208145,6.6191276
3.975,2515.72327,2.54077,0.208696,6.9617098
4.025,2484.47205,2.55236,0.210802,6.9934664
4.075,2453.98773,2.58676,0.209466,7.0877224
4.125,2424.242424,2.6653,0.210781,7.302922
4.175,2395.209581,2.69859,0.212836,7.3941366
4.225,2366.863905,2.79996,0.214438,7.6718904
4.275,2339.181287,2.77218,0.215891,7.5957732
4.325,2312.138728,2.92686,0.220092,8.0195964
4.375,2285.714286,2.9162,0.21918,7.990388
4.425,2259.887006,3.00383,0.222487,8.2304942
4.475,2234.636872,3.11414,0.226591,8.5327436
4.525,2209.944751,3.05216,0.226011,8.3629184
4.575,2185.79235,3.19368,0.230217,8.7506832
4.625,2162.162162,3.16892,0.229009,8.6828408
4.675,2139.037433,3.21606,0.229457,8.8120044
4.725,2116.402116,3.17609,0.228427,8.7024866
4.775,2094.240838,3.25768,0.231149,8.9260432
4.825,2072.53886,3.13054,0.227395,8.5776796
4.875,2051.282051,3.33916,0.235174,9.1492984
4.925,2030.456853,3.40637,0.238001,9.3334538
4.975,2010.050251,3.33193,0.236556,9.1294882
5.025,1990.049751,3.49466,0.242387,9.5753684
5.075,1970.44335,3.44269,0.232262,9.4329706
5.125,1951.219512,3.48064,0.232694,9.5369536
