	#x	Wavelength	A_lambda/E(B-V)
0	3.333333333	3000	5.376226511
1	3.33000333	3003	5.368465275
2	3.326679973	3006	5.360721083
3	3.323363244	3009	5.352993865
4	3.320053121	3012	5.345283554
5	3.316749585	3015	5.337590081
6	3.313452618	3018	5.329913379
7	3.310162198	3021	5.322253382
8	3.306878307	3024	5.314610024
9	3.303600925	3027	5.306983238
10	3.300330033	3030	5.29937296
11	3.297065612	3033	5.490049927
12	3.293807642	3036	5.483833539
13	3.290556104	3039	5.477629424
14	3.28731098	3042	5.471437546
15	3.28407225	3045	5.465257869
16	3.280839895	3048	5.459090356
17	3.277613897	3051	5.452934972
18	3.274394237	3054	5.446791681
19	3.271180896	3057	5.440660448
20	3.267973856	3060	5.434541237
21	3.264773098	3063	5.428434012
22	3.261578604	3066	5.422338739
23	3.258390355	3069	5.416255383
24	3.255208333	3072	5.410183908
25	3.25203252	3075	5.40412428
26	3.248862898	3078	5.398076464
27	3.245699448	3081	5.392040425
28	3.242542153	3084	5.38601613
29	3.239390994	3087	5.380003544
30	3.236245955	3090	5.374002633
31	3.233107016	3093	5.368013363
32	3.22997416	3096	5.362035699
33	3.22684737	3099	5.35606961
34	3.223726628	3102	5.35011506
35	3.220611916	3105	5.344172016
36	3.217503218	3108	5.338240446
37	3.214400514	3111	5.332320315
38	3.211303789	3114	5.326411591
39	3.208213025	3117	5.320514242
40	3.205128205	3120	5.314628233
41	3.202049312	3123	5.308753532
42	3.198976328	3126	5.302890107
43	3.195909236	3129	5.297037926
44	3.19284802	3132	5.291196956
45	3.189792663	3135	5.285367165
46	3.186743149	3138	5.27954852
47	3.183699459	3141	5.273740991
48	3.180661578	3144	5.267944544
49	3.177629488	3147	5.262159149
50	3.174603175	3150	5.256384773
51	3.17158262	3153	5.250621386
52	3.168567807	3156	5.244868956
53	3.165558721	3159	5.239127452
54	3.162555345	3162	5.233396843
55	3.159557662	3165	5.227677097
56	3.156565657	3168	5.221968184
57	3.153579313	3171	5.216270073
58	3.150598614	3174	5.210582734
59	3.147623544	3177	5.204906135
60	3.144654088	3180	5.199240247
61	3.141690229	3183	5.19358504
62	3.138731952	3186	5.187940482
63	3.135779241	3189	5.182306545
64	3.13283208	3192	5.176683198
65	3.129890454	3195	5.171070411
66	3.126954346	3198	5.165468154
67	3.124023743	3201	5.159876399
68	3.121098627	3204	5.154295115
69	3.118178983	3207	5.148724273
70	3.115264798	3210	5.143163843
71	3.112356054	3213	5.137613798
72	3.109452736	3216	5.132074107
73	3.106554831	3219	5.126544741
74	3.103662322	3222	5.121025673
75	3.100775194	3225	5.115516872
76	3.097893432	3228	5.110018311
77	3.095017023	3231	5.104529961
78	3.092145949	3234	5.099051793
79	3.089280198	3237	5.093583779
80	3.086419753	3240	5.088125891
81	3.083564601	3243	5.082678101
82	3.080714726	3246	5.077240381
83	3.077870114	3249	5.071812703
84	3.07503075	3252	5.066395039
85	3.072196621	3255	5.060987362
86	3.06936771	3258	5.055589643
87	3.066544005	3261	5.050201856
88	3.06372549	3264	5.044823973
89	3.060912152	3267	5.039455967
90	3.058103976	3270	5.03409781
91	3.055300947	3273	5.028749475
92	3.052503053	3276	5.023410937
93	3.049710278	3279	5.018082166
94	3.046922608	3282	5.012763138
95	3.04414003	3285	5.007453824
96	3.04136253	3288	5.0021542
97	3.038590094	3291	4.996864237
98	3.035822708	3294	4.99158391
99	3.033060358	3297	4.986313192
100	3.03030303	3300	4.981052057
101	3.027550711	3303	4.975800479
102	3.024803388	3306	4.970558433
103	3.022061046	3309	4.965325891
104	3.019323671	3312	4.960102829
105	3.016591252	3315	4.95488922
106	3.013863773	3318	4.949685039
107	3.011141223	3321	4.94449026
