name,name,name.1,name.1.1,exth,modelg_r,extj,extk,e_uhmag,exti,ukmag,extg,2kmag,nuvmag,extz,dedeg,e_zmag,e_ukmag,e_uymag,extu,radeg,extr,e_2kmag,2jmag,r50,gmag,uymag,rmag,modelg_i,modelg_j,dgr,2hmag,imag,b_a,extnuv,r90,e_2hmag,e_imag,modelu_j,modelu_k,modelu_i,modelu_r,logmstar,e_uvm2mag,grpcz,uvm2mag,e_rmag,absrmag,modelg_k,zmag,extuvm2,exty,e_umag,cz,e_nuvmag,e_2jmag,e_gmag,uhmag,umag,fl_insample,sdss_dr10_objid,flux_ratio_2c,r50_deconv1,sdss_dr12_specid,b_a_deconv1,dist2d_nn2,dist2d_nn3,dist2d_nn1,f_b,f_a,r50_deconv2c,r50_deconv2e,sdss_dr7_objid,b_a_innerdisk,sdss_dr7_specid,b_a_deconv2e,sdss_dr10_specid,b_a_deconv2c,sdss_dr12_objid,vdisp,logmstar_84,vrot,sfr_nuv,mu_delta,logmgas,sfr_nuv_wise,logmstar_16,ccr_star,ccr_bary,econame,ccr_lum,morph,morphel,mhi,ehiasym,ew20,emhi_corr_sys,w20,eb_a_innerdisk,ew50,eb_a,peaksnhi,confused,limflag,mhi_corr,hitelescope,emhi,emhi_corr_rand,w50,hiasym,grpn,grprproj_stack,grpabsrmag,logmh_dyn,grpsig,logmh_s,fc,logmh,ccr,grprproj,grpnassoc,grpmb,grp,grpms,logmh_dyn_stack,grpsig_stack,logmh_dyn_smooth,meanfsmgr,meanfsmgre15,logmstare15,kin_slit_flag,kin_done_hi,kin_done_blue,kin_done_red,kin_blue_code,kin_ifu_flag,kin_red_code,modelg_jcorr,modelu_icorr,modelu_jcorr,modelg_kcorr,absrmagcorr,modelu_kcorr,modelg_rcorr,modelu_rcorr,modelg_icorr,fuvmag,extfuv,e_fuvmag,centralout,logmbary_pc,NAME,oii_3726_flux,oii_3726_flux_err,oii_3729_flux,oii_3729_flux_err,neiii_3869_flux,neiii_3869_flux_err,h_delta_flux,h_delta_flux_err,h_gamma_flux,h_gamma_flux_err,oiii_4363_flux,oiii_4363_flux_err,h_beta_flux,h_beta_flux_err,oiii_4959_flux,oiii_4959_flux_err,oiii_5007_flux,oiii_5007_flux_err,hei_5876_flux,hei_5876_flux_err,oi_6300_flux,oi_6300_flux_err,nii_6548_flux,nii_6548_flux_err,h_alpha_flux,h_alpha_flux_err,nii_6584_flux,nii_6584_flux_err,sii_6717_flux,sii_6717_flux_err,sii_6731_flux,sii_6731_flux_err,ariii7135_flux,ariii7135_flux_err,oii_flux,oii_flux_err,oiii_flux,oiii_flux_err,Flux_HeII_3203,Flux_HeII_3203_Err,Flux_OII_3726,Flux_OII_3726_Err,Flux_OII_3728,Flux_OII_3728_Err,Flux_NeIII_3868,Flux_NeIII_3868_Err,Flux_Hd_4101,Flux_Hd_4101_Err,Flux_Hg_4340,Flux_Hg_4340_Err,Flux_OIII_4363,Flux_OIII_4363_Err,Flux_HeII_4685,Flux_HeII_4685_Err,Flux_ArIV_4711,Flux_ArIV_4711_Err,Flux_Hb_4861,Flux_Hb_4861_Err,Flux_OIII_4958,Flux_OIII_4958_Err,Flux_OIII_5006,Flux_OIII_5006_Err,Flux_HeI_5875,Flux_HeI_5875_Err,Flux_OI_6300,Flux_OI_6300_Err,Flux_NII_6547,Flux_NII_6547_Err,Flux_Ha_6562,Flux_Ha_6562_Err,Flux_NII_6583,Flux_NII_6583_Err,Flux_SII_6716,Flux_SII_6716_Err,Flux_SII_6730,Flux_SII_6730_Err
rf0003,rf0003,rf0003,rf0003,0.01,0.564297,0.02,0.01,0.07,0.05,14.5,0.1,14.35,20.14,0.04,0.81264576,0.03,0.1,0.15,0.13,2.3154592000000003,0.07,0.09,15.33,1.73,17.72,15.8,17.07,0.862358,2.18539,0.1,14.72,16.78,0.94,0.23,4.04,0.11,0.02,3.35164,4.26632,2.0286,1.7305400000000002,8.99,-99.0,5962.9,-99.0,0.02,-17.65,3.10007,16.51,0.24,0.03,0.03,5962.9,0.05,0.11,0.02,14.69,18.89,1,1237657191979942081,0.397842,3.6088,437006149221378048,0.8382,2.1082,2.9802,2.1008,1,0,4.1573,4.1573,587731187278676021,0.937061,109434742599843840,0.7438,437006149221378048,0.9113,1237657191979942081,37.3,9.11,0.0,0.17028312,9.2712,8.9553,0.20541350000000005,8.89,-99.0,-99.0,notineco,-99.0,-3.0,E,644431000.0,0.0753734,0.0,0.0,232.052,0.0153339,9.4827,0.0151,4.99188,0,0,0.0,AO,50059500.0,0.0,197.281,-0.0523067,1.0,0.0,-17.6492,0.0,0.0,11.1059,1,10.9459,1.0,0.0,1.0,9.2705,5.0,8.9895,0.0,0.0,0.0,0.124266,0.124254,8.99,0,?,0,1,0,1,1000,1.70243,1.3430000000000002,2.51988,2.52515,-18.0272,3.3426,0.327904,1.14536,0.5255489999999999,20.6576,0.207,0.0716,0,9.265,rf0003,0.0,-0.7232295999999999,0.0,-0.7232295999999999,10.95263,4.377417,63.79315,3.511187,117.8899,3.785457,-1.837929,2.772032,380.6998,12.36414,35.20264,2.792937,175.9749,7.650274,27.58412,2.449052,23.12675,4.312615,153.2608,3.594708,1450.822,28.0622,450.7671,10.57267,235.5519,7.211019,169.1289,5.873139,16.905379999999994,3.892254,0.0,1.022801,120.5722,3.728427,0.0,0.0,25.581319553317847,21.806023886447072,199.5915551001452,73.37276306313068,18.926442247633492,8.861009038309883,71.66236146875225,5.96203840975274,135.65284520710824,6.966346821889728,0.0,0.0,2.88709722340363,11.882971660977342,4.918571568800623,9.298647552677577,300.4072231250632,9.75644579726472,48.49114958668356,2.108087941247236,138.39279192581677,6.016441991769769,28.12776795725663,3.640994955666751,17.80429765560846,3.320098203770174,117.68800060530606,2.760353575603798,1113.9098747839182,21.54555258202679,346.01676952054777,8.115767806938017,180.57601734984493,5.5280262738447945,129.63644565327272,4.5017313113703015
rf0010,rf0010,rf0010,rf0010,0.02,0.207138,0.03,0.01,0.21,0.06,-99.0,0.11,14.24,18.16,0.04,0.32956582,0.05,-99.0,0.17,0.14,4.4761793,0.08,0.25,15.6,3.99,16.94,15.81,16.64,0.33857,1.41735,-0.1,-99.0,16.48,0.9,0.25,8.03,-99.0,0.06,2.17996,2.95417,1.10119,0.969757,8.49,-99.0,5498.7,-99.0,0.05,-17.89,2.19155,16.39,0.26,0.03,0.03,5446.7,0.04,0.13,0.02,15.09,17.77,1,1237657191444054061,0.482347,7.2847,439197202812790784,0.8765,0.21763,0.25367,0.010076,1,0,9.0327,9.0327,587731186742722714,0.898,109997790402183168,0.6994,439197202812790784,0.5487,1237657191444054061,0.0,8.65,0.0,0.38628188,7.9733100000000015,9.20911,0.39787126,8.39,-99.0,-99.0,notineco,-99.0,3.5,L,2943410000.0,0.0592835,0.0,428579000.0,0.0,0.0319327,4.10406,0.0,6.710089999999999,1,0,971197000.0,ALFALFA,128595000.0,230463000.0,166.30700000000004,0.16283,2.0,0.0980115,-20.1329,0.0,129.685,11.3059,0,11.5089,1.0,0.11128,3.0,9.9155,10.0,9.4945,0.0,69.1947,11.6928,2.63826,2.63825,8.49,1,0,0,1,0,0,1000000,1.06095,0.7504460000000001,1.68337,1.74311,-18.1978,2.36553,0.0759296,0.698351,0.128025,18.8177,0.2246,0.0449,0,9.285,rf0010,0.0,-0.8298643,0.0,-0.8298643,16.4084,2.937794,14.47851,2.286906,34.15779000000001,2.282962,3.276123,1.960538,90.15039,5.224404,54.01668000000001,1.953617,192.9654,10.00503,6.307736,1.646618,11.87955,2.112629,11.99406,0.8020885999999999,314.8757,10.06774,35.27665,2.359084,59.6723,3.190661,39.11209,2.769864,5.796974,1.234219,0.0,1.173605,163.4013,2.566227,0.0,0.0,-9333.659435037842,0.0,0.0,0.0,19.810016781296042,6.865057541575276,18.93686814157285,3.917969942014561,40.09214331171541,4.381794857593906,2.0441498601331327,8.996808459554003,0.0,0.0,0.0,13.589346266243998,82.02475876099952,4.75350664339889,61.30355289563799,3.1785174392182474,174.94833570202908,9.07086631670171,6.493537464461365,3.845268088645507,10.530765667467442,1.8727646199810661,10.603639339916189,0.7091058601556353,278.3293807826114,8.89921908893042,31.175337632264295,2.0848136147528917,52.66148975007448,2.815794959260199,34.5114834299196,2.444055419670256
rf0013,rf0013,rf0013,rf0013,0.02,0.585669,0.02,0.01,0.03,0.05,12.13,0.1,12.08,18.8,0.04,0.59081703,0.03,0.2,0.03,0.14,4.9472732000000015,0.07,0.1,13.1,4.9,15.49,13.57,14.84,0.8886809999999999,2.20363,0.12,12.36,14.5,0.59,0.24,15.31,0.25,0.02,3.5947400000000003,4.51818,2.27979,1.97677,9.83,-99.0,5469.5,-99.0,0.03,-19.69,3.12708,14.27,0.25,0.03,0.05,5469.5,0.04,0.06,0.02,12.54,16.95,1,1237663277929922594,1.0,35.5653,439203799882557440,0.7251,0.2007,0.24476,0.11873,1,0,48.828,750.0,588015509808414749,0.56279,109997790498652160,0.0006,439203799882557440,0.7189,1237663277929922594,69.9951,9.95,0.0,0.40700406,9.48734,8.52463,0.56209935,9.65,-99.0,-99.0,notineco,-99.0,0.5,E,239056000.0,0.0,0.0,0.0,0.0,0.00566574,0.0,0.0485,0.0,0,1,0.0,AO,0.0,0.0,0.0,0.0,1.0,0.0,-19.6936,0.0,0.0,11.4539,1,11.3889,1.0,0.0,1.0,9.8205,11.0,9.8065,0.0,0.0,0.0,0.215934,0.337294,9.79,1,0,1,0,10002,0,0,1.7027,1.71575,2.85508,2.51989,-20.1413,3.67227,0.368607,1.52099,0.563368,19.4874,0.2134,0.0721,0,9.845,rf0013,0.0,-0.7255183000000001,0.0,-0.7255183000000001,324.2892,5.808721,110.0821,3.757731,208.1254,3.904851,33.26093,4.025331,523.5385,19.23703,781.9736,6.6352,2789.087,43.63759,55.21059,3.213437,104.5875,12.13443,467.5607,10.50479,1726.4820000000002,36.96966,1375.178,30.89644,489.92800000000005,16.73975,375.1976,15.20619,63.65598000000001,3.5022550000000003,0.0,1.026038,2410.961,12.24955,0.0,0.0,0.0,0.0,1.6289959634550112e+19,65321927688792.99,315.89072038234207,17.15548538249402,107.81279876305057,13.044817060832601,196.50124617271385,10.906220860515425,26.400944996825103,11.592840216028543,85.60938369851196,12.42647564491713,9.700466627686017,8.666918899186896,414.2172965700282,15.22010427243943,770.6042714137657,12.056748044020413,2199.3037497722144,34.40993963903689,50.6744118200948,7.5490694014391035,80.7428884509118,9.367935249483903,360.04750922843135,8.089267285440657,1329.287955795356,28.46442868668734,1058.5843650103052,23.783458082138452,376.6436659872295,12.869076288168312,288.3996075292187,11.6883989343608
rf0015,rf0015,rf0015,rf0015,0.01,0.7293850000000001,0.02,0.01,0.11,0.05,10.97,0.09,10.76,18.42,0.04,0.82660918,0.02,0.22,0.04,0.13,5.1077407,0.07,0.13,11.72,14.64,14.58,12.41,13.79,1.08344,2.57598,-0.06,11.06,13.38,0.6,0.23,31.75,0.11,0.02,4.16926,5.11951,2.67672,2.32267,10.45,-99.0,5293.5,-99.0,0.02,-20.64,3.5262300000000004,13.11,0.23,0.03,0.12,5232.0,0.02,0.04,0.02,11.31,16.21,1,1237657191981187126,0.753899,279.346,439212870853486592,0.3208,0.058351,0.1922,0.013652,1,0,129.839,129.839,587731187279921175,0.3429,109997790658035712,0.3893,439212870853486592,0.3497,1237657191981187126,86.1079,10.53,0.0,0.45081069,8.81633,8.910960000000003,0.45081069,10.33,-99.0,-99.0,notineco,-99.0,1.0,L,581881000.0,0.0,0.0,0.0,0.0,-99.0,0.0,0.0722,0.0,0,1,0.0,ALFALFA,0.0,0.0,0.0,0.0,2.0,0.0975351,-20.7069,0.0,109.006,11.8409,1,11.7379,1.0,0.0296522,2.0,10.3885,13.0,10.3745,0.0,72.9255,11.7915,0.0580374,0.300877,10.35,1,0,1,0,10000,0,0,2.20004,2.18626,3.55398,3.08588,-20.9607,4.43981,0.556608,1.91054,0.8323309999999999,19.3689,0.2005,0.0794,0,10.475,rf0015,0.0,-0.7019944,0.0,-0.7019944,14.24375,3.797626,106.4367,3.366814,206.2545,3.58998,6.3417309999999985,3.3116830000000004,1578.499,24.4239,36.66936,3.061825,269.4342,19.03566,47.01361,2.867378,99.30798,12.65676,773.9133,9.84805,6054.917,53.0397,2276.216,28.96485,729.9424,20.83143,561.1621,18.07551,1.30664,3.05324,0.0,0.99277,84.73048,3.836525,0.0,0.0,2.7696776247663762e+23,5.6719876991694515e+17,0.0,0.0,46.9687930964836,9.539635570212273,347.9954923447138,17.599310102465523,585.7703753601731,17.555050014824783,0.0,0.0,0.0,0.0,0.0,0.0,1203.547905308169,18.622332788589787,71.74751354413405,5.068997230147946,204.77781639823834,14.467654397620235,111.05716995582873,16.206259128698363,73.96775382715947,9.427158904344232,575.0413309619064,7.317403356912721,4498.349085186975,39.4045180096757,1690.7218813216439,21.51443697970633,541.5087755176968,15.453825057405371,416.24056745248294,13.407463795921053
rf0022,rf0022,rf0022,rf0022,0.01,0.6811520000000001,0.02,0.01,0.17,0.05,14.16,0.09,14.22,21.7,0.03,0.5576055999999999,0.02,0.14,0.19,0.12,5.4409059,0.06,0.16,15.22,3.15,17.42,15.38,16.71,0.996334,2.23678,-0.02,13.99,16.37,0.65,0.21,6.83,0.4,0.02,3.64923,4.4652699999999985,2.40878,2.0936,9.21,-99.0,5477.1,-99.0,0.03,-17.82,3.05283,16.11,0.22,0.03,0.06,5477.1,0.1,0.11,0.02,14.26,18.94,1,1237663716016717961,0.0637159,6.9715,439228813772089344,0.5812,0.43891,0.44874,0.4317,1,0,5.2807,7.2926,588015509808611444,0.8654700000000001,109997790918082560,0.564,439228813772089344,0.5053,1237663716016717961,28.9,9.29,0.0,0.010962085,8.94977,7.8519,0.018385693,9.11,-99.0,-99.0,notineco,-99.0,-1.0,E,50789300.0,0.0,0.0,0.0,0.0,-99.0,0.0,0.0041,0.0,0,1,0.0,AO,0.0,0.0,0.0,0.0,1.0,0.0,-17.8198,0.0,0.0,11.1859,1,10.9799,1.0,0.0,1.0,9.2135,17.0,9.2005,0.0,0.0,0.0,0.0104684,0.0886285,9.19,0,0,1,0,10,1,0,2.14655,2.29393,3.50991,2.94745,-17.9175,4.3108,0.634008,1.99736,0.930571,23.5754,0.1857,0.4984,0,9.215,rf0022,0.0,-0.7947133000000001,0.0,-0.7947133000000001,19.35693,2.742918,11.78547,2.079278,16.40063,1.877191,1.822082,1.840632,110.6612,5.719388,31.55814,1.776101,186.8322,5.979667,8.069922,1.538082,35.89079,3.590183,57.7284,1.436617,304.1125,5.793122,169.7894,4.225343,93.66603,4.854228,67.70498,3.710835,6.402205,1.281235,0.0,1.123894,100.02,2.229257,0.0,0.0,220.61787427431787,945.4109884156334,0.0,0.0,28.780113654039315,8.717685152479438,28.637517788529642,6.801682213044442,39.3915080972327,6.1882630884839624,0.7318890030709007,39.77113149559087,9.366889289753233,160.56623796309347,5.869161723599066,8.420186358356803,94.96918784301428,4.90836565407823,56.00662499379776,1.792522355612522,159.86275095653212,5.116494996173002,13.95895774197547,3.224663601906495,30.138377221808444,3.014764778076044,48.3669099274375,1.2036488979293636,254.76257058698246,4.853041727794816,142.2105104703036,3.539020604007812,78.36088191247978,4.061040988758175,56.63452128934232,3.1040754137839874
rf0031,rf0031,rf0031,rf0031,0.01,0.680609,0.02,0.01,0.01,0.04,-99.0,0.07,11.2,18.27,0.03,-0.40728233,0.02,-99.0,0.02,0.1,7.800475599999999,0.05,0.05,12.1,7.48,14.89,12.68,14.13,1.01757,2.54219,-0.08,11.43,13.76,0.53,0.17,21.84,0.03,0.02,4.0124,4.99822,2.48778,2.15082,10.23,-99.0,5975.04,-99.0,0.02,-20.57,3.52801,13.48,0.18,0.02,0.03,5954.2,0.04,0.07,0.02,11.48,16.32,1,1237663783663960074,0.387672,39.9387,440244210780628992,0.521,0.89825,0.95727,0.23607,1,0,5.1975,35.0465,588015508735918114,0.549329,110279118154629120,0.5056,440244210780628992,0.5329,1237663783663960074,0.0,10.39,138.86700000000002,0.6932233,9.49346,9.67706,3.1636464,10.05,-99.0,-99.0,notineco,-99.0,-1.0,L,3395690000.0,0.08979730000000001,0.0,0.0,341.286,0.0211685,14.1053,0.0064,5.54269,0,0,0.0,GBT,261612000.0,0.0,289.6020000000001,-0.120042,2.0,0.121891,-20.6505,0.0,36.9554,11.7859,1,11.7169,1.0,0.119226,2.0,10.4015,24.0,10.3055,0.0,61.8247,11.6058,0.05834830000000001,0.0706967,10.29,1,0,0,1,0,0,1000000,2.23287,1.9989,3.43661,3.17188,-20.8061,4.37563,0.519482,1.72322,0.7951550000000001,19.2005,0.1517,3.1112,0,10.335,rf0031,0.0,-0.9597637,79600000.0,482000000.0,16.90771,11.45699,328.1007,10.23917,568.3627,11.4473,17.17025,8.734585000000001,4238.937,84.00846999999997,139.2152,9.297905,1293.385,49.88209000000001,194.2518,8.88833,280.9546,35.81948,2166.226,30.29303,16475.3,190.7189,6371.254,89.09714,2893.297,60.39052,2252.967,54.75894,101.9952,11.25667,0.0,1.3573110000000002,454.573,12.76612,0.0,0.0,26849.17256043995,2549.760121071236,4927.13447413539,289.4650316445245,511.9481522154269,299.827358321496,1422.7803846147585,70.37029607208726,1971.9354320457978,77.29110684419211,247.24865527400985,130.59408535477263,85.15401401151635,81.70569767183714,0.0,0.0,4331.451302743518,85.84194500248283,461.8117044547375,17.810728036185573,1318.4118393632834,50.84730225585179,513.1776762422232,42.1359896367145,282.0380014107612,35.95760507488658,2170.5903189030623,30.35406169450465,16506.711977954707,191.08252663395177,6382.4401414316935,89.25356967761125,2895.6362319640966,60.439345763380814,2254.5490306981787,54.797391661333585
rf0053,rf0053,rf0053,rf0053,0.01,0.351254,0.01,0.01,0.26,0.03,14.26,0.06,-99.0,19.45,0.02,-0.087803967,0.04,0.49,0.2,0.08,10.538529,0.05,-99.0,15.16,3.69,17.02,15.62,16.63,0.551767,1.7334200000000002,0.08,14.61,16.42,0.79,0.15,8.99,0.25,0.02,2.92698,3.78474,1.7453299999999998,1.54481,8.71,-99.0,5513.0,-99.0,0.03,-17.89,2.59118,16.23,0.16,0.02,0.12,5513.0,0.04,0.11,0.02,14.64,18.19,1,1237657190909804710,0.249121,8.2161,442553735156099072,0.6521,0.47903,0.50766,0.4407,1,0,5.7412,9.1506,587731186208538743,0.7985869999999999,110842120528461824,0.7247,442553735156099072,0.4408,1237657190909804710,0.0,8.89,45.5944,0.11953352,8.45996,9.28475,0.15213656,8.63,-99.0,-99.0,notineco,-99.0,-0.5,L,1376000000.0,0.12854200000000002,0.0,0.0,0.0,0.0441755,6.15485,0.0442,3.72409,0,0,0.0,ALFALFA,131745000.0,0.0,173.857,0.0957728,1.0,0.0,-17.8933,0.0,0.0,11.0049,1,10.9939,1.0,0.0,1.0,9.3955,40.0,8.7485,0.0,0.0,0.0,1.6461,1.23091,8.73,1,?,0,1,0,0,1000000,1.34199,1.3586,2.38194,2.10165,-18.2776,3.14161,0.205206,1.24516,0.318647,19.9415,0.1335,0.0943,0,9.385,rf0053,0.0,-0.7669092,0.0,-0.7669092,26.83496,4.175018,29.29693,2.925256,54.22688,2.8267830000000003,2.768348,2.5267,179.0825,12.7598,101.9451,2.926707,425.3943,22.70148,16.46687,1.989236,27.13466,3.19596,23.42116,1.4096799999999998,708.5621,30.72721,68.88576,4.146118,111.0095,5.545433,78.42801999999998,5.513178,12.86142,1.7188259999999995,0.0,1.084573,319.3739,4.833885,0.0,0.0,1.9201736442752784e+17,1499878125571.2473,0.0,0.0,32.590415249671885,10.044539975438145,35.445610102630766,7.758630825683504,61.17173820062347,7.775960580673987,4.837698803124209,13.462962516653842,0.0,0.0,0.0,0.0,145.29110473509184,10.352130655976016,120.61744985077218,6.436839227495886,344.37495616536484,18.377823068830274,17.40160957173707,3.5218745269040985,21.666544086107287,2.5519172982980236,18.670564641062846,1.1237497016891336,564.7872506046572,24.492329542677954,54.900672956625876,3.304379139572239,88.39736897254656,4.415853481130315,62.44663029585271,4.389749840952618
rf0060,rf0060,rf0060,rf0060,0.01,0.393303,0.02,0.01,1.05,0.04,14.04,0.07,13.62,18.32,0.03,-0.70129719,0.05,0.65,0.28,0.1,11.696368,0.05,0.17,14.54,9.0,16.49,15.22,16.03,0.6193390000000001,1.85769,0.01,13.67,15.81,0.33,0.18,18.1,0.1,0.02,2.8583,3.72261,1.61995,1.39392,8.91,-99.0,4871.4,-99.0,0.02,-18.23,2.722,15.64,0.18,0.02,0.05,4871.4,0.02,0.14,0.02,14.3,17.51,1,1237663783128793192,0.699837,18.1299,443689807541987328,0.3454,2.2275,2.2307,2.169,1,0,18.4746,18.4746,588015508200751236,0.363101,111123673007521792,0.4989,443689807541987328,0.2678,1237663783128793192,0.0,9.11,60.6643,0.39673408,7.7825,9.27565,0.43285073,8.79,-99.0,-99.0,notineco,-99.0,7.5,L,1347490000.0,0.07865019999999999,0.0,0.0,194.851,0.0359041,7.10175,0.0252,6.9184199999999985,0,0,0.0,GBT,83325100.0,0.0,171.899,0.0351687,1.0,0.0,-18.2319,0.0,0.0,11.0799,1,11.0569,1.0,0.0,1.0,9.4315,47.0,8.9155,0.0,0.0,0.0,0.621955,0.622202,8.91,1,1,0,1,0,0,1100000,1.34934,1.06433,2.11021,2.09525,-18.6872,2.85612,0.188833,0.949705,0.30345700000000003,18.7073,0.1563,0.0429,0,9.425,rf0060,0.0,-0.815915,0.0,-0.815915,10.28565,1.878923,11.78855,1.545347,23.00114,1.295462,-0.7799216999999999,1.18571,68.00131999999999,3.975976,17.990920000000006,1.031256,79.76458000000002,3.324732,4.968659,1.000935,8.422013,1.556344,9.995546,0.4966614,196.583,4.100585,29.39866,1.460769,51.45563,1.843912,34.98053,2.212946,5.610679,0.8253388,0.0,1.153878,60.8505,1.440521,0.0,0.0,0.0,0.0,0.0,0.0,15.92586231558956,3.9252398986804766,19.98860948074045,4.273831022841369,33.26030820080838,3.4674739825406333,0.0,0.0,3.4690349925464754,1.7149096610042516,0.3755093255041203,29.326143313429142,59.23507868065607,3.4634217569953094,24.27733107680868,1.011923015284798,69.30616839804323,2.8888064836593257,5.396053688198646,2.263244515555499,7.201641152140917,1.3308256585792024,8.530793151792508,0.4238803633017826,167.75671696469098,3.4992887341970427,25.083791902596904,1.2463706037542042,43.860090303455905,1.5717259089360287,29.813628363144378,1.8860763296527212
rf0064,rf0064,rf0064,rf0064,0.02,0.212416,0.04,0.01,0.39,0.08,15.99,0.15,-99.0,19.21,0.06,-0.5306116,0.14,1.64,0.7,0.21,12.621074,0.11,-99.0,-99.0,5.02,17.63,16.49,17.31,0.34268000000000004,1.41037,0.02,-99.0,17.15,0.9,0.37,11.9,-99.0,0.02,2.2962700000000003,3.06212,1.22858,1.09832,8.33,-99.0,5818.4,-99.0,0.05,-17.39,2.1762200000000003,17.01,0.38,0.05,0.04,5818.4,0.06,-99.0,0.03,15.92,18.57,1,1237656971301879998,0.608978,12.5993,443667542431524864,0.5734,1.4675,1.8205,0.12742,1,0,10.5294,65.4225,587731185672585397,0.758369,111123672659394560,0.1003,443667542431524864,0.6779999999999999,1237656971301879998,0.0,8.49,15.3039,0.13477823,7.71841,9.22513,0.16576702,8.23,-99.0,-99.0,notineco,-99.0,10.0,L,1199520000.0,0.046457,0.0,0.0,134.511,0.140175,4.47279,0.0071,10.4575,0,0,0.0,AO,33906500.0,0.0,107.882,-6.66356e-05,1.0,0.0,-17.7207,0.0,15.1546,10.8819,1,10.9019,1.0,0.0952446,2.0,9.2735,51.0,8.3315,0.0,0.0,0.0,2.03019,2.03019,8.33,1,?,0,1,0,0,1000000,1.19412,1.01616,1.99529,1.90405,-17.5858,2.70522,0.132874,0.934044,0.214993,19.4746,0.3226,0.1759,0,9.265,rf0064,0.0,-0.8261954,0.0,-0.8261954,12.13528,1.77971,17.85471,1.334077,31.60075,1.204559,3.69093,1.065831,71.45401,1.813061,53.82534,1.032783,176.3879,1.723807,6.1958470000000005,0.8013714,7.015095,1.280265,4.807847,0.30486890000000005,196.4289,1.848446,14.14073,0.8966731,28.39269,1.156438,17.82475,0.9676892,3.088512,0.6775496999999999,0.0,1.168417,169.0524,1.762778,0.0,0.0,2286612502.306345,174685418631.12848,0.0,0.0,13.949070562425714,2.4556473850481786,20.643910570300307,2.394423983617842,34.95740358953788,2.1277128540578394,3.8967781268722903,1.8800152119257463,0.0,0.0,0.0,0.0,67.54528453728993,1.7138817139648765,58.15469896089989,0.5683350586607641,165.87221036942069,1.6210390698017267,6.816486275124726,1.5909716306739652,6.383252865431324,1.164952895115666,4.3575798642520205,0.2763171498337329,177.99155499699862,1.6749458856002457,12.809295911153301,0.8122459783526844,25.66710930114738,1.0454247394664005,16.10996952731555,0.8745953533099965
rf0072,rf0072,rf0072,rf0072,0.02,0.141562,0.02,0.01,0.36,0.06,14.82,0.1,-99.0,17.9,0.04,1.0056997,0.03,0.71,0.48,0.14,14.731433,0.07,-99.0,15.76,8.86,16.44,15.48,16.25,0.231119,1.23147,0.03,14.44,16.1,0.56,0.25,20.29,0.37,0.02,2.06911,2.79799,1.06876,0.979204,8.57,-99.0,5462.25,-99.0,0.02,-18.3,1.96035,16.01,0.26,0.03,0.03,5474.3,0.02,0.52,0.02,14.65,17.26,1,1237663785277587650,0.334455,22.3817,780349003693844480,0.4149,0.29027,0.57131,0.049388,1,0,17.737000000000005,25.4944,588015510349545638,0.5794060000000001,111405023983828992,0.596,780349003693844480,0.2205,1237663785277587650,0.0,8.69,51.8057,0.27537085,7.48638,9.626,0.32970509,8.51,-99.0,-99.0,notineco,-99.0,11.5,L,4532130000.0,0.110355,0.0,603815000.0,0.0,0.071254,10.6556,0.075,9.60468,1,0,3019080000.0,ALFALFA,158769000.0,206125000.0,91.8833,-0.04891090000000002,2.0,0.111846,-19.2043,0.0,21.3577,11.1269,0,11.2639,1.0,0.0246665,2.0,9.8895,56.0,9.0695,0.0,42.4822,11.2426,4.07325,4.07325,8.57,1,0,0,1,0,0,1000000,1.1571,0.997475,1.96674,1.86608,-18.3732,2.67572,0.114855,0.924494,0.187836,18.2251,0.2204,0.0389,0,9.635,rf0072,0.0,-0.7182265999999999,0.0,-0.7182265999999999,214.2086,5.2056510000000005,153.3545,3.779407,293.6834,4.549529,35.33437,2.356595,456.5172,51.38668,1058.543,10.41781,1317.16,142.9692,79.75385,2.234707,25.37135,3.75947,18.03666,1.855486,1145.026,87.0703,53.04899,5.457312,112.9574,9.322586,75.652,6.825133,56.677,1.808977,0.0,1.015726,3331.847,24.39417000000001,0.0,0.0,-8080.667596318153,0.0,-8080.2105283883875,0.0,200.2515071027019,25.415446027883064,131.8569451736182,17.471133986426995,228.729625465421,30.330922368268958,28.14103151681852,4.373845119392437,2.2820620265511327,6.077541708906431,4.850946962587116,4.942010714189366,359.5829805515857,40.47552984871229,362.24855225136423,39.319737034440614,1033.7827227192126,112.21042913616238,58.39778374074605,5.887555930368978,19.468700146212452,2.8848285226714907,13.80304932935089,1.419961610848126,876.1233530659044,66.6223502247584,40.58174196817968,4.174768029020921,86.29052721338478,7.121718992577024,57.7831086326994,5.2130466024906355
