name,name,confidence_level,jhu,name.1,nsa,port
rf0001,rf0001,0.0,-1.0,rf0001,0.0,1.0
rf0003,rf0003,-3.0,-1.0,rf0003,-1.0,-1.0
rf0010,rf0010,-2.0,-1.0,rf0010,0.0,-1.0
rf0013,rf0013,3.0,1.0,rf0013,1.0,1.0
rf0015,rf0015,-3.0,-1.0,rf0015,-1.0,-1.0
rf0017,rf0017,-2.0,-1.0,rf0017,0.0,-1.0
rf0022,rf0022,3.0,1.0,rf0022,1.0,1.0
rf0024,rf0024,-1.0,-1.0,rf0024,0.0,0.0
rf0029,rf0029,-1.0,-1.0,rf0029,0.0,0.0
rf0030,rf0030,-2.0,-1.0,rf0030,-1.0,0.0
rf0031,rf0031,-3.0,-1.0,rf0031,-1.0,-1.0
rf0040,rf0040,-1.0,-1.0,rf0040,0.0,0.0
rf0045,rf0045,-1.0,-1.0,rf0045,0.0,0.0
rf0048,rf0048,-1.0,-1.0,rf0048,0.0,0.0
rf0053,rf0053,-3.0,-1.0,rf0053,-1.0,-1.0
rf0060,rf0060,-2.0,-1.0,rf0060,0.0,-1.0
rf0062,rf0062,0.0,-1.0,rf0062,1.0,0.0
rf0064,rf0064,-2.0,-1.0,rf0064,0.0,-1.0
rf0065,rf0065,-1.0,-1.0,rf0065,0.0,0.0
rf0072,rf0072,-3.0,-1.0,rf0072,-1.0,-1.0
rf0073,rf0073,-3.0,-1.0,rf0073,-1.0,-1.0
rf0077,rf0077,-2.0,-1.0,rf0077,0.0,-1.0
rf0092,rf0092,-1.0,-1.0,rf0092,0.0,0.0
rf0107,rf0107,-1.0,-1.0,rf0107,0.0,0.0
rf0108,rf0108,-1.0,-1.0,rf0108,0.0,0.0
rf0127,rf0127,3.0,1.0,rf0127,1.0,1.0
rf0129,rf0129,-1.0,-1.0,rf0129,0.0,0.0
rf0132,rf0132,0.0,-1.0,rf0132,1.0,0.0
rf0134,rf0134,-1.0,-1.0,rf0134,0.0,0.0
rf0138,rf0138,3.0,1.0,rf0138,1.0,1.0
rf0143,rf0143,-1.0,-1.0,rf0143,0.0,0.0
rf0154,rf0154,-2.0,-1.0,rf0154,0.0,-1.0
rf0164,rf0164,-1.0,-1.0,rf0164,0.0,0.0
rf0166,rf0166,1.0,1.0,rf0166,0.0,0.0
rf0176,rf0176,-3.0,-1.0,rf0176,-1.0,-1.0
rf0179,rf0179,-2.0,-1.0,rf0179,0.0,-1.0
rf0180,rf0180,-3.0,-1.0,rf0180,-1.0,-1.0
rf0190,rf0190,1.0,1.0,rf0190,0.0,0.0
rf0197,rf0197,-1.0,-1.0,rf0197,0.0,0.0
rf0201,rf0201,-3.0,-1.0,rf0201,-1.0,-1.0
rf0204,rf0204,-1.0,-1.0,rf0204,0.0,0.0
rf0205,rf0205,-1.0,-1.0,rf0205,0.0,0.0
rf0223,rf0223,-2.0,-1.0,rf0223,0.0,-1.0
rf0237,rf0237,-1.0,-1.0,rf0237,0.0,0.0
rf0241,rf0241,-2.0,-1.0,rf0241,0.0,-1.0
rf0246,rf0246,-1.0,-1.0,rf0246,0.0,0.0
rf0247,rf0247,-2.0,-1.0,rf0247,0.0,-1.0
rf0248,rf0248,3.0,1.0,rf0248,1.0,1.0
rf0249,rf0249,-2.0,-1.0,rf0249,-1.0,0.0
rf0250,rf0250,-3.0,-1.0,rf0250,-1.0,-1.0
rf0251,rf0251,-1.0,-1.0,rf0251,0.0,0.0
rf0258,rf0258,-1.0,-1.0,rf0258,0.0,0.0
rf0263,rf0263,-3.0,-1.0,rf0263,-1.0,-1.0
rf0265,rf0265,-2.0,-1.0,rf0265,0.0,-1.0
rf0266,rf0266,-2.0,-1.0,rf0266,0.0,-1.0
rf0267,rf0267,-3.0,-1.0,rf0267,-1.0,-1.0
rf0280,rf0280,-2.0,-1.0,rf0280,0.0,-1.0
rf0283,rf0283,-3.0,-1.0,rf0283,-1.0,-1.0
rf0284,rf0284,-2.0,-1.0,rf0284,0.0,-1.0
rf0292,rf0292,-3.0,-1.0,rf0292,-1.0,-1.0
rf0297,rf0297,-2.0,-1.0,rf0297,0.0,-1.0
rf0298,rf0298,-1.0,-1.0,rf0298,0.0,0.0
rf0306,rf0306,0.0,-1.0,rf0306,1.0,0.0
rf0309,rf0309,1.0,1.0,rf0309,0.0,0.0
rf0320,rf0320,-2.0,-1.0,rf0320,0.0,-1.0
rf0324,rf0324,3.0,1.0,rf0324,1.0,1.0
rf0328,rf0328,-1.0,-1.0,rf0328,0.0,0.0
rf0332,rf0332,-2.0,-1.0,rf0332,0.0,-1.0
rf0339,rf0339,-3.0,-1.0,rf0339,-1.0,-1.0
rf0340,rf0340,-2.0,-1.0,rf0340,0.0,-1.0
rf0343,rf0343,-3.0,-1.0,rf0343,-1.0,-1.0
rf0348,rf0348,-2.0,-1.0,rf0348,0.0,-1.0
rf0351,rf0351,-1.0,-1.0,rf0351,0.0,0.0
rf0354,rf0354,-2.0,-1.0,rf0354,0.0,-1.0
rf0358,rf0358,-3.0,-1.0,rf0358,-1.0,-1.0
rf0363,rf0363,-3.0,-1.0,rf0363,-1.0,-1.0
rf0364,rf0364,-2.0,-1.0,rf0364,-1.0,0.0
rf0365,rf0365,-2.0,-1.0,rf0365,0.0,-1.0
