name,name,exth,modelg_r,extj,extk,e_uhmag,exti,ukmag,extg,2kmag,nuvmag,extz,dedeg,e_zmag,e_ukmag,e_uymag,extu,radeg,extr,e_2kmag,2jmag,r50,gmag,uymag,rmag,modelg_i,modelg_j,dgr,2hmag,imag,b_a,extnuv,r90,e_2hmag,e_imag,modelu_j,modelu_k,modelu_i,modelu_r,logmstar,e_uvm2mag,grpcz,uvm2mag,e_rmag,absrmag,modelg_k,zmag,extuvm2,exty,e_umag,cz,e_nuvmag,e_2jmag,e_gmag,uhmag,umag,fl_insample,sdss_dr10_objid,flux_ratio_2c,r50_deconv1,sdss_dr12_specid,b_a_deconv1,dist2d_nn2,dist2d_nn3,dist2d_nn1,f_b,f_a,r50_deconv2c,r50_deconv2e,sdss_dr7_objid,b_a_innerdisk,sdss_dr7_specid,b_a_deconv2e,sdss_dr10_specid,b_a_deconv2c,sdss_dr12_objid,vdisp,logmstar_84,vrot,sfr_nuv,mu_delta,logmgas,sfr_nuv_wise,logmstar_16,ccr_star,ccr_bary,econame,ccr_lum,morph,morphel,mhi,ehiasym,ew20,emhi_corr_sys,w20,eb_a_innerdisk,ew50,eb_a,peaksnhi,confused,limflag,mhi_corr,hitelescope,emhi,emhi_corr_rand,w50,hiasym,grpn,grprproj_stack,grpabsrmag,logmh_dyn,grpsig,logmh_s,fc,logmh,ccr,grprproj,grpnassoc,grpmb,grp,grpms,logmh_dyn_stack,grpsig_stack,logmh_dyn_smooth,meanfsmgr,meanfsmgre15,logmstare15,kin_slit_flag,kin_done_hi,kin_done_blue,kin_done_red,kin_blue_code,kin_ifu_flag,kin_red_code,modelg_jcorr,modelu_icorr,modelu_jcorr,modelg_kcorr,absrmagcorr,modelu_kcorr,modelg_rcorr,modelu_rcorr,modelg_icorr,fuvmag,extfuv,e_fuvmag,centralout,logmbary_pc,NAME,oii_3726_flux,oii_3726_flux_err,oii_3729_flux,oii_3729_flux_err,neiii_3869_flux,neiii_3869_flux_err,h_delta_flux,h_delta_flux_err,h_gamma_flux,h_gamma_flux_err,oiii_4363_flux,oiii_4363_flux_err,h_beta_flux,h_beta_flux_err,oiii_4959_flux,oiii_4959_flux_err,oiii_5007_flux,oiii_5007_flux_err,hei_5876_flux,hei_5876_flux_err,oi_6300_flux,oi_6300_flux_err,nii_6548_flux,nii_6548_flux_err,h_alpha_flux,h_alpha_flux_err,nii_6584_flux,nii_6584_flux_err,sii_6717_flux,sii_6717_flux_err,sii_6731_flux,sii_6731_flux_err,ariii7135_flux,ariii7135_flux_err,oii_flux,oii_flux_err,oiii_flux,oiii_flux_err,Flux_HeII_3203,Flux_HeII_3203_Err,Flux_OII_3726,Flux_OII_3726_Err,Flux_OII_3728,Flux_OII_3728_Err,Flux_NeIII_3868,Flux_NeIII_3868_Err,Flux_Hd_4101,Flux_Hd_4101_Err,Flux_Hg_4340,Flux_Hg_4340_Err,Flux_OIII_4363,Flux_OIII_4363_Err,Flux_HeII_4685,Flux_HeII_4685_Err,Flux_ArIV_4711,Flux_ArIV_4711_Err,Flux_Hb_4861,Flux_Hb_4861_Err,Flux_OIII_4958,Flux_OIII_4958_Err,Flux_OIII_5006,Flux_OIII_5006_Err,Flux_HeI_5875,Flux_HeI_5875_Err,Flux_OI_6300,Flux_OI_6300_Err,Flux_NII_6547,Flux_NII_6547_Err,Flux_Ha_6562,Flux_Ha_6562_Err,Flux_NII_6583,Flux_NII_6583_Err,Flux_SII_6716,Flux_SII_6716_Err,Flux_SII_6730,Flux_SII_6730_Err
rf0003,rf0003,0.01,0.564297,0.02,0.01,0.07,0.05,14.5,0.1,14.35,20.14,0.04,0.81264576,0.03,0.1,0.15,0.13,2.3154592000000003,0.07,0.09,15.33,1.73,17.72,15.8,17.07,0.862358,2.18539,0.1,14.72,16.78,0.94,0.23,4.04,0.11,0.02,3.35164,4.26632,2.0286,1.7305400000000002,8.99,-99.0,5962.9,-99.0,0.02,-17.65,3.10007,16.51,0.24,0.03,0.03,5962.9,0.05,0.11,0.02,14.69,18.89,1,1237657191979942081,0.397842,3.6088,437006149221378048,0.8382,2.1082,2.9802,2.1008,1,0,4.1573,4.1573,587731187278676021,0.937061,109434742599843840,0.7438,437006149221378048,0.9113,1237657191979942081,37.3,9.11,0.0,0.17028312,9.2712,8.9553,0.20541350000000005,8.89,-99.0,-99.0,notineco,-99.0,-3.0,E,644431000.0,0.0753734,0.0,0.0,232.052,0.0153339,9.4827,0.0151,4.99188,0,0,0.0,AO,50059500.0,0.0,197.281,-0.0523067,1.0,0.0,-17.6492,0.0,0.0,11.1059,1,10.9459,1.0,0.0,1.0,9.2705,5.0,8.9895,0.0,0.0,0.0,0.124266,0.124254,8.99,0,?,0,1,0,1,1000,1.70243,1.3430000000000002,2.51988,2.52515,-18.0272,3.3426,0.327904,1.14536,0.5255489999999999,20.6576,0.207,0.0716,0,9.265,rf0003,0.0,,0.0,,25.88348671299687,10.453381185780657,135.9405652823775,10.20726783694111,229.77565623877643,12.711872052576465,-3.5544297897228536,-5.363256974962339,430.98649253542885,16.92939802717494,57.74454117844971,4.971015237135272,193.83399933447723,8.469328431429386,38.574706648289336,3.5344339570031464,23.081260982671985,2.744724844209261,134.01213466891676,2.9242513525968854,1232.6213686513267,24.166574036706162,402.85145153449486,8.716988049341442,208.56745741044702,5.3765263519118935,152.01853843299003,4.816610945328881,20.88694286221897,4.8181965387287615,0.0,1.022801,120.5722,3.728427,0.0,0.0,31.642190000000006,26.97243,246.8931,90.7615,23.49038,10.99776,89.3496,7.43355,169.9126,8.72573,0.0,0.0,3.643694,14.99704,6.211298,11.74257,380.6998,12.36414,61.59121999999999,2.677596,175.9749,7.650274,36.34896,4.705186,23.12675,4.312615,153.2608,3.594708,1450.822,28.0622,450.7671,10.57267,235.5519,7.211019,169.1289,5.873139
rf0010,rf0010,0.02,0.207138,0.03,0.01,0.21,0.06,-99.0,0.11,14.24,18.16,0.04,0.32956582,0.05,-99.0,0.17,0.14,4.4761793,0.08,0.25,15.6,3.99,16.94,15.81,16.64,0.33857,1.41735,-0.1,-99.0,16.48,0.9,0.25,8.03,-99.0,0.06,2.17996,2.95417,1.10119,0.969757,8.49,-99.0,5498.7,-99.0,0.05,-17.89,2.19155,16.39,0.26,0.03,0.03,5446.7,0.04,0.13,0.02,15.09,17.77,1,1237657191444054061,0.482347,7.2847,439197202812790784,0.8765,0.21763,0.25367,0.010076,1,0,9.0327,9.0327,587731186742722714,0.898,109997790402183168,0.6994,439197202812790784,0.5487,1237657191444054061,0.0,8.65,0.0,0.38628188,7.9733100000000015,9.20911,0.39787126,8.39,-99.0,-99.0,notineco,-99.0,3.5,L,2943410000.0,0.0592835,0.0,428579000.0,0.0,0.0319327,4.10406,0.0,6.710089999999999,1,0,971197000.0,ALFALFA,128595000.0,230463000.0,166.30700000000004,0.16283,2.0,0.0980115,-20.1329,0.0,129.685,11.3059,0,11.5089,1.0,0.11128,3.0,9.9155,10.0,9.4945,0.0,69.1947,11.6928,2.63826,2.63825,8.49,1,0,0,1,0,0,1000000,1.06095,0.7504460000000001,1.68337,1.74311,-18.1978,2.36553,0.0759296,0.698351,0.128025,18.8177,0.2246,0.0449,0,9.285,rf0010,0.0,,0.0,,43.14463611879662,8.545262241848441,33.89056876321213,5.918645598588711,72.32494570209626,6.779083314372021,6.876256639595746,4.139137695082082,127.81864216023004,7.435262596758048,94.21923986892357,5.718004060022087,282.74349893427706,14.165200201226074,9.195874815133324,2.419690600456395,13.483548526172935,1.7812258752044972,13.248738031604281,0.6244049178691605,365.5613165782579,9.789731419514318,39.810122874566325,1.869082198375413,67.87425240551013,2.6366509266329445,45.077768529844796,1.9793368174667856,7.3527692113503385,1.57293082430958,0.0,1.173605,163.4013,2.566227,0.0,0.0,-9999.0,0.0,0.0,0.0,21.29853,7.380894,20.45805,4.232697,43.52334000000001,4.756801,2.220191,9.771609,0.0,0.0,0.0,14.88013,90.15039,5.224404,67.53788,3.50176,192.9654,10.00503,7.285566999999999,4.3142830000000005,11.87955,2.112629,11.99406,0.8020885999999999,314.8757,10.06774,35.27665,2.359084,59.6723,3.190661,39.11209,2.769864
rf0013,rf0013,0.02,0.585669,0.02,0.01,0.03,0.05,12.13,0.1,12.08,18.8,0.04,0.59081703,0.03,0.2,0.03,0.14,4.9472732000000015,0.07,0.1,13.1,4.9,15.49,13.57,14.84,0.8886809999999999,2.20363,0.12,12.36,14.5,0.59,0.24,15.31,0.25,0.02,3.5947400000000003,4.51818,2.27979,1.97677,9.83,-99.0,5469.5,-99.0,0.03,-19.69,3.12708,14.27,0.25,0.03,0.05,5469.5,0.04,0.06,0.02,12.54,16.95,1,1237663277929922594,1.0,35.5653,439203799882557440,0.7251,0.2007,0.24476,0.11873,1,0,48.828,750.0,588015509808414749,0.56279,109997790498652160,0.0006,439203799882557440,0.7189,1237663277929922594,69.9951,9.95,0.0,0.40700406,9.48734,8.52463,0.56209935,9.65,-99.0,-99.0,notineco,-99.0,0.5,E,239056000.0,0.0,0.0,0.0,0.0,0.00566574,0.0,0.0485,0.0,0,1,0.0,AO,0.0,0.0,0.0,0.0,1.0,0.0,-19.6936,0.0,0.0,11.4539,1,11.3889,1.0,0.0,1.0,9.8205,11.0,9.8065,0.0,0.0,0.0,0.215934,0.337294,9.79,1,0,1,0,10002,0,0,1.7027,1.71575,2.85508,2.51989,-20.1413,3.67227,0.368607,1.52099,0.563368,19.4874,0.2134,0.0721,0,9.845,rf0013,0.0,,0.0,,616.3477666947023,24.17517767210908,193.6696621820729,8.890992988468906,342.5605766488111,11.284622604675393,54.42747977253818,6.746076564629103,646.7110982038738,15.250307266163318,1131.5746700032585,24.66765955987737,3403.299647092712,69.11371812232886,70.92077389110095,4.239117950242727,110.25841424614565,4.560479028170946,473.73238318573965,5.687021207465526,1849.593740863079,21.8968724697052,1425.2946295357958,16.93925094393935,499.6614504113578,7.6789480837120765,378.9469470325529,6.538868026601193,74.54576536406289,4.150978805261377,0.0,1.026038,2410.961,12.24955,0.0,0.0,0.0,0.0,2.01e+19,80600000000000.0,391.0738,21.23855,134.0791,16.22291,245.4933,13.625379999999998,32.99863,14.48993,107.7607,15.64181,12.2178,10.91604,523.5385,19.23703,976.1805,15.27316,2789.087,43.63759,65.30466,9.728567,104.5875,12.13443,467.5607,10.50479,1726.4820000000002,36.96966,1375.178,30.89644,489.92800000000005,16.73975,375.1976,15.20619
rf0015,rf0015,0.01,0.7293850000000001,0.02,0.01,0.11,0.05,10.97,0.09,10.76,18.42,0.04,0.82660918,0.02,0.22,0.04,0.13,5.1077407,0.07,0.13,11.72,14.64,14.58,12.41,13.79,1.08344,2.57598,-0.06,11.06,13.38,0.6,0.23,31.75,0.11,0.02,4.16926,5.11951,2.67672,2.32267,10.45,-99.0,5293.5,-99.0,0.02,-20.64,3.5262300000000004,13.11,0.23,0.03,0.12,5232.0,0.02,0.04,0.02,11.31,16.21,1,1237657191981187126,0.753899,279.346,439212870853486592,0.3208,0.058351,0.1922,0.013652,1,0,129.839,129.839,587731187279921175,0.3429,109997790658035712,0.3893,439212870853486592,0.3497,1237657191981187126,86.1079,10.53,0.0,0.45081069,8.81633,8.910960000000003,0.45081069,10.33,-99.0,-99.0,notineco,-99.0,1.0,L,581881000.0,0.0,0.0,0.0,0.0,-99.0,0.0,0.0722,0.0,0,1,0.0,ALFALFA,0.0,0.0,0.0,0.0,2.0,0.0975351,-20.7069,0.0,109.006,11.8409,1,11.7379,1.0,0.0296522,2.0,10.3885,13.0,10.3745,0.0,72.9255,11.7915,0.0580374,0.300877,10.35,1,0,1,0,10000,0,0,2.20004,2.18626,3.55398,3.08588,-20.9607,4.43981,0.556608,1.91054,0.8323309999999999,19.3689,0.2005,0.0794,0,10.475,rf0015,0.0,,0.0,,126.9157405900485,34.1378503671035,865.0787979643077,40.22619029812519,1527.3990504605454,56.404716972779816,46.51993144260753,24.339693225595497,2953.5913793864793,89.04740558215299,204.59818672337968,18.01619868704037,448.90100977041664,21.722506547679266,184.9157006908273,12.006822057250965,168.86040324298,11.24892856872857,1068.4780240417792,22.123124137236882,8447.27134504533,171.10092708538932,3199.392214918728,65.88298602230368,1077.9176185054175,25.26092933987124,826.7546671876953,20.59647228792464,3.9067649322043208,9.129245749585204,0.0,0.99277,84.73048,3.836525,0.0,0.0,3.55e+23,7.27e+17,0.0,0.0,60.39615,12.26681,449.4186,22.728620000000006,759.7949,22.77042,0.0,0.0,0.0,0.0,0.0,0.0,1578.499,24.4239,94.30196,6.66248,269.4342,19.03566,148.3786,21.65247,99.30798,12.65676,773.9133,9.84805,6054.917,53.0397,2276.216,28.96485,729.9424,20.83143,561.1621,18.07551
rf0022,rf0022,0.01,0.6811520000000001,0.02,0.01,0.17,0.05,14.16,0.09,14.22,21.7,0.03,0.5576055999999999,0.02,0.14,0.19,0.12,5.4409059,0.06,0.16,15.22,3.15,17.42,15.38,16.71,0.996334,2.23678,-0.02,13.99,16.37,0.65,0.21,6.83,0.4,0.02,3.64923,4.4652699999999985,2.40878,2.0936,9.21,-99.0,5477.1,-99.0,0.03,-17.82,3.05283,16.11,0.22,0.03,0.06,5477.1,0.1,0.11,0.02,14.26,18.94,1,1237663716016717961,0.0637159,6.9715,439228813772089344,0.5812,0.43891,0.44874,0.4317,1,0,5.2807,7.2926,588015509808611444,0.8654700000000001,109997790918082560,0.564,439228813772089344,0.5053,1237663716016717961,28.9,9.29,0.0,0.010962085,8.94977,7.8519,0.018385693,9.11,-99.0,-99.0,notineco,-99.0,-1.0,E,50789300.0,0.0,0.0,0.0,0.0,-99.0,0.0,0.0041,0.0,0,1,0.0,AO,0.0,0.0,0.0,0.0,1.0,0.0,-17.8198,0.0,0.0,11.1859,1,10.9799,1.0,0.0,1.0,9.2135,17.0,9.2005,0.0,0.0,0.0,0.0104684,0.0886285,9.19,0,0,1,0,10,1,0,2.14655,2.29393,3.50991,2.94745,-17.9175,4.3108,0.634008,1.99736,0.930571,23.5754,0.1857,0.4984,0,9.215,rf0022,0.0,,0.0,,56.10959574381649,10.233087664662813,30.05722156573436,6.1104048347693976,37.455313087201354,5.432679771907535,4.12126449905769,4.179006288094831,86.81288236842035,6.8522258044205415,58.22211862426737,5.053141088983015,183.16898865080623,12.432835565106993,12.22077875975568,2.39260694080702,30.05681425884467,2.2425601134503714,46.39009617297263,1.7642423401375005,248.28484357368225,8.976983094109121,139.34077791010714,5.242060048602263,79.1507745495452,3.352065728956502,57.37612463489556,2.6207914462430244,8.317468726117108,1.681009101712151,0.0,1.123894,100.02,2.229257,0.0,0.0,251.634,1078.3239999999996,0.0,0.0,32.924859999999995,9.973156,32.89373,7.812572999999999,45.42968,7.136838000000001,0.8444259,45.88643,10.87497,186.4176,6.817742,9.781066,110.6612,5.719388,65.39126999999999,2.092883,186.8322,5.979667,16.54806,3.822773,35.89079,3.590183,57.7284,1.436617,304.1125,5.793122,169.7894,4.225343,93.66603,4.854228,67.70498,3.710835
rf0031,rf0031,0.01,0.680609,0.02,0.01,0.01,0.04,-99.0,0.07,11.2,18.27,0.03,-0.40728233,0.02,-99.0,0.02,0.1,7.800475599999999,0.05,0.05,12.1,7.48,14.89,12.68,14.13,1.01757,2.54219,-0.08,11.43,13.76,0.53,0.17,21.84,0.03,0.02,4.0124,4.99822,2.48778,2.15082,10.23,-99.0,5975.04,-99.0,0.02,-20.57,3.52801,13.48,0.18,0.02,0.03,5954.2,0.04,0.07,0.02,11.48,16.32,1,1237663783663960074,0.387672,39.9387,440244210780628992,0.521,0.89825,0.95727,0.23607,1,0,5.1975,35.0465,588015508735918114,0.549329,110279118154629120,0.5056,440244210780628992,0.5329,1237663783663960074,0.0,10.39,138.86700000000002,0.6932233,9.49346,9.67706,3.1636464,10.05,-99.0,-99.0,notineco,-99.0,-1.0,L,3395690000.0,0.08979730000000001,0.0,0.0,341.286,0.0211685,14.1053,0.0064,5.54269,0,0,0.0,GBT,261612000.0,0.0,289.6020000000001,-0.120042,2.0,0.121891,-20.6505,0.0,36.9554,11.7859,1,11.7169,1.0,0.119226,2.0,10.4015,24.0,10.3055,0.0,61.8247,11.6058,0.05834830000000001,0.0706967,10.29,1,0,0,1,0,0,1000000,2.23287,1.9989,3.43661,3.17188,-20.8061,4.37563,0.519482,1.72322,0.7951550000000001,19.2005,0.1517,3.1112,0,10.335,rf0031,0.0,,970595693.7187356,5877427581.8041525,191.2441625054204,129.92559375110727,3351.417480257428,188.22969831236,5236.285894113663,256.3524083071496,156.5335378827872,79.93220359031866,10339.525841798706,425.46871414016647,936.9633241426512,72.14311950968353,2996.631318793552,137.33654935175576,887.1343912117379,48.79378743773386,568.8980243055547,42.199763509419476,3845.860028779916,109.1887930383439,29571.043907544303,827.4438888252157,11506.68194368256,324.9104462967432,5136.424218313,153.33798302877557,3953.4700873428383,121.87425195383064,343.65705574316485,38.84415723489685,0.0,1.3573110000000002,454.573,12.76612,0.0,0.0,25821.72,2452.187,4738.767,278.3986,493.5628,289.0598,1376.189,68.0659,1913.671,75.0074,240.024,126.7781,83.08842,79.72375,0.0,0.0,4238.937,84.00846999999997,452.6848,17.45873,1293.385,49.88209000000001,509.3202,41.81926,280.9546,35.81948,2166.226,30.29303,16475.3,190.7189,6371.254,89.09714,2893.297,60.39052,2252.967,54.75894
rf0053,rf0053,0.01,0.351254,0.01,0.01,0.26,0.03,14.26,0.06,-99.0,19.45,0.02,-0.087803967,0.04,0.49,0.2,0.08,10.538529,0.05,-99.0,15.16,3.69,17.02,15.62,16.63,0.551767,1.7334200000000002,0.08,14.61,16.42,0.79,0.15,8.99,0.25,0.02,2.92698,3.78474,1.7453299999999998,1.54481,8.71,-99.0,5513.0,-99.0,0.03,-17.89,2.59118,16.23,0.16,0.02,0.12,5513.0,0.04,0.11,0.02,14.64,18.19,1,1237657190909804710,0.249121,8.2161,442553735156099072,0.6521,0.47903,0.50766,0.4407,1,0,5.7412,9.1506,587731186208538743,0.7985869999999999,110842120528461824,0.7247,442553735156099072,0.4408,1237657190909804710,0.0,8.89,45.5944,0.11953352,8.45996,9.28475,0.15213656,8.63,-99.0,-99.0,notineco,-99.0,-0.5,L,1376000000.0,0.12854200000000002,0.0,0.0,0.0,0.0441755,6.15485,0.0442,3.72409,0,0,0.0,ALFALFA,131745000.0,0.0,173.857,0.0957728,1.0,0.0,-17.8933,0.0,0.0,11.0049,1,10.9939,1.0,0.0,1.0,9.3955,40.0,8.7485,0.0,0.0,0.0,1.6461,1.23091,8.73,1,?,0,1,0,0,1000000,1.34199,1.3586,2.38194,2.10165,-18.2776,3.14161,0.205206,1.24516,0.318647,19.9415,0.1335,0.0943,0,9.385,rf0053,0.0,,0.0,,78.51991685780219,13.414627321173954,75.33758312530591,8.858252579363564,124.7475672962007,9.432440965942753,6.3068259634643,5.766420256683704,253.13579644267975,12.192769021816053,189.0992480861049,9.40563237595216,586.5966438262641,24.92978852233601,25.02827128084527,3.1009533581351683,24.917422960314628,2.3313469153392004,23.31804569926097,0.921963842790826,723.9683778260643,16.645898852093037,70.03729118593003,2.7587705774316253,108.6759769579453,3.6766538824457182,76.42789522408027,3.0201259867753434,16.747632097393698,2.256986019404056,0.0,1.084573,319.3739,4.833885,0.0,0.0,2.33e+17,1820000000000.0,0.0,0.0,39.63322,12.21517,43.23254,9.463099,74.83202,9.512413,5.919796,16.47436,0.0,0.0,0.0,0.0,179.0825,12.7598,148.888,7.945517999999999,425.3943,22.70148,21.721120000000006,4.396091,27.13466,3.19596,23.42116,1.4096799999999998,708.5621,30.72721,68.88576,4.146118,111.0095,5.545433,78.42801999999998,5.513178
rf0060,rf0060,0.01,0.393303,0.02,0.01,1.05,0.04,14.04,0.07,13.62,18.32,0.03,-0.70129719,0.05,0.65,0.28,0.1,11.696368,0.05,0.17,14.54,9.0,16.49,15.22,16.03,0.6193390000000001,1.85769,0.01,13.67,15.81,0.33,0.18,18.1,0.1,0.02,2.8583,3.72261,1.61995,1.39392,8.91,-99.0,4871.4,-99.0,0.02,-18.23,2.722,15.64,0.18,0.02,0.05,4871.4,0.02,0.14,0.02,14.3,17.51,1,1237663783128793192,0.699837,18.1299,443689807541987328,0.3454,2.2275,2.2307,2.169,1,0,18.4746,18.4746,588015508200751236,0.363101,111123673007521792,0.4989,443689807541987328,0.2678,1237663783128793192,0.0,9.11,60.6643,0.39673408,7.7825,9.27565,0.43285073,8.79,-99.0,-99.0,notineco,-99.0,7.5,L,1347490000.0,0.07865019999999999,0.0,0.0,194.851,0.0359041,7.10175,0.0252,6.9184199999999985,0,0,0.0,GBT,83325100.0,0.0,171.899,0.0351687,1.0,0.0,-18.2319,0.0,0.0,11.0799,1,11.0569,1.0,0.0,1.0,9.4315,47.0,8.9155,0.0,0.0,0.0,0.621955,0.622202,8.91,1,1,0,1,0,0,1100000,1.34934,1.06433,2.11021,2.09525,-18.6872,2.85612,0.188833,0.949705,0.30345700000000003,18.7073,0.1563,0.0429,0,9.425,rf0060,0.0,,0.0,,15.085897206241944,2.96952699976473,16.51165490674275,2.412350502628323,30.961600806813827,2.478771123499466,-1.0462055259197949,-1.5916272829288836,60.30791439363227,3.0275416723445185,22.427173666065435,1.5962976414739392,76.06741118611693,3.5658209117311936,5.769009120988735,1.1738128309804092,7.666804845023451,0.8812941049556982,8.604009045266137,0.32709613054892306,172.4806351657883,4.060326360798126,25.912750812947394,0.9807943457970312,43.729007260136996,1.3429112833889605,29.873507697400328,1.1361482882538805,6.164822908821288,0.9136419149328634,0.0,1.153878,60.8505,1.440521,0.0,0.0,0.0,0.0,0.0,0.0,17.998910000000006,4.436183,22.66797,4.846714,37.84898,3.945855,0.0,0.0,3.970104,1.962612,0.4299434,33.57728,68.00131999999999,3.975976,27.9176,1.163656,79.76458000000002,3.324732,6.286143,2.636571,8.422013,1.556344,9.995546,0.4966614,196.583,4.100585,29.39866,1.460769,51.45563,1.843912,34.98053,2.212946
rf0064,rf0064,0.02,0.212416,0.04,0.01,0.39,0.08,15.99,0.15,-99.0,19.21,0.06,-0.5306116,0.14,1.64,0.7,0.21,12.621074,0.11,-99.0,-99.0,5.02,17.63,16.49,17.31,0.34268000000000004,1.41037,0.02,-99.0,17.15,0.9,0.37,11.9,-99.0,0.02,2.2962700000000003,3.06212,1.22858,1.09832,8.33,-99.0,5818.4,-99.0,0.05,-17.39,2.1762200000000003,17.01,0.38,0.05,0.04,5818.4,0.06,-99.0,0.03,15.92,18.57,1,1237656971301879998,0.608978,12.5993,443667542431524864,0.5734,1.4675,1.8205,0.12742,1,0,10.5294,65.4225,587731185672585397,0.758369,111123672659394560,0.1003,443667542431524864,0.6779999999999999,1237656971301879998,0.0,8.49,15.3039,0.13477823,7.71841,9.22513,0.16576702,8.23,-99.0,-99.0,notineco,-99.0,10.0,L,1199520000.0,0.046457,0.0,0.0,134.511,0.140175,4.47279,0.0071,10.4575,0,0,0.0,AO,33906500.0,0.0,107.882,-6.66356e-05,1.0,0.0,-17.7207,0.0,15.1546,10.8819,1,10.9019,1.0,0.0952446,2.0,9.2735,51.0,8.3315,0.0,0.0,0.0,2.03019,2.03019,8.33,1,?,0,1,0,0,1000000,1.19412,1.01616,1.99529,1.90405,-17.5858,2.70522,0.132874,0.934044,0.214993,19.4746,0.3226,0.1759,0,9.265,rf0064,0.0,,0.0,,10.138815174864854,1.5854811454426347,15.243351324389696,1.3516542854410716,27.486745279487373,1.5613852699156898,3.2156550519551077,0.9381830542726916,59.50686366424291,2.194926404999136,48.536126609427484,1.7791754886922941,153.01231333904872,4.939535555596547,5.776451376772668,0.7570632374356451,5.367145725770495,0.5536355021939946,3.7754481592994464,0.17465045678510854,170.18963007973474,3.0632401273032985,11.395650193263199,0.526301959976695,21.93673761648531,0.7032779664065848,14.259306616971307,0.5981739246967738,2.9549668298900755,0.6494516327457023,0.0,1.168417,169.0524,1.762778,0.0,0.0,2330000000.0,178000000000.0,0.0,0.0,14.28866,2.51543,21.29601,2.470059,36.31853,2.210559,4.051435,1.95463,0.0,0.0,0.0,0.0,71.45401,1.813061,61.73577,0.6033321999999999,176.3879,1.723807,7.4319320000000015,1.734617,7.015095,1.280265,4.807847,0.30486890000000005,196.4289,1.848446,14.14073,0.8966731,28.39269,1.156438,17.82475,0.9676892
rf0072,rf0072,0.02,0.141562,0.02,0.01,0.36,0.06,14.82,0.1,-99.0,17.9,0.04,1.0056997,0.03,0.71,0.48,0.14,14.731433,0.07,-99.0,15.76,8.86,16.44,15.48,16.25,0.231119,1.23147,0.03,14.44,16.1,0.56,0.25,20.29,0.37,0.02,2.06911,2.79799,1.06876,0.979204,8.57,-99.0,5462.25,-99.0,0.02,-18.3,1.96035,16.01,0.26,0.03,0.03,5474.3,0.02,0.52,0.02,14.65,17.26,1,1237663785277587650,0.334455,22.3817,780349003693844480,0.4149,0.29027,0.57131,0.049388,1,0,17.737000000000005,25.4944,588015510349545638,0.5794060000000001,111405023983828992,0.596,780349003693844480,0.2205,1237663785277587650,0.0,8.69,51.8057,0.27537085,7.48638,9.626,0.32970509,8.51,-99.0,-99.0,notineco,-99.0,11.5,L,4532130000.0,0.110355,0.0,603815000.0,0.0,0.071254,10.6556,0.075,9.60468,1,0,3019080000.0,ALFALFA,158769000.0,206125000.0,91.8833,-0.048910900000000014,2.0,0.111846,-19.2043,0.0,21.3577,11.1269,0,11.2639,1.0,0.0246665,2.0,9.8895,56.0,9.0695,0.0,42.4822,11.2426,4.07325,4.07325,8.57,1,0,0,1,0,0,1000000,1.1571,0.997475,1.96674,1.86608,-18.3732,2.67572,0.114855,0.924494,0.187836,18.2251,0.2204,0.0389,0,9.635,rf0072,0.0,,0.0,,403.7620792879329,17.616787828671416,267.8368407751984,10.792176307888818,480.28005408880614,15.418828083802351,57.45353111130051,4.1511578433166525,968.5913308480278,23.33165832129177,1524.4924282863306,35.15287492943243,4747.757449773398,102.873529959349,102.11678182483936,3.204561155895527,36.37753402654719,1.8849910831057544,24.58170500104616,0.6823761552206706,2770.17120622536,36.18341287798025,73.96011797178593,2.0489734387990284,166.1873937778371,3.4523180580128767,118.85471796229223,2.6889593549960233,66.23753678840585,2.1949771332492483,0.0,1.015726,3331.847,24.394170000000006,0.0,0.0,-9999.0,0.0,-9999.0,0.0,248.685,31.56251,164.5409,21.80178,286.8177,38.03375,35.30520999999999,5.487344,2.884617,7.682253999999999,6.135721,6.250903,456.5172,51.38668,461.0061,50.03923,1317.16,142.9692,75.68999000000002,7.630924,25.37135,3.75947,18.03666,1.855486,1145.026,87.0703,53.04899,5.457312,112.9574,9.322586,75.652,6.825133
