name,oii_3726_flux,oii_3726_flux_err,oii_3729_flux,oii_3729_flux_err,neiii_3869_flux,neiii_3869_flux_err,h_delta_flux,h_delta_flux_err,h_gamma_flux,h_gamma_flux_err,oiii_4363_flux,oiii_4363_flux_err,h_beta_flux,h_beta_flux_err,oiii_4959_flux,oiii_4959_flux_err,oiii_5007_flux,oiii_5007_flux_err,hei_5876_flux,hei_5876_flux_err,oi_6300_flux,oi_6300_flux_err,nii_6548_flux,nii_6548_flux_err,h_alpha_flux,h_alpha_flux_err,nii_6584_flux,nii_6584_flux_err,sii_6717_flux,sii_6717_flux_err,sii_6731_flux,sii_6731_flux_err,ariii7135_flux,ariii7135_flux_err,oii_flux,oii_flux_err,oiii_flux,oiii_flux_err,Flux_HeII_3203,Flux_HeII_3203_Err,Flux_OII_3726,Flux_OII_3726_Err,Flux_OII_3728,Flux_OII_3728_Err,Flux_NeIII_3868,Flux_NeIII_3868_Err,Flux_Hd_4101,Flux_Hd_4101_Err,Flux_Hg_4340,Flux_Hg_4340_Err,Flux_OIII_4363,Flux_OIII_4363_Err,Flux_HeII_4685,Flux_HeII_4685_Err,Flux_ArIV_4711,Flux_ArIV_4711_Err,Flux_Hb_4861,Flux_Hb_4861_Err,Flux_OIII_4958,Flux_OIII_4958_Err,Flux_OIII_5006,Flux_OIII_5006_Err,Flux_HeI_5875,Flux_HeI_5875_Err,Flux_OI_6300,Flux_OI_6300_Err,Flux_NII_6547,Flux_NII_6547_Err,Flux_Ha_6562,Flux_Ha_6562_Err,Flux_NII_6583,Flux_NII_6583_Err,Flux_SII_6716,Flux_SII_6716_Err,Flux_SII_6730,Flux_SII_6730_Err
rs0194,0,-0.7856128,0,-0.7856128,15.11276,6.318101,23.13732,4.697519,32.9152,4.373109,4.205421,4.636043,86.88635,4.51403,62.6255,4.511233,192.6902,5.886324,12.95215,4.133582,9.454481,3.697534,51.90442,1.652245,308.022,6.3516,156.5557,4.983547,43.74889,4.11591,33.10476,4.601967,1.532446,4.203496,0,1.111024,190.2025,6.024472,0,0,80.96394,0,1.30E+32,0,45.86559,0,122.661,0,161.4007,0,0,0,0,0,0,0,284.2042,0,134.8643,0,385.3266,0,53.67827,0,14.32407,0,104.9018,0,582.2167,0,308.5347,0,69.92269,0,53.64043,0
rs1399,0,-0.7651783,0,-0.7651783,28.18247,3.712617,58.19104,3.069298,110.5896,3.108674,1.288262,2.448433,218.1382,3.669457,125.7807,3.140337,368.9971,4.786627,30.45114,2.148588,19.26601,1.834527,41.86721,0.8034116,745.7615,6.479553,126.2812,2.423272,135.4171,2.923609,97.23651,2.729268,16.77857,2.159973,0,1.082125,369.5331,4.800932,0,0,0,0,9.04E+19,4.92E+14,64.47079,15.05384,106.0787,10.72969,196.8054,10.49485,0,0,0,23.07702,7.789885,9.774384,368.3935,13.31549,214.1578,5.257338,611.8794,15.02097,50.24495,6.287679,30.50089,5.545051,65.3388,1.750738,1136.797,20.83969,192.1729,5.149229,203.9217,7.176548,144.3384,5.762367
rf0403,0,-0.7280304,0,-0.7280304,54.83286,7.192056,136.4193,5.606974,255.4191,5.899517,4.202032,4.519451,610.5196,8.318574,303.8772,6.352846,935.7996,14.11821,79.68915,3.711908,56.24911,3.443632,141.0786,1.871844,2376.293,21.4241,425.5258,5.645907,356.356,5.993276,260.1887,5.456078,45.48391,3.518933,0,1.02959,967.512,14.75415,0,0,36925.86,296917.7,1714.371,327.9651,176.6705,28.84882,312.7467,17.6949,555.0952,25.64705,0,0,14.15616,11.2447,0,0,1218.65,38.44313,622.2906,15.7812,1777.973,45.08915,142.5665,13.2659,112.7288,10.71821,254.6667,5.2217,4174.755,77.73696,749.0196,15.35794,633.9938,16.52084,456.1204,16.3658
rf0296,0,-0.7721516,0,-0.7721516,-7.304132,2.720834,-3.343149,2.342312,-2.567807,2.118044,-0.3568907,1.760497,2.561647,1.772525,1.533606,1.459575,3.849376,1.533953,2.38713,2.077078,-0.4561098,1.124361,0.6702377,0.3306873,11.28619,1.470178,2.021592,0.9974279,2.628466,1.111008,3.231863,1.108151,1.229943,1.222915,0,1.091987,5.844833,2.517521,0,0,447.4046,413.4334,0,0,0,0,0,0,20.38112,1310.703,0,0,0,0,0,0,6.493057,5.937187,2.435392,1.664864,6.958263,4.756755,1.781162,13.3367,0,0,1.015228,1.643047,12.49484,2.849658,2.985965,4.832492,3.775248,3.005214,4.445461,3.774773
rf0271,0,-0.8138914,0,-0.8138914,19.31649,5.011291,-3.508512,3.682249,8.185964,3.711177,-2.003534,5.223903,28.4467,3.907208,20.10631,5.203393,66.41525,5.636956,0.384804,4.041911,30.58352,5.818013,43.6161,2.087254,84.02217,4.92028,131.5562,6.295632,67.98074,5.768579,48.69681,5.617888,-6.791975,5.215779,0,1.151016,59.9974,5.820873,0,0,0,0,0,0,13.56779,8.635406,0,0,9.025547,6.621263,0,0,1.12284,57.98848,9.4652,9.560587,40.06373,9.101249,30.54226,3.667212,87.2636,10.47775,35.51399,14.4075,38.02483,15.00908,58.24078,4.868627,100.1011,12.45925,171.2964,14.31949,69.77372,12.01986,50.69513,12.99568
rf0109,0,-0.8135442,0,-0.8135442,4.210107,3.94125,17.97311,2.841204,28.4712,2.566369,-0.1952379,2.54511,67.25291,2.598187,16.88013,2.124717,44.78288,2.516425,8.877708,2.102291,8.321424,1.677469,22.8012,0.6772023,250.8644,3.477229,68.7737,2.042597,62.38153,2.319971,41.75106,1.964044,5.725678,1.777843,0,1.150525,44.8175,2.803595,0,0,2236.936,0,308.0626,66905.18,5.282444,17.16003,81.65456,15.58787,61.31967,8.418952,0,0,5.642889,8.395204,0.2555299,30.03201,114.4096,7.029758,25.42969,2.148038,72.65627,6.137251,28.62388,11.72326,12.45038,3.83516,33.54873,1.371396,356.7724,8.213747,98.67274,4.033517,88.465,4.375948,61.07911,4.288844
rs0897,0,-0.7145905,0,-0.7145905,9.94206,2.860071,12.26981,2.066688,19.93052,1.89139,0.178888,1.912689,37.69485,1.94479,11.86514,1.700122,32.87132,1.952124,2.560579,1.678432,6.637015,1.37329,12.62662,0.5120777,138.2184,2.236957,38.0848,1.544543,32.09217,1.94531,21.55997,1.601819,1.289918,1.488703,0,1.010584,33.35933,2.164479,0,0,19.06973,14.76352,1262.841,377497.5,20.25081,8.770738,26.77789,7.597543,38.24609,4.852534,0,0,11.1228,9.852961,0,0,68.79389,5.518301,20.75329,1.913882,59.29511,5.468233,4.857692,6.321144,10.01393,3.912496,19.92938,1.252919,211.2362,6.346448,58.61583,3.685056,46.91074,4.828701,31.64477,3.492601
rs0380,0,-0.7608815,0,-0.7608815,79.21365,5.796872,183.7038,5.044301,325.5558,5.810191,-2.178637,3.382475,692.0682,7.923033,456.017,6.981715,1376.974,12.93062,88.51324,3.083721,32.0036,2.579633,99.06465,1.372082,2200.718,19.35049,298.8018,4.138512,311.7853,4.849422,222.2074,4.21173,67.24375,2.86893,0,1.076049,1383.901,13.03322,0,0,1.61E+07,0,-9999,0,109.4458,3.369109,225.5274,2.513822,410.0446,2.539117,0,0,0,0,0,0,919.1917,2.859508,619.3025,1.096497,1769.436,3.132849,99.50537,1.51175,40.34125,0,117.7558,0.6168681,2823.627,4.15652,346.3407,1.814318,363.1935,2.114905,260.7306,1.61693
rs1413,0,-0.7584288,0,-0.7584288,-0.6925403,2.785108,0.5641277,2.096016,5.573273,1.962966,0.6594536,1.574124,5.445053,1.25068,2.262447,1.163522,4.593507,1.150478,0.09495372,1.453301,0.2903448,0.8700159,0.1213506,0.2732838,15.89019,1.051911,0.3660214,0.8242863,-448.9156,1059.83,1.689312,0.8360018,0.4362787,0.9535869,0,1.07258,4.62588,1.150275,0,0,17.86208,51.75608,2.06E+08,8030669,0,0,4.273459,8.676092,9.854432,5.177944,0,0,0,0,0,0,8.728703,3.434879,2.846653,1.164549,8.133296,3.327282,0,0,1.659688,15.06025,0.4642935,3.418774,21.05561,2.936224,1.365569,10.05522,10.69377,5.330485,2.805494,2.789894
rf0694,46.71075,4.180771,60.35238,3.505983,10.72483,1.933854,12.80033,1.489946,19.95551,1.339026,-0.1676001,1.207694,48.66024,1.408484,49.3196,1.434403,139.9908,2.002258,6.548836,1.105319,5.659053,0.8311158,6.29183,0.2823721,175.2457,1.839873,18.97761,0.8516988,21.60911,1.162744,14.06867,0.9503912,3.245794,0.9542981,111.3321,6.763309,139.6006,2.003601,0,0,80.98284,21.58424,151.7352,24.41202,27.95461,8.475566,27.59511,4.231158,43.93978,5.227766,0,0,0,0,2.826247,4.989068,93.63148,6.063138,87.17131,3.53647,249.0609,10.1042,10.31705,2.462781,10.92588,2.584404,11.04473,0.8223177,291.0678,9.919869,32.48451,2.418581,37.71182,3.417732,29.41994,3.262519
