name,ekmag,emw1,emw2,emw3,emw4,kmag,mur50,mw1,mw2,mw3,mw4,name,ukidsskflag,ukidsskmag,kmag_flag,sb_flag,wise_good
rs0001,0.0,0.015685428,0.021852944,0.03797814,0.06795214,0.0,20.661211,14.011207,13.577936,11.286523,7.590288,rs0001,   0,14.8851,False,True,True
rs0002,0.0973,0.0032533198,0.0076743253,0.055125028,0.3662841,12.4923,21.70162,12.406121,12.261506,9.032444,7.7641497,rs0002,   0,12.8054,True,True,True
rs0003,0.2218,0.008779552,0.013359692,0.015333615,0.11509396,14.1047,20.031902,13.395013,13.27409,9.8031845,7.07512,rs0003,   0,13.4153,True,True,True
rs0004,0.0,0.053014364,0.49453688,0.0,0.0,0.0,21.517324,15.143821,14.654256,0.0,0.0,rs0004,   1,0.0,False,True,False
rs1313,0.0,0.0,0.0,0.0,0.0,0.0,21.071005,0.0,0.0,0.0,0.0,rs1313,   0,15.5338,False,True,False
rs0005,0.0828,0.0043405807,0.008080524,0.028464943,0.07867462,12.406,20.401913,12.37568,12.248861,8.736786,6.4924974,rs0005,   1,0.0,False,True,True
rs1314,0.2777,0.013420335,0.016751884,0.04598965,0.306335,13.9472,20.191385,13.892071,13.839946,10.054806,8.156343,rs1314,   0,13.9639,True,True,True
rs0006,0.0,0.035919074,0.039354496,0.17661178,0.0,0.0,20.998259,14.247115,14.093189,12.513806,0.0,rs0006,   0,15.3442,False,True,False
rs0007,0.4591,0.02924561,0.18841396,0.29296678,2.2371368,14.3667,21.55075,14.301486,14.009673,11.576515,10.148033,rs0007,   0,14.5804,True,True,False
rs0009,0.0,0.009690639,0.08490584,7.6242948,0.0,0.0,21.911146,14.759928,14.19661,11.961698,0.0,rs0009,   0,14.5243,False,True,False
rs0010,0.25,0.020876639,0.11982933,0.9604021,0.47068185,13.8139,21.664677,13.497882,13.167444,9.938282,7.9052525,rs0010,   0,14.0611,True,True,True
rs0011,0.0,0.035849188,0.04632174,0.0932684,4.5948505,0.0,21.841747,14.349485,14.368078,11.667974,9.24189,rs0011,   1,0.0,False,True,False
rs0012,0.2271,0.0,0.0,0.0,0.0,13.2682,21.64363,0.0,0.0,0.0,0.0,rs0012,   0,13.2286,True,True,False
rs0013,0.2926,0.013767533,0.05631323,0.032116417,5.2158136,13.5562,21.56764,13.15376,12.92852,10.493266,8.22311,rs0013,   1,0.0,False,True,False
rs0014,0.0796,0.0061388263,0.005632874,0.07626171,0.0,12.4037,19.164955,12.010346,12.168898,11.529417,0.0,rs0014,   0,12.5352,True,True,False
rs0015,0.0,0.08035009,0.03635822,0.17978771,0.14998783,0.0,20.557762,14.530048,14.765523,10.832112,9.464431,rs0015,   0,15.0623,False,True,True
rs0016,0.5961,0.020341977,0.027599812,0.19964711,2.328958,13.963,23.306425,13.647657,14.127205,11.237488,9.628529,rs0016,   0,15.6057,True,False,False
rs0017,0.1262,0.0045583867,0.022675734,0.016679613,0.09836917,13.0256,21.04578,12.574023,12.37416,9.320699,7.653291,rs0017,   0,13.0292,True,True,True
rs0018,0.1692,0.0009816367,0.0018907533,0.05417121,0.3613127,11.0502,19.702507,11.014225,11.060075,10.439792,9.398746,rs0018,   0,11.1627,True,True,True
rs0019,0.1729,0.0056738574,0.040469974,0.1279955,0.056965865,12.8569,21.629694,12.691524,12.554579,9.500798,8.077728,rs0019,   0,13.1513,True,True,True
rs0020,0.0,0.047416966,0.12218294,3.2924678,2.4491818,0.0,22.841114,14.611389,14.905086,10.89435,9.450952,rs0020,   0,15.6984,False,True,False
rs0021,0.1051,0.026605885,0.030015267,0.14581518,0.28225157,14.1513,21.08116,14.133182,14.044312,10.609648,8.41248,rs0021,   0,14.5777,True,True,True
rs0022,0.0359,0.0013039849,0.0031094488,0.004586125,0.011249834,12.088,19.95874,11.888428,11.851086,8.5292635,5.9217196,rs0022,   1,0.0,False,True,True
rs0023,0.0,0.0,0.0,0.0,0.0,0.0,21.768486,0.0,0.0,0.0,0.0,rs0023,   0,14.7595,False,True,False
rs0024,1.0783,0.06137244,0.4883432,4.155439,1.4484589,14.2624,22.582933,15.066754,14.742417,10.272621,10.621386,rs0024,   0,15.4249,True,True,False
rs0025,0.2419,0.060750335,0.37235233,0.104777865,4.429704,13.897,22.822674,12.486018,11.676429,11.675062,8.341471,rs0025,   1,0.0,False,True,False
rs0026,0.0,0.047159743,0.050458193,2.7553375,0.46755734,0.0,22.074926,15.1655,15.101696,12.712779,12.20918,rs0026,   1,0.0,False,True,False
rs0027,0.5721,0.0047393613,0.013165121,0.073656924,0.0,13.7444,21.614782,13.707918,13.696452,11.687132,0.0,rs0027,   0,13.9185,True,True,False
rs0028,0.0,0.046356928,0.045217592,0.9900058,3.3580894,0.0,23.200607,14.939244,15.213994,13.981611,9.569684,rs0028,   1,0.0,False,False,False
rs0029,0.0928,0.0008044224,0.0019031954,0.027085295,0.108099684,11.0716,19.265945,10.957162,10.954731,9.869186,8.526048,rs0029,   1,0.0,False,True,True
rs0030,0.6835,0.030975947,0.015484317,0.020414196,0.039705392,12.9637,22.275005,12.503577,12.768689,9.363615,8.049146,rs0030,   1,0.0,False,True,True
rs0031,0.201,0.001296491,0.003974486,0.12641783,0.0,11.7448,19.344543,11.691692,11.661182,11.223468,0.0,rs0031,   1,0.0,False,True,False
rs0032,0.1293,0.00066770025,0.0020842676,0.023249123,0.05004438,9.7768,21.007616,9.232754,9.329839,8.3927145,6.6475716,rs0032,   0,9.7027,True,True,True
rs0033,0.2102,0.0040535866,0.012076729,0.078896075,0.0,12.021,20.95155,12.038029,12.0612335,10.597696,0.0,rs0033,   0,12.2594,True,True,False
rs0034,0.0,0.02188629,0.07915266,3.6983225,2.38457,0.0,23.57993,14.267577,14.08543,11.772519,10.389999,rs0034,   1,0.0,False,False,False
rs0035,0.2645,0.0,0.0,0.0,0.15200135,13.9514,22.153666,0.0,0.0,0.0,8.314124,rs0035,   1,0.0,False,True,False
rs0037,0.0,0.061277274,0.2087923,0.35662845,3.0470505,0.0,21.495857,15.46695,15.029974,14.6832485,9.892813,rs0037,   1,0.0,False,True,False
rs0038,0.8214,0.024004582,0.031194292,0.069087535,0.0,13.1133,22.78141,13.466582,13.453593,11.466751,0.0,rs0038,   0,13.8599,True,True,False
rs0039,0.0,0.058102224,0.13020395,0.13382128,2.5115962,0.0,21.733799,14.178697,14.418329,12.00523,10.194397,rs0039,   0,14.5287,False,True,False
rs0040,0.0,0.06937241,0.3364147,0.15695153,0.0,0.0,21.933784,14.440163,14.203287,12.425534,0.0,rs0040,   1,0.0,False,True,False
rs0041,0.8372,0.010794581,0.033406053,0.070402026,0.0,13.9184,23.179745,13.902166,14.0640545,11.311067,0.0,rs0041,   0,14.4033,True,False,False
rs0042,0.3709,0.011168229,0.025220457,0.17614725,0.0,13.4014,22.960274,13.93815,14.102532,12.309544,0.0,rs0042,   1,0.0,False,True,False
rs0043,0.0,0.03812821,0.061335284,0.76574296,0.0,0.0,21.924995,16.123617,15.757145,14.797538,0.0,rs0043,   0,15.6715,False,True,False
rs0044,0.3725,0.001766922,0.006212869,0.05430605,2.9156759,12.1323,19.85332,11.971512,11.952201,10.737077,7.907122,rs0044,   0,12.3108,True,True,False
rs0045,0.382,0.039388116,0.047094602,0.27463007,2.0816503,14.3293,21.768818,13.420453,13.463938,10.845594,8.907864,rs0045,   0,14.0164,True,True,False
rs0046,0.0,0.018652637,0.03633833,0.0,2.4320276,0.0,23.206512,14.175037,14.085593,0.0,10.446966,rs0046,   0,15.496,False,False,False
rs1315,0.716,0.0056590796,0.015425166,0.020658728,0.15464994,13.0573,19.991407,12.94608,12.587788,8.465137,6.9777765,rs1315,   0,13.4413,True,True,True
rs0047,0.0,0.09949229,0.09991306,2.0303886,0.0,0.0,22.1255,14.670211,15.113558,12.949114,0.0,rs0047,   0,15.3422,False,True,False
rs0048,0.1536,0.0024850473,0.0040437086,0.025028812,0.018327123,12.4669,21.309061,12.159544,12.162625,8.490233,6.7433405,rs0048,   0,12.6842,True,True,True
rs0049,0.0767,0.00055295345,0.0016948514,0.040731195,2.4704938,10.9352,19.379324,10.69718,10.662311,9.8068285,9.323149,rs0049,   0,10.9384,True,True,False
rs1316,0.0,0.055243026,0.1621896,3.169459,2.0847507,0.0,22.278786,15.21592,15.136252,12.637685,10.404367,rs1316,   0,15.5845,False,True,False
rs0050,0.3182,0.0018222395,0.004656126,0.016325194,0.03828514,11.7218,22.339085,12.005605,11.941222,8.879182,6.695234,rs0050,   0,12.0061,True,True,True
rs0051,0.1237,0.013417224,0.030419512,0.11223115,0.23196994,13.9117,20.857107,13.390641,13.325621,9.922273,8.352493,rs0051,   0,13.7768,True,True,True
rs0052,0.2011,0.003361536,0.0068095904,0.08467471,0.24476948,13.0607,21.779976,12.465628,12.361351,9.229174,7.378703,rs0052,   0,12.9438,True,True,True
rs0053,0.057,0.0004563105,0.0010598113,0.0012821335,0.0047155214,10.1708,20.560644,9.895865,9.847641,6.631498,4.9227095,rs0053,   1,0.0,False,True,True
rs0054,1.2208,0.015231285,0.014938071,0.114395544,0.10664156,14.1105,23.740566,12.211151,12.469502,11.293889,8.3193655,rs0054,   0,11.1167,True,False,True
rs0055,0.1212,0.0015051113,0.0054388917,0.006231725,0.022089181,11.9824,21.660357,12.092406,11.89772,8.511937,6.5817075,rs0055,   0,12.3034,True,True,True
rs0056,0.3079,0.010655111,0.049479764,0.0921332,0.04953418,14.1275,21.13368,13.3240595,13.115352,10.178273,8.463549,rs0056,   1,0.0,False,True,True
rs0057,0.0,0.0377704,0.26403078,2.9148588,7.4684563,0.0,21.06209,14.852208,14.844696,12.195936,8.9415655,rs0057,   1,0.0,False,True,False
rs0058,0.0,0.97926325,0.14886619,0.0,0.0,0.0,22.641611,14.859864,15.118558,0.0,0.0,rs0058,   0,15.7246,False,True,False
rs1317,0.0,0.059169017,0.0777676,6.124458,48.276283,0.0,22.34795,14.55561,14.3318615,12.720505,9.677032,rs1317,   0,15.1115,False,True,False
rs0059,0.0,0.15519692,2.0129795,4.9417944,146.22356,0.0,24.100122,15.225675,14.728361,9.126176,8.168877,rs0059,   1,0.0,False,False,False
rs0060,0.0,0.10266357,0.2630909,0.35154718,2.9165292,0.0,21.007517,15.351678,15.047681,12.526911,9.2811575,rs0060,   0,15.3516,False,True,False
rs1318,0.0293,0.0004362005,0.0010921331,0.0008014735,0.002040718,10.9747,19.787193,10.638381,10.479431,6.6482596,4.536823,rs1318,   0,10.9562,True,True,True
rs1319,0.0434,0.0004515434,0.00092933344,0.019804772,0.09111748,10.5511,19.792997,10.441933,10.468822,9.238239,7.0191693,rs1319,   0,10.6372,True,True,True
rs0062,0.1903,0.014563923,0.076570585,0.31161362,0.2589784,13.857,20.375542,14.234628,14.042998,10.950689,8.862563,rs0062,   0,14.2434,True,True,True
