agntosf,ambigagn,composite,defagn,defliner,defseyf,defstarform,galname,sftoagn,sftoagn1,sftoagn2
False,False,False,False,False,False,False,rf0001,True,False,True
False,False,False,False,False,False,True,rf0003,False,False,False
False,False,False,False,False,False,True,rf0010,False,False,False
False,False,False,True,False,True,False,rf0013,False,False,False
False,False,False,False,False,False,True,rf0015,False,False,False
False,False,False,False,False,False,True,rf0017,False,False,False
False,False,True,False,False,False,False,rf0022,False,False,False
False,False,False,False,False,False,True,rf0024,False,False,False
False,False,False,False,False,False,True,rf0029,False,False,False
False,False,False,False,False,False,True,rf0030,False,False,False
False,False,False,False,False,False,True,rf0031,False,False,False
False,False,False,False,False,False,True,rf0040,False,False,False
False,False,False,False,False,False,True,rf0045,False,False,False
False,False,False,False,False,False,True,rf0048,False,False,False
False,False,False,False,False,False,True,rf0053,False,False,False
False,False,False,False,False,False,True,rf0060,False,False,False
False,False,True,False,False,False,False,rf0062,False,False,False
False,False,False,False,False,False,True,rf0064,False,False,False
False,False,False,False,False,False,True,rf0065,False,False,False
False,False,False,False,False,False,True,rf0072,False,False,False
False,False,False,False,False,False,True,rf0073,False,False,False
False,False,False,False,False,False,True,rf0077,False,False,False
False,False,False,False,False,False,True,rf0092,False,False,False
False,False,False,False,False,False,True,rf0107,False,False,False
False,False,False,False,False,False,True,rf0108,False,False,False
False,False,False,True,False,True,False,rf0127,False,False,False
False,False,False,False,False,False,True,rf0129,False,False,False
False,False,True,False,False,False,False,rf0132,False,False,False
False,False,False,False,False,False,True,rf0134,False,False,False
False,False,False,True,True,False,False,rf0138,False,False,False
False,False,False,False,False,False,True,rf0143,False,False,False
False,False,False,False,False,False,True,rf0154,False,False,False
False,False,False,False,False,False,True,rf0164,False,False,False
False,False,False,True,True,False,False,rf0166,False,False,False
False,False,False,False,False,False,True,rf0176,False,False,False
False,False,False,False,False,False,True,rf0179,False,False,False
False,False,False,False,False,False,True,rf0180,False,False,False
False,False,True,False,False,False,False,rf0190,False,False,False
False,False,False,False,False,False,True,rf0197,False,False,False
False,False,False,False,False,False,True,rf0201,False,False,False
False,False,False,False,False,False,True,rf0204,False,False,False
False,False,False,False,False,False,True,rf0205,False,False,False
False,False,False,False,False,False,True,rf0223,False,False,False
False,False,False,False,False,False,True,rf0237,False,False,False
False,False,False,False,False,False,True,rf0241,False,False,False
False,False,False,False,False,False,True,rf0246,False,False,False
False,False,False,False,False,False,True,rf0247,False,False,False
False,False,False,True,False,True,False,rf0248,False,False,False
False,False,False,False,False,False,True,rf0249,False,False,False
False,False,False,False,False,False,True,rf0250,False,False,False
False,False,False,False,False,False,True,rf0251,False,False,False
False,False,False,False,False,False,True,rf0258,False,False,False
False,False,False,False,False,False,True,rf0263,False,False,False
False,False,False,False,False,False,True,rf0265,False,False,False
False,False,False,False,False,False,True,rf0266,False,False,False
False,False,False,False,False,False,True,rf0267,False,False,False
False,False,False,False,False,False,True,rf0280,False,False,False
False,False,False,False,False,False,True,rf0283,False,False,False
False,False,False,False,False,False,True,rf0284,False,False,False
False,False,False,False,False,False,True,rf0292,False,False,False
False,False,False,False,False,False,True,rf0297,False,False,False
False,False,False,False,False,False,True,rf0298,False,False,False
False,False,False,False,False,False,False,rf0306,True,False,True
False,False,True,False,False,False,False,rf0309,False,False,False
False,False,False,False,False,False,True,rf0320,False,False,False
False,True,False,True,False,False,False,rf0324,False,False,False
False,False,False,False,False,False,True,rf0328,False,False,False
False,False,False,False,False,False,True,rf0332,False,False,False
False,False,False,False,False,False,True,rf0339,False,False,False
False,False,False,False,False,False,True,rf0340,False,False,False
False,False,False,False,False,False,True,rf0343,False,False,False
False,False,False,False,False,False,True,rf0348,False,False,False
False,False,False,False,False,False,True,rf0351,False,False,False
False,False,False,False,False,False,True,rf0354,False,False,False
False,False,False,False,False,False,True,rf0358,False,False,False
False,False,False,False,False,False,True,rf0363,False,False,False
False,False,False,False,False,False,True,rf0364,False,False,False
False,False,False,False,False,False,True,rf0365,False,False,False
False,False,False,False,False,False,True,rf0366,False,False,False
False,False,False,False,False,False,True,rf0368,False,False,False
False,False,False,True,False,True,False,rf0372,False,False,False
False,False,False,True,True,False,False,rf0377,False,False,False
False,False,False,False,False,False,True,rf0383,False,False,False
False,False,False,False,False,False,True,rf0385,False,False,False
False,False,False,False,False,False,True,rf0386,False,False,False
False,False,False,False,False,False,True,rf0388,False,False,False
False,False,False,False,False,False,True,rf0392,False,False,False
False,False,False,False,False,False,True,rf0396,False,False,False
False,False,True,False,False,False,False,rf0397,False,False,False
False,False,False,False,False,False,True,rf0399,False,False,False
False,False,False,False,False,False,True,rf0400,False,False,False
False,False,False,False,False,False,True,rf0403,False,False,False
False,False,False,False,False,False,True,rf0413,False,False,False
False,False,False,False,False,False,True,rf0415,False,False,False
False,False,False,False,False,False,True,rf0419,False,False,False
False,False,False,False,False,False,True,rf0428,False,False,False
False,False,False,False,False,False,True,rf0439,False,False,False
False,False,False,False,False,False,True,rf0459,False,False,False
False,False,False,False,False,False,True,rf0461,False,False,False
False,False,False,False,False,False,True,rf0464,False,False,False
False,False,False,False,False,False,True,rf0474,False,False,False
False,False,False,False,False,False,False,rf0477,True,False,True
False,False,False,False,False,False,True,rf0479,False,False,False
False,False,False,False,False,False,True,rf0488,False,False,False
False,False,False,False,False,False,True,rf0496,False,False,False
False,False,False,False,False,False,True,rf0499,False,False,False
False,False,False,False,False,False,True,rf0500,False,False,False
False,False,False,False,False,False,False,rf0503,True,False,True
False,False,False,False,False,False,True,rf0513,False,False,False
False,False,False,False,False,False,True,rf0630,False,False,False
False,False,False,False,False,False,True,rf0642,False,False,False
False,False,False,False,False,False,True,rf0663,False,False,False
False,False,False,False,False,False,True,rf0707,False,False,False
False,False,False,False,False,False,True,rf0795,False,False,False
False,False,False,False,False,False,True,rs0001,False,False,False
False,False,False,False,False,False,True,rs0003,False,False,False
False,False,False,False,False,False,False,rs0010,True,False,True
False,False,False,False,False,False,True,rs0012,False,False,False
False,False,False,False,False,False,True,rs0013,False,False,False
False,False,True,False,False,False,False,rs0022,False,False,False
False,False,False,False,False,False,True,rs0023,False,False,False
False,False,False,True,True,False,False,rs0029,False,False,False
False,False,False,False,False,False,True,rs0030,False,False,False
False,False,False,False,False,False,True,rs0035,False,False,False
False,False,False,False,False,False,True,rs0039,False,False,False
False,False,False,False,False,False,True,rs0046,False,False,False
False,False,False,False,False,False,True,rs0051,False,False,False
False,False,False,False,False,False,True,rs0052,False,False,False
False,False,False,False,False,False,True,rs0054,False,False,False
False,False,False,False,False,False,True,rs0062,False,False,False
False,False,False,False,False,False,False,rs0081,True,False,True
False,False,False,False,False,False,True,rs0087,False,False,False
False,False,False,False,False,False,True,rs0088,False,False,False
False,False,False,False,False,False,True,rs0089,False,False,False
False,False,False,False,False,False,True,rs0090,False,False,False
False,False,False,False,False,False,True,rs0092,False,False,False
False,False,False,False,False,False,True,rs0093,False,False,False
False,False,False,False,False,False,True,rs0094,False,False,False
False,False,False,False,False,False,True,rs0095,False,False,False
False,False,False,False,False,False,True,rs0096,False,False,False
False,False,False,False,False,False,True,rs0097,False,False,False
False,False,False,False,False,False,True,rs0104,False,False,False
False,False,True,False,False,False,False,rs0107,False,False,False
False,False,False,False,False,False,True,rs0113,False,False,False
False,False,False,False,False,False,True,rs0122,False,False,False
False,False,False,False,False,False,False,rs0124,True,False,True
False,False,False,False,False,False,True,rs0127,False,False,False
False,False,False,False,False,False,True,rs0133,False,False,False
False,False,True,False,False,False,False,rs0134,False,False,False
False,False,True,False,False,False,False,rs0136,False,False,False
False,False,False,False,False,False,True,rs0137,False,False,False
False,False,False,False,False,False,True,rs0138,False,False,False
False,False,False,False,False,False,True,rs0140,False,False,False
False,False,False,False,False,False,True,rs0141,False,False,False
False,False,False,False,False,False,True,rs0143,False,False,False
