name,radeg,dedeg
rf0338,37.890219,0.75662517
rf0477,353.10547,-0.84693846
rf0503,358.09449,-0.62866731
rs0010,135.21256,1.1612322
rs0124,146.2255,2.4653143
rs0150,147.56018,4.199071599999999
rs0421,169.37328,2.5042999
rs0472,171.74200000000005,2.3330017999999995
rs0775,183.25124,0.043855233
rs0909,191.53444,4.4435528
rs1038,201.14852,1.5768742
rs1047,201.64021,2.1750543
rs1105,203.76899,3.6607434
rs1143,204.62096,2.528471
rs1195,205.74218,3.2541462
ECO07019,232.788,45.0334
ECO08990,213.148,30.8093
ECO11818,169.285,42.47
ECO06292,201.21400000000003,36.2756
ECO06491,214.21400000000003,32.8028
ECO12363,188.81,7.1375
ECO11677,219.939,23.3966
ECO11316,204.689,-0.4168
ECO08928,197.11,29.7544
ECO09242,146.55100000000004,34.776
ECO09585,159.036,40.0572
ECO11998,232.404,5.9727
ECO11064,182.506,29.365
ECO06097,192.495,32.3887
ECO09726,216.62,43.471
ECO11950,162.046,14.0541
ECO10745,152.63,41.8354
ECO01253,149.69899999999996,34.7864
ECO05193,131.215,1.1556
ECO03103,177.551,6.9989
ECO00758,211.365,12.2318
ECO02876,172.231,20.6246
ECO02074,233.787,28.6999
ECO11787,147.238,33.0433
ECO02373,185.564,22.5077
ECO05128,198.794,15.546
ECO02224,173.358,24.8733
ECO09330,210.49,36.1687
ECO12205,230.664,22.9937
ECO00220,206.719,15.9693
ECO08505,216.322,25.2914
ECO12392,199.596,7.9764
ECO09581,190.549,39.9764
ECO08581,163.058,26.0096
ECO11816,209.144,10.1912
ECO06000,187.057,13.5707
ECO10398,144.779,33.8965
ECO07808,173.09099999999995,8.8472
ECO11174,207.349,34.3682
ECO11313,165.639,-0.29100000000000004
ECO09603,192.71400000000003,40.5438
ECO01421,182.303,38.1141
ECO06590,233.751,46.8145
ECO06608,140.399,43.2573
ECO12611,228.17,14.9986
ECO10541,218.533,34.3262
ECO01674,165.199,21.5909
ECO01928,195.803,19.9779
ECO08895,221.014,29.2151
ECO07830,147.093,9.2503
ECO08592,197.406,26.159
ECO00061,148.822,24.9279
ECO02833,178.326,20.1074
ECO06364,204.08900000000003,-0.4606
ECO09333,146.415,36.1945
ECO10136,194.46,28.1704
ECO09733,166.62,43.5111
ECO09961,193.753,34.8815
ECO10538,212.128,12.819
ECO02744,145.786,13.3994
ECO12249,192.104,28.3069
ECO00970,197.475,17.1649
ECO08410,178.65099999999995,23.8632
ECO02394,198.673,22.4725
ECO11714,222.642,24.8216
ECO00776,130.188,30.4786
ECO03098,137.213,3.4483
ECO06085,191.824,47.1617
ECO08491,149.75,25.1032
ECO01913,194.645,24.3935
ECO02882,190.296,20.996
ECO07175,197.983,-0.8366
ECO09027,217.326,31.3675
ECO12011,210.592,9.971
ECO09548,188.468,39.2629
ECO00073,169.334,27.8721
ECO05671,173.32,49.2849
ECO12145,181.594,31.9414
ECO05271,140.08,25.2735
ECO12580,206.325,19.5576
ECO07794,151.19799999999995,8.356
ECO10090,143.463,10.9313
ECO09020,199.976,31.2349
ECO01321,175.71200000000005,8.8528
ECO11865,222.415,23.5609
ECO06376,204.624,30.9864
ECO02691,179.99400000000003,17.8956
ECO00105,214.61900000000003,26.496
ECO02695,176.71,17.814
ECO00321,149.384,21.8819
