name,name,name.1,name.1.1,exth,modelg_r,extj,extk,e_uhmag,exti,ukmag,extg,2kmag,nuvmag,extz,dedeg,e_zmag,e_ukmag,e_uymag,extu,radeg,extr,e_2kmag,2jmag,r50,gmag,uymag,rmag,modelg_i,modelg_j,dgr,2hmag,imag,b_a,extnuv,r90,e_2hmag,e_imag,modelu_j,modelu_k,modelu_i,modelu_r,logmstar,e_uvm2mag,grpcz,uvm2mag,e_rmag,absrmag,modelg_k,zmag,extuvm2,exty,e_umag,cz,e_nuvmag,e_2jmag,e_gmag,uhmag,umag,fl_insample,sdss_dr10_objid,flux_ratio_2c,r50_deconv1,sdss_dr12_specid,b_a_deconv1,dist2d_nn2,dist2d_nn3,dist2d_nn1,f_b,f_a,r50_deconv2c,r50_deconv2e,sdss_dr7_objid,b_a_innerdisk,sdss_dr7_specid,b_a_deconv2e,sdss_dr10_specid,b_a_deconv2c,sdss_dr12_objid,vdisp,logmstar_84,vrot,sfr_nuv,mu_delta,logmgas,sfr_nuv_wise,logmstar_16,ccr_star,ccr_bary,econame,ccr_lum,morph,morphel,mhi,ehiasym,ew20,emhi_corr_sys,w20,eb_a_innerdisk,ew50,eb_a,peaksnhi,confused,limflag,mhi_corr,hitelescope,emhi,emhi_corr_rand,w50,hiasym,grpn,grprproj_stack,grpabsrmag,logmh_dyn,grpsig,logmh_s,fc,logmh,ccr,grprproj,grpnassoc,grpmb,grp,grpms,logmh_dyn_stack,grpsig_stack,logmh_dyn_smooth,meanfsmgr,meanfsmgre15,logmstare15,kin_slit_flag,kin_done_hi,kin_done_blue,kin_done_red,kin_blue_code,kin_ifu_flag,kin_red_code,modelg_jcorr,modelu_icorr,modelu_jcorr,modelg_kcorr,absrmagcorr,modelu_kcorr,modelg_rcorr,modelu_rcorr,modelg_icorr,fuvmag,extfuv,e_fuvmag,centralout,logmbary_pc,NAME,oii_3726_flux,oii_3726_flux_err,oii_3729_flux,oii_3729_flux_err,neiii_3869_flux,neiii_3869_flux_err,h_delta_flux,h_delta_flux_err,h_gamma_flux,h_gamma_flux_err,oiii_4363_flux,oiii_4363_flux_err,h_beta_flux,h_beta_flux_err,oiii_4959_flux,oiii_4959_flux_err,oiii_5007_flux,oiii_5007_flux_err,hei_5876_flux,hei_5876_flux_err,oi_6300_flux,oi_6300_flux_err,nii_6548_flux,nii_6548_flux_err,h_alpha_flux,h_alpha_flux_err,nii_6584_flux,nii_6584_flux_err,sii_6717_flux,sii_6717_flux_err,sii_6731_flux,sii_6731_flux_err,ariii7135_flux,ariii7135_flux_err,oii_flux,oii_flux_err,oiii_flux,oiii_flux_err,Flux_HeII_3203,Flux_HeII_3203_Err,Flux_OII_3726,Flux_OII_3726_Err,Flux_OII_3728,Flux_OII_3728_Err,Flux_NeIII_3868,Flux_NeIII_3868_Err,Flux_Hd_4101,Flux_Hd_4101_Err,Flux_Hg_4340,Flux_Hg_4340_Err,Flux_OIII_4363,Flux_OIII_4363_Err,Flux_HeII_4685,Flux_HeII_4685_Err,Flux_ArIV_4711,Flux_ArIV_4711_Err,Flux_Hb_4861,Flux_Hb_4861_Err,Flux_OIII_4958,Flux_OIII_4958_Err,Flux_OIII_5006,Flux_OIII_5006_Err,Flux_HeI_5875,Flux_HeI_5875_Err,Flux_OI_6300,Flux_OI_6300_Err,Flux_NII_6547,Flux_NII_6547_Err,Flux_Ha_6562,Flux_Ha_6562_Err,Flux_NII_6583,Flux_NII_6583_Err,Flux_SII_6716,Flux_SII_6716_Err,Flux_SII_6730,Flux_SII_6730_Err
rf0002,rf0002,rf0002,rf0002,0.02,0.69404,0.03,0.01,-99.0,0.06,13.46,0.12,12.72,20.99,0.05,0.84866485,0.02,0.35,0.17,0.16,1.146787,0.08,0.44,14.53,3.11,17.08,14.92,16.33,1.02813,2.3428,-0.03,14.27,15.94,0.6,0.28,9.78,0.29,0.02,3.81753,4.7357,2.50286,2.16877,9.57,-99.0,6583.8,-99.0,0.02,-18.62,3.26097,15.67,0.29,0.04,0.03,6583.8,0.18,0.09,0.02,-99.0,18.62,1,1237663278465155249,0.927485,10.9297,436940728279525376,0.5853,2.4657,3.3231,2.3574,1,0,8.2362,18.9335,588015510343581865,0.614789,109434741601599488,0.2237,436940728279525376,0.624,1237663278465155249,61.7463,9.65,0.0,0.045151245,9.50532,8.276589999999999,0.095551455,9.47,-99.0,-99.0,notineco,-99.0,-1.0,E,135039000.0,0.0,0.0,0.0,0.0,0.0400227,0.0,0.0167,0.0,0,1,0.0,AO,0.0,0.0,0.0,0.0,1.0,0.0,-18.6212,0.0,0.0,11.3479,1,11.1319,1.0,0.0,1.0,9.5905,3.0,9.5755,0.0,0.0,0.0,0.0252599,0.0756719,9.57,1,0,1,0,10020,0,0,2.1499200000000003,2.23717,3.49689,3.03671,-18.7964,4.38368,0.595924,1.94289,0.8902049999999999,21.7519,0.2491,0.67,0,9.595,rf0002,0.0,,0.0,,48.09120940786064,29.419066921471128,84.40036714257819,24.72734492553116,75.90087372378524,19.42440590497739,12.223349714742213,14.816602940324294,119.24920124144259,20.141060278170414,62.794719371453255,13.256705946719848,120.46181750321665,19.591427983419614,-0.8689348833670041,-6.78059296824649,29.32266417636129,6.1036740990283445,43.19920549530299,3.838091254296237,341.05271555052565,26.36728604304419,129.45717361857848,11.39784411377901,100.974166634626,9.54455081124359,62.887624035646546,7.898500454800163,2.1420449375093793,6.687570635789197,22.44967,1681.0410000000006,50.58304,4.820485,0.0,0.0,30.35046,29.61695,4675.293,0.0,37.39951,25.31719,43.40649000000001,15.206929999999998,48.2196,14.469079999999998,0.0,0.0,0.0,0.0,0.0,0.0,110.5538,13.60774,42.73652,5.151636,122.1044,14.71896,2.467517,170.1869,19.96965,7.669657000000001,49.13541,3.712392,356.6783,12.60745,144.5159,10.9188,91.19374,10.45167,54.00894,8.598861999999999
rf0003,rf0003,rf0003,rf0003,0.01,0.564297,0.02,0.01,0.07,0.05,14.5,0.1,14.35,20.14,0.04,0.81264576,0.03,0.1,0.15,0.13,2.3154592000000003,0.07,0.09,15.33,1.73,17.72,15.8,17.07,0.862358,2.18539,0.1,14.72,16.78,0.94,0.23,4.04,0.11,0.02,3.35164,4.26632,2.0286,1.7305400000000002,8.99,-99.0,5962.9,-99.0,0.02,-17.65,3.10007,16.51,0.24,0.03,0.03,5962.9,0.05,0.11,0.02,14.69,18.89,1,1237657191979942081,0.397842,3.6088,437006149221378048,0.8382,2.1082,2.9802,2.1008,1,0,4.1573,4.1573,587731187278676021,0.937061,109434742599843840,0.7438,437006149221378048,0.9113,1237657191979942081,37.3,9.11,0.0,0.17028312,9.2712,8.9553,0.20541350000000005,8.89,-99.0,-99.0,notineco,-99.0,-3.0,E,644431000.0,0.0753734,0.0,0.0,232.052,0.0153339,9.4827,0.0151,4.99188,0,0,0.0,AO,50059500.0,0.0,197.281,-0.0523067,1.0,0.0,-17.6492,0.0,0.0,11.1059,1,10.9459,1.0,0.0,1.0,9.2705,5.0,8.9895,0.0,0.0,0.0,0.124266,0.124254,8.99,0,?,0,1,0,1,1000,1.70243,1.3430000000000002,2.51988,2.52515,-18.0272,3.3426,0.327904,1.14536,0.5255489999999999,20.6576,0.207,0.0716,0,9.265,rf0003,0.0,,0.0,,25.88348671299687,10.453381185780657,135.9405652823775,10.20726783694111,229.77565623877643,12.711872052576465,-3.5544297897228536,-5.363256974962339,430.98649253542885,16.92939802717494,57.74454117844971,4.971015237135272,193.83399933447723,8.469328431429386,38.574706648289336,3.5344339570031464,23.081260982671985,2.744724844209261,134.01213466891676,2.9242513525968854,1232.6213686513267,24.166574036706162,402.85145153449486,8.716988049341442,208.56745741044702,5.3765263519118935,152.01853843299003,4.816610945328881,20.88694286221897,4.8181965387287615,0.0,1.022801,120.5722,3.728427,0.0,0.0,31.64219000000001,26.97243,246.8931,90.7615,23.49038,10.99776,89.3496,7.43355,169.9126,8.72573,0.0,0.0,3.643694,14.99704,6.211298,11.74257,380.6998,12.36414,61.59121999999999,2.677596,175.9749,7.650274,36.34896,4.705186,23.12675,4.312615,153.2608,3.594708,1450.822,28.0622,450.7671,10.57267,235.5519,7.211019,169.1289,5.873139
rf0007,rf0007,rf0007,rf0007,0.02,0.518044,0.03,0.01,0.23,0.08,-99.0,0.14,12.23,18.0,0.06,-0.9580395,0.04,-99.0,0.06,0.19,4.2867326,0.1,0.26,13.2,10.3,15.54,13.6,14.95,0.794691,2.09018,-0.02,12.69,14.63,0.61,0.35,19.42,0.17,0.03,3.27765,4.1681,1.98216,1.70551,9.79,-99.0,5680.45,-99.0,0.02,-19.75,2.98063,14.42,0.35,0.05,0.03,5811.1,0.02,0.16,0.02,12.72,16.81,1,1237657189833310516,0.520413,24.6042,439183458917443584,0.5785,0.25722,1.8295,0.10636,1,0,24.79300000000001,24.79300000000001,587731185132044450,0.6196520000000001,109997790188273664,0.4734,439183458917443584,0.6228,1237657189833310516,0.0,9.91,98.7699,0.86018945,8.3183,9.39768,1.1051114,9.59,-99.0,-99.0,notineco,-99.0,4.0,L,1784630000.0,0.0194198,0.0,0.0,290.766,0.00772152,5.46674,0.0152,7.800510000000001,0,0,0.0,GBT,80839400.0,0.0,272.921,0.13551400000000002,2.0,0.115988,-21.0151,0.0,231.571,11.8279,0,11.8699,1.0,0.0530465,2.0,10.4145,8.0,10.3625,0.0,64.8986,11.6317,0.179362,0.177967,9.79,1,?,0,1,0,0,1000000,1.6518700000000002,1.4457,2.59081,2.4528,-20.1261,3.39174,0.324329,1.26327,0.5067619999999999,18.5386,0.3048,0.0728,0,9.935,rf0007,0.0,,0.0,,-5.480167760793346,-3.5267088472355987,5.1504178208678,2.6949996438261725,9.794491482796758,2.537236531513232,3.201241898501649,2.2500148941273066,31.48150922980864,3.8828425691081017,6.7117983398301275,1.877736102336704,14.907404008073266,2.3173888560456013,2.498522957056083,1.5365497839230229,4.064320416588813,1.262832764040084,13.68252818149626,0.8738544533502478,90.03711639725272,5.1287752118276755,41.23272534951285,2.608745212213831,26.383443551944637,1.9031410895728744,13.031058987393266,1.3694972426869616,4.995734726294446,1.4040186102381027,0.0,1.1190209999999998,12.97391,1.7880919999999998,0.0,0.0,-9999.0,0.0,-9999.0,0.0,0.0,236.6273,5.3722379999999985,4.241175,8.836133,4.165893,1.317736,15.09875,0.0,0.0,1.608618,8.335037,32.39438,2.784052,5.473907,0.9693234,15.63974,2.769495,2.365471,5.351047,4.291233,2.841067,15.80751,0.7328231,98.70689,2.428448,46.49266,2.155362,29.34818,1.876058,14.16238,1.910497
rf0008,rf0008,rf0008,rf0008,0.02,0.568787,0.03,0.01,0.05,0.08,-99.0,0.14,11.14,17.21,0.06,-0.97832513,0.02,-99.0,0.03,0.2,4.3577793,0.1,0.14,12.17,11.75,14.64,12.65,13.99,0.8760399999999999,2.24647,-0.06,11.5,13.65,0.54,0.35,23.02,0.02,0.02,3.48216,4.42422,2.11173,1.80448,10.21,-99.0,5680.45,-99.0,0.03,-20.61,3.18853,13.38,0.36,0.05,0.09,5549.8,0.02,0.06,0.03,11.59,15.86,1,1237657189833376029,0.154845,29.6206,773519116769191936,0.5251,0.29046,1.817,0.10158,1,0,27.7981,30.9559,587731185132109990,0.601713,193598872486936576,0.5377,773519116769191936,0.4834,1237657189833376029,0.0,10.33,174.074,2.3527805,8.707930000000001,8.86088,2.8816494,10.05,-99.0,-99.0,notineco,-99.0,3.0,L,518501000.0,0.0,0.0,0.0,0.0,0.0594954,0.0,0.0238,0.0,0,1,0.0,GBT,0.0,0.0,0.0,0.0,2.0,0.115988,-21.0151,0.0,231.571,11.8279,1,11.8699,1.0,0.0530465,2.0,10.4145,8.0,10.3625,0.0,64.8986,11.6317,0.166597,0.166075,10.21,1,0,0,1,0,0,1000000,1.7021400000000002,1.41044,2.59997,2.53551,-21.0712,3.4333400000000003,0.320915,1.21875,0.512609,17.7373,0.3082,0.0368,0,10.225,rf0008,0.0,,0.0,,-16.708908533131854,-13.353679495773768,27.693735948645138,10.202124453442627,72.2382794096902,16.063822107139732,-4.6227305693907645,-7.85209897014288,109.30860712618549,19.91305981695143,10.520263158321136,5.8884550269657066,23.999379955711607,6.8825249566177975,10.493965326758293,4.632789781700676,3.051535764588601,3.7522265180806236,32.349324561104645,4.150031858995393,312.62261638089063,37.43606210122544,97.3305515720854,12.422451542711771,25.533316733730544,5.017621650354866,18.48020533284437,4.303037262135401,-4.73704768732139,-3.7865515560849374,0.0,1.290904,12.54041,3.301278,0.0,0.0,1704.604,372.4683,145.2925,519553.2,0.0,0.0,58.40486,14.68517,96.94445,12.21219,0.0,0.0,11.83546,10.88085,0.707802,57.00636,125.5497,11.43252,8.822914,2.892235,25.20833,8.263527999999999,14.76774,6.4200300000000015,0.0,5.9501089999999985,31.98005,2.281078,284.6919,7.785922999999999,94.05898,6.709053,15.62515,4.151658,12.41187,4.404963
rf0010,rf0010,rf0010,rf0010,0.02,0.207138,0.03,0.01,0.21,0.06,-99.0,0.11,14.24,18.16,0.04,0.32956582,0.05,-99.0,0.17,0.14,4.4761793,0.08,0.25,15.6,3.99,16.94,15.81,16.64,0.33857,1.41735,-0.1,-99.0,16.48,0.9,0.25,8.03,-99.0,0.06,2.17996,2.95417,1.10119,0.969757,8.49,-99.0,5498.7,-99.0,0.05,-17.89,2.19155,16.39,0.26,0.03,0.03,5446.7,0.04,0.13,0.02,15.09,17.77,1,1237657191444054061,0.482347,7.2847,439197202812790784,0.8765,0.21763,0.25367,0.010076,1,0,9.0327,9.0327,587731186742722714,0.898,109997790402183168,0.6994,439197202812790784,0.5487,1237657191444054061,0.0,8.65,0.0,0.38628188,7.9733100000000015,9.20911,0.39787126,8.39,-99.0,-99.0,notineco,-99.0,3.5,L,2943410000.0,0.0592835,0.0,428579000.0,0.0,0.0319327,4.10406,0.0,6.710089999999999,1,0,971197000.0,ALFALFA,128595000.0,230463000.0,166.30700000000004,0.16283,2.0,0.0980115,-20.1329,0.0,129.685,11.3059,0,11.5089,1.0,0.11128,3.0,9.9155,10.0,9.4945,0.0,69.1947,11.6928,2.63826,2.63825,8.49,1,0,0,1,0,0,1000000,1.06095,0.7504460000000001,1.68337,1.74311,-18.1978,2.36553,0.0759296,0.698351,0.128025,18.8177,0.2246,0.0449,0,9.285,rf0010,0.0,,0.0,,43.14463611879662,8.545262241848441,33.89056876321213,5.918645598588711,72.32494570209626,6.779083314372021,6.876256639595746,4.139137695082082,127.81864216023004,7.435262596758048,94.21923986892357,5.718004060022087,282.74349893427706,14.165200201226074,9.195874815133324,2.419690600456395,13.483548526172935,1.7812258752044972,13.248738031604281,0.6244049178691605,365.5613165782579,9.789731419514318,39.810122874566325,1.869082198375413,67.87425240551013,2.6366509266329445,45.077768529844796,1.9793368174667856,7.3527692113503385,1.57293082430958,0.0,1.173605,163.4013,2.566227,0.0,0.0,-9999.0,0.0,0.0,0.0,21.29853,7.380894,20.45805,4.232697,43.52334000000001,4.756801,2.220191,9.771609,0.0,0.0,0.0,14.88013,90.15039,5.224404,67.53788,3.50176,192.9654,10.00503,7.285566999999999,4.3142830000000005,11.87955,2.112629,11.99406,0.8020885999999999,314.8757,10.06774,35.27665,2.359084,59.6723,3.190661,39.11209,2.769864
rf0011,rf0011,rf0011,rf0011,0.02,0.269381,0.03,0.01,0.41,0.06,-99.0,0.11,12.36,16.78,0.04,0.33532953,0.02,-99.0,-99.0,0.14,4.4808912,0.08,0.5,13.38,12.26,14.99,-99.0,14.64,0.43384,1.57544,-0.08,12.13,14.39,0.72,0.25,35.78,1.2,0.04,2.5375400000000004,3.35379,1.39593,1.23147,9.43,-99.0,5498.7,-99.0,0.05,-19.93,2.3917,14.28,0.26,0.03,0.03,5550.7,0.02,0.33,0.04,13.03,15.88,1,1237657191444054059,0.65555,39.0981,773646385240107008,0.59,0.2119,0.25293000000000004,0.010269,1,0,26.5118,82.8561,587731186742722713,0.7637609999999999,109716226070020096,0.1598,773646385240107008,0.7812,1237657191444054059,0.0,9.61,115.389,1.3569528,8.26437,9.53657,1.5601955,9.35,-99.0,-99.0,notineco,-99.0,4.0,L,3056880000.0,0.0603426,0.0,491442000.0,0.0,0.0422293,4.10406,0.0222,6.710089999999999,1,0,2457210000.0,ALFALFA,133553000.0,188871000.0,166.30700000000004,0.158984,2.0,0.0980115,-20.1329,0.0,129.685,11.3059,1,11.5089,1.0,0.11128,3.0,9.9155,10.0,9.4945,0.0,69.1947,11.6928,1.6504900000000002,1.64973,9.43,1,0,0,1,0,0,1000000,1.28006,1.10067,2.12318,2.02151,-20.2428,2.86464,0.158749,1.00187,0.25755300000000003,17.0257,0.2246,0.022,0,9.785,rf0011,0.0,,0.0,,8.411930633156288,6.303151173237644,16.27646425147361,5.115685781813007,28.45743891976207,5.233423496936327,1.7522785826467044,3.8802324123244434,65.37423580138996,7.1942983999298455,15.737701592454247,3.371479159478742,46.65941818829396,5.386733179606494,11.4498042264171,2.6367732640382524,10.592606877277122,2.178103368254548,17.852257040938497,1.1704640708165113,186.97031439197525,9.66405682542753,53.79683454450535,3.5020756573803595,51.580238924393825,3.5174645803829416,33.4526659959236,2.7278177855055885,0.8337177471459671,2.09780230114913,0.0,1.366736,39.61684,3.1888400000000003,0.0,0.0,0.0,0.0,2.02e+31,3.16e+25,4.4799999999999994e-15,0.0,20.08454,4.392005,29.51479,4.634301,0.0,0.0,0.0,0.0,0.0,0.0,60.69429,4.259951999999998,13.47168,0.6280425999999999,38.49051,1.794407,10.27072,1.463124,9.158639,3.198381,16.34055,0.7337741999999999,160.5547,2.36428,48.06045,2.158159,46.35883,3.060225,30.276940000000003,1.188776
rf0013,rf0013,rf0013,rf0013,0.02,0.585669,0.02,0.01,0.03,0.05,12.13,0.1,12.08,18.8,0.04,0.59081703,0.03,0.2,0.03,0.14,4.9472732000000015,0.07,0.1,13.1,4.9,15.49,13.57,14.84,0.8886809999999999,2.20363,0.12,12.36,14.5,0.59,0.24,15.31,0.25,0.02,3.5947400000000003,4.51818,2.27979,1.97677,9.83,-99.0,5469.5,-99.0,0.03,-19.69,3.12708,14.27,0.25,0.03,0.05,5469.5,0.04,0.06,0.02,12.54,16.95,1,1237663277929922594,1.0,35.5653,439203799882557440,0.7251,0.2007,0.24476,0.11873,1,0,48.828,750.0,588015509808414749,0.56279,109997790498652160,0.0006,439203799882557440,0.7189,1237663277929922594,69.9951,9.95,0.0,0.40700406,9.48734,8.52463,0.56209935,9.65,-99.0,-99.0,notineco,-99.0,0.5,E,239056000.0,0.0,0.0,0.0,0.0,0.00566574,0.0,0.0485,0.0,0,1,0.0,AO,0.0,0.0,0.0,0.0,1.0,0.0,-19.6936,0.0,0.0,11.4539,1,11.3889,1.0,0.0,1.0,9.8205,11.0,9.8065,0.0,0.0,0.0,0.215934,0.337294,9.79,1,0,1,0,10002,0,0,1.7027,1.71575,2.85508,2.51989,-20.1413,3.67227,0.368607,1.52099,0.563368,19.4874,0.2134,0.0721,0,9.845,rf0013,0.0,,0.0,,616.3477666947023,24.17517767210908,193.6696621820729,8.890992988468906,342.5605766488111,11.284622604675393,54.42747977253818,6.746076564629103,646.7110982038738,15.250307266163318,1131.5746700032585,24.66765955987737,3403.299647092712,69.11371812232886,70.92077389110095,4.239117950242727,110.25841424614565,4.560479028170946,473.73238318573965,5.687021207465526,1849.593740863079,21.8968724697052,1425.2946295357958,16.93925094393935,499.66145041135803,7.678948083712077,378.9469470325529,6.538868026601193,74.54576536406289,4.150978805261377,0.0,1.026038,2410.961,12.24955,0.0,0.0,0.0,0.0,2.01e+19,80600000000000.0,391.0738,21.23855,134.0791,16.22291,245.4933,13.625379999999998,32.99863,14.48993,107.7607,15.64181,12.2178,10.91604,523.5385,19.23703,976.1805,15.27316,2789.087,43.63759,65.30466,9.728567,104.5875,12.13443,467.5607,10.50479,1726.4820000000002,36.96966,1375.178,30.89644,489.92800000000005,16.73975,375.1976,15.20619
rf0015,rf0015,rf0015,rf0015,0.01,0.7293850000000001,0.02,0.01,0.11,0.05,10.97,0.09,10.76,18.42,0.04,0.82660918,0.02,0.22,0.04,0.13,5.1077407,0.07,0.13,11.72,14.64,14.58,12.41,13.79,1.08344,2.57598,-0.06,11.06,13.38,0.6,0.23,31.75,0.11,0.02,4.16926,5.11951,2.67672,2.32267,10.45,-99.0,5293.5,-99.0,0.02,-20.64,3.5262300000000004,13.11,0.23,0.03,0.12,5232.0,0.02,0.04,0.02,11.31,16.21,1,1237657191981187126,0.753899,279.346,439212870853486592,0.3208,0.058351,0.1922,0.013652,1,0,129.839,129.839,587731187279921175,0.3429,109997790658035712,0.3893,439212870853486592,0.3497,1237657191981187126,86.1079,10.53,0.0,0.45081069,8.81633,8.910960000000003,0.45081069,10.33,-99.0,-99.0,notineco,-99.0,1.0,L,581881000.0,0.0,0.0,0.0,0.0,-99.0,0.0,0.0722,0.0,0,1,0.0,ALFALFA,0.0,0.0,0.0,0.0,2.0,0.0975351,-20.7069,0.0,109.006,11.8409,1,11.7379,1.0,0.0296522,2.0,10.3885,13.0,10.3745,0.0,72.9255,11.7915,0.0580374,0.300877,10.35,1,0,1,0,10000,0,0,2.20004,2.18626,3.55398,3.08588,-20.9607,4.43981,0.556608,1.91054,0.8323309999999999,19.3689,0.2005,0.0794,0,10.475,rf0015,0.0,,0.0,,126.9157405900485,34.1378503671035,865.0787979643077,40.22619029812519,1527.3990504605454,56.404716972779816,46.51993144260753,24.339693225595497,2953.5913793864793,89.04740558215299,204.59818672337968,18.01619868704037,448.90100977041664,21.722506547679266,184.9157006908273,12.006822057250965,168.86040324298,11.24892856872857,1068.4780240417792,22.123124137236882,8447.27134504533,171.10092708538932,3199.392214918728,65.88298602230368,1077.9176185054175,25.26092933987124,826.7546671876953,20.59647228792464,3.9067649322043208,9.129245749585204,0.0,0.99277,84.73048,3.836525,0.0,0.0,3.55e+23,7.27e+17,0.0,0.0,60.39615,12.26681,449.4186,22.72862000000001,759.7949,22.77042,0.0,0.0,0.0,0.0,0.0,0.0,1578.499,24.4239,94.30196,6.66248,269.4342,19.03566,148.3786,21.65247,99.30798,12.65676,773.9133,9.84805,6054.917,53.0397,2276.216,28.96485,729.9424,20.83143,561.1621,18.07551
rf0016,rf0016,rf0016,rf0016,0.01,0.74519,0.02,0.01,0.13,0.05,10.36,0.09,10.45,18.63,0.04,0.83361606,0.02,0.22,0.01,0.13,5.114721,0.07,0.09,11.48,13.18,13.9,11.88,13.09,1.09289,2.40382,-0.04,10.77,12.66,0.75,0.23,68.33,0.04,0.02,3.93346,4.84932,2.62252,2.27482,10.77,-99.0,5736.92,-99.0,0.06,-21.51,3.31969,12.39,0.23,0.03,0.07,5632.0,0.08,0.11,0.02,10.71,15.49,1,1237657191981187125,0.659181,30.6848,773660953769175040,0.7454,0.048125,0.2064,0.014696,1,0,13.8571,86.3898,587731187279921174,0.7392,193598874651197440,0.5689,773660953769175040,0.7141,1237657191981187125,0.0,10.83,0.0,0.16596243,9.94188,9.01392,0.16596243,10.75,-99.0,-99.0,notineco,-99.0,-1.0,E,2383230000.0,0.123022,0.0,147509000.0,0.0,-99.0,51.5031,0.0279,3.4490199999999995,1,0,737546000.0,ALFALFA,229157000.0,230976000.0,550.464,0.14358900000000002,3.0,0.111913,-21.5563,0.0,152.83,12.2979,1,12.1659,1.0,0.15873099999999998,4.0,10.7845,14.0,10.7755,0.0,69.2822,11.7529,0.00299928,0.0462301,10.77,1,0,1,0,11000,0,0,2.37343,2.57639,3.87994,3.28512,-21.5584,4.7916300000000005,0.7282390000000001,2.23475,1.06988,19.8313,0.2005,0.9138,0,10.775,rf0016,0.0,,0.0,,22.38569681968191,10.922364723066261,53.840208380471665,15.638506903549708,132.06904892719007,29.54517140703213,-39.800677201958706,-14.299463042709876,252.14253650708588,47.85221452451129,74.24392879364525,19.22088588493865,311.10909036955144,56.19651277104168,-65.50713326974599,-15.881892287055527,110.90374047837143,22.26167706502139,201.93656657698867,26.144687881141287,721.1276544102658,92.50645778499228,608.7803241021697,78.38135602750012,297.60812481774485,40.861901650469626,180.49158681608898,28.675015376013498,-16.22389996608965,-17.26146775873335,0.0,1.174681,285.1946,15.250520000000002,0.0,0.0,0.0,0.0,3528.701,0.0,28.99786,11.11947,0.0,0.0,26.43774,13.56236,0.0,0.0,0.0,0.0,0.0,0.0,81.69561999999998,14.73764,41.8768,4.664381,119.648,13.3268,0.0,0.0,75.19244,21.7514,110.7816,6.612847,357.0916,19.85438,325.8281,19.44955,175.6227,17.924329999999994,122.8224,20.22105
rf0021,rf0021,rf0021,rf0021,0.01,0.754499,0.02,0.01,0.04,0.05,11.69,0.09,11.67,20.36,0.03,1.1656492,0.02,0.02,0.03,0.12,5.3970879,0.06,0.02,12.64,5.24,15.27,13.08,14.5,1.09818,2.5306,0.0,11.9,14.12,0.33,0.21,13.2,0.03,0.02,4.12592,5.0415800000000015,2.6935,2.34982,10.07,-99.0,5617.6,-99.0,0.02,-20.08,3.44626,13.82,0.22,0.03,0.03,5617.6,0.08,0.01,0.02,11.96,17.0,1,1237657192518189093,1.0,19.5779,439244481812785152,0.2922,0.31136,0.45723,0.27239,1,0,25.2656,750.0,587731187816857647,0.467803,109997791157157888,0.0001,439244481812785152,0.2883,1237657192518189093,107.722,10.29,0.0,0.037484091,9.64892,8.66887,0.073007368,10.05,-99.0,-99.0,notineco,-99.0,-0.5,E,333228000.0,0.0,0.0,0.0,0.0,0.0892981,0.0,0.0111,0.0,0,1,0.0,GBT,0.0,0.0,0.0,0.0,1.0,0.0,-20.0826,0.0,0.0,11.7169,1,11.5089,1.0,0.0,1.0,10.2345,16.0,10.2195,0.0,0.0,0.0,0.00478767,0.0697388,10.21,1,0,?,0,10000,0,0,2.48613,2.62925,4.04951,3.3953900000000004,-20.1493,4.95878,0.731075,2.29446,1.06586,21.9559,0.1862,0.7878,0,10.075,rf0021,0.0,,0.0,,0.6367632019652626,2.295988096308917,2.9093408283833977,3.4317823231900264,5.560944062001133,5.526670524489043,-2.4322935705954074,-3.0627015649455656,6.770615529561999,5.892897167908156,8.011728147322348,6.757237117826438,9.33714488147565,7.680138918939875,-5.4496183869812045,-4.111961045278667,-1.690293799751639,-2.549862952154742,1.2131629211262214,1.0258166174162702,19.363960414547318,11.159545775383028,3.6671833240321066,3.0925028081861248,-1.3080300335087023,-2.44598806341467,-5.86673305865497,-4.005978512860666,-5.7742730582487285,-3.791275066758368,0.0,1.039975,15.21769,3.379626,0.0,0.0,-9999.0,0.0,3.26e+37,0.0,0.0,0.0,15.47306,0.0,27.75849,0.0,0.0,0.0,12.59377,0.0,0.0,0.0,30.44874,0.0,9.332903,0.0,26.665440000000004,0.0,7.458995,0.0,0.0,0.0,1.968865,0.0,4.288544,0.0,5.790778,0.0,0.0,0.0,0.0,0.0
