name,name,name.1,name.1.1,name.1.1.1,exth,modelg_r,extj,extk,e_uhmag,exti,ukmag,extg,2kmag,nuvmag,extz,dedeg,e_zmag,e_ukmag,e_uymag,extu,radeg,extr,e_2kmag,2jmag,r50,gmag,uymag,rmag,modelg_i,modelg_j,dgr,2hmag,imag,b_a,extnuv,r90,e_2hmag,e_imag,modelu_j,modelu_k,modelu_i,modelu_r,logmstar,e_uvm2mag,grpcz,uvm2mag,e_rmag,absrmag,modelg_k,zmag,extuvm2,exty,e_umag,cz,e_nuvmag,e_2jmag,e_gmag,uhmag,umag,fl_insample,sdss_dr10_objid,flux_ratio_2c,r50_deconv1,sdss_dr12_specid,b_a_deconv1,dist2d_nn2,dist2d_nn3,dist2d_nn1,f_b,f_a,r50_deconv2c,r50_deconv2e,sdss_dr7_objid,b_a_innerdisk,sdss_dr7_specid,b_a_deconv2e,sdss_dr10_specid,b_a_deconv2c,sdss_dr12_objid,vdisp,logmstar_84,vrot,sfr_nuv,mu_delta,logmgas,sfr_nuv_wise,logmstar_16,ccr_star,ccr_bary,econame,ccr_lum,morph,morphel,mhi,ehiasym,ew20,emhi_corr_sys,w20,eb_a_innerdisk,ew50,eb_a,peaksnhi,confused,limflag,mhi_corr,hitelescope,emhi,emhi_corr_rand,w50,hiasym,grpn,grprproj_stack,grpabsrmag,logmh_dyn,grpsig,logmh_s,fc,logmh,ccr,grprproj,grpnassoc,grpmb,grp,grpms,logmh_dyn_stack,grpsig_stack,logmh_dyn_smooth,meanfsmgr,meanfsmgre15,logmstare15,kin_slit_flag,kin_done_hi,kin_done_blue,kin_done_red,kin_blue_code,kin_ifu_flag,kin_red_code,modelg_jcorr,modelu_icorr,modelu_jcorr,modelg_kcorr,absrmagcorr,modelu_kcorr,modelg_rcorr,modelu_rcorr,modelg_icorr,fuvmag,extfuv,e_fuvmag,centralout,logmbary_pc,NAME,oii_3726_flux,oii_3726_flux_err,oii_3729_flux,oii_3729_flux_err,neiii_3869_flux,neiii_3869_flux_err,h_delta_flux,h_delta_flux_err,h_gamma_flux,h_gamma_flux_err,oiii_4363_flux,oiii_4363_flux_err,h_beta_flux,h_beta_flux_err,oiii_4959_flux,oiii_4959_flux_err,oiii_5007_flux,oiii_5007_flux_err,hei_5876_flux,hei_5876_flux_err,oi_6300_flux,oi_6300_flux_err,nii_6548_flux,nii_6548_flux_err,h_alpha_flux,h_alpha_flux_err,nii_6584_flux,nii_6584_flux_err,sii_6717_flux,sii_6717_flux_err,sii_6731_flux,sii_6731_flux_err,ariii7135_flux,ariii7135_flux_err,oii_flux,oii_flux_err,oiii_flux,oiii_flux_err,Flux_HeII_3203,Flux_HeII_3203_Err,Flux_OII_3726,Flux_OII_3726_Err,Flux_OII_3728,Flux_OII_3728_Err,Flux_NeIII_3868,Flux_NeIII_3868_Err,Flux_Hd_4101,Flux_Hd_4101_Err,Flux_Hg_4340,Flux_Hg_4340_Err,Flux_OIII_4363,Flux_OIII_4363_Err,Flux_HeII_4685,Flux_HeII_4685_Err,Flux_ArIV_4711,Flux_ArIV_4711_Err,Flux_Hb_4861,Flux_Hb_4861_Err,Flux_OIII_4958,Flux_OIII_4958_Err,Flux_OIII_5006,Flux_OIII_5006_Err,Flux_HeI_5875,Flux_HeI_5875_Err,Flux_OI_6300,Flux_OI_6300_Err,Flux_NII_6547,Flux_NII_6547_Err,Flux_Ha_6562,Flux_Ha_6562_Err,Flux_NII_6583,Flux_NII_6583_Err,Flux_SII_6716,Flux_SII_6716_Err,Flux_SII_6730,Flux_SII_6730_Err
rf0003,rf0003,rf0003,rf0003,rf0003,0.01,0.564297,0.02,0.01,0.07,0.05,14.5,0.1,14.35,20.14,0.04,0.81264576,0.03,0.1,0.15,0.13,2.3154592000000003,0.07,0.09,15.33,1.73,17.72,15.8,17.07,0.862358,2.18539,0.1,14.72,16.78,0.94,0.23,4.04,0.11,0.02,3.35164,4.2663199999999994,2.0286,1.7305400000000002,8.99,-99.0,5962.9,-99.0,0.02,-17.65,3.10007,16.51,0.24,0.03,0.03,5962.9,0.05,0.11,0.02,14.69,18.89,1,1237657191979942081,0.39784200000000003,3.6088,437006149221378048,0.8382,2.1082,2.9802,2.1008,1,0,4.1573,4.1573,587731187278676021,0.937061,109434742599843840,0.7438,437006149221378048,0.9113,1237657191979942081,37.3,9.11,0.0,0.17028312,9.2712,8.9553,0.20541350000000005,8.89,-99.0,-99.0,notineco,-99.0,-3.0,E,644431000.0,0.0753734,0.0,0.0,232.05200000000002,0.0153339,9.4827,0.0151,4.99188,0,0,0.0,AO,50059500.0,0.0,197.28099999999998,-0.0523067,1.0,0.0,-17.6492,0.0,0.0,11.1059,1,10.9459,1.0,0.0,1.0,9.2705,5.0,8.9895,0.0,0.0,0.0,0.124266,0.12425399999999999,8.99,0,?,0,1,0,1,1000,1.7024299999999999,1.3430000000000002,2.51988,2.52515,-18.0272,3.3426,0.327904,1.14536,0.5255489999999999,20.6576,0.207,0.0716,0,9.265,rf0003,0.0,-0.7232295999999999,0.0,-0.7232295999999999,10.952630000000001,4.3774169999999994,63.79315,3.511187,117.8899,3.785457,-1.8379290000000001,2.772032,380.6998,12.364139999999999,35.20264,2.792937,175.9749,7.6502740000000005,27.584120000000002,2.449052,23.12675,4.312615,153.2608,3.5947080000000002,1450.8220000000001,28.0622,450.7671,10.57267,235.5519,7.211019,169.1289,5.873139,16.905379999999994,3.892254,0.0,1.022801,120.5722,3.7284269999999995,0.0,,65.22359656608906,56.13740319142987,508.3320950293728,196.4016464892994,44.83203090997663,21.557797533522788,152.95804026402556,19.48077547197727,264.7763665677801,26.30816646099982,0.0,,5.073363727829669,20.884570127554262,8.583207222266207,16.238086780382044,504.7138001872225,37.12134570306022,79.64498594377223,6.1034759926441025,224.88414291403254,16.982326764916714,39.36856748866113,5.366914731870194,23.686261635153933,4.499884868610101,152.7242441202821,6.201161502906419,1443.4814685354563,55.16952909262002,447.5125620837276,18.01397019821917,230.7594812579985,10.084789575175472,165.4472272408594,7.704040737731478
rf0010,rf0010,rf0010,rf0010,rf0010,0.02,0.20713800000000002,0.03,0.01,0.21,0.06,-99.0,0.11,14.24,18.16,0.04,0.32956582,0.05,-99.0,0.17,0.14,4.4761793,0.08,0.25,15.6,3.99,16.94,15.81,16.64,0.33857,1.41735,-0.1,-99.0,16.48,0.9,0.25,8.03,-99.0,0.06,2.17996,2.95417,1.10119,0.969757,8.49,-99.0,5498.7,-99.0,0.05,-17.89,2.19155,16.39,0.26,0.03,0.03,5446.7,0.04,0.13,0.02,15.09,17.77,1,1237657191444054061,0.482347,7.2847,439197202812790784,0.8765,0.21763000000000002,0.25367,0.010076,1,0,9.0327,9.0327,587731186742722714,0.898,109997790402183168,0.6994,439197202812790784,0.5487,1237657191444054061,0.0,8.65,0.0,0.38628188,7.9733100000000015,9.20911,0.39787126,8.39,-99.0,-99.0,notineco,-99.0,3.5,L,2943410000.0,0.0592835,0.0,428579000.0,0.0,0.0319327,4.10406,0.0,6.710089999999999,1,0,971197000.0,ALFALFA,128595000.0,230463000.0,166.30700000000004,0.16283,2.0,0.0980115,-20.1329,0.0,129.685,11.3059,0,11.5089,1.0,0.11127999999999999,3.0,9.9155,10.0,9.4945,0.0,69.1947,11.6928,2.63826,2.63825,8.49,1,0,0,1,0,0,1000000,1.06095,0.7504460000000001,1.68337,1.74311,-18.1978,2.36553,0.0759296,0.698351,0.128025,18.8177,0.2246,0.0449,0,9.285,rf0010,0.0,-0.8298643,0.0,-0.8298643,16.4084,2.937794,14.47851,2.286906,34.15779000000001,2.282962,3.276123,1.9605380000000001,90.15039,5.224404,54.01668000000001,1.9536169999999997,192.9654,10.00503,6.307736,1.6466180000000001,11.87955,2.112629,11.994060000000001,0.8020885999999999,314.8757,10.067739999999999,35.27665,2.359084,59.6723,3.190661,39.11209,2.769864,5.796974,1.234219,0.0,1.173605,163.4013,2.566227,0.0,,-17285.102240226348,-3602.781500932652,0.0,,34.95114593445622,13.847620677290289,31.196130294527325,8.330898878632471,62.27106848165738,11.503576911837722,3.1586795517464403,13.909901489484957,0.0,,0.0,,115.4253442596102,14.92035656418089,84.98927960145048,10.373792937624946,240.8387986290441,28.877881558841374,8.102414515225341,4.836193562328219,12.708098658554109,2.4000217995065585,12.588319990499372,1.1146166387019245,330.11648458248516,21.781979537596552,36.928160544304724,3.251608412976715,61.88856397414135,4.730029774552527,40.523553397481706,3.6167934502316617
rf0013,rf0013,rf0013,rf0013,rf0013,0.02,0.585669,0.02,0.01,0.03,0.05,12.13,0.1,12.08,18.8,0.04,0.59081703,0.03,0.2,0.03,0.14,4.9472732000000015,0.07,0.1,13.1,4.9,15.49,13.57,14.84,0.8886809999999999,2.20363,0.12,12.36,14.5,0.59,0.24,15.31,0.25,0.02,3.5947400000000003,4.51818,2.27979,1.9767700000000001,9.83,-99.0,5469.5,-99.0,0.03,-19.69,3.12708,14.27,0.25,0.03,0.05,5469.5,0.04,0.06,0.02,12.54,16.95,1,1237663277929922594,1.0,35.5653,439203799882557440,0.7251,0.2007,0.24475999999999998,0.11873,1,0,48.828,750.0,588015509808414749,0.56279,109997790498652160,0.0006,439203799882557440,0.7189,1237663277929922594,69.9951,9.95,0.0,0.40700406,9.48734,8.52463,0.56209935,9.65,-99.0,-99.0,notineco,-99.0,0.5,E,239056000.0,0.0,0.0,0.0,0.0,0.00566574,0.0,0.0485,0.0,0,1,0.0,AO,0.0,0.0,0.0,0.0,1.0,0.0,-19.6936,0.0,0.0,11.4539,1,11.3889,1.0,0.0,1.0,9.8205,11.0,9.8065,0.0,0.0,0.0,0.21593400000000001,0.337294,9.79,1,0,1,0,10002,0,0,1.7027,1.71575,2.85508,2.51989,-20.1413,3.6722699999999997,0.368607,1.52099,0.563368,19.4874,0.2134,0.0721,0,9.845,rf0013,0.0,-0.7255183000000001,0.0,-0.7255183000000001,324.2892,5.808721,110.0821,3.7577309999999997,208.1254,3.9048510000000003,33.26093,4.0253309999999995,523.5385,19.237029999999997,781.9736,6.6352,2789.087,43.63759,55.21059,3.213437,104.5875,12.13443,467.5607,10.50479,1726.4820000000002,36.96966,1375.1779999999999,30.896440000000002,489.92800000000005,16.73975,375.1976,15.20619,63.65598000000001,3.5022550000000003,0.0,1.026038,2410.9610000000002,12.24955,0.0,,0.0,,2.4661431714158285e+19,3.298979468465079e+18,463.0932228555378,62.4337624548852,150.91584245952353,24.525683558967284,264.3656264666551,29.24620219066307,35.39597241778344,15.899068304131928,109.93261409966593,18.25570248390484,12.418136006080848,11.139056367028454,521.4150775219993,43.193258290866744,960.3341927347761,69.82119689018451,2727.804587034887,194.24556190879608,58.824551835290315,9.20883744068075,91.64238332452658,11.272189315842496,404.16900535262795,17.595333446585123,1491.2471217129178,63.86215554431451,1186.5269633422577,51.164360138837836,419.92559190420826,20.566535601720837,321.35479143173154,17.187982609581436
rf0015,rf0015,rf0015,rf0015,rf0015,0.01,0.7293850000000001,0.02,0.01,0.11,0.05,10.97,0.09,10.76,18.42,0.04,0.82660918,0.02,0.22,0.04,0.13,5.1077407,0.07,0.13,11.72,14.64,14.58,12.41,13.79,1.08344,2.57598,-0.06,11.06,13.38,0.6,0.23,31.75,0.11,0.02,4.1692599999999995,5.11951,2.67672,2.32267,10.45,-99.0,5293.5,-99.0,0.02,-20.64,3.5262300000000004,13.11,0.23,0.03,0.12,5232.0,0.02,0.04,0.02,11.31,16.21,1,1237657191981187126,0.753899,279.346,439212870853486592,0.3208,0.058351,0.1922,0.013652000000000001,1,0,129.839,129.839,587731187279921175,0.3429,109997790658035712,0.3893,439212870853486592,0.3497,1237657191981187126,86.1079,10.53,0.0,0.45081069,8.81633,8.910960000000003,0.45081069,10.33,-99.0,-99.0,notineco,-99.0,1.0,L,581881000.0,0.0,0.0,0.0,0.0,-99.0,0.0,0.0722,0.0,0,1,0.0,ALFALFA,0.0,0.0,0.0,0.0,2.0,0.09753510000000001,-20.7069,0.0,109.006,11.8409,1,11.7379,1.0,0.0296522,2.0,10.3885,13.0,10.3745,0.0,72.9255,11.7915,0.0580374,0.300877,10.35,1,0,1,0,10000,0,0,2.20004,2.18626,3.55398,3.08588,-20.9607,4.43981,0.556608,1.9105400000000001,0.8323309999999999,19.3689,0.2005,0.0794,0,10.475,rf0015,0.0,-0.7019944,0.0,-0.7019944,14.24375,3.797626,106.4367,3.3668139999999998,206.2545,3.58998,6.341730999999999,3.3116830000000004,1578.499,24.4239,36.66936,3.061825,269.4342,19.03566,47.01361,2.867378,99.30798,12.65676,773.9133,9.84805,6054.9169999999995,53.0397,2276.216,28.96485,729.9424,20.831429999999997,561.1621,18.07551,1.30664,3.05324,0.0,0.99277,84.73048,3.836525,0.0,,7.266855805964903e+23,4.0689236079837006e+22,0.0,,114.23166929383794,23.937876281659676,760.2011662529045,51.64369474685735,1166.9801725180473,58.33635178655778,0.0,,0.0,,0.0,,2054.432469479924,71.25310515295767,119.6452590738843,9.168814379498386,337.73702536415016,25.798874960443545,157.0463939305678,23.134001549395535,99.26743012000192,12.7646576182143,752.2067974747009,15.13736702506871,5875.67686271258,104.6379122792344,2203.9297562880015,44.00746001605818,697.209229019776,22.372287593917136,535.2018155466507,18.925807791043972
rf0022,rf0022,rf0022,rf0022,rf0022,0.01,0.6811520000000001,0.02,0.01,0.17,0.05,14.16,0.09,14.22,21.7,0.03,0.5576055999999999,0.02,0.14,0.19,0.12,5.4409059,0.06,0.16,15.22,3.15,17.42,15.38,16.71,0.996334,2.23678,-0.02,13.99,16.37,0.65,0.21,6.83,0.4,0.02,3.64923,4.465269999999999,2.40878,2.0936,9.21,-99.0,5477.1,-99.0,0.03,-17.82,3.0528299999999997,16.11,0.22,0.03,0.06,5477.1,0.1,0.11,0.02,14.26,18.94,1,1237663716016717961,0.0637159,6.9715,439228813772089344,0.5812,0.43891,0.44873999999999997,0.4317,1,0,5.2807,7.2926,588015509808611444,0.8654700000000001,109997790918082560,0.564,439228813772089344,0.5053,1237663716016717961,28.9,9.29,0.0,0.010962085,8.94977,7.8519,0.018385693,9.11,-99.0,-99.0,notineco,-99.0,-1.0,E,50789300.0,0.0,0.0,0.0,0.0,-99.0,0.0,0.0041,0.0,0,1,0.0,AO,0.0,0.0,0.0,0.0,1.0,0.0,-17.8198,0.0,0.0,11.1859,1,10.9799,1.0,0.0,1.0,9.2135,17.0,9.2005,0.0,0.0,0.0,0.0104684,0.0886285,9.19,0,0,1,0,10,1,0,2.14655,2.29393,3.5099099999999996,2.94745,-17.9175,4.3108,0.634008,1.9973599999999998,0.9305709999999999,23.5754,0.1857,0.4984,0,9.215,rf0022,0.0,-0.7947133000000001,0.0,-0.7947133000000001,19.35693,2.742918,11.78547,2.079278,16.40063,1.877191,1.822082,1.840632,110.6612,5.7193879999999995,31.55814,1.776101,186.8322,5.979667,8.069922,1.538082,35.89079,3.590183,57.7284,1.436617,304.1125,5.793122,169.7894,4.225343,93.66603,4.854228,67.70498,3.710835,6.402205,1.2812350000000001,0.0,1.123894,100.02,2.229257,0.0,,175.14224813455533,751.1494919728317,0.0,,23.266204618238426,7.968315599071884,23.75338039152522,6.555071141137513,33.40176693812392,6.6838695067731235,0.6217975164784484,33.788803388467706,8.151027014555853,139.72664915429945,5.1160976105424085,7.358765638604931,83.56200666955723,9.122378875098486,49.555524184185046,4.825283027833128,141.82308276510136,13.543983561400584,12.848184777638945,3.074137194002266,28.089563034103005,3.1785869580962536,45.35613359583009,2.464251484253647,238.98733907493366,12.349381337347328,133.4692926871594,7.17733223671657,73.7621496900171,5.084403522583148,53.328006350554254,3.788753384614572
rf0031,rf0031,rf0031,rf0031,rf0031,0.01,0.680609,0.02,0.01,0.01,0.04,-99.0,0.07,11.2,18.27,0.03,-0.40728233,0.02,-99.0,0.02,0.1,7.800475599999999,0.05,0.05,12.1,7.48,14.89,12.68,14.13,1.01757,2.54219,-0.08,11.43,13.76,0.53,0.17,21.84,0.03,0.02,4.0124,4.99822,2.48778,2.15082,10.23,-99.0,5975.04,-99.0,0.02,-20.57,3.5280099999999996,13.48,0.18,0.02,0.03,5954.2,0.04,0.07,0.02,11.48,16.32,1,1237663783663960074,0.38767199999999996,39.9387,440244210780628992,0.521,0.89825,0.9572700000000001,0.23606999999999997,1,0,5.1975,35.0465,588015508735918114,0.549329,110279118154629120,0.5056,440244210780628992,0.5329,1237663783663960074,0.0,10.39,138.86700000000002,0.6932233,9.49346,9.67706,3.1636464,10.05,-99.0,-99.0,notineco,-99.0,-1.0,L,3395690000.0,0.08979730000000001,0.0,0.0,341.286,0.0211685,14.1053,0.0064,5.54269,0,0,0.0,GBT,261612000.0,0.0,289.6020000000001,-0.12004200000000001,2.0,0.12189100000000001,-20.6505,0.0,36.9554,11.7859,1,11.7169,1.0,0.119226,2.0,10.4015,24.0,10.3055,0.0,61.8247,11.6058,0.05834830000000001,0.0706967,10.29,1,0,0,1,0,0,1000000,2.23287,1.9989,3.43661,3.17188,-20.8061,4.37563,0.519482,1.72322,0.7951550000000001,19.2005,0.1517,3.1112,0,10.335,rf0031,0.0,-0.9597636999999999,79600000.0,482000000.0,16.90771,11.45699,328.1007,10.23917,568.3627,11.4473,17.17025,8.734585000000001,4238.937,84.00846999999997,139.2152,9.297905,1293.385,49.88209000000001,194.2518,8.88833,280.9546,35.81948,2166.226,30.293029999999998,16475.3,190.7189,6371.254,89.09714,2893.297,60.390519999999995,2252.967,54.75894,101.9952,11.25667,0.0,1.3573110000000002,454.57300000000004,12.766119999999999,0.0,,75554.42317883417,9016.82704707071,13848.309205242487,1288.9511217008226,1328.0775885292628,782.8135187980398,3289.489828443579,252.12109866281833,4130.088206197462,267.77324358102925,513.3923397182737,272.43153292017433,158.79897470823835,152.5251538236957,0.0,,7686.360589424459,343.5847827301727,799.2383115194582,43.451416650828,2254.870662697513,121.28139635829203,744.172210533279,64.08443199894167,386.67593184914,50.02956832873392,2895.23290529712,70.94996030546123,21982.991285753953,508.2744811884132,8481.447284192287,206.0307138352305,3797.2534123127416,107.01709814992375,2952.2856749205894,90.7817481937519
rf0053,rf0053,rf0053,rf0053,rf0053,0.01,0.351254,0.01,0.01,0.26,0.03,14.26,0.06,-99.0,19.45,0.02,-0.087803967,0.04,0.49,0.2,0.08,10.538528999999999,0.05,-99.0,15.16,3.69,17.02,15.62,16.63,0.551767,1.7334200000000002,0.08,14.61,16.42,0.79,0.15,8.99,0.25,0.02,2.92698,3.78474,1.7453299999999998,1.54481,8.71,-99.0,5513.0,-99.0,0.03,-17.89,2.59118,16.23,0.16,0.02,0.12,5513.0,0.04,0.11,0.02,14.64,18.19,1,1237657190909804710,0.249121,8.2161,442553735156099072,0.6521,0.47903,0.50766,0.4407,1,0,5.7412,9.1506,587731186208538743,0.7985869999999999,110842120528461824,0.7247,442553735156099072,0.4408,1237657190909804710,0.0,8.89,45.5944,0.11953352,8.45996,9.28475,0.15213656,8.63,-99.0,-99.0,notineco,-99.0,-0.5,L,1376000000.0,0.12854200000000002,0.0,0.0,0.0,0.0441755,6.15485,0.0442,3.7240900000000003,0,0,0.0,ALFALFA,131745000.0,0.0,173.857,0.0957728,1.0,0.0,-17.8933,0.0,0.0,11.0049,1,10.9939,1.0,0.0,1.0,9.3955,40.0,8.7485,0.0,0.0,0.0,1.6461,1.23091,8.73,1,?,0,1,0,0,1000000,1.34199,1.3586,2.38194,2.10165,-18.2776,3.14161,0.205206,1.24516,0.31864699999999996,19.9415,0.1335,0.0943,0,9.385,rf0053,0.0,-0.7669092,0.0,-0.7669092,26.83496,4.175018,29.29693,2.925256,54.22688,2.8267830000000003,2.768348,2.5267,179.0825,12.7598,101.9451,2.926707,425.3943,22.70148,16.46687,1.989236,27.134659999999997,3.19596,23.42116,1.4096799999999998,708.5621,30.727209999999996,68.88576,4.146118,111.0095,5.545433,78.42801999999998,5.513178,12.861419999999999,1.7188259999999995,0.0,1.084573,319.3739,4.8338849999999995,0.0,,5.804099460686646e+17,1.5245633925933734e+17,0.0,,90.30462486718118,35.38768797738703,86.8397241851504,26.5093979090172,134.83887166707297,30.566005690888584,10.565561366505886,29.468431796567426,0.0,,0.0,,268.2548280815855,43.486761676745125,216.81572104471746,32.33366302091665,611.2458875239083,89.44203513755399,25.891323578171765,5.781580523605055,30.360134202941477,4.324613450369233,25.404611158702764,2.406248211573719,767.2088083133347,64.96999915878034,74.40432309021287,6.993008971610903,118.11475030992085,10.04441072435754,83.31123648223205,8.174470666775004
rf0060,rf0060,rf0060,rf0060,rf0060,0.01,0.393303,0.02,0.01,1.05,0.04,14.04,0.07,13.62,18.32,0.03,-0.70129719,0.05,0.65,0.28,0.1,11.696368,0.05,0.17,14.54,9.0,16.49,15.22,16.03,0.6193390000000001,1.85769,0.01,13.67,15.81,0.33,0.18,18.1,0.1,0.02,2.8583,3.72261,1.61995,1.39392,8.91,-99.0,4871.4,-99.0,0.02,-18.23,2.722,15.64,0.18,0.02,0.05,4871.4,0.02,0.14,0.02,14.3,17.51,1,1237663783128793192,0.699837,18.1299,443689807541987328,0.3454,2.2275,2.2307,2.169,1,0,18.4746,18.4746,588015508200751236,0.363101,111123673007521792,0.4989,443689807541987328,0.2678,1237663783128793192,0.0,9.11,60.6643,0.39673408,7.7825,9.27565,0.43285073,8.79,-99.0,-99.0,notineco,-99.0,7.5,L,1347490000.0,0.07865019999999999,0.0,0.0,194.851,0.0359041,7.10175,0.0252,6.918419999999999,0,0,0.0,GBT,83325100.0,0.0,171.899,0.0351687,1.0,0.0,-18.2319,0.0,0.0,11.0799,1,11.0569,1.0,0.0,1.0,9.4315,47.0,8.9155,0.0,0.0,0.0,0.621955,0.622202,8.91,1,1,0,1,0,0,1100000,1.34934,1.06433,2.11021,2.09525,-18.6872,2.85612,0.188833,0.9497049999999999,0.30345700000000003,18.7073,0.1563,0.0429,0,9.425,rf0060,0.0,-0.815915,0.0,-0.815915,10.28565,1.878923,11.78855,1.545347,23.00114,1.2954620000000001,-0.7799216999999999,1.18571,68.00131999999999,3.975976,17.990920000000006,1.031256,79.76458000000002,3.324732,4.968659,1.0009350000000001,8.422013,1.556344,9.995546000000001,0.49666140000000003,196.583,4.100585,29.398659999999996,1.460769,51.45563,1.843912,34.98053,2.212946,5.610679,0.8253388,0.0,1.153878,60.8505,1.440521,0.0,,0.0,,0.0,,15.414827945613771,4.705716565324022,19.42357702290774,5.168114506300438,32.42959141617341,5.652593334221036,0.0,,3.3958544599353906,1.7256988777045468,0.3676846351975007,28.715090489196093,58.08404284223735,7.152425654494264,23.82598765056356,2.6615649908185164,68.04523931592118,7.460244262589461,5.32787490112089,2.2657536166440453,7.124311251542564,1.383364678915311,8.447128832108513,0.622550647334872,166.1203625287988,9.637466282354048,24.84096164492768,1.8178591182606338,43.4551972071178,2.716429129954181,29.539863560792245,2.399416284078653
rf0064,rf0064,rf0064,rf0064,rf0064,0.02,0.212416,0.04,0.01,0.39,0.08,15.99,0.15,-99.0,19.21,0.06,-0.5306116,0.14,1.64,0.7,0.21,12.621074,0.11,-99.0,-99.0,5.02,17.63,16.49,17.31,0.34268000000000004,1.4103700000000001,0.02,-99.0,17.15,0.9,0.37,11.9,-99.0,0.02,2.2962700000000003,3.06212,1.22858,1.09832,8.33,-99.0,5818.4,-99.0,0.05,-17.39,2.1762200000000003,17.01,0.38,0.05,0.04,5818.4,0.06,-99.0,0.03,15.92,18.57,1,1237656971301879998,0.608978,12.5993,443667542431524864,0.5734,1.4675,1.8205,0.12742,1,0,10.5294,65.4225,587731185672585397,0.758369,111123672659394560,0.1003,443667542431524864,0.6779999999999999,1237656971301879998,0.0,8.49,15.3039,0.13477823,7.71841,9.22513,0.16576702,8.23,-99.0,-99.0,notineco,-99.0,10.0,L,1199520000.0,0.046457,0.0,0.0,134.511,0.140175,4.47279,0.0071,10.4575,0,0,0.0,AO,33906500.0,0.0,107.882,-6.66356e-05,1.0,0.0,-17.7207,0.0,15.1546,10.8819,1,10.9019,1.0,0.0952446,2.0,9.2735,51.0,8.3315,0.0,0.0,0.0,2.03019,2.03019,8.33,1,?,0,1,0,0,1000000,1.19412,1.01616,1.9952900000000002,1.90405,-17.5858,2.70522,0.132874,0.9340440000000001,0.214993,19.4746,0.3226,0.1759,0,9.265,rf0064,0.0,-0.8261954,0.0,-0.8261954,12.13528,1.77971,17.85471,1.334077,31.60075,1.204559,3.6909300000000003,1.065831,71.45401,1.813061,53.825340000000004,1.032783,176.3879,1.7238069999999999,6.1958470000000005,0.8013714,7.015095,1.280265,4.807847,0.30486890000000005,196.4289,1.8484459999999998,14.14073,0.8966731,28.39269,1.1564379999999999,17.82475,0.9676892,3.0885119999999997,0.6775496999999999,0.0,1.168417,169.0524,1.762778,0.0,,1702213150.8916187,130040398882.24728,0.0,,10.627853219321645,2.0486462448268923,16.253897670731106,2.193925293924186,28.310629355240714,2.437513544846657,3.163633198073025,1.5381369708294619,0.0,,0.0,,57.35069681340853,3.0755353035156516,49.73143896803542,2.298891843066833,142.3266901104679,6.443639465311603,6.130796248121789,1.4431874824315578,5.833769006920951,1.0754149163905833,4.013810562665381,0.27175495727779564,164.0229928863484,4.167288810879598,11.81135164125816,0.7984204477954236,23.75711847857533,1.1034976045268163,14.917304391275522,0.8749970654981822
rf0072,rf0072,rf0072,rf0072,rf0072,0.02,0.141562,0.02,0.01,0.36,0.06,14.82,0.1,-99.0,17.9,0.04,1.0056996999999999,0.03,0.71,0.48,0.14,14.731432999999999,0.07,-99.0,15.76,8.86,16.44,15.48,16.25,0.23111900000000002,1.23147,0.03,14.44,16.1,0.56,0.25,20.29,0.37,0.02,2.06911,2.79799,1.06876,0.9792040000000001,8.57,-99.0,5462.25,-99.0,0.02,-18.3,1.96035,16.01,0.26,0.03,0.03,5474.3,0.02,0.52,0.02,14.65,17.26,1,1237663785277587650,0.334455,22.3817,780349003693844480,0.4149,0.29027,0.57131,0.049388,1,0,17.737000000000005,25.4944,588015510349545638,0.5794060000000001,111405023983828992,0.596,780349003693844480,0.2205,1237663785277587650,0.0,8.69,51.8057,0.27537085,7.4863800000000005,9.626,0.32970509,8.51,-99.0,-99.0,notineco,-99.0,11.5,L,4532130000.0,0.110355,0.0,603815000.0,0.0,0.071254,10.6556,0.075,9.60468,1,0,3019080000.0,ALFALFA,158769000.0,206125000.0,91.8833,-0.04891090000000002,2.0,0.111846,-19.2043,0.0,21.3577,11.1269,0,11.2639,1.0,0.0246665,2.0,9.8895,56.0,9.0695,0.0,42.4822,11.2426,4.07325,4.07325,8.57,1,0,0,1,0,0,1000000,1.1571,0.997475,1.9667400000000002,1.86608,-18.3732,2.67572,0.114855,0.924494,0.187836,18.2251,0.2204,0.0389,0,9.635,rf0072,0.0,-0.7182265999999999,0.0,-0.7182265999999999,214.2086,5.2056510000000005,153.3545,3.779407,293.6834,4.549529,35.33437,2.356595,456.5172,51.38668,1058.5430000000001,10.417810000000001,1317.16,142.9692,79.75385,2.2347069999999998,25.37135,3.75947,18.03666,1.855486,1145.026,87.0703,53.04899,5.457312,112.9574,9.322586,75.652,6.825133,56.677,1.808977,0.0,1.0157260000000001,3331.847,24.39417000000001,0.0,,-4535.03940551959,-1940.0025910254822,-4537.854176359427,-1938.931436817125,117.60767383213948,48.69827900636847,82.58141367437277,30.637917598855612,151.37939639401003,50.4386844874419,18.714520361621798,6.357994455259166,1.6114773385082293,4.311693544281565,3.4402466673339873,3.6125174157051125,261.0540655305875,68.52687232745787,266.69211828432185,67.05294661453961,766.1308950661502,189.24880955776334,47.45494593119271,8.72155614228563,16.323978972778015,3.222836374773492,11.752410245335303,1.849618270666776,746.6146274174802,105.09775713106222,34.624890649807014,5.408974147128335,74.17121808616001,10.323772713485033,49.7076450951995,7.128787868589181
