agntosf,ambigagn,composite,defagn,defliner,defseyf,defstarform,galname,sftoagn,sftoagn1,sftoagn2
False,False,True,False,False,False,False,rf0002,False,False,False
False,False,False,False,False,False,True,rf0003,False,False,False
False,False,False,False,False,False,True,rf0010,False,False,False
False,False,False,False,False,False,True,rf0011,False,False,False
False,False,False,True,False,True,False,rf0013,False,False,False
False,False,False,False,False,False,True,rf0015,False,False,False
False,False,False,True,True,False,False,rf0016,False,False,False
False,False,True,False,False,False,False,rf0022,False,False,False
False,False,False,False,False,False,True,rf0024,False,False,False
False,False,False,False,False,False,True,rf0029,False,False,False
False,False,False,False,False,False,True,rf0030,False,False,False
False,False,False,False,False,False,True,rf0031,False,False,False
False,False,False,False,False,False,True,rf0040,False,False,False
False,False,False,False,False,False,True,rf0048,False,False,False
False,False,False,False,False,False,True,rf0053,False,False,False
False,False,False,False,False,False,True,rf0060,False,False,False
False,False,False,False,False,False,True,rf0062,False,False,False
False,False,False,False,False,False,True,rf0064,False,False,False
False,False,False,False,False,False,True,rf0065,False,False,False
False,False,False,False,False,False,True,rf0072,False,False,False
False,False,False,False,False,False,True,rf0073,False,False,False
False,False,False,False,False,False,True,rf0092,False,False,False
False,False,False,False,False,False,True,rf0125,False,False,False
False,False,False,True,False,True,False,rf0127,False,False,False
False,False,False,False,False,False,True,rf0129,False,False,False
False,False,False,False,False,False,True,rf0132,False,False,False
False,False,False,False,False,False,True,rf0134,False,False,False
False,False,False,True,True,False,False,rf0138,False,False,False
False,False,False,False,False,False,True,rf0164,False,False,False
False,False,False,True,True,False,False,rf0166,False,False,False
False,False,False,False,False,False,True,rf0169,False,False,False
False,False,False,False,False,False,True,rf0176,False,False,False
False,False,False,False,False,False,True,rf0180,False,False,False
False,False,True,False,False,False,False,rf0190,False,False,False
False,False,False,False,False,False,True,rf0201,False,False,False
False,False,False,False,False,False,True,rf0204,False,False,False
False,False,False,False,False,False,True,rf0205,False,False,False
False,False,False,False,False,False,True,rf0223,False,False,False
False,False,False,False,False,False,True,rf0234,False,False,False
False,False,False,False,False,False,True,rf0237,False,False,False
False,False,False,False,False,False,True,rf0241,False,False,False
False,False,False,True,False,True,False,rf0248,False,False,False
False,False,False,False,False,False,True,rf0249,False,False,False
False,False,False,False,False,False,True,rf0250,False,False,False
False,False,False,False,False,False,True,rf0251,False,False,False
False,False,False,False,False,False,True,rf0258,False,False,False
False,False,False,False,False,False,True,rf0263,False,False,False
False,False,False,False,False,False,True,rf0267,False,False,False
False,False,False,True,True,False,False,rf0271,False,False,False
False,False,False,False,False,False,True,rf0283,False,False,False
False,False,False,False,False,False,True,rf0284,False,False,False
False,False,True,False,False,False,False,rf0287,False,False,False
False,False,False,False,False,False,True,rf0292,False,False,False
False,False,False,True,True,False,False,rf0295,False,False,False
False,False,False,False,False,False,True,rf0298,False,False,False
False,False,False,False,False,False,True,rf0306,False,False,False
False,False,True,False,False,False,False,rf0309,False,False,False
False,True,False,True,False,False,False,rf0315,False,False,False
False,False,False,True,True,False,False,rf0319,False,False,False
False,True,False,True,False,False,False,rf0324,False,False,False
False,False,False,False,False,False,False,rf0338,True,True,True
