agntosf,ambigagn,composite,defagn,defliner,defseyf,defstarform,galname,sftoagn,sftoagn1,sftoagn2
False,False,False,False,False,False,True,rs0127,False,False,False
False,False,True,False,False,False,False,rs0136,False,False,False
False,False,False,False,False,False,True,rs0145,False,False,False
False,False,False,False,False,False,True,rs0156,False,False,False
False,False,False,False,False,False,True,rs0168,False,False,False
False,False,True,False,False,False,False,rs0159,False,False,False
False,False,False,False,False,False,False,rs0167,True,False,True
False,False,False,False,False,False,True,rs0237,False,False,False
False,False,False,False,False,False,True,rs0247,False,False,False
False,False,False,False,False,False,True,rs0259,False,False,False
False,False,True,False,False,False,False,rs0261,False,False,False
False,False,False,False,False,False,True,rs0262,False,False,False
False,False,False,False,False,False,True,rs0264,False,False,False
False,False,True,False,False,False,False,rs0266,False,False,False
False,False,False,False,False,False,True,rs0334,False,False,False
False,False,False,False,False,False,True,rs0444,False,False,False
False,False,False,False,False,False,True,rs0532,False,False,False
False,False,False,False,False,False,True,rs0549,False,False,False
False,False,False,False,False,False,True,rs0586,False,False,False
False,False,False,False,False,False,True,rs0741,False,False,False
False,False,True,False,False,False,False,rs0745,False,False,False
False,False,False,False,False,False,True,rs0751,False,False,False
False,False,False,False,False,False,False,rs0775,True,False,True
False,False,False,False,False,False,True,rs0869,False,False,False
False,False,False,False,False,False,True,rs0942,False,False,False
True,False,False,False,False,False,False,rs1025,False,False,False
False,False,False,False,False,False,True,rs1062,False,False,False
False,False,False,False,False,False,True,rs1091,False,False,False
False,False,False,False,False,False,True,rs1137,False,False,False
False,False,False,False,False,False,False,rf0477,True,False,True
False,False,False,False,False,False,False,rf0503,True,False,True
False,False,False,False,False,False,True,rf0003,False,False,False
False,False,False,True,False,True,False,rf0013,False,False,False
False,False,False,True,False,True,False,rf0022,False,False,False
False,False,False,False,False,False,True,rf0030,False,False,False
False,False,False,False,False,False,True,rf0053,False,False,False
False,False,True,False,False,False,False,rf0062,False,False,False
False,False,False,False,False,False,True,rf0073,False,False,False
False,False,False,True,True,False,False,rf0138,False,False,False
False,False,False,True,False,True,False,rf0127,False,False,False
False,False,False,False,False,False,True,rf0201,False,False,False
False,False,False,False,False,False,True,rf0176,False,False,False
False,False,False,True,False,True,False,rf0248,False,False,False
False,False,False,False,False,False,True,rf0250,False,False,False
False,False,False,False,False,False,True,rf0249,False,False,False
False,False,False,False,False,False,True,rf0267,False,False,False
False,False,False,False,False,False,True,rf0283,False,False,False
False,False,False,False,False,False,True,rf0292,False,False,False
False,False,False,False,False,False,False,rf0306,True,False,True
False,True,False,True,False,False,False,rf0315,False,False,False
False,False,False,False,False,False,True,rf0343,False,False,False
False,False,False,False,False,False,True,rf0366,False,False,False
False,False,False,False,False,False,True,rf0359,False,False,False
False,False,False,False,False,False,True,rf0358,False,False,False
False,False,False,False,False,False,True,rf0363,False,False,False
False,False,False,True,True,False,False,rf0377,False,False,False
False,False,False,False,False,False,True,rf0383,False,False,False
False,False,False,False,False,False,True,rf0388,False,False,False
False,False,False,False,False,False,True,rf0403,False,False,False
False,False,True,False,False,False,False,rf0397,False,False,False
False,False,False,False,False,False,True,rf0396,False,False,False
False,False,False,False,False,False,False,rs0010,True,False,True
False,False,False,False,False,False,True,rs0012,False,False,False
False,False,False,True,True,False,False,rs0029,False,False,False
False,False,False,False,False,False,True,rs0062,False,False,False
False,False,False,False,False,False,True,rs0090,False,False,False
False,False,False,False,False,False,True,rs0088,False,False,False
False,False,False,False,False,False,True,rs0113,False,False,False
False,False,False,False,False,False,True,rs0095,False,False,False
False,False,False,False,False,False,True,rs0096,False,False,False
False,False,False,False,False,False,True,rs0140,False,False,False
False,False,False,False,False,False,True,rs0163,False,False,False
False,False,False,True,False,True,False,rs0181,False,False,False
False,False,False,False,False,False,True,rs0206,False,False,False
False,False,False,False,False,False,True,rs0203,False,False,False
False,False,False,False,False,False,True,rs0226,False,False,False
False,False,False,False,False,False,True,rs0225,False,False,False
False,False,False,False,False,False,True,rs0243,False,False,False
False,False,False,False,False,False,True,rs0267,False,False,False
False,False,False,False,False,False,True,rs0350,False,False,False
False,False,False,False,False,False,True,rs0424,False,False,False
False,False,False,False,False,False,True,rs0432,False,False,False
False,False,False,False,False,False,True,rs0419,False,False,False
False,False,False,False,False,False,False,rs0430,True,False,True
False,False,False,False,False,False,True,rs0463,False,False,False
False,False,False,False,False,False,True,rs0520,False,False,False
False,False,False,False,False,False,True,rs0516,False,False,False
False,False,False,False,False,False,False,rs0573,True,True,True
False,False,False,False,False,False,True,rs0724,False,False,False
False,False,False,False,False,False,True,rs0660,False,False,False
False,False,False,False,False,False,True,rs0788,False,False,False
False,False,False,False,False,False,True,rs0797,False,False,False
False,False,True,False,False,False,False,rs0798,False,False,False
False,False,False,False,False,False,True,rs0804,False,False,False
False,False,False,False,False,False,True,rs0812,False,False,False
False,False,False,True,True,False,False,rs0808,False,False,False
False,False,False,False,False,False,True,rs0842,False,False,False
False,False,False,False,False,False,True,rs0847,False,False,False
False,False,False,False,False,False,True,rs0906,False,False,False
False,False,False,False,False,False,False,rs0944,True,False,True
False,False,True,False,False,False,False,rs0978,False,False,False
False,False,False,False,False,False,True,rs0967,False,False,False
False,False,False,False,False,False,False,rs0981,True,False,True
False,False,False,False,False,False,True,rs0997,False,False,False
False,False,True,False,False,False,False,rs1023,False,False,False
False,False,False,False,False,False,True,rs0995,False,False,False
False,False,False,False,False,False,True,rs1016,False,False,False
False,False,False,False,False,False,True,rs1030,False,False,False
False,False,False,False,False,False,True,rs1035,False,False,False
False,False,False,False,False,False,False,rs1055,True,False,True
False,False,False,True,False,True,False,rs1150,False,False,False
False,False,False,True,False,True,False,rs1106,False,False,False
False,False,False,False,False,False,True,rs1126,False,False,False
False,False,True,False,False,False,False,rs1075,False,False,False
False,False,False,False,False,False,True,rs1109,False,False,False
False,False,False,True,False,True,False,rs1111,False,False,False
False,False,False,True,True,False,False,rs1116,False,False,False
False,False,False,False,False,False,True,rs1178,False,False,False
False,False,False,False,False,False,True,rs1185,False,False,False
False,False,False,False,False,False,True,rs1264,False,False,False
False,False,False,False,False,False,True,rs0001,False,False,False
False,False,False,True,False,True,False,rs0109,False,False,False
False,False,False,False,False,False,True,rs0104,False,False,False
False,False,False,False,False,False,True,rs0094,False,False,False
False,False,True,False,False,False,False,rs0134,False,False,False
False,False,False,False,False,False,True,rs0133,False,False,False
False,False,False,False,False,False,True,rs0175,False,False,False
False,False,False,False,False,False,True,rs0143,False,False,False
False,False,False,False,False,False,True,rs0183,False,False,False
False,False,False,False,False,False,True,rs0201,False,False,False
False,False,False,True,False,True,False,rs0244,False,False,False
False,False,False,False,False,False,True,rs0320,False,False,False
False,False,False,False,False,False,True,rs0337,False,False,False
False,False,False,False,False,False,True,rs0349,False,False,False
False,False,False,False,False,False,True,rs0373,False,False,False
False,False,False,False,False,False,True,rs0386,False,False,False
False,False,False,False,False,False,True,rs1259,False,False,False
False,False,False,False,False,False,True,rs1270,False,False,False
False,False,False,False,False,False,True,rs1293,False,False,False
False,False,False,False,False,False,True,rs1291,False,False,False
False,False,False,False,False,False,True,rs1297,False,False,False
False,False,False,True,True,False,False,rf0016,False,False,False
False,False,False,False,False,False,True,rf0072,False,False,False
False,False,True,False,False,False,False,rf0132,False,False,False
False,False,False,False,False,False,True,rf0364,False,False,False
False,False,False,False,False,False,True,rs0425,False,False,False
False,False,False,False,False,False,True,rs0416,False,False,False
False,False,True,False,False,False,False,rs0406,False,False,False
False,False,False,False,False,False,True,rs0452,False,False,False
False,False,False,False,False,False,True,rs0517,False,False,False
False,False,False,False,False,False,True,rs0493,False,False,False
False,False,False,False,False,False,False,rs0485,True,False,True
False,False,False,False,False,False,True,rs0541,False,False,False
False,False,False,True,False,True,False,rs0625,False,False,False
False,False,False,False,False,False,False,rs0933,True,False,True
False,False,False,False,False,False,True,rs0950,False,False,False
False,False,False,False,False,False,False,rs1021,True,False,True
False,False,False,False,False,False,True,rs1074,False,False,False
False,False,False,False,False,False,True,rs1060,False,False,False
False,False,False,False,False,False,True,rs1082,False,False,False
False,False,False,True,False,True,False,rs1129,False,False,False
False,False,False,True,False,True,False,rs1139,False,False,False
False,False,False,False,False,False,True,rs1131,False,False,False
False,False,False,False,False,False,True,rs1102,False,False,False
False,False,False,False,False,False,True,rs1103,False,False,False
False,False,False,False,False,False,False,rs1105,True,False,True
