name,confidence_level,jhu,name,port
rf0003,-2.0,-1.0,rf0003,-1.0
rf0010,-2.0,-1.0,rf0010,-1.0
rf0013,2.0,1.0,rf0013,1.0
rf0015,-2.0,-1.0,rf0015,-1.0
rf0022,2.0,1.0,rf0022,1.0
rf0024,-1.0,-1.0,rf0024,0.0
rf0029,-1.0,-1.0,rf0029,0.0
rf0030,-1.0,-1.0,rf0030,0.0
rf0031,-2.0,-1.0,rf0031,-1.0
rf0040,-1.0,-1.0,rf0040,0.0
rf0048,-1.0,-1.0,rf0048,0.0
rf0053,-2.0,-1.0,rf0053,-1.0
rf0060,-2.0,-1.0,rf0060,-1.0
rf0062,-1.0,-1.0,rf0062,0.0
rf0064,-2.0,-1.0,rf0064,-1.0
rf0065,-1.0,-1.0,rf0065,0.0
rf0072,-2.0,-1.0,rf0072,-1.0
rf0073,-2.0,-1.0,rf0073,-1.0
rf0092,-1.0,-1.0,rf0092,0.0
rf0127,2.0,1.0,rf0127,1.0
rf0129,-1.0,-1.0,rf0129,0.0
rf0132,-1.0,-1.0,rf0132,0.0
rf0134,-1.0,-1.0,rf0134,0.0
rf0138,2.0,1.0,rf0138,1.0
rf0164,-1.0,-1.0,rf0164,0.0
rf0166,1.0,1.0,rf0166,0.0
rf0176,-2.0,-1.0,rf0176,-1.0
rf0180,-2.0,-1.0,rf0180,-1.0
rf0190,1.0,1.0,rf0190,0.0
rf0201,-2.0,-1.0,rf0201,-1.0
rf0204,-1.0,-1.0,rf0204,0.0
rf0205,-1.0,-1.0,rf0205,0.0
rf0223,-2.0,-1.0,rf0223,-1.0
rf0237,-1.0,-1.0,rf0237,0.0
rf0241,-2.0,-1.0,rf0241,-1.0
rf0248,2.0,1.0,rf0248,1.0
rf0249,-1.0,-1.0,rf0249,0.0
rf0250,-2.0,-1.0,rf0250,-1.0
rf0251,-1.0,-1.0,rf0251,0.0
rf0258,-1.0,-1.0,rf0258,0.0
rf0263,-2.0,-1.0,rf0263,-1.0
rf0267,-2.0,-1.0,rf0267,-1.0
rf0283,-2.0,-1.0,rf0283,-1.0
rf0284,-2.0,-1.0,rf0284,-1.0
rf0292,-2.0,-1.0,rf0292,-1.0
rf0298,-1.0,-1.0,rf0298,0.0
rf0306,-1.0,-1.0,rf0306,0.0
rf0309,1.0,1.0,rf0309,0.0
rf0324,2.0,1.0,rf0324,1.0
rf0339,-2.0,-1.0,rf0339,-1.0
rf0343,-2.0,-1.0,rf0343,-1.0
rf0348,-2.0,-1.0,rf0348,-1.0
rf0351,-1.0,-1.0,rf0351,0.0
rf0354,-2.0,-1.0,rf0354,-1.0
rf0358,-2.0,-1.0,rf0358,-1.0
rf0363,-2.0,-1.0,rf0363,-1.0
rf0364,-1.0,-1.0,rf0364,0.0
rf0366,-2.0,-1.0,rf0366,-1.0
rf0372,2.0,1.0,rf0372,1.0
rf0377,2.0,1.0,rf0377,1.0
rf0383,-1.0,-1.0,rf0383,0.0
rf0385,-1.0,-1.0,rf0385,0.0
rf0386,-2.0,-1.0,rf0386,-1.0
rf0388,-1.0,-1.0,rf0388,0.0
rf0396,-1.0,-1.0,rf0396,0.0
rf0397,2.0,1.0,rf0397,1.0
rf0399,-2.0,-1.0,rf0399,-1.0
rf0400,-1.0,-1.0,rf0400,0.0
rf0403,-2.0,-1.0,rf0403,-1.0
rf0415,-1.0,-1.0,rf0415,0.0
rf0419,-2.0,-1.0,rf0419,-1.0
rf0428,-2.0,-1.0,rf0428,-1.0
rf0439,-1.0,-1.0,rf0439,0.0
rf0474,-2.0,-1.0,rf0474,-1.0
rf0477,1.0,1.0,rf0477,0.0
