name,radeg,dedeg
rf0073,14.767174,1.0011835
rf0250,24.296472,0.88248657
rf0266,28.224302,-0.90206277
rf0284,29.044061,0.25448189
rf0316,33.507626,-0.97743831
rf0358,38.15924,0.59446632
rf0363,38.197825,0.67806565
rf0419,330.45871,-0.70729601
rf0707,40.340884,0.05816217
rs0001,133.07094,3.7298823
rs0003,133.68635,4.3019552
rs0127,146.30087,0.035460408
rs0145,147.19285,0.27186768
rs0156,147.89727,0.43488855
rs0178,149.91796,3.2930701
rs0241,155.5738,0.010365953
rs0246,155.77914,1.0061422
rs0264,156.83775,0.42236355
rs0339,162.68759,3.5135272
rs0350,163.69943,2.9479643
rs0373,165.81079,3.724863
rs0380,166.45824,0.40316383
rs0463,171.0652,2.9585998
rs0493,172.55178,3.801093
rs0517,173.78109,4.221012
rs0520,173.9117,1.3576178
rs0526,174.43621,4.075059
rs0532,174.87362,0.11662229
rs0536,175.07898,4.2697144
rs0541,175.29068,4.6257403
rs0560,176.88353,2.7876364
rs0724,181.63144,1.6166021
rs0734,182.17802,1.4565902
rs0782,183.89462,1.2864481
rs0804,185.16795,2.7581327
rs0812,185.76816,3.6659076
rs0840,187.42097,0.2534773
rs0967,197.39318,1.6232639
rs1100,203.64064,4.9188438
rs1103,203.71245,4.2369242
rs1128,204.34076,4.6890855
rs1137,204.52685,0.020438577
rs1169,205.11818,3.7586485
rs1172,205.14099,4.8202809
rs1178,205.24583,3.069713
rs1179,205.33338,4.9563875
rs1187,205.52086,0.71832852
rs1259,212.19482,4.9098567
rs1291,224.22974,4.2051356
rs1297,230.94148,2.670355
rs1456,205.20741,2.8178559
