name,ekmag,emw1,emw2,emw3,emw4,kmag,mur50,mw1,mw2,mw3,mw4,name,ukidsskflag,ukidsskmag
rs0001,0.0,0.015685428,0.021852944,0.03797814,0.06795214,0.0,20.661211,14.011207,13.577936,11.286523,7.590288,rs0001,   0,14.8851
rs0002,0.0973,0.0032533198,0.0076743253,0.055125028,0.3662841,12.4923,21.70162,12.406121,12.261506,9.032444,7.7641497,rs0002,   0,12.8054
rs0003,0.2218,0.008779552,0.013359692,0.015333615,0.11509396,14.1047,20.031902,13.395013,13.27409,9.8031845,7.07512,rs0003,   0,13.4153
rs0005,0.0828,0.0043405807,0.008080524,0.028464943,0.07867462,12.406,20.401913,12.37568,12.248861,8.736786,6.4924974,rs0005,   1,0.0
rs1314,0.2777,0.013420335,0.016751884,0.04598965,0.306335,13.9472,20.191385,13.892071,13.839946,10.054806,8.156343,rs1314,   0,13.9639
rs0006,0.0,0.035919074,0.039354496,0.17661178,0.0,0.0,20.998259,14.247115,14.093189,12.513806,0.0,rs0006,   0,15.3442
rs0007,0.4591,0.02924561,0.18841396,0.29296678,2.2371368,14.3667,21.55075,14.301486,14.009673,11.576515,10.148033,rs0007,   0,14.5804
rs0010,0.25,0.020876639,0.11982933,0.9604021,0.47068185,13.8139,21.664677,13.497882,13.167444,9.938282,7.9052525,rs0010,   0,14.0611
rs0011,0.0,0.035849188,0.04632174,0.0932684,4.5948505,0.0,21.841747,14.349485,14.368078,11.667974,9.24189,rs0011,   1,0.0
rs0013,0.2926,0.013767533,0.05631323,0.032116417,5.2158136,13.5562,21.56764,13.15376,12.92852,10.493266,8.22311,rs0013,   1,0.0
rs0014,0.0796,0.0061388263,0.005632874,0.07626171,0.0,12.4037,19.164955,12.010346,12.168898,11.529417,0.0,rs0014,   0,12.5352
rs0015,0.0,0.08035009,0.03635822,0.17978771,0.14998783,0.0,20.557762,14.530048,14.765523,10.832112,9.464431,rs0015,   0,15.0623
rs0016,0.5961,0.020341977,0.027599812,0.19964711,2.328958,13.963,23.306425,13.647657,14.127205,11.237488,9.628529,rs0016,   0,15.6057
rs0017,0.1262,0.0045583867,0.022675734,0.016679613,0.09836917,13.0256,21.04578,12.574023,12.37416,9.320699,7.653291,rs0017,   0,13.0292
rs0018,0.1692,0.0009816367,0.0018907533,0.05417121,0.3613127,11.0502,19.702507,11.014225,11.060075,10.439792,9.398746,rs0018,   0,11.1627
rs0019,0.1729,0.0056738574,0.040469974,0.1279955,0.056965865,12.8569,21.629694,12.691524,12.554579,9.500798,8.077728,rs0019,   0,13.1513
rs0021,0.1051,0.026605885,0.030015267,0.14581518,0.28225157,14.1513,21.08116,14.133182,14.044312,10.609648,8.41248,rs0021,   0,14.5777
rs0022,0.0359,0.0013039849,0.0031094488,0.004586125,0.011249834,12.088,19.95874,11.888428,11.851086,8.5292635,5.9217196,rs0022,   1,0.0
rs0025,0.2419,0.060750335,0.37235233,0.104777865,4.429704,13.897,22.822674,12.486018,11.676429,11.675062,8.341471,rs0025,   1,0.0
rs0027,0.5721,0.0047393613,0.013165121,0.073656924,0.0,13.7444,21.614782,13.707918,13.696452,11.687132,0.0,rs0027,   0,13.9185
rs0028,0.0,0.046356928,0.045217592,0.9900058,3.3580894,0.0,23.200607,14.939244,15.213994,13.981611,9.569684,rs0028,   1,0.0
rs0029,0.0928,0.0008044224,0.0019031954,0.027085295,0.108099684,11.0716,19.265945,10.957162,10.954731,9.869186,8.526048,rs0029,   1,0.0
rs0030,0.6835,0.030975947,0.015484317,0.020414196,0.039705392,12.9637,22.275005,12.503577,12.768689,9.363615,8.049146,rs0030,   1,0.0
rs0031,0.201,0.001296491,0.003974486,0.12641783,0.0,11.7448,19.344543,11.691692,11.661182,11.223468,0.0,rs0031,   1,0.0
rs0032,0.1293,0.00066770025,0.0020842676,0.023249123,0.05004438,9.7768,21.007616,9.232754,9.329839,8.3927145,6.6475716,rs0032,   0,9.7027
rs0033,0.2102,0.0040535866,0.012076729,0.078896075,0.0,12.021,20.95155,12.038029,12.0612335,10.597696,0.0,rs0033,   0,12.2594
rs0037,0.0,0.061277274,0.2087923,0.35662845,3.0470505,0.0,21.495857,15.46695,15.029974,14.6832485,9.892813,rs0037,   1,0.0
rs0038,0.8214,0.024004582,0.031194292,0.069087535,0.0,13.1133,22.78141,13.466582,13.453593,11.466751,0.0,rs0038,   0,13.8599
rs0039,0.0,0.058102224,0.13020395,0.13382128,2.5115962,0.0,21.733799,14.178697,14.418329,12.00523,10.194397,rs0039,   0,14.5287
rs0040,0.0,0.06937241,0.3364147,0.15695153,0.0,0.0,21.933784,14.440163,14.203287,12.425534,0.0,rs0040,   1,0.0
rs0041,0.8372,0.010794581,0.033406053,0.070402026,0.0,13.9184,23.179745,13.902166,14.0640545,11.311067,0.0,rs0041,   0,14.4033
rs0042,0.3709,0.011168229,0.025220457,0.17614725,0.0,13.4014,22.960274,13.93815,14.102532,12.309544,0.0,rs0042,   1,0.0
rs0043,0.0,0.03812821,0.061335284,0.76574296,0.0,0.0,21.924995,16.123617,15.757145,14.797538,0.0,rs0043,   0,15.6715
rs0044,0.3725,0.001766922,0.006212869,0.05430605,2.9156759,12.1323,19.85332,11.971512,11.952201,10.737077,7.907122,rs0044,   0,12.3108
rs0045,0.382,0.039388116,0.047094602,0.27463007,2.0816503,14.3293,21.768818,13.420453,13.463938,10.845594,8.907864,rs0045,   0,14.0164
rs1315,0.716,0.0056590796,0.015425166,0.020658728,0.15464994,13.0573,19.991407,12.94608,12.587788,8.465137,6.9777765,rs1315,   0,13.4413
rs0047,0.0,0.09949229,0.09991306,2.0303886,0.0,0.0,22.1255,14.670211,15.113558,12.949114,0.0,rs0047,   0,15.3422
rs0048,0.1536,0.0024850473,0.0040437086,0.025028812,0.018327123,12.4669,21.309061,12.159544,12.162625,8.490233,6.7433405,rs0048,   0,12.6842
rs0049,0.0767,0.00055295345,0.0016948514,0.040731195,2.4704938,10.9352,19.379324,10.69718,10.662311,9.8068285,9.323149,rs0049,   0,10.9384
rs0050,0.3182,0.0018222395,0.004656126,0.016325194,0.03828514,11.7218,22.339085,12.005605,11.941222,8.879182,6.695234,rs0050,   0,12.0061
rs0051,0.1237,0.013417224,0.030419512,0.11223115,0.23196994,13.9117,20.857107,13.390641,13.325621,9.922273,8.352493,rs0051,   0,13.7768
rs0052,0.2011,0.003361536,0.0068095904,0.08467471,0.24476948,13.0607,21.779976,12.465628,12.361351,9.229174,7.378703,rs0052,   0,12.9438
rs0053,0.057,0.0004563105,0.0010598113,0.0012821335,0.0047155214,10.1708,20.560644,9.895865,9.847641,6.631498,4.9227095,rs0053,   1,0.0
rs0054,1.2208,0.015231285,0.014938071,0.114395544,0.10664156,14.1105,23.740566,12.211151,12.469502,11.293889,8.3193655,rs0054,   0,11.1167
rs0055,0.1212,0.0015051113,0.0054388917,0.006231725,0.022089181,11.9824,21.660357,12.092406,11.89772,8.511937,6.5817075,rs0055,   0,12.3034
rs0056,0.3079,0.010655111,0.049479764,0.0921332,0.04953418,14.1275,21.13368,13.3240595,13.115352,10.178273,8.463549,rs0056,   1,0.0
rs0060,0.0,0.10266357,0.2630909,0.35154718,2.9165292,0.0,21.007517,15.351678,15.047681,12.526911,9.2811575,rs0060,   0,15.3516
rs1318,0.0293,0.0004362005,0.0010921331,0.0008014735,0.002040718,10.9747,19.787193,10.638381,10.479431,6.6482596,4.536823,rs1318,   0,10.9562
rs1319,0.0434,0.0004515434,0.00092933344,0.019804772,0.09111748,10.5511,19.792997,10.441933,10.468822,9.238239,7.0191693,rs1319,   0,10.6372
rs0062,0.1903,0.014563923,0.076570585,0.31161362,0.2589784,13.857,20.375542,14.234628,14.042998,10.950689,8.862563,rs0062,   0,14.2434
rs0063,0.1291,0.00079938385,0.0026874659,0.020806756,0.26151755,11.8375,20.471632,11.694877,11.619451,10.185426,8.08656,rs0063,   1,0.0
rs0064,0.0782,0.0008295221,0.0013879272,0.0021231463,0.010487866,11.0681,20.302826,10.9813385,10.87503,7.2683325,5.4512677,rs0064,   0,11.3556
rs0065,0.1783,0.010233488,0.0309151,0.08584553,2.6343443,13.996,22.392006,14.052703,14.2285185,11.5491,9.067562,rs0065,   0,14.4389
rs0067,0.0,0.068782985,0.13779157,0.1741899,2.3614848,0.0,21.964933,15.054112,14.789397,11.335917,10.803543,rs0067,   1,0.0
rs0070,0.0,0.033901654,0.050326932,1.8698529,2.961973,0.0,21.59255,15.040968,15.070262,13.531819,9.751761,rs0070,   0,15.1123
rs0071,0.1162,0.011526575,0.017130105,0.10911889,0.17879848,14.0513,21.130522,13.746576,13.70749,11.989514,8.712845,rs0071,   0,13.9273
rs1320,0.4892,0.0018870224,0.0047020745,0.0988952,0.0,11.7495,19.47013,11.7940445,11.78882,10.612085,0.0,rs1320,   0,12.3865
rs0074,0.3421,0.030671716,0.038732547,0.11888933,0.06304502,14.2149,22.584267,13.510175,13.604952,10.470923,8.450733,rs0074,   0,14.8362
rs0075,0.2046,0.012647887,0.050392356,1.7290256,0.0,13.1219,20.707607,12.735648,12.614331,12.724893,0.0,rs0075,   1,0.0
rs0077,0.3254,0.0021109947,0.003962924,0.010731162,0.027480476,11.2664,21.789574,10.984476,10.86467,7.1056128,5.1950264,rs0077,   0,11.6488
rs0078,0.0,0.073129416,0.023597466,0.3289809,0.0,0.0,22.44909,13.831202,14.572354,12.148632,0.0,rs0078,   0,14.7156
rs0080,0.0338,0.000450132,0.0010928925,0.013185257,0.4220357,10.2244,19.342821,10.02977,10.093281,9.182037,7.516695,rs0080,   1,0.0
rs0083,0.0,0.09338941,0.15185788,0.2740362,1e+33,0.0,24.184647,13.872077,12.903209,12.68005,11.135248,rs0083,   1,0.0
rs0084,0.3373,0.007384442,0.071456224,0.095461205,2.3280463,14.4946,21.569311,14.304933,13.952019,11.015164,9.23951,rs0084,   0,14.6224
rs0085,0.3435,0.0056998283,0.021219024,0.02791197,0.061096214,13.4451,22.10192,12.955746,12.961814,10.040828,7.646409,rs0085,   0,13.4244
rs0088,0.0,0.017751755,0.00840532,0.028503401,0.33200574,0.0,21.383762,13.110383,13.244051,9.65521,6.7080555,rs0088,   0,13.9322
rs0087,0.0296,0.00042191413,0.00077259546,0.0006182264,0.001471844,11.2444,19.50174,10.641875,10.409026,6.3064075,3.8847582,rs0087,   0,11.2671
rs0089,0.3673,0.0007501503,0.0017203167,0.0041083745,0.011095838,11.9556,20.728374,11.265862,11.1856985,7.5866966,5.881768,rs0089,   1,0.0
rs0090,0.3416,0.02069619,0.09076624,0.16316506,2.5101264,13.7189,21.23481,14.260253,13.9480505,11.963142,9.439854,rs0090,   0,14.6571
rs0091,0.1355,0.0029332296,0.0074812355,0.04912021,0.0,12.2107,20.075342,11.798094,11.923926,11.233356,0.0,rs0091,   0,12.2412
rs0092,0.5162,0.0050399853,0.010736573,0.030996233,6.406681,12.7842,21.0682,13.383846,13.548534,10.728408,8.318521,rs0092,   0,13.3978
rs0093,0.5237,0.0058574784,0.0119511215,0.029876187,0.035668563,13.0535,21.437052,12.520004,12.5346775,9.3532505,7.4367857,rs0093,   0,12.8663
rs0094,0.3303,0.006976572,0.050259043,0.015651068,0.035341885,13.1387,21.760513,12.491515,12.00225,9.277928,7.474166,rs0094,   0,12.9639
rs0095,0.0,0.055922866,0.07846563,0.67998725,2.914647,0.0,21.385412,14.61773,14.566126,11.18046,9.407008,rs0095,   1,0.0
rs0096,0.0569,0.0020058125,0.003404027,0.004774262,0.012393418,11.7172,20.296232,11.45211,11.329639,7.559291,5.6585746,rs0096,   0,11.903
rs0097,0.1558,0.0043381928,0.010801277,0.016202107,0.026363084,13.089,22.245235,13.030109,12.858591,10.03013,7.2013116,rs0097,   1,0.0
rs0098,0.1644,0.005616338,0.015410304,0.19465731,0.10491876,13.4832,21.00236,13.174466,13.130947,9.386898,8.389969,rs0098,   0,13.4842
rs0099,0.0,0.23669861,0.05793577,0.6557858,25.71206,0.0,22.808525,14.688299,15.059428,13.599285,9.430294,rs0099,   1,0.0
rs0104,0.4649,0.03460241,0.18564326,0.08016593,0.11291425,12.7765,21.1374,12.956261,12.617917,10.510343,7.7616196,rs0104,   0,13.7247
rs0105,0.0,0.015487921,0.16290554,0.10533788,0.590947,0.0,22.297924,14.318117,13.91042,11.170043,10.109699,rs0105,   0,14.6512
rs0107,0.1345,0.0005381147,0.0008270239,0.001762378,0.009750858,11.1462,20.564384,10.641987,10.43665,6.6985235,4.7485137,rs0107,   0,11.0466
rs0108,0.1937,0.00465936,0.010992503,0.10856664,0.17184411,13.8333,20.09988,13.909359,13.852278,11.669895,8.499829,rs0108,   0,14.0135
rs0109,0.0227,0.0005446773,0.0011011615,0.008129514,0.022959804,10.8779,20.126457,10.509524,10.365205,7.962391,6.1959295,rs0109,   0,10.9884
rs1321,0.0,0.033545986,0.108793244,2.3509436,12.426744,0.0,21.73789,15.26711,15.122114,12.796164,9.940373,rs1321,   1,0.0
rs0113,0.1181,0.00082501175,0.0017592371,0.0031796105,0.0068293535,11.5887,20.855572,11.452564,11.337287,8.099297,5.810007,rs0113,   0,11.7888
rs0114,0.1237,0.0076445104,0.020805437,0.018601192,0.036574956,13.2989,22.140495,12.900825,12.711245,9.283004,7.7755556,rs0114,   0,13.3037
rs0117,0.0955,0.004234087,0.006571491,0.037274763,0.10042124,11.9915,20.686169,11.640471,11.89102,9.602555,7.374449,rs0117,   0,11.9206
rs0123,0.1536,0.017322248,0.12439664,0.13261308,2.177988,14.4034,22.038336,14.127258,13.724341,10.384426,9.113445,rs0123,   0,14.6348
rs0125,0.3022,0.0005146806,0.0013770445,0.0474013,0.14010026,11.0274,20.147736,10.787589,10.793963,9.922906,7.0044427,rs0125,   0,10.8911
rs0126,0.0,0.011861036,0.0934124,1.1838315,0.0,0.0,21.71591,15.029145,14.76435,13.83638,0.0,rs0126,   0,14.9622
rs0127,0.1177,0.009074636,0.03593156,0.036829274,0.30797023,13.2603,20.061214,12.954854,12.753376,9.292742,6.564403,rs0127,   0,13.3171
rs0128,0.1714,0.005126624,0.02922676,0.028312678,0.34120354,13.4857,20.845947,12.95075,12.862166,9.603497,7.7348547,rs0128,   0,13.2032
rs0129,0.1508,0.001030672,0.0031895854,0.005157075,0.022324506,11.6536,20.547562,11.70769,11.536818,7.950257,6.336442,rs0129,   0,12.064
rs0133,0.0371,0.0003238811,0.0005624599,0.00061189337,0.0018557973,10.7837,20.496283,10.30165,10.043306,5.9425364,3.785104,rs0133,   0,10.7996
rs0134,0.0295,0.00033213594,0.00067569385,0.00062390446,0.0021636533,10.1021,20.37882,9.758039,9.5178995,5.6993046,3.770807,rs0134,   0,10.1233
rs0135,0.1764,0.007415266,0.0312558,0.010320997,0.032143876,12.6003,22.335777,12.356753,12.262092,9.201988,7.1379967,rs0135,   0,12.9521
rs0136,0.203,0.0004104665,0.00070567714,0.0007125527,0.0034351365,10.7567,19.889175,10.577683,10.316087,6.5682187,4.614727,rs0136,   1,0.0
rs0137,0.2233,0.0267864,0.010898391,0.0118968105,0.03599934,14.4898,21.39153,13.637231,12.212704,7.789056,5.065501,rs0137,   1,0.0
rs0138,0.1726,0.04798851,0.0441504,0.16326952,1.6936717,14.383,21.137445,14.277465,14.261504,12.259585,10.364076,rs0138,   0,14.5914
rs0139,0.0,0.16266082,0.29442254,0.113928854,0.31729212,0.0,21.523891,14.567706,14.219597,11.425768,8.048789,rs0139,   0,15.2077
rs0141,0.1324,0.057440467,0.07956111,1.2588743,1.9782971,13.7178,20.687778,13.255399,13.277698,10.059651,9.670397,rs0141,   1,0.0
rs0142,0.3099,0.00097044033,0.0021173656,0.0029091705,0.01713239,11.7251,20.055958,11.691493,11.503893,7.6592603,5.8332815,rs0142,   0,12.1038
rs0143,0.2085,0.001041276,0.0024925813,0.0038793047,0.042322263,12.0783,20.216703,12.09302,11.942377,8.230703,6.0057454,rs0143,   1,0.0
rs0145,0.0987,0.003825737,0.01027935,0.03815889,0.08680315,12.9523,19.911205,12.565481,12.404173,8.9646635,6.6856556,rs0145,   0,12.8072
rs0147,0.189,0.0052315164,0.019928034,0.02413765,0.050623875,12.7795,20.726353,12.688927,12.411935,9.401332,7.1817527,rs0147,   0,13.1764
