name,mw3w,mw4w,groupcz,deextrestnuvmag,sfr_nuv,sfr_nuv_wisew
"rf0001",0.00000,0.00000,6683.80,-16.6195,0.1838162421412916,0.1838162421412916
"rf0002",0.00000,0.00000,6583.80,-18.1263,0.7363247659444946,0.7363247659444946
"rf0003",0.00000,0.00000,5962.90,-18.3373,0.8943112361394534,0.8943112361394534
"rf0004",7.63090,5.27211,6365.90,-14.6374,0.02961520417254072,0.8407569943944511
"rf0005",0.00000,0.00000,5565.40,-16.5089,0.1660055830417357,0.1660055830417357
"rf0006",0.00000,0.00000,5543.70,-17.3063,0.3460179153114211,0.3460179153114211
"rf0007",0.00000,0.00000,5680.45,-17.9524,0.6273467128387193,0.6273467128387193
"rf0008",0.00000,0.00000,5680.45,-15.4041,0.06000909595661437,0.06000909595661437
"rf0009",0.00000,0.00000,5330.50,-16.8416,0.2255336701946977,0.2255336701946977
"rf0010",0.00000,0.00000,5498.70,-16.0171,0.1055374039936761,0.1055374039936761
"rf0011",0.00000,0.00000,5498.70,-17.4392,0.3910723537045706,0.3910723537045706
"rf0012",0.00000,0.00000,5541.20,-16.8123,0.2195231913008402,0.2195231913008402
"rf0013",0.00000,0.00000,5469.50,-17.3554,0.3620055706950318,0.3620055706950318
"rf0014",0.00000,0.00000,5850.60,-17.2991,0.3437362239468014,0.3437362239468014
"rf0015",0.00000,0.00000,5293.50,-15.5115,0.06624814149077571,0.06624814149077571
"rf0016",0.00000,0.00000,5736.92,-16.6681,0.1922283642306894,0.1922283642306894
"rf0017",0.00000,0.00000,5521.80,-16.0528,0.1090692539379633,0.1090692539379633
"rf0018",0.00000,0.00000,5293.50,-18.0398,0.6799656076870645,0.6799656076870645
"rf0019",0.00000,0.00000,5736.92,-15.5172,0.06659667651430767,0.06659667651430767
"rf0020",0.00000,0.00000,5736.92,-17.5080,0.4166635290369181,0.4166635290369181
"rf0021",0.00000,0.00000,5617.60,-15.5544,0.06891477023123076,0.06891477023123076
"rf0022",0.00000,0.00000,5477.10,-16.0545,0.1092368599009721,0.1092368599009721
"rf0023",0.00000,0.00000,5562.00,-17.8844,0.5893039838447551,0.5893039838447551
"rf0024",0.00000,0.00000,5501.70,-15.4856,0.06468446640818992,0.06468446640818992
"rf0025",0.00000,0.00000,5499.90,-15.0011,0.04139956870752544,0.04139956870752544
"rf0026",0.00000,0.00000,4480.10,-15.4756,0.06409232285726914,0.06409232285726914
"rf0027",0.00000,0.00000,4515.90,-12.7753,0.005329568116223471,0.005329568116223471
"rf0028",0.00000,0.00000,5975.04,-15.1281,0.04653945744375448,0.04653945744375448
"rf0029",0.00000,0.00000,5886.30,-12.3514,0.003606697192386565,0.003606697192386565
"rf0030",0.00000,0.00000,5886.30,-15.7329,0.08122846635343103,0.08122846635343103
"rf0031",0.00000,0.00000,5975.04,-17.7006,0.4974935525608656,0.4974935525608656
"rf0032",0.00000,0.00000,5495.90,-15.0612,0.04375538032468665,0.04375538032468665
"rf0033",0.00000,0.00000,5999.40,-17.2408,0.3257382050026439,0.3257382050026439
"rf0034",0.00000,0.00000,5400.10,-14.6977,0.03130785798400471,0.03130785798400471
"rf0035",0.00000,0.00000,4387.60,-17.2482,0.3279844902976640,0.3279844902976640
"rf0036",0.00000,0.00000,4405.97,-16.4180,0.1526720351762066,0.1526720351762066
"rf0037",0.00000,0.00000,4405.97,-15.2733,0.05319914491376908,0.05319914491376908
"rf0038",0.00000,0.00000,4405.97,-15.3766,0.05850587954065935,0.05850587954065935
"rf0039",0.00000,0.00000,4432.50,-15.2610,0.05259827670754209,0.05259827670754209
"rf0040",0.00000,0.00000,5984.30,-14.9351,0.03895820090960214,0.03895820090960214
"rf0041",0.00000,0.00000,4405.97,-15.9346,0.09781216504887859,0.09781216504887859
"rf0042",0.00000,0.00000,5933.20,-17.5905,0.4495389761901669,0.4495389761901669
"rf0043",0.00000,0.00000,5933.20,-16.0250,0.1063058905892836,0.1063058905892836
"rf0044",0.00000,0.00000,5794.85,-15.0821,0.04460544944890952,0.04460544944890952
"rf0045",0.00000,0.00000,5794.85,-15.5716,0.07001867336329463,0.07001867336329463
"rf0046",0.00000,0.00000,5385.10,-15.9486,0.09908643698152481,0.09908643698152481
"rf0047",0.00000,0.00000,5555.55,-18.1671,0.7645627751624380,0.7645627751624380
"rf0048",0.00000,0.00000,5459.10,-15.5285,0.06729217856005326,0.06729217856005326
"rf0049",0.00000,0.00000,5459.10,-18.2782,0.8469403382520300,0.8469403382520300
"rf0050",0.00000,0.00000,5555.55,-15.4724,0.06390535461383992,0.06390535461383992
"rf0051",0.00000,0.00000,5942.50,-15.6794,0.07732392737980397,0.07732392737980397
"rf0052",0.00000,0.00000,5522.16,-18.3513,0.9058761409220371,0.9058761409220371
"rf0053",0.00000,0.00000,5513.00,-16.3933,0.1492348698464674,0.1492348698464674
"rf0054",0.00000,0.00000,5522.16,-17.5513,0.4335875025438092,0.4335875025438092
"rf0055",0.00000,0.00000,5522.16,-19.9235,3.854399805684930,3.854399805684930
"rf0056",0.00000,0.00000,5372.30,-17.1110,0.2890523928110769,0.2890523928110769
"rf0057",0.00000,0.00000,5583.30,-18.8106,1.382997205523424,1.382997205523424
"rf0058",0.00000,0.00000,5592.00,-17.7485,0.5199446033482926,0.5199446033482926
"rf0059",0.00000,0.00000,5733.20,-15.9961,0.1035202128195904,0.1035202128195904
"rf0060",0.00000,0.00000,4871.40,-15.8565,0.09102286973388117,0.09102286973388117
"rf0061",0.00000,0.00000,5898.70,-16.5397,0.1707780276907390,0.1707780276907390
