name,mass,nuv,fuv,inextfuv
"rs0001",8.63000,-16.5669,-16.4353,-1.02596
"rs0002",9.45000,-17.7540,-17.4679,-2.06384
"rs0003",9.03000,-18.4464,-18.4383,-0.952175
"rs0004",8.47000,-15.0819,-14.8801,-1.62782
"rs1313",8.33000,-16.4020,-16.3174,-0.861149
"rs0005",9.95000,-16.9348,-16.4529,-1.90790
"rs1314",8.99000,-17.6563,-17.5834,-1.43855
"rs0006",8.21000,-15.6202,-15.4259,-0.727648
"rs0007",8.85000,-16.6870,-16.5196,-0.944998
"rs0009",8.41000,-16.0416,-15.8624,-0.927498
"rs0010",8.89000,-17.4092,-17.2547,-1.04415
"rs0011",8.89000,-16.9703,-16.7437,-1.30085
"rs0012",9.21000,-17.7265,-17.4756,-0.734993
"rs0013",9.07000,-17.5403,-17.3593,-1.14251
"rs0014",10.0500,-15.3533,-13.9125,-0.757673
"rs0015",8.57000,-16.6300,-16.4965,-0.836025
"rs0016",8.81000,-16.6750,-16.5488,-0.708134
"rs0017",9.55000,-17.9518,-17.7105,-1.31306
"rs0018",10.4900,-15.5802,-14.4130,-0.622253
"rs0019",9.23000,-18.1162,-18.0916,-1.78674
"rs0020",8.41000,-15.6650,-15.4612,-0.572105
"rs0021",8.95000,-15.5714,-15.1938,-1.29221
"rs0022",9.79000,-17.7550,-17.6358,-1.59496
"rs0023",8.93000,-15.8238,-15.7645,-1.62120
"rs0024",8.23000,-14.9771,-14.6447,-0.516668
"rs0025",9.13000,-16.2833,-15.9389,-1.61821
"rs0026",8.71000,-12.7617,-11.1291,-1.09320
"rs0027",9.09000,-15.2118,-14.4433,-1.79181
"rs0028",8.57000,-12.3442,-10.0702,-0.672604
"rs0029",10.3700,-15.6330,-14.4062,-0.885147
"rs0030",9.25000,-17.8610,-17.7428,-0.867428
"rs0031",9.99000,-15.0090,-13.5463,-0.664597
"rs0032",10.9700,-17.3809,-16.1820,-0.901766
"rs0033",9.97000,-14.7010,-13.3737,-0.610798
"rs0034",8.59000,-17.1642,-17.1624,-1.78070
"rs0035",8.55000,-16.3860,-16.1778,-0.935322
"rs0037",8.33000,-15.2118,-14.9338,-0.850920
"rs0038",9.13000,-16.1960,-15.8847,-1.97013
"rs0039",8.59000,-15.2916,-14.9091,-0.871948
"rs0040",8.73000,-14.9634,-14.5824,-1.51032
"rs0041",8.91000,-16.6870,-16.3627,-1.55000
"rs0042",9.05000,-17.7461,-17.6341,-1.08601
"rs0043",8.25000,-16.0943,-15.9811,-0.427271
"rs0044",9.83000,-15.4066,-14.2882,-1.31623
"rs0045",9.07000,-16.3275,-16.1098,-1.46926
"rs0046",8.39000,-16.0844,-15.8866,-0.620844
"rs1315",9.23000,-17.8390,-17.7619,-1.99307
"rs0047",8.19000,-15.4840,-15.2502,-0.350885
"rs0048",9.37000,-18.4234,-18.2849,-0.904018
"rs0049",10.4100,-15.6460,-14.1470,-0.894941
"rs1316",8.67000,-15.6787,-15.3098,-1.58894
"rs0050",9.65000,-18.5376,-18.3320,-1.70273
"rs0051",9.05000,-16.5535,-16.3845,-2.06506
"rs0052",9.33000,-17.9274,-17.7719,-1.03638
"rs0053",10.5500,-19.9778,-19.8408,-1.53736
"rs0054",9.21000,-17.2544,-16.6999,-0.403282
"rs0055",9.77000,-19.0888,-18.8200,-1.04721
"rs0056",9.15000,-17.8481,-17.6594,-1.04502
"rs0057",8.37000,-15.9167,-15.8290,-1.11121
"rs0058",8.23000,-16.1081,-16.0990,-1.38332
"rs1317",9.03000,-16.8240,-16.6996,-1.62717
"rs0059",8.57000,-16.2880,-15.9976,-0.523119
"rs0060",8.53000,-16.3726,-16.2412,-1.52405
"rs1318",10.4300,-20.0414,-19.8925,-1.82697
"rs1319",10.9100,-16.2900,-15.0435,-0.648983
"rs0062",8.71000,-16.3921,-16.2273,-1.31474
"rs0063",9.93000,-16.8740,-16.4195,-1.82428
"rs0064",9.89000,-19.5221,-19.4132,-1.36102
