name,name,name.1,exth,modelg_r,extj,extk,e_uhmag,exti,ukmag,extg,2kmag,nuvmag,extz,dedeg,e_zmag,e_ukmag,e_uymag,extu,radeg,extr,e_2kmag,2jmag,r50,gmag,uymag,rmag,modelg_i,modelg_j,dgr,2hmag,imag,b_a,extnuv,r90,e_2hmag,e_imag,modelu_j,modelu_k,modelu_i,modelu_r,logmstar,e_uvm2mag,grpcz,uvm2mag,e_rmag,absrmag,modelg_k,zmag,extuvm2,exty,e_umag,cz,e_nuvmag,e_2jmag,e_gmag,uhmag,umag,fl_insample,sdss_dr10_objid,flux_ratio_2c,r50_deconv1,sdss_dr12_specid,b_a_deconv1,dist2d_nn2,dist2d_nn3,dist2d_nn1,f_b,f_a,r50_deconv2c,r50_deconv2e,sdss_dr7_objid,b_a_innerdisk,sdss_dr7_specid,b_a_deconv2e,sdss_dr10_specid,b_a_deconv2c,sdss_dr12_objid,vdisp,logmstar_84,vrot,sfr_nuv,mu_delta,logmgas,sfr_nuv_wise,logmstar_16,ccr_star,ccr_bary,econame,ccr_lum,morph,morphel,mhi,ehiasym,ew20,emhi_corr_sys,w20,eb_a_innerdisk,ew50,eb_a,peaksnhi,confused,limflag,mhi_corr,hitelescope,emhi,emhi_corr_rand,w50,hiasym,grpn,grprproj_stack,grpabsrmag,logmh_dyn,grpsig,logmh_s,fc,logmh,ccr,grprproj,grpnassoc,grpmb,grp,grpms,logmh_dyn_stack,grpsig_stack,logmh_dyn_smooth,meanfsmgr,meanfsmgre15,logmstare15,kin_slit_flag,kin_done_hi,kin_done_blue,kin_done_red,kin_blue_code,kin_ifu_flag,kin_red_code,modelg_jcorr,modelu_icorr,modelu_jcorr,modelg_kcorr,absrmagcorr,modelu_kcorr,modelg_rcorr,modelu_rcorr,modelg_icorr,fuvmag,extfuv,e_fuvmag,centralout,logmbary_pc,NAME,oii_3726_flux,oii_3726_flux_err,oii_3729_flux,oii_3729_flux_err,neiii_3869_flux,neiii_3869_flux_err,h_delta_flux,h_delta_flux_err,h_gamma_flux,h_gamma_flux_err,oiii_4363_flux,oiii_4363_flux_err,h_beta_flux,h_beta_flux_err,oiii_4959_flux,oiii_4959_flux_err,oiii_5007_flux,oiii_5007_flux_err,hei_5876_flux,hei_5876_flux_err,oi_6300_flux,oi_6300_flux_err,nii_6548_flux,nii_6548_flux_err,h_alpha_flux,h_alpha_flux_err,nii_6584_flux,nii_6584_flux_err,sii_6717_flux,sii_6717_flux_err,sii_6731_flux,sii_6731_flux_err,ariii7135_flux,ariii7135_flux_err,oii_flux,oii_flux_err,oiii_flux,oiii_flux_err,Flux_HeII_3203,Flux_HeII_3203_Err,Flux_OII_3726,Flux_OII_3726_Err,Flux_OII_3728,Flux_OII_3728_Err,Flux_NeIII_3868,Flux_NeIII_3868_Err,Flux_Hd_4101,Flux_Hd_4101_Err,Flux_Hg_4340,Flux_Hg_4340_Err,Flux_OIII_4363,Flux_OIII_4363_Err,Flux_HeII_4685,Flux_HeII_4685_Err,Flux_ArIV_4711,Flux_ArIV_4711_Err,Flux_Hb_4861,Flux_Hb_4861_Err,Flux_OIII_4958,Flux_OIII_4958_Err,Flux_OIII_5006,Flux_OIII_5006_Err,Flux_HeI_5875,Flux_HeI_5875_Err,Flux_OI_6300,Flux_OI_6300_Err,Flux_NII_6547,Flux_NII_6547_Err,Flux_Ha_6562,Flux_Ha_6562_Err,Flux_NII_6583,Flux_NII_6583_Err,Flux_SII_6716,Flux_SII_6716_Err,Flux_SII_6730,Flux_SII_6730_Err
rf0002,rf0002,rf0002,0.02,0.69404,0.03,0.01,-99.0,0.06,13.46,0.12,12.72,20.99,0.05,0.84866485,0.02,0.35,0.17,0.16,1.146787,0.08,0.44,14.53,3.11,17.08,14.92,16.33,1.02813,2.3428,-0.03,14.27,15.94,0.6,0.28,9.78,0.29,0.02,3.81753,4.7357,2.5028599999999996,2.16877,9.57,-99.0,6583.8,-99.0,0.02,-18.62,3.26097,15.67,0.29,0.04,0.03,6583.8,0.18,0.09,0.02,-99.0,18.62,1,1237663278465155249,0.927485,10.9297,436940728279525376,0.5853,2.4657,3.3231,2.3574,1,0,8.2362,18.9335,588015510343581865,0.614789,109434741601599488,0.2237,436940728279525376,0.624,1237663278465155249,61.7463,9.65,0.0,0.045151245,9.50532,8.276589999999999,0.095551455,9.47,-99.0,-99.0,notineco,-99.0,-1.0,E,135039000.0,0.0,0.0,0.0,0.0,0.040022699999999994,0.0,0.0167,0.0,0,1,0.0,AO,0.0,0.0,0.0,0.0,1.0,0.0,-18.6212,0.0,0.0,11.3479,1,11.1319,1.0,0.0,1.0,9.5905,3.0,9.5755,0.0,0.0,0.0,0.025259900000000002,0.0756719,9.57,1,0,1,0,10020,0,0,2.1499200000000003,2.23717,3.49689,3.03671,-18.7964,4.38368,0.595924,1.9428900000000002,0.8902049999999999,21.7519,0.2491,0.67,0,9.595,rf0002,0.0,-0.7960866999999999,0.0,-0.7960866999999999,9.205389,5.157293,19.710279999999997,3.8992989999999996,21.041829999999997,3.593178,3.4398269999999997,4.118942,44.07594,3.5964629999999995,24.2511,3.8025300000000004,47.48684,4.063109,-0.4560397,3.558364,16.95867,3.24923,26.209120000000002,1.2788959999999998,207.5176,4.768778,79.05274,3.857443,63.09397,4.016967,39.38745,4.1199959999999995,1.42645,4.452614,22.44967,1681.0410000000006,50.583040000000004,4.820485,0.0,,46.86071385113079,49.479362130623755,7214.917164751288,2906.2478632619545,55.805391387965635,43.09364604203317,61.712104998281184,29.56152600340449,65.76855791676542,27.361533639713514,0.0,,0.0,,0.0,,140.65300661300884,35.89555850637637,53.80323651745261,13.205546544523663,152.96154811791217,36.929950648640144,2.88418931633366,198.92560881380206,22.79839693861928,9.194130917832123,55.452125489357904,7.504796008154463,402.2675989132053,47.11998960858387,162.83887546601474,21.842006497071736,102.18572658224507,15.929081913590622,60.482213445125105,11.538349670613046
rf0003,rf0003,rf0003,0.01,0.564297,0.02,0.01,0.07,0.05,14.5,0.1,14.35,20.14,0.04,0.81264576,0.03,0.1,0.15,0.13,2.3154592000000003,0.07,0.09,15.33,1.73,17.72,15.8,17.07,0.862358,2.18539,0.1,14.72,16.78,0.94,0.23,4.04,0.11,0.02,3.35164,4.2663199999999994,2.0286,1.7305400000000002,8.99,-99.0,5962.9,-99.0,0.02,-17.65,3.10007,16.51,0.24,0.03,0.03,5962.9,0.05,0.11,0.02,14.69,18.89,1,1237657191979942081,0.39784200000000003,3.6088,437006149221378048,0.8382,2.1082,2.9802,2.1008,1,0,4.1573,4.1573,587731187278676021,0.937061,109434742599843840,0.7438,437006149221378048,0.9113,1237657191979942081,37.3,9.11,0.0,0.17028312,9.2712,8.9553,0.20541350000000005,8.89,-99.0,-99.0,notineco,-99.0,-3.0,E,644431000.0,0.0753734,0.0,0.0,232.05200000000002,0.0153339,9.4827,0.0151,4.99188,0,0,0.0,AO,50059500.0,0.0,197.28099999999998,-0.0523067,1.0,0.0,-17.6492,0.0,0.0,11.1059,1,10.9459,1.0,0.0,1.0,9.2705,5.0,8.9895,0.0,0.0,0.0,0.124266,0.12425399999999999,8.99,0,?,0,1,0,1,1000,1.7024299999999999,1.3430000000000002,2.51988,2.52515,-18.0272,3.3426,0.327904,1.14536,0.5255489999999999,20.6576,0.207,0.0716,0,9.265,rf0003,0.0,-0.7232295999999999,0.0,-0.7232295999999999,10.952630000000001,4.3774169999999994,63.79315,3.511187,117.8899,3.785457,-1.8379290000000001,2.772032,256.8101,4.603971,35.20264,2.792937,119.4351,3.462771,27.584120000000002,2.449052,17.36016,2.037228,103.3361,1.3402530000000001,951.9001,8.51483,311.6856,4.042507,163.3102,3.23275,119.1767,3.228627,16.905379999999994,3.892254,0.0,1.022801,120.5722,3.7284269999999995,0.0,,89.04533842633671,76.64057685766355,693.9480144842902,268.1171107537867,60.93992919308912,29.30339376973174,206.58366717352482,26.3105491508551,355.8798644721176,35.36020542926292,0.0,,6.795069504019106,27.971995147882065,11.494537705061736,21.74586910484555,675.5829056582755,49.68864846318038,106.59540162325762,8.168781336632055,300.97428773982807,22.728341963131317,52.71124931552165,7.185854059034159,31.707273307816475,6.023706128913622,204.42833646305496,8.300536286691266,1932.1671101826676,73.84698170401754,599.0178071721019,24.112594462950405,308.8988527204344,13.499683361724157,221.4729048025565,10.31287323068079
rf0007,rf0007,rf0007,0.02,0.518044,0.03,0.01,0.23,0.08,-99.0,0.14,12.23,18.0,0.06,-0.9580395,0.04,-99.0,0.06,0.19,4.2867326,0.1,0.26,13.2,10.3,15.54,13.6,14.95,0.794691,2.09018,-0.02,12.69,14.63,0.61,0.35,19.42,0.17,0.03,3.27765,4.1681,1.98216,1.7055099999999999,9.79,-99.0,5680.45,-99.0,0.02,-19.75,2.98063,14.42,0.35,0.05,0.03,5811.1,0.02,0.16,0.02,12.72,16.81,1,1237657189833310516,0.520413,24.6042,439183458917443584,0.5785,0.25722,1.8295,0.10636,1,0,24.79300000000001,24.79300000000001,587731185132044450,0.6196520000000001,109997790188273664,0.4734,439183458917443584,0.6228,1237657189833310516,0.0,9.91,98.7699,0.86018945,8.3183,9.397680000000001,1.1051114,9.59,-99.0,-99.0,notineco,-99.0,4.0,L,1784630000.0,0.019419799999999997,0.0,0.0,290.76599999999996,0.00772152,5.46674,0.0152,7.800510000000001,0,0,0.0,GBT,80839400.0,0.0,272.921,0.13551400000000002,2.0,0.11598800000000001,-21.0151,0.0,231.571,11.8279,0,11.8699,1.0,0.0530465,2.0,10.4145,8.0,10.3625,0.0,64.8986,11.6317,0.179362,0.17796700000000001,9.79,1,?,0,1,0,0,1000000,1.6518700000000002,1.4457,2.59081,2.4528,-20.1261,3.39174,0.324329,1.2632700000000001,0.5067619999999999,18.5386,0.3048,0.0728,0,9.935,rf0007,0.0,-0.7912670999999999,0.0,-0.7912670999999999,-4.360864,2.694808,4.212662,2.101352,8.203314,1.791063,2.6867389999999998,1.851753,27.436190000000003,1.6263940000000001,5.8849300000000015,1.529858,13.107999999999999,1.547224,2.2855630000000002,1.396433,3.768127,1.149131,12.76958,0.4292744000000001,84.06312,1.527087,38.516,1.294789,24.72354,1.258738,12.215160000000001,1.1235030000000001,4.722799,1.310808,0.0,1.1190209999999998,12.97391,1.7880919999999998,0.0,,-12563.77293349396,-3536.8968542336347,-12560.411003938845,-3531.805984935684,0.0,,6.463760186048086,5.311526954845134,10.40205685737648,5.331897086650102,1.5483086161875574,17.74334412224572,0.0,,1.8426547627612653,9.552681607730788,36.76557480119832,6.550113984881476,6.178298117412361,1.4308024548310867,17.60623260723848,4.041029603493501,2.5676666718899135,5.8142444138004725,4.600718700034109,3.071472457175148,16.8450899748501,1.5340011321326428,105.14954393142717,8.595570318634651,49.503534318016456,4.4648107181370955,31.15747958997828,3.041093130155103,15.030694215248573,2.308095348698861
rf0008,rf0008,rf0008,0.02,0.568787,0.03,0.01,0.05,0.08,-99.0,0.14,11.14,17.21,0.06,-0.97832513,0.02,-99.0,0.03,0.2,4.3577793,0.1,0.14,12.17,11.75,14.64,12.65,13.99,0.8760399999999999,2.24647,-0.06,11.5,13.65,0.54,0.35,23.02,0.02,0.02,3.48216,4.42422,2.11173,1.8044799999999999,10.21,-99.0,5680.45,-99.0,0.03,-20.61,3.18853,13.38,0.36,0.05,0.09,5549.8,0.02,0.06,0.03,11.59,15.86,1,1237657189833376029,0.154845,29.6206,773519116769191936,0.5251,0.29046,1.817,0.10157999999999999,1,0,27.7981,30.9559,587731185132109990,0.601713,193598872486936576,0.5377,773519116769191936,0.4834,1237657189833376029,0.0,10.33,174.074,2.3527805,8.707930000000001,8.86088,2.8816493999999997,10.05,-99.0,-99.0,notineco,-99.0,3.0,L,518501000.0,0.0,0.0,0.0,0.0,0.059495400000000004,0.0,0.0238,0.0,0,1,0.0,GBT,0.0,0.0,0.0,0.0,2.0,0.11598800000000001,-21.0151,0.0,231.571,11.8279,1,11.8699,1.0,0.0530465,2.0,10.4145,8.0,10.3625,0.0,64.8986,11.6317,0.166597,0.166075,10.21,1,0,0,1,0,0,1000000,1.7021400000000002,1.41044,2.59997,2.53551,-21.0712,3.4333400000000003,0.320915,1.21875,0.512609,17.7373,0.3082,0.0368,0,10.225,rf0008,0.0,-0.9128072,0.0,-0.9128072,-7.9147380000000025,6.095425,13.536620000000001,4.147194,36.45047,3.8634480000000004,-2.340136,3.948757,59.8018,3.5249080000000004,5.847443,3.1223360000000002,13.442089999999999,3.146718,6.572869,2.765447,1.980366,2.4227689999999997,21.369670000000006,1.050492,206.7445,3.9944269999999995,64.45584000000001,3.168524,17.063760000000002,2.716848,12.362,2.5035060000000002,-3.258423,2.581203,0.0,1.290904,12.540410000000001,3.301278,0.0,,738.3729545334883,273.69013775590753,62.99721471847821,225272.4993550045,0.0,,29.655802295085504,10.360452163653626,53.32046911508973,13.238202286963102,0.0,,7.150416370100907,6.698974975479491,0.4302898190702468,34.655618824254105,78.95732360210805,14.948089820651385,5.6621787903813505,2.062272738244033,16.333253562630087,5.924708389487027,10.934378463768674,4.8968553733203,0.0,,25.33454223892924,2.779583542182805,225.81794550202898,19.7153123691505,74.73880615010543,8.138754590354376,12.549486993062093,3.4767366237844244,9.980353466746838,3.626620034156039
rf0010,rf0010,rf0010,0.02,0.20713800000000002,0.03,0.01,0.21,0.06,-99.0,0.11,14.24,18.16,0.04,0.32956582,0.05,-99.0,0.17,0.14,4.4761793,0.08,0.25,15.6,3.99,16.94,15.81,16.64,0.33857,1.41735,-0.1,-99.0,16.48,0.9,0.25,8.03,-99.0,0.06,2.17996,2.95417,1.10119,0.969757,8.49,-99.0,5498.7,-99.0,0.05,-17.89,2.19155,16.39,0.26,0.03,0.03,5446.7,0.04,0.13,0.02,15.09,17.77,1,1237657191444054061,0.482347,7.2847,439197202812790784,0.8765,0.21763000000000002,0.25367,0.010076,1,0,9.0327,9.0327,587731186742722714,0.898,109997790402183168,0.6994,439197202812790784,0.5487,1237657191444054061,0.0,8.65,0.0,0.38628188,7.9733100000000015,9.20911,0.39787126,8.39,-99.0,-99.0,notineco,-99.0,3.5,L,2943410000.0,0.0592835,0.0,428579000.0,0.0,0.0319327,4.10406,0.0,6.710089999999999,1,0,971197000.0,ALFALFA,128595000.0,230463000.0,166.30700000000004,0.16283,2.0,0.0980115,-20.1329,0.0,129.685,11.3059,0,11.5089,1.0,0.11127999999999999,3.0,9.9155,10.0,9.4945,0.0,69.1947,11.6928,2.63826,2.63825,8.49,1,0,0,1,0,0,1000000,1.06095,0.7504460000000001,1.68337,1.74311,-18.1978,2.36553,0.0759296,0.698351,0.128025,18.8177,0.2246,0.0449,0,9.285,rf0010,0.0,-0.8298643,0.0,-0.8298643,16.4084,2.937794,14.47851,2.286906,34.15779000000001,2.282962,3.276123,1.9605380000000001,71.42265,2.000575,54.01668000000001,1.9536169999999997,164.0568,2.521821,6.307736,1.6466180000000001,9.789152,1.2636969999999998,9.891707,0.3914385,273.3958,2.2796950000000002,29.83567,1.180668,51.55693,1.571285,34.28767,1.261486,5.796974,1.234219,0.0,1.173605,163.4013,2.566227,0.0,,-20551.270447882507,-4283.557942630106,0.0,,41.36464216800259,16.38864360180121,36.6709832723428,9.792953502168967,72.8267879164239,13.453576058124815,3.692727017338106,16.261690430209228,0.0,,0.0,,134.4048852822662,17.373730399008757,98.95131964897209,12.077999787230299,280.39734445840566,33.621166310314706,9.437463569064585,5.6330616597869625,14.798747941558428,2.7948569348913215,14.658221078819237,1.297893374219435,384.3979719072813,25.363619053946074,43.00041416555376,3.7862841365858833,72.06905925115954,5.50810641242875,47.190065446887246,4.211790559189012
rf0011,rf0011,rf0011,0.02,0.269381,0.03,0.01,0.41,0.06,-99.0,0.11,12.36,16.78,0.04,0.33532953,0.02,-99.0,-99.0,0.14,4.4808912,0.08,0.5,13.38,12.26,14.99,-99.0,14.64,0.43383999999999995,1.57544,-0.08,12.13,14.39,0.72,0.25,35.78,1.2,0.04,2.5375400000000004,3.35379,1.39593,1.23147,9.43,-99.0,5498.7,-99.0,0.05,-19.93,2.3917,14.28,0.26,0.03,0.03,5550.7,0.02,0.33,0.04,13.03,15.88,1,1237657191444054059,0.65555,39.0981,773646385240107008,0.59,0.2119,0.25293000000000004,0.010269,1,0,26.5118,82.8561,587731186742722713,0.7637609999999999,109716226070020096,0.1598,773646385240107008,0.7812,1237657191444054059,0.0,9.61,115.389,1.3569528,8.26437,9.53657,1.5601955,9.35,-99.0,-99.0,notineco,-99.0,4.0,L,3056880000.0,0.060342599999999996,0.0,491442000.0,0.0,0.0422293,4.10406,0.0222,6.710089999999999,1,0,2457210000.0,ALFALFA,133553000.0,188871000.0,166.30700000000004,0.158984,2.0,0.0980115,-20.1329,0.0,129.685,11.3059,1,11.5089,1.0,0.11127999999999999,3.0,9.9155,10.0,9.4945,0.0,69.1947,11.6928,1.6504900000000002,1.64973,9.43,1,0,0,1,0,0,1000000,1.28006,1.10067,2.12318,2.0215099999999997,-20.2428,2.86464,0.158749,1.00187,0.25755300000000003,17.0257,0.2246,0.022000000000000002,0,9.785,rf0011,0.0,-0.9664282,0.0,-0.9664282,6.646516,4.8643,13.230139999999999,3.7133519999999995,23.703529999999997,3.202553,1.462675,3.233911,56.73101,2.970412,13.74267,2.655337,40.863859999999995,2.927627,10.44496,2.314509,9.797611999999999,1.9458990000000005,16.625410000000002,0.731689,174.1931,3.1985360000000003,50.14607,2.2069400000000003,48.23768,2.440223,31.29525,2.1176049999999997,0.7867951,1.979491,0.0,1.366736,39.61684,3.1888400000000003,0.0,,0.0,,1.5252402157039076e+31,3.440575217469911e+30,3.4572204800569022e-15,7.193867956330217e-16,15.992118151629848,4.559553654172868,24.14089084346161,5.435485567030479,0.0,,0.0,,0.0,,51.931396708099314,7.4535894091558745,11.605415835387156,1.4911248686231047,33.265205872624776,4.194109235540795,9.283687647973268,1.5219298908952863,8.405718746071186,2.9919982638604234,15.109669698863431,1.1674995524325467,148.52379458516404,9.542522007752025,44.48537057876026,3.4078557178535878,43.065266596651675,3.817717116049155,28.136954006126405,1.9907026314737457
rf0013,rf0013,rf0013,0.02,0.585669,0.02,0.01,0.03,0.05,12.13,0.1,12.08,18.8,0.04,0.59081703,0.03,0.2,0.03,0.14,4.9472732000000015,0.07,0.1,13.1,4.9,15.49,13.57,14.84,0.8886809999999999,2.20363,0.12,12.36,14.5,0.59,0.24,15.31,0.25,0.02,3.5947400000000003,4.51818,2.27979,1.9767700000000001,9.83,-99.0,5469.5,-99.0,0.03,-19.69,3.12708,14.27,0.25,0.03,0.05,5469.5,0.04,0.06,0.02,12.54,16.95,1,1237663277929922594,1.0,35.5653,439203799882557440,0.7251,0.2007,0.24475999999999998,0.11873,1,0,48.828,750.0,588015509808414749,0.56279,109997790498652160,0.0006,439203799882557440,0.7189,1237663277929922594,69.9951,9.95,0.0,0.40700406,9.48734,8.52463,0.56209935,9.65,-99.0,-99.0,notineco,-99.0,0.5,E,239056000.0,0.0,0.0,0.0,0.0,0.00566574,0.0,0.0485,0.0,0,1,0.0,AO,0.0,0.0,0.0,0.0,1.0,0.0,-19.6936,0.0,0.0,11.4539,1,11.3889,1.0,0.0,1.0,9.8205,11.0,9.8065,0.0,0.0,0.0,0.21593400000000001,0.337294,9.79,1,0,1,0,10002,0,0,1.7027,1.71575,2.85508,2.51989,-20.1413,3.6722699999999997,0.368607,1.52099,0.563368,19.4874,0.2134,0.0721,0,9.845,rf0013,0.0,-0.7255183000000001,0.0,-0.7255183000000001,324.2892,5.808721,110.0821,3.7577309999999997,208.1254,3.9048510000000003,33.26093,4.0253309999999995,439.3545,4.707479,781.9736,6.6352,2370.675,12.18217,55.21059,3.213437,89.13359,3.539878,390.1551,2.237079,1524.996,8.381107,1176.798,6.747539,416.24800000000016,4.8841980000000005,315.9723,4.471017,63.65598000000001,3.5022550000000003,0.0,1.026038,2410.9610000000002,12.24955,0.0,,0.0,,3.3562768846128275e+19,4.489718464506253e+18,627.5566073245462,84.60655050639085,203.2102874293884,33.024175091204675,354.26527860726827,39.191607871859965,47.415878208741105,21.298137467256623,146.80226175758926,24.378374302835894,16.580855601724235,14.87301194565152,695.8680302315248,57.64468436354101,1281.4821473067718,93.17029217043978,3639.9382003862106,259.19812746405825,78.52744213174455,12.293275964915498,122.311814171795,15.044588266831202,539.3937931187468,23.482289644309038,1990.1825664621608,85.22889786033548,1583.5140997003896,68.2828862597267,560.452454721313,27.449066180579706,428.8995141407572,22.940119727062935
rf0015,rf0015,rf0015,0.01,0.7293850000000001,0.02,0.01,0.11,0.05,10.97,0.09,10.76,18.42,0.04,0.82660918,0.02,0.22,0.04,0.13,5.1077407,0.07,0.13,11.72,14.64,14.58,12.41,13.79,1.08344,2.57598,-0.06,11.06,13.38,0.6,0.23,31.75,0.11,0.02,4.1692599999999995,5.11951,2.67672,2.32267,10.45,-99.0,5293.5,-99.0,0.02,-20.64,3.5262300000000004,13.11,0.23,0.03,0.12,5232.0,0.02,0.04,0.02,11.31,16.21,1,1237657191981187126,0.753899,279.346,439212870853486592,0.3208,0.058351,0.1922,0.013652000000000001,1,0,129.839,129.839,587731187279921175,0.3429,109997790658035712,0.3893,439212870853486592,0.3497,1237657191981187126,86.1079,10.53,0.0,0.45081069,8.81633,8.910960000000003,0.45081069,10.33,-99.0,-99.0,notineco,-99.0,1.0,L,581881000.0,0.0,0.0,0.0,0.0,-99.0,0.0,0.0722,0.0,0,1,0.0,ALFALFA,0.0,0.0,0.0,0.0,2.0,0.09753510000000001,-20.7069,0.0,109.006,11.8409,1,11.7379,1.0,0.0296522,2.0,10.3885,13.0,10.3745,0.0,72.9255,11.7915,0.0580374,0.300877,10.35,1,0,1,0,10000,0,0,2.20004,2.18626,3.55398,3.08588,-20.9607,4.43981,0.556608,1.9105400000000001,0.8323309999999999,19.3689,0.2005,0.0794,0,10.475,rf0015,0.0,-0.7019944,0.0,-0.7019944,14.24375,3.797626,106.4367,3.3668139999999998,206.2545,3.58998,6.341730999999999,3.3116830000000004,505.3761,4.637402,36.66936,3.061825,82.27954,3.2704470000000003,47.01361,2.867378,47.631,3.017703,317.4555,1.981365,2517.9179999999997,11.969560000000001,957.5192,5.976246,331.3147,4.456574,254.8267,4.062144,1.30664,3.05324,0.0,0.99277,84.73048,3.836525,0.0,,1.0227797466434691e+24,5.726840834614048e+22,0.0,,160.11333713200835,33.55263281192754,1059.069765276055,71.94710834651192,1618.337486677539,80.8993221611352,0.0,,0.0,,0.0,,2837.9175661015815,98.42642275024541,165.2542867924114,12.663985959362934,466.47345737806825,35.632724562214975,216.99506381212606,31.96484820059157,137.13303414133992,17.63374177053857,1039.0700243724639,20.910186369596165,8116.444239050525,144.5429692866026,3044.4344713177807,60.79042577730808,963.1481469908188,30.9058263189109,739.3527366316304,26.144993116251698
rf0016,rf0016,rf0016,0.01,0.74519,0.02,0.01,0.13,0.05,10.36,0.09,10.45,18.63,0.04,0.83361606,0.02,0.22,0.01,0.13,5.114721,0.07,0.09,11.48,13.18,13.9,11.88,13.09,1.09289,2.40382,-0.04,10.77,12.66,0.75,0.23,68.33,0.04,0.02,3.9334599999999997,4.84932,2.62252,2.27482,10.77,-99.0,5736.92,-99.0,0.06,-21.51,3.31969,12.39,0.23,0.03,0.07,5632.0,0.08,0.11,0.02,10.71,15.49,1,1237657191981187125,0.659181,30.6848,773660953769175040,0.7454,0.048125,0.2064,0.014696,1,0,13.8571,86.3898,587731187279921174,0.7392,193598874651197440,0.5689,773660953769175040,0.7141,1237657191981187125,0.0,10.83,0.0,0.16596243,9.941880000000001,9.013919999999999,0.16596243,10.75,-99.0,-99.0,notineco,-99.0,-1.0,E,2383230000.0,0.123022,0.0,147509000.0,0.0,-99.0,51.5031,0.0279,3.4490199999999995,1,0,737546000.0,ALFALFA,229157000.0,230976000.0,550.464,0.14358900000000002,3.0,0.11191300000000001,-21.5563,0.0,152.83,12.2979,1,12.1659,1.0,0.15873099999999998,4.0,10.7845,14.0,10.7755,0.0,69.2822,11.7529,0.00299928,0.046230099999999996,10.77,1,0,1,0,11000,0,0,2.37343,2.57639,3.87994,3.2851199999999996,-21.5584,4.7916300000000005,0.7282390000000001,2.23475,1.06988,19.8313,0.2005,0.9138,0,10.775,rf0016,0.0,-0.8306249,0.0,-0.8306249,19.23924,8.335572,46.56816,9.097111,114.9694,10.18849,-34.67024,10.243030000000001,223.1246,12.64592,65.91084000000001,12.49155,276.6197,13.352089999999999,-59.57999,11.77228,101.5973,15.55285,185.6577,6.589428,663.1437,21.342660000000002,559.9866,19.875220000000002,274.2606,17.7819,166.3641,17.17795,-15.038839999999999,15.91114,0.0,1.1746809999999999,285.1946,15.250520000000002,0.0,,0.0,,16248.799713165865,9648.01699659889,118.61520132692459,79.30723603677465,0.0,,78.82654960633478,52.50068735029184,0.0,,0.0,,0.0,,190.66954338126584,71.63245430487541,94.18556829617553,31.482349541387027,264.4354074165721,86.69619371776749,0.0,,119.86182582712709,40.92048351354293,169.56623193138986,29.835264116646687,545.3148940704203,94.74993840899572,495.97840793501183,86.26694184228343,262.1480784753061,48.81526996177814,182.94361056554993,41.357425637771534
rf0022,rf0022,rf0022,0.01,0.6811520000000001,0.02,0.01,0.17,0.05,14.16,0.09,14.22,21.7,0.03,0.5576055999999999,0.02,0.14,0.19,0.12,5.4409059,0.06,0.16,15.22,3.15,17.42,15.38,16.71,0.996334,2.23678,-0.02,13.99,16.37,0.65,0.21,6.83,0.4,0.02,3.64923,4.465269999999999,2.40878,2.0936,9.21,-99.0,5477.1,-99.0,0.03,-17.82,3.0528299999999997,16.11,0.22,0.03,0.06,5477.1,0.1,0.11,0.02,14.26,18.94,1,1237663716016717961,0.0637159,6.9715,439228813772089344,0.5812,0.43891,0.44873999999999997,0.4317,1,0,5.2807,7.2926,588015509808611444,0.8654700000000001,109997790918082560,0.564,439228813772089344,0.5053,1237663716016717961,28.9,9.29,0.0,0.010962085,8.94977,7.8519,0.018385693,9.11,-99.0,-99.0,notineco,-99.0,-1.0,E,50789300.0,0.0,0.0,0.0,0.0,-99.0,0.0,0.0041,0.0,0,1,0.0,AO,0.0,0.0,0.0,0.0,1.0,0.0,-17.8198,0.0,0.0,11.1859,1,10.9799,1.0,0.0,1.0,9.2135,17.0,9.2005,0.0,0.0,0.0,0.0104684,0.0886285,9.19,0,0,1,0,10,1,0,2.14655,2.29393,3.5099099999999996,2.94745,-17.9175,4.3108,0.634008,1.9973599999999998,0.9305709999999999,23.5754,0.1857,0.4984,0,9.215,rf0022,0.0,-0.7947133000000001,0.0,-0.7947133000000001,19.35693,2.742918,11.78547,2.079278,16.40063,1.877191,1.822082,1.840632,45.7443,1.7436200000000002,31.55814,1.776101,100.6038,2.082218,8.069922,1.538082,21.12811,1.356282,33.62983,0.523258,180.3261,1.9499400000000002,101.4353,1.578265,58.47829,1.576957,42.45454,1.362941,6.402205,1.2812350000000001,0.0,1.123894,100.02,2.229257,0.0,,217.9291466596578,934.6538002282124,0.0,,28.83904010078292,9.876925646789358,29.276599222282027,8.079279138774707,40.99334554841665,8.202984375025558,0.7628806927902464,41.455337235077394,9.972645758660613,170.95322743650755,6.25874862349007,9.002303673076659,102.1818472157042,11.155087839682915,60.59123976947129,5.899844380786575,173.40289213073714,16.559828447728098,15.714938111453913,3.7600545591423145,34.35068145525234,3.8870888786280697,55.46264732034753,3.0133501280710635,292.240083036914,15.101152393471827,163.21014693402878,8.776651358260699,90.20258260331077,6.217637781189026,65.21456565155457,4.6332485170042075
