agntosf,ambigagn,composite,defagn,defliner,defseyf,defstarform,galname,heiisel,sftoagn
False,False,False,True,False,True,False,rf0013,False,False
False,False,False,False,False,False,False,rf0031,True,False
False,False,False,False,False,False,False,rf0071,True,False
False,False,False,False,False,False,False,rf0173,True,False
False,False,True,False,False,False,False,rf0190,True,False
False,False,False,False,False,False,False,rf0209,True,False
False,False,False,True,False,True,False,rf0248,True,False
False,False,False,False,False,False,False,rf0339,True,False
False,False,False,False,False,False,False,rf0341,True,False
False,False,False,True,False,True,False,rf0372,True,False
False,False,False,False,False,False,False,rf0400,True,False
False,False,False,False,False,False,False,rf0684,True,False
False,False,False,True,False,True,False,rs0014,False,False
False,False,True,False,False,False,False,rs0022,True,False
False,False,True,False,False,False,False,rs0107,True,False
False,False,False,False,False,False,False,rs0113,True,False
False,False,True,False,False,False,False,rs0159,True,False
False,False,False,True,False,True,False,rs0181,True,False
False,False,False,False,False,False,False,rs0200,True,True
False,False,False,True,False,True,False,rs0239,False,False
False,False,False,False,False,False,False,rs0240,True,False
False,False,False,False,False,False,False,rs0267,True,False
False,False,False,False,False,False,False,rs0268,True,False
False,False,False,False,False,False,False,rs0316,True,False
False,False,False,False,False,False,False,rs0420,True,False
False,False,False,False,False,False,False,rs0463,True,False
False,False,False,False,False,False,False,rs0469,True,True
False,False,False,False,False,False,False,rs0519,True,False
False,False,False,False,False,False,False,rs0579,True,False
False,False,False,False,False,False,False,rs0667,True,False
False,False,False,False,False,False,False,rs0797,True,False
False,False,False,True,True,False,False,rs0808,True,False
False,False,False,False,False,False,False,rs0811,True,False
False,False,False,False,False,False,False,rs0812,True,False
False,False,True,False,False,False,False,rs1036,True,False
False,False,False,False,False,False,False,rs1052,True,False
False,False,False,False,False,False,False,rs1082,True,False
False,False,False,True,True,False,False,rs1088,True,False
False,False,False,False,False,False,True,rs1103,False,False
False,False,False,True,False,True,False,rs1106,True,False
False,False,False,False,False,False,False,rs1109,True,False
False,False,False,True,False,True,False,rs1111,False,False
True,False,False,False,False,False,False,rs1112,True,False
False,False,False,False,False,False,False,rs1120,True,False
False,True,False,True,False,False,False,rs1150,True,False
False,False,False,False,False,False,False,rs1169,True,False
False,False,False,True,False,True,False,rs1190,True,False
False,False,True,False,False,False,False,rs1197,True,False
False,False,False,True,False,True,False,rs1214,False,False
False,False,False,False,False,False,False,rs1238,True,False
False,False,True,False,False,False,False,rs1364,True,False
