name,specobjid,ra,dec,plate,mjd,fiberid
rs0127,2.99533E+17,146.30086,0.035479627,266,51630,157
rs0126,2.99537E+17,146.28301,0.064056069,266,51630,172
rs0125,2.99537E+17,146.23184,0.068229156,266,51630,174
rs0119,2.99609E+17,145.82657,0.37310286,266,51630,435
rs0132,2.99636E+17,146.53089,0.7819304,266,51630,532
rs0136,2.99639E+17,146.8068,0.66563514,266,51630,543
rs0137,2.99659E+17,146.84222,0.74084309,266,51630,616
rs0145,2.99665E+17,147.19292,0.27191843,266,51630,638
rs0149,2.99665E+17,147.3056,0.2175774,266,51630,640
rs0154,3.0073E+17,147.83541,0.89975941,267,51608,418
rs0158,3.00737E+17,147.99892,1.0464703,267,51608,444
rs0155,3.00738E+17,147.89586,1.1120728,267,51608,448
rs0156,3.00746E+17,147.89718,0.43473978,267,51608,474
rs0165,3.00754E+17,148.33526,0.72067232,267,51608,505
rs0168,3.00758E+17,148.44366,0.49440186,267,51608,520
rs0159,3.00759E+17,148.04775,1.0954677,267,51608,522
rs0167,3.00774E+17,148.44052,0.78675317,267,51608,579
rs1413,3.0179E+17,149.91735,0.0442241,268,51633,176
rs0171,3.01832E+17,148.84656,0.87886816,268,51633,331
rs0215,3.02886E+17,151.80956,0.055850091,269,51910,67
rs0186,3.02986E+17,151.10907,0.60176802,269,51910,432
rs0187,3.02998E+17,151.16388,0.28149828,269,51910,476
rs0185,3.02999E+17,151.079,0.12038975,269,51910,480
rs0191,3.03E+17,151.35034,0.54392803,269,51910,482
rs0194,3.03001E+17,151.38289,0.6110543,269,51910,486
rs0200,3.03003E+17,151.48371,0.61722451,269,51910,496
rs0197,3.03004E+17,151.4611,0.63180411,269,51910,499
rs0211,3.03008E+17,151.6547,0.63260972,269,51910,511
rs0198,3.03026E+17,151.48054,0.65221026,269,51910,577
rs0204,3.03027E+17,151.53618,0.68837128,269,51910,580
rs0213,3.03036E+17,151.79943,0.80904455,269,51910,615
rs0224,3.04126E+17,152.71061,0.29001947,270,51909,484
rs0227,3.04132E+17,153.46911,0.55096244,270,51909,505
rs0228,3.0521E+17,153.75967,0.96829155,271,51883,332
rs0234,3.05247E+17,154.3742,0.20062011,271,51883,467
rs0237,3.05257E+17,154.82299,0.34444255,271,51883,504
rs0240,3.05279E+17,155.47169,0.29534091,271,51883,583
rs0239,3.0528E+17,155.46497,0.41011418,271,51883,586
rs0241,3.06321E+17,155.57384,0.010334531,272,51941,276
rs0246,3.06345E+17,155.77916,1.0060558,272,51941,365
rs0247,3.06359E+17,155.98275,1.033383,272,51941,417
rs0255,3.06369E+17,156.31315,0.89267699,272,51941,452
rs0253,3.0637E+17,156.14897,1.1098312,272,51941,455
rs0251,3.06381E+17,156.05909,0.14774405,272,51941,494
rs0250,3.06382E+17,156.02227,0.15246268,272,51941,499
rs0256,3.06384E+17,156.33256,0.63542236,272,51941,505
rs0258,3.06386E+17,156.38828,0.3843224,272,51941,513
rs0259,3.06392E+17,156.42557,0.76304476,272,51941,535
rs0257,3.06393E+17,156.36603,0.88358999,272,51941,540
rs0261,3.06394E+17,156.58808,0.68495794,272,51941,542
rs0262,3.06399E+17,156.6616,0.98344269,272,51941,561
rs0264,3.06409E+17,156.83781,0.42231616,272,51941,596
rs0266,3.0641E+17,156.85423,1.2417612,272,51941,602
rs0272,3.06412E+17,156.93172,1.1939791,272,51941,608
rs0273,3.06412E+17,156.93172,1.1939791,272,51941,608
rs0263,3.06414E+17,156.68114,1.0061399,272,51941,615
rs0276,3.07459E+17,157.12061,1.2498668,273,51957,322
rs0280,3.07471E+17,157.40455,0.95112941,273,51957,365
rs0291,3.07534E+17,158.93193,0.008562226,273,51957,594
rs0292,3.07537E+17,159.00865,0.98903904,273,51957,605
rs0308,3.08637E+17,160.47247,0.7931804,274,51913,509
rs1331,3.0865E+17,160.68677,0.1490686,274,51913,558
rs0306,3.09718E+17,160.25697,0.63171794,275,51910,349
rs0335,3.09771E+17,162.0881,0.84392736,275,51910,542
rs0334,3.09775E+17,161.97756,0.81251961,275,51910,556
rs0343,3.10878E+17,162.96941,0.55409033,276,51909,471
rs0354,3.10897E+17,164.01094,0.66203725,276,51909,541
rs0380,3.12047E+17,166.45833,0.40310003,277,51908,627
rs0393,3.13134E+17,167.49393,0.18128136,278,51900,487
rs0411,3.14241E+17,168.70597,0.9056289,279,51984,417
rs0433,3.14279E+17,169.73164,0.089849556,279,51984,557
rs1336,3.14298E+17,170.24894,0.53423581,279,51984,625
rs1335,3.14298E+17,170.20541,0.39019296,279,51984,627
rs1334,3.14299E+17,170.20414,0.45927032,279,51984,629
rs0435,3.15342E+17,169.77119,1.2522129,280,51612,326
rs0442,3.15356E+17,170.05569,0.94279252,280,51612,377
rs0444,3.15356E+17,170.10672,1.0668276,280,51612,378
rs0445,3.15357E+17,170.16435,0.45751437,280,51612,381
rs0446,3.15361E+17,170.20004,0.46860645,280,51612,396
rs1333,3.15361E+17,170.20004,0.46860645,280,51612,396
rs0456,3.15386E+17,170.6755,0.59173353,280,51612,486
rs0457,3.16467E+17,170.90511,0.98183289,281,51614,323
rs0454,3.16474E+17,170.61045,0.42474075,281,51614,349
rs0470,3.16489E+17,171.67423,1.2414818,281,51614,405
rs0480,3.16501E+17,172.12866,0.78251379,281,51614,447
rs0490,3.16522E+17,172.39441,1.0680427,281,51614,524
rs0492,3.16522E+17,172.44999,1.1377897,281,51614,526
rs0484,3.16523E+17,172.24206,0.87899587,281,51614,527
rs0503,3.16545E+17,173.05609,0.81927396,281,51614,607
rs0508,3.16551E+17,173.22254,0.56798585,281,51614,628
rs0505,3.17596E+17,173.09101,0.80474598,282,51658,336
rs0497,3.17609E+17,172.86789,0.49460792,282,51658,382
rs0513,3.17628E+17,173.60214,1.1542757,282,51658,451
rs0519,3.17645E+17,173.90552,0.13081853,282,51658,515
rs0532,3.17679E+17,174.87368,0.11655259,282,51658,639
rs0542,3.18726E+17,175.34227,0.12742299,283,51959,352
rs0547,3.18737E+17,175.55166,0.33408078,283,51959,389
rs0550,3.18746E+17,175.78875,0.55884769,283,51959,422
rs0549,3.18747E+17,175.72472,0.16186048,283,51959,426
rs0548,3.18748E+17,175.68714,0.28223908,283,51959,430
rs0562,3.19852E+17,177.15742,0.024659832,284,51943,351
