name,exth,modelg_r,extj,extk,e_uhmag,exti,ukmag,extg,2kmag,nuvmag,extz,dedeg,e_zmag,e_ukmag,e_uymag,extu,radeg,extr,e_2kmag,2jmag,r50,gmag,uymag,rmag,modelg_i,modelg_j,dgr,2hmag,imag,b_a,extnuv,r90,e_2hmag,e_imag,modelu_j,modelu_k,modelu_i,modelu_r,logmstar,e_uvm2mag,grpcz,uvm2mag,e_rmag,absrmag,modelg_k,zmag,extuvm2,exty,e_umag,cz,e_nuvmag,e_2jmag,e_gmag,uhmag,umag,fl_insample,sdss_dr10_objid,flux_ratio_2c,r50_deconv1,sdss_dr12_specid,b_a_deconv1,dist2d_nn2,dist2d_nn3,dist2d_nn1,f_b,f_a,r50_deconv2c,r50_deconv2e,sdss_dr7_objid,b_a_innerdisk,sdss_dr7_specid,b_a_deconv2e,sdss_dr10_specid,b_a_deconv2c,sdss_dr12_objid,vdisp,logmstar_84,vrot,sfr_nuv,mu_delta,logmgas,sfr_nuv_wise,logmstar_16,ccr_star,ccr_bary,econame,ccr_lum,morph,morphel,mhi,ehiasym,ew20,emhi_corr_sys,w20,eb_a_innerdisk,ew50,eb_a,peaksnhi,confused,limflag,mhi_corr,hitelescope,emhi,emhi_corr_rand,w50,hiasym,grpn,grprproj_stack,grpabsrmag,logmh_dyn,grpsig,logmh_s,fc,logmh,ccr,grprproj,grpnassoc,grpmb,grp,grpms,logmh_dyn_stack,grpsig_stack,logmh_dyn_smooth,meanfsmgr,meanfsmgre15,logmstare15,kin_slit_flag,kin_done_hi,kin_done_blue,kin_done_red,kin_blue_code,kin_ifu_flag,kin_red_code,modelg_jcorr,modelu_icorr,modelu_jcorr,modelg_kcorr,absrmagcorr,modelu_kcorr,modelg_rcorr,modelu_rcorr,modelg_icorr,fuvmag,extfuv,e_fuvmag,centralout,logmbary_pc,grpradeg,grpdedeg,logmh_e17,logmhdynh_e17,grp_e17,dens_corr_b,f_s16sample_s,dens_corr_s,groupmass_b,groupid_b,dist_b,dens_b,f_dist_s,dist_s,f_s16sample_b,groupid_s,groupmass_s,dens_s,f_dist_b,tf_type,nndist_kd,tf_confidence
rf0001,0.02,0.263197,0.03,0.01,0.27,0.08,15.38,0.14,-99,19.33,0.05,-1.1128886,0.12,0.37,0.19,0.19,0.013432752,0.1,-99,15.84,3.32,17.69,16.48,17.32,0.423132,1.54713,-0.02,-99,17.15,0.81,0.33,6.89,-99,0.02,2.44903,3.2477,1.32503,1.1651,8.51,-99,6683.8,-99,0.04,-17.68,2.34579,17.05,0.34,0.04,0.04,6683.8,0.06,0.24,0.03,15.47,18.64,1,1.23766E+18,0.178071,7.5963,7.71305E+17,0.5058,1.5648,1.6748,1.452,1,0,6.9021,8.5451,5.88016E+17,0.842125,1.09153E+17,0.5983,7.71305E+17,0.2753,1.23766E+18,0,8.69,0,0.20464422,8.00910378,8.81861,0.22603978,8.41,-99,-99,notineco,-99,11.5,L,470416000,0.167263,0,0,114.642,0.0883306,13.7229,0.0519,7.25895,0,0,0,GBT,39321900,0,103.769,-0.0771579,1,0,-17.6787,0,0,10.9209,1,10.9529,1,0,1,8.9915,1,8.5135,0,0,0,1.46118,1.46117,8.51,0,?,0,0,0,0,0,1.22273,0.998665,1.99219,1.93967,-17.9605,2.70913,0.141319,0.910782,0.229202,19.865,0.2928,0.2237,0,8.985,0.0135,-1.113,10.94,11.02,1,-9999,-10998,-9999,-9999,-10998,-9999,-9999,-10998,-9999,-10998,-10998,-9999,-9999,-10998,-10998,2.231363131,-10998
rf0002,0.02,0.69404,0.03,0.01,-99,0.06,13.46,0.12,12.72,20.99,0.05,0.84866485,0.02,0.35,0.17,0.16,1.146787,0.08,0.44,14.53,3.11,17.08,14.92,16.33,1.02813,2.3428,-0.03,14.27,15.94,0.6,0.28,9.78,0.29,0.02,3.81753,4.7357,2.50286,2.16877,9.57,-99,6583.8,-99,0.02,-18.62,3.26097,15.67,0.29,0.04,0.03,6583.8,0.18,0.09,0.02,-99,18.62,1,1.23766E+18,0.927485,10.9297,4.36941E+17,0.5853,2.4657,3.3231,2.3574,1,0,8.2362,18.9335,5.88016E+17,0.614789,1.09435E+17,0.2237,4.36941E+17,0.624,1.23766E+18,61.7463,9.65,0,0.045151245,9.50532436,8.27659,0.095551455,9.47,-99,-99,notineco,-99,-1,E,135039000,0,0,0,0,0.0400227,0,0.0167,0,0,1,0,AO,0,0,0,0,1,0,-18.6212,0,0,11.3479,1,11.1319,1,0,1,9.5905,3,9.5755,0,0,0,0.0252599,0.0756719,9.57,1,0,1,0,10020,0,0,2.14992,2.23717,3.49689,3.03671,-18.7964,4.38368,0.595924,1.94289,0.890205,21.7519,0.2491,0.67,0,9.595,1.1467,0.8486,11.12,11.07,3,11.19,1,11.21,11.18,20002,6.91,10.95,1,6.76,1,10002,11.37,10.96,1,0,2.479751982,0
rf0003,0.01,0.564297,0.02,0.01,0.07,0.05,14.5,0.1,14.35,20.14,0.04,0.81264576,0.03,0.1,0.15,0.13,2.3154592,0.07,0.09,15.33,1.73,17.72,15.8,17.07,0.862358,2.18539,0.1,14.72,16.78,0.94,0.23,4.04,0.11,0.02,3.35164,4.26632,2.0286,1.73054,8.99,-99,5962.9,-99,0.02,-17.65,3.10007,16.51,0.24,0.03,0.03,5962.9,0.05,0.11,0.02,14.69,18.89,1,1.23766E+18,0.397842,3.6088,4.37006E+17,0.8382,2.1082,2.9802,2.1008,1,0,4.1573,4.1573,5.87731E+17,0.937061,1.09435E+17,0.7438,4.37006E+17,0.9113,1.23766E+18,37.3,9.11,0,0.17028312,9.27119541,8.9553,0.2054135,8.89,-99,-99,notineco,-99,-3,E,644431000,0.0753734,0,0,232.052,0.0153339,9.4827,0.0151,4.99188,0,0,0,AO,50059500,0,197.281,-0.0523067,1,0,-17.6492,0,0,11.1059,1,10.9459,1,0,1,9.2705,5,8.9895,0,0,0,0.124266,0.124254,8.99,0,?,1,0,10,1,0,1.70243,1.343,2.51988,2.52515,-18.0272,3.3426,0.327904,1.14536,0.525549,20.6576,0.207,0.0716,0,9.265,2.3154,0.8126,10.93,10.72,5,0,1,11,0,0,0,0,1,5.6,0,10003,11.14,10.79,0,2,4.170258422,1
rf0004,0.02,0.440893,0.03,0.01,0.26,0.08,13.27,0.14,14.11,17.36,0.06,-1.0870759,0.09,0.87,0.38,0.2,2.9560889,0.1,0.98,13.24,15.28,15.2,14.54,14.61,0.639662,1.73096,-0.01,13.09,13.8,0.95,0.35,33.3,0.15,0.03,2.81991,3.53059,1.72861,1.52984,9.67,-99,6365.9,-99,0.03,-20.29,2.44165,14.27,0.36,0.05,0.03,6365.9,0.02,0.51,0.02,13.42,16.2,1,1.23766E+18,0.841333,66.2635,4.74915E+18,0.5604,2.0159,3.1816,1.1904,1,0,64.8227,76.4877,5.88016E+17,0.949,-999,0.2488,4.74915E+18,0.5878,1.23766E+18,0,9.69,52.6579,0.64056361,7.93362522,9.80763,0.64056361,9.67,-99,-99,notineco,-99,-999,L,4586730000,0.0685695,0,0,0,-99,2.25285,-99,10.0858,0,0,0,S05-AO,585540000,0,169.466,0.139056,1,0,-20.2858,0,0,11.3899,1,11.5739,1,0,1,10.0075,388,9.6885,0,0,0,0.0630973,0.0630979,9.67,1,?,0,?,0,0,1000000,1.70666,1.68603,2.77098,2.41408,-20.2967,3.4784,0.427774,1.49209,0.62171,17.6605,0.3075,0.0442,0,10.035,2.956,-1.087,11.58,11.81,388,10.88,1,10.32,11.44,20243,13.61,10.46,1,12.86,1,10229,11.41,9.89,1,-10998,2.687353546,-10998
rf0005,0.02,0.752386,0.03,0.01,-99,0.06,-99,0.12,10.54,18.96,0.05,-0.41511957,0.02,-99,0.07,0.16,3.0254612,0.09,0.06,11.48,8.21,14.21,11.99,13.4,1.10429,2.50439,-0.04,10.75,13,0.66,0.29,29.02,0.13,0.02,4.09393,5.02993,2.69383,2.34193,10.63,-99,5565.4,-99,0.02,-21.18,3.44038,12.73,0.29,0.04,0.05,5565.4,0.08,0.05,0.02,-99,15.9,1,1.23766E+18,1,52.3303,4.38062E+17,0.6546,1.8832,1.9055,0.87208,1,0,55.2273,750,5.88016E+17,0.698631,1.09716E+17,0.05,4.38062E+17,0.6544,1.23766E+18,180.382,10.73,0,0.20106007,9.95773697,9.12761,0.20106007,10.49,-99,-99,notineco,-99,-1.5,E,958269000,0,0,0,0,0.0136893,0,0.0144,0,0,1,0,GBT,0,0,0,0,1,0,-21.1832,0,0,12.1679,1,11.9579,1,0,1,10.6885,6,10.6735,0,0,0,0.0141283,0.141235,10.67,1,0,1,0,11000,0,0,2.3615,2.50645,3.86259,3.27175,-21.3247,4.77284,0.683239,2.18433,1.00536,21.0458,0.2519,0.8284,0,10.655,3.0254,-0.4152,11.96,11.75,6,11.06,1,11.3,12.09,20003,0,10.89,0,0,1,10004,12.18,11.2,0,0,1.072460667,0
rf0006,0.03,0.530409,0.04,0.02,0.18,0.1,14.61,0.18,14.09,20.26,0.07,-1.108172,0.04,0.65,0.42,0.25,4.1918919,0.13,0.24,15.38,4.68,17.27,15.5,16.65,0.788403,1.95845,0.15,14.59,16.3,0.94,0.44,13.39,0.1,0.03,3.20173,3.97022,2.03168,1.77368,9.13,-99,5543.7,-99,0.02,-17.98,2.72695,16.09,0.46,0.06,0.09,5543.7,0.03,0.26,0.02,14.95,18.53,1,1.23766E+18,0.825552,22.5188,4.39179E+17,0.6991,0.29014,1.8371,0.24538,1,0,20.0345,20.0345,5.88016E+17,0.955937,1.09998E+17,0.5378,4.39179E+17,0.6048,1.23766E+18,0,9.23,0,0.046835543,8.78608131,7.822,0.05801436,9.01,-99,-99,notineco,-99,-0.5,E,47410100,0,0,0,0,0.0242886,0,0.0245,0,0,1,0,AO,0,0,0,0,1,0,-17.9798,0,0,11.1589,1,11.0109,1,0,1,9.1615,7,9.1465,0,0,0,0.0580884,0.0612926,9.13,0,0,0,0,0,0,0,1.84738,1.8825,3.02088,2.59895,-18.0724,3.77246,0.474091,1.64759,0.708994,21.1058,0.3929,0.4559,0,9.145,4.1918,-1.1083,11,11.15,7,0,1,11.4,0,0,0,0,1,5.18,0,10005,11.86,11.17,0,0,1.885013258,0
rf0007,0.02,0.518044,0.03,0.01,0.23,0.08,-99,0.14,12.23,18,0.06,-0.9580395,0.04,-99,0.06,0.19,4.2867326,0.1,0.26,13.2,10.3,15.54,13.6,14.95,0.794691,2.09018,-0.02,12.69,14.63,0.61,0.35,19.42,0.17,0.03,3.27765,4.1681,1.98216,1.70551,9.79,-99,5680.45,-99,0.02,-19.75,2.98063,14.42,0.35,0.05,0.03,5811.1,0.02,0.16,0.02,12.72,16.81,1,1.23766E+18,0.520413,24.6042,4.39183E+17,0.5785,0.25722,1.8295,0.10636,1,0,24.793,24.793,5.87731E+17,0.619652,1.09998E+17,0.4734,4.39183E+17,0.6228,1.23766E+18,0,9.91,98.7699,0.86018945,8.31830406,9.39768,1.1051114,9.59,-99,-99,notineco,-99,4,L,1784630000,0.0194198,0,0,290.766,0.00772152,5.46674,0.0152,7.80051,0,0,0,GBT,80839400,0,272.921,0.135514,2,0,-21.0151,0,0,11.8279,0,11.8699,1,0,2,10.4145,8,10.3625,0,0,0,0.179362,0.177967,9.79,1,?,0,1,0,0,1000000,1.65187,1.4457,2.59081,2.4528,-20.1261,3.39174,0.324329,1.26327,0.506762,18.5386,0.3048,0.0728,0,9.935,4.32123,-0.968014,11.4,11.78,8,11.31,1,11.4,11.78,20004,5.7,11.1,1,5.18,1,10005,11.86,11.17,1,0,0.104597348,0
rf0008,0.02,0.568787,0.03,0.01,0.05,0.08,-99,0.14,11.14,17.21,0.06,-0.97832513,0.02,-99,0.03,0.2,4.3577793,0.1,0.14,12.17,11.75,14.64,12.65,13.99,0.87604,2.24647,-0.06,11.5,13.65,0.54,0.35,23.02,0.02,0.02,3.48216,4.42422,2.11173,1.80448,10.21,-99,5680.45,-99,0.03,-20.61,3.18853,13.38,0.36,0.05,0.09,5549.8,0.02,0.06,0.03,11.59,15.86,1,1.23766E+18,0.154845,29.6206,7.73519E+17,0.5251,0.29046,1.817,0.10158,1,0,27.7981,30.9559,5.87731E+17,0.601713,1.93599E+17,0.5377,7.73519E+17,0.4834,1.23766E+18,0,10.33,174.074,2.3527805,8.70793247,8.86088,2.8816494,10.05,-99,-99,notineco,-99,3,L,518501000,0,0,0,0,0.0594954,0,0.0238,0,0,1,0,GBT,0,0,0,0,2,0,-21.0151,0,0,11.8279,1,11.8699,1,0,2,10.4145,8,10.3625,0,0,0,0.166597,0.166075,10.21,1,0,0,1,0,0,1000000,1.70214,1.41044,2.59997,2.53551,-21.0712,3.43334,0.320915,1.21875,0.512609,17.7373,0.3082,0.0368,0,10.225,4.32123,-0.968014,11.7,11.64,392,11.31,1,11.4,11.78,20004,5.7,11.1,1,5.18,1,10005,11.86,11.17,1,1,0.104597348,1
rf0009,0.01,0.311899,0.02,0.01,0.32,0.05,-99,0.1,13.87,18.95,0.04,0.50624571,0.04,-99,0.2,0.13,4.4165136,0.07,0.92,15.38,5.63,17.1,15.95,16.7,0.484169,1.58808,0.21,14.62,16.52,0.3,0.23,15.33,0.12,0.02,2.59847,3.36798,1.49456,1.32229,8.65,-99,5330.5,-99,0.03,-17.78,2.3576,16.38,0.24,0.03,0.03,5330.5,0.05,0.13,0.02,15.4,18.16,1,1.23766E+18,0.751464,15.151,4.38125E+17,0.2569,0.24289,0.24826,0.16385,1,0,14.5939,294.836,5.88016E+17,0.296176,1.09716E+17,0.0146,4.38125E+17,0.2519,1.23766E+18,6.38037,8.83,0,0.1252368,8.13725567,7.99759,0.18641721,8.53,-99,-99,notineco,-99,4,L,71033500,0.203609,0,0,73.2851,0.00555197,12.0847,0.0127,4.1394,0,0,0,AO,10207500,0,75.3394,-0.158296,1,0,-17.7805,0,0,10.9699,1,10.9719,1,0,1,8.7435,9,8.6655,0,0,0,0.521631,0.521379,8.65,1,0,1,0,10000,0,0,1.38815,1.28231,2.31009,2.11124,-17.9356,3.03318,0.232265,1.15421,0.360369,19.0557,0.2041,0.0781,0,8.735,4.4165,0.5062,10.96,11.1,9,-9999,-10998,-9999,-9999,-10998,-9999,-9999,-10998,-9999,-10998,-10998,-9999,-9999,-10998,1,1.101386132,2
rf0010,0.02,0.207138,0.03,0.01,0.21,0.06,-99,0.11,14.24,18.16,0.04,0.32956582,0.05,-99,0.17,0.14,4.4761793,0.08,0.25,15.6,3.99,16.94,15.81,16.64,0.33857,1.41735,-0.1,-99,16.48,0.9,0.25,8.03,-99,0.06,2.17996,2.95417,1.10119,0.969757,8.49,-99,5498.7,-99,0.05,-17.89,2.19155,16.39,0.26,0.03,0.03,5446.7,0.04,0.13,0.02,15.09,17.77,1,1.23766E+18,0.482347,7.2847,4.39197E+17,0.8765,0.21763,0.25367,0.010076,1,0,9.0327,9.0327,5.87731E+17,0.898,1.09998E+17,0.6994,4.39197E+17,0.5487,1.23766E+18,0,8.65,0,0.38628188,7.97330666,9.20911,0.39787126,8.39,-99,-99,notineco,-99,3.5,L,2943410000,0.0592835,0,428579000,0,0.0319327,4.10406,0,6.71009,1,0,971197000,ALFALFA,128595000,230463000,166.307,0.16283,2,0,-20.1329,0,0,11.3059,0,11.5089,1,0,3,9.9155,10,9.4945,0,0,0,2.63826,2.63825,8.49,1,0,0,1,0,0,1000000,1.06095,0.750446,1.68337,1.74311,-18.1978,2.36553,0.0759296,0.698351,0.128025,18.8177,0.2246,0.0449,0,9.285,4.47837,0.332278,11.51,11.76,10,-9999,-10998,-9999,-9999,-10998,-9999,-9999,-10998,-9999,-10998,-10998,-9999,-9999,-10998,1,0.010204281,3
